GeographyCode,QS116NI0001,QS116NI0002,QS116NI0003,QS116NI0004,QS116NI0005,QS116NI0006
N00000001,310,116,69,84,31,10
N00000002,141,96,15,17,10,3
N00000003,78,48,7,9,13,1
N00000004,195,106,30,37,11,11
N00000005,124,70,18,23,8,5
N00000006,86,53,15,11,6,1
N00000007,89,60,8,15,4,2
N00000008,138,107,16,12,3,0
N00000009,275,166,55,39,13,2
N00000010,86,59,9,10,6,2
N00000011,136,109,12,9,5,1
N00000012,121,96,9,11,4,1
N00000013,136,109,13,9,4,1
N00000014,205,147,36,16,5,1
N00000015,119,98,9,9,2,1
N00000016,122,101,10,9,1,1
N00000017,144,90,24,20,7,3
N00000018,94,62,14,15,0,3
N00000019,116,88,14,8,3,3
N00000020,122,84,17,14,7,0
N00000021,128,96,14,11,5,2
N00000022,126,93,15,12,4,2
N00000023,115,90,15,7,3,0
N00000024,174,97,24,31,15,7
N00000025,159,102,26,22,5,4
N00000026,151,92,23,26,9,1
N00000027,178,102,27,25,15,9
N00000028,85,52,13,14,4,2
N00000029,136,86,15,24,10,1
N00000030,131,93,11,15,9,3
N00000031,201,105,28,38,17,13
N00000032,133,79,18,21,13,2
N00000033,166,104,19,22,14,7
N00000034,158,98,24,21,14,1
N00000035,128,88,28,7,4,1
N00000036,134,89,22,17,4,2
N00000037,124,93,12,12,6,1
N00000038,138,80,23,15,16,4
N00000039,448,232,71,94,36,15
N00000040,114,75,17,15,7,0
N00000041,144,61,28,34,19,2
N00000042,126,67,28,17,7,7
N00000043,368,149,57,99,49,14
N00000044,108,64,9,18,11,6
N00000045,170,92,28,32,16,2
N00000046,129,88,7,18,13,3
N00000047,138,101,12,18,6,1
N00000048,125,82,19,16,7,1
N00000049,123,92,17,10,4,0
N00000050,135,101,17,15,2,0
N00000051,124,78,20,18,5,3
N00000052,120,80,16,14,7,3
N00000053,108,67,26,9,3,3
N00000054,111,67,19,18,6,1
N00000055,117,92,11,7,7,0
N00000056,119,91,14,8,6,0
N00000057,118,71,21,11,10,5
N00000058,121,74,24,18,4,1
N00000059,110,75,18,14,3,0
N00000060,180,124,28,17,11,0
N00000061,129,106,10,6,7,0
N00000062,130,96,13,12,8,1
N00000063,155,100,34,11,6,4
N00000064,133,98,13,16,3,3
N00000065,146,106,17,15,5,3
N00000066,110,85,15,7,2,1
N00000067,134,84,24,19,6,1
N00000068,124,71,18,27,6,2
N00000069,145,88,22,21,10,4
N00000070,104,86,7,6,3,2
N00000071,136,116,11,7,2,0
N00000072,634,342,117,129,38,8
N00000073,249,206,31,10,2,0
N00000074,386,212,68,84,16,6
N00000075,111,72,19,16,4,0
N00000076,114,56,28,19,8,3
N00000077,98,63,14,15,5,1
N00000078,161,71,30,42,15,3
N00000079,192,98,39,35,19,1
N00000080,146,83,20,33,8,2
N00000081,140,97,19,15,9,0
N00000082,132,92,14,18,6,2
N00000083,208,115,32,37,21,3
N00000084,153,90,23,23,16,1
N00000085,180,128,22,16,12,2
N00000086,142,78,26,26,9,3
N00000087,303,173,43,54,24,9
N00000088,136,119,10,7,0,0
N00000089,164,86,29,31,15,3
N00000090,138,83,22,20,9,4
N00000091,176,102,35,22,14,3
N00000092,168,103,16,24,20,5
N00000093,140,92,21,11,9,7
N00000094,161,97,24,28,9,3
N00000095,152,92,22,17,12,9
N00000096,158,116,17,16,8,1
N00000097,296,148,59,67,19,3
N00000098,446,268,85,60,27,6
N00000099,107,71,17,14,3,2
N00000100,164,122,23,12,4,3
N00000101,122,61,38,16,5,2
N00000102,125,80,21,17,3,4
N00000103,205,117,30,31,21,6
N00000104,130,77,24,18,9,2
N00000105,148,114,17,13,1,3
N00000106,103,79,5,11,7,1
N00000107,120,75,23,16,4,2
N00000108,110,88,6,11,3,2
N00000109,229,154,43,26,6,0
N00000110,122,91,16,10,5,0
N00000111,136,92,17,19,2,6
N00000112,143,78,25,27,8,5
N00000113,122,79,20,14,8,1
N00000114,121,86,11,19,2,3
N00000115,128,84,22,15,6,1
N00000116,119,76,22,13,7,1
N00000117,86,60,15,5,2,4
N00000118,143,115,12,10,3,3
N00000119,125,100,7,13,4,1
N00000120,127,96,10,12,5,4
N00000121,124,91,15,14,2,2
N00000122,199,142,17,26,12,2
N00000123,143,101,12,24,6,0
N00000124,143,114,13,12,4,0
N00000125,148,79,26,22,13,8
N00000126,134,64,22,24,16,8
N00000127,130,70,19,20,12,9
N00000128,282,152,51,47,19,13
N00000129,138,83,25,14,11,5
N00000130,152,56,44,35,16,1
N00000131,136,93,14,21,5,3
N00000132,121,79,14,17,8,3
N00000133,139,111,11,11,4,2
N00000134,177,117,28,22,10,0
N00000135,119,82,15,12,6,4
N00000136,188,117,31,26,13,1
N00000137,120,76,20,17,7,0
N00000138,155,78,32,32,11,2
N00000139,133,112,8,12,1,0
N00000140,158,131,17,6,4,0
N00000141,220,167,31,15,5,2
N00000142,96,70,13,7,4,2
N00000143,123,99,13,9,2,0
N00000144,110,82,17,8,3,0
N00000145,75,64,8,2,0,1
N00000146,105,80,9,11,4,1
N00000147,106,75,19,8,2,2
N00000148,279,172,47,42,13,5
N00000149,187,127,29,25,5,1
N00000150,149,105,14,22,8,0
N00000151,131,101,18,10,2,0
N00000152,131,101,16,9,5,0
N00000153,111,81,10,15,5,0
N00000154,108,75,18,10,3,2
N00000155,128,89,19,15,5,0
N00000156,127,92,13,17,4,1
N00000157,139,100,13,19,6,1
N00000158,286,203,36,29,9,9
N00000159,116,98,13,5,0,0
N00000160,124,92,17,12,2,1
N00000161,128,90,19,12,6,1
N00000162,115,97,9,7,2,0
N00000163,155,117,25,10,3,0
