GeographyCode,QS102NI0001,QS102NI0002,QS102NI0003
N00000001,1113,540,2.06
N00000002,351,166,2.12
N00000003,237,499,0.47
N00000004,616,1508,0.41
N00000005,374,808,0.46
N00000006,251,570,0.44
N00000007,245,1141,0.21
N00000008,288,343,0.84
N00000009,727,854,0.85
N00000010,242,585,0.41
N00000011,293,168,1.75
N00000012,264,11,22.97
N00000013,268,20,13.13
N00000014,460,13,35.17
N00000015,226,24,9.46
N00000016,223,4,56.52
N00000017,340,9,39.25
N00000018,229,10,24.09
N00000019,261,7,36.53
N00000020,236,4,61.99
N00000021,269,6,46.75
N00000022,269,10,28.08
N00000023,218,11,19.52
N00000024,533,1036,0.51
N00000025,460,1085,0.42
N00000026,466,1293,0.36
N00000027,540,928,0.58
N00000028,236,17,13.88
N00000029,403,1142,0.35
N00000030,375,2518,0.15
N00000031,707,1012,0.70
N00000032,386,195,1.98
N00000033,498,1201,0.41
N00000034,474,116,4.08
N00000035,291,6,49.73
N00000036,345,19,18.41
N00000037,285,11,26.01
N00000038,406,1003,0.40
N00000039,1262,56,22.74
N00000040,265,11,24.22
N00000041,462,6,75.86
N00000042,410,11,36.80
N00000043,1245,132,9.47
N00000044,312,29,10.80
N00000045,515,1024,0.50
N00000046,394,894,0.44
N00000047,374,389,0.96
N00000048,304,15,19.80
N00000049,254,9,27.36
N00000050,299,17,17.42
N00000051,313,23,13.90
N00000052,309,287,1.08
N00000053,261,34,7.65
N00000054,266,9,31.11
N00000055,266,44,6.10
N00000056,283,6,46.92
N00000057,279,3,105.21
N00000058,266,5,58.06
N00000059,226,8,26.80
N00000060,394,8,52.24
N00000061,273,24,11.56
N00000062,351,21,16.90
N00000063,431,27,15.89
N00000064,279,7,40.05
N00000065,389,10,39.46
N00000066,264,7,37.65
N00000067,316,7,45.21
N00000068,371,16,22.97
N00000069,334,10,34.53
N00000070,243,20,12.20
N00000071,283,40,7.13
N00000072,1753,114,15.41
N00000073,521,22,24.06
N00000074,1047,244,4.30
N00000075,410,44,9.37
N00000076,344,7,49.40
N00000077,275,14,19.10
N00000078,488,8,59.79
N00000079,564,1438,0.39
N00000080,424,455,0.93
N00000081,339,115,2.95
N00000082,342,1233,0.28
N00000083,650,2139,0.30
N00000084,456,1129,0.40
N00000085,437,44,9.97
N00000086,395,40,9.95
N00000087,913,1428,0.64
N00000088,216,13,16.67
N00000089,478,71,6.69
N00000090,392,12,33.60
N00000091,476,96,4.97
N00000092,504,1299,0.39
N00000093,421,716,0.59
N00000094,492,795,0.62
N00000095,468,1000,0.47
N00000096,464,1401,0.33
N00000097,850,18,47.70
N00000098,1192,132,9.01
N00000099,258,29,9.05
N00000100,341,7,50.96
N00000101,282,13,21.28
N00000102,318,9,36.89
N00000103,623,217,2.86
N00000104,322,9,36.12
N00000105,327,6,50.37
N00000106,198,6,32.58
N00000107,269,10,28.25
N00000108,243,7,37.38
N00000109,512,9,57.26
N00000110,258,4,66.33
N00000111,356,9,41.42
N00000112,402,7,57.51
N00000113,309,10,29.67
N00000114,318,6,54.86
N00000115,302,8,37.88
N00000116,287,8,33.80
N00000117,168,5,32.46
N00000118,333,171,1.94
N00000119,289,28,10.48
N00000120,323,789,0.41
N00000121,293,22,13.04
N00000122,481,630,0.76
N00000123,351,92,3.80
N00000124,369,296,1.25
N00000125,464,964,0.48
N00000126,481,621,0.77
N00000127,405,449,0.90
N00000128,991,1463,0.68
N00000129,346,26,13.24
N00000130,498,53,9.43
N00000131,388,460,0.84
N00000132,366,771,0.47
N00000133,322,132,2.44
N00000134,437,26,16.91
N00000135,312,63,4.97
N00000136,507,29,17.25
N00000137,315,6,50.39
N00000138,464,12,39.91
N00000139,301,68,4.44
N00000140,333,135,2.46
N00000141,443,6,77.83
N00000142,205,4,48.03
N00000143,215,8,27.01
N00000144,228,9,25.96
N00000145,124,4,31.80
N00000146,271,780,0.35
N00000147,227,4,55.22
N00000148,676,170,3.97
N00000149,432,82,5.25
N00000150,365,22,16.83
N00000151,283,11,26.06
N00000152,270,12,22.02
N00000153,250,9,26.90
N00000154,259,17,15.43
N00000155,337,568,0.59
N00000156,301,179,1.68
N00000157,368,1267,0.29
N00000158,678,946,0.72
N00000159,221,18,12.41
N00000160,322,22,14.82
N00000161,342,54,6.35
N00000162,242,11,21.84
N00000163,311,12,24.94
N00000164,288,542,0.53
N00000165,325,260,1.25
N00000166,273,17,15.67
N00000167,379,82,4.62
N00000168,345,17,19.77
N00000169,704,1473,0.48
N00000170,370,176,2.11
N00000171,416,831,0.50
N00000172,772,1121,0.69
N00000173,373,1102,0.34
N00000174,393,33,11.91
N00000175,373,282,1.32
N00000176,474,16,29.89
N00000177,323,161,2.00
N00000178,667,16,41.96
N00000179,852,24,35.48
N00000180,280,4,77.07
N00000181,274,9,29.02
N00000182,228,7,33.89
N00000183,293,10,29.52
N00000184,372,19,19.76
N00000185,211,10,21.25
N00000186,299,20,15.20
N00000187,255,23,10.92
N00000188,347,11,32.34
N00000189,341,335,1.02
N00000190,304,7,42.23
N00000191,303,6,46.90
N00000192,302,4,72.03
N00000193,291,15,19.81
N00000194,255,5,52.91
N00000195,246,6,38.91
N00000196,237,4,58.82
N00000197,326,6,55.24
N00000198,287,181,1.59
N00000199,350,139,2.52
N00000200,331,5,71.32
N00000201,294,32,9.15
N00000202,304,17,17.78
N00000203,334,436,0.77
N00000204,393,11,34.64
N00000205,303,93,3.27
N00000206,390,9,41.50
N00000207,253,6,43.08
N00000208,316,12,25.96
N00000209,356,40,8.99
N00000210,383,18,21.08
N00000211,528,66,8.06
N00000212,175,6,31.06
N00000213,281,16,17.69
N00000214,323,11,28.86
N00000215,400,597,0.67
N00000216,397,654,0.61
