GeographyCode,QS109NI0001,QS109NI0002,QS109NI0003,QS109NI0004,QS109NI0005,QS109NI0006,QS109NI0007,QS109NI0008,QS109NI0009,QS109NI0010,QS109NI0011,QS109NI0012,QS109NI0013,QS109NI0014,QS109NI0015,QS109NI0016,QS109NI0017
N00001479,132,23,9,13,1,51,6,9,36,28,9,13,6,30,13,17,0
N00001480,240,37,12,9,16,87,42,26,19,33,17,16,0,83,64,18,1
N00001481,105,15,3,2,10,38,10,15,13,24,6,16,2,28,14,14,0
N00001482,139,48,20,15,13,41,9,14,18,23,6,14,3,27,9,18,0
N00001483,124,40,10,11,19,46,22,10,14,15,6,9,0,23,11,12,0
N00001484,112,34,13,7,14,48,21,14,13,15,8,6,1,15,9,6,0
N00001485,130,39,11,14,14,56,31,10,15,14,6,8,0,21,11,10,0
N00001486,127,10,2,3,5,67,14,19,34,23,2,19,2,27,12,14,1
N00001487,138,24,9,6,9,49,15,15,19,22,5,15,2,43,15,28,0
N00001488,117,26,4,13,9,55,12,19,24,18,4,13,1,18,11,7,0
N00001489,121,23,3,12,8,34,3,11,20,23,3,19,1,41,12,29,0
N00001490,101,39,12,13,14,31,14,6,11,6,2,4,0,25,11,14,0
N00001491,140,20,7,6,7,23,2,11,10,15,3,8,4,82,65,16,1
N00001492,115,36,12,11,13,47,15,18,14,18,6,9,3,14,8,6,0
N00001493,121,34,13,8,13,53,19,12,22,18,6,11,1,16,7,9,0
N00001494,96,27,11,10,6,42,16,11,15,8,2,6,0,19,11,8,0
N00001495,134,42,12,16,14,50,20,10,20,18,5,11,2,24,12,11,1
N00001496,150,59,18,21,20,50,25,14,11,14,7,7,0,27,20,7,0
N00001497,106,33,9,13,11,44,12,12,20,14,7,6,1,15,3,12,0
N00001498,198,82,17,28,37,60,14,15,31,24,11,13,0,32,17,15,0
N00001499,144,45,8,16,21,58,26,16,16,19,7,11,1,22,11,11,0
N00001500,147,43,24,15,4,71,51,15,5,15,14,0,1,18,12,5,1
N00001501,274,86,31,21,34,104,55,17,32,41,26,12,3,43,24,18,1
N00001502,196,65,20,22,23,81,31,21,29,17,9,6,2,33,15,17,1
N00001503,113,26,11,7,8,44,20,10,14,15,6,7,2,28,16,11,1
N00001504,106,35,8,5,22,40,14,9,17,15,6,8,1,16,3,12,1
N00001505,212,108,26,43,39,60,20,20,20,21,11,9,1,23,20,3,0
N00001506,128,43,14,12,17,50,28,15,7,12,9,3,0,23,12,10,1
N00001507,115,15,3,2,10,49,16,9,24,21,10,8,3,30,19,11,0
N00001508,207,88,29,29,30,92,28,24,40,18,10,7,1,9,4,4,1
N00001509,201,47,16,12,19,69,33,13,23,20,8,10,2,65,33,31,1
N00001510,122,37,16,11,10,51,21,17,13,11,6,5,0,23,16,7,0
N00001511,281,76,22,23,31,102,41,18,43,39,22,17,0,64,35,28,1
N00001512,137,47,16,20,11,53,18,17,18,17,9,6,2,20,12,6,2
N00001513,124,45,14,15,16,53,26,8,19,11,10,1,0,15,11,4,0
N00001514,109,25,9,5,11,43,7,8,28,12,5,6,1,29,14,15,0
N00001515,131,8,3,4,1,35,2,6,27,26,2,23,1,62,25,36,1
N00001516,127,0,0,0,0,28,4,2,22,17,7,8,2,82,28,54,0
N00001517,153,11,3,5,3,42,6,14,22,30,9,15,6,70,15,54,1
N00001518,174,18,9,7,2,68,6,25,37,45,11,21,13,43,11,32,0
N00001519,134,29,7,10,12,47,10,15,22,20,5,12,3,38,23,15,0
N00001520,114,23,4,1,18,55,20,13,22,15,7,7,1,21,15,5,1
N00001521,106,26,2,6,18,39,8,11,20,15,4,11,0,26,16,10,0
N00001522,115,16,7,4,5,43,11,9,23,23,4,15,4,33,14,18,1
N00001523,106,21,7,2,12,39,12,9,18,19,12,6,1,27,20,7,0
N00001524,111,21,5,3,13,34,8,7,19,29,8,19,2,27,15,11,1
N00001525,100,24,6,3,15,30,6,5,19,13,2,10,1,33,14,17,2
N00001526,112,28,8,8,12,37,15,7,15,14,9,4,1,33,18,15,0
N00001527,115,25,9,7,9,40,16,6,18,17,4,12,1,33,19,14,0
N00001528,123,25,12,12,1,58,22,11,25,17,12,5,0,23,13,10,0
N00001529,134,29,15,8,6,51,13,16,22,20,11,5,4,34,19,15,0
N00001530,165,27,8,13,6,55,9,10,36,22,5,14,3,61,27,34,0
N00001531,112,28,6,0,22,49,7,9,33,16,3,12,1,19,6,12,1
N00001532,148,21,3,3,15,83,8,16,59,24,5,17,2,20,8,12,0
N00001533,271,52,14,10,28,105,33,26,46,47,16,25,6,67,27,39,1
N00001534,132,22,8,4,10,52,14,16,22,25,10,10,5,33,8,24,1
N00001535,148,42,5,2,35,62,10,9,43,22,6,15,1,22,8,13,1
