GeographyCode,QS602NI0001,QS602NI0002,QS602NI0003,QS602NI0004,QS602NI0005,QS602NI0006,QS602NI0007,QS602NI0008,QS602NI0009,QS602NI0010,QS602NI0011,QS602NI0012,QS602NI0013,QS602NI0014,QS602NI0015,QS602NI0016
N00000001,307,303,7,282,2,3,1,4,1,3,4,2,0,0,0,2
N00000002,125,93,11,66,0,6,1,5,4,0,32,15,1,1,10,5
N00000003,67,62,4,41,1,6,3,5,2,0,5,3,0,0,2,0
N00000004,181,158,14,93,0,13,5,32,1,0,23,19,0,0,3,1
N00000005,118,104,4,67,1,13,4,15,0,0,14,10,0,2,1,1
N00000006,71,62,5,37,1,5,2,10,2,0,9,6,0,1,2,0
N00000007,77,63,6,45,0,5,1,5,1,0,14,11,0,2,0,1
N00000008,128,104,9,62,0,10,4,12,4,3,24,15,1,2,4,2
N00000009,257,233,18,167,0,14,9,17,7,1,24,21,0,0,1,2
N00000010,69,51,2,28,1,8,2,10,0,0,18,15,0,2,1,0
N00000011,106,72,10,58,0,1,0,1,2,0,34,22,0,1,9,2
N00000012,108,75,16,53,0,1,0,4,1,0,33,26,0,1,4,2
N00000013,109,79,6,55,0,2,3,2,11,0,30,17,0,3,4,6
N00000014,187,149,26,104,0,7,2,3,5,2,38,20,0,3,14,1
N00000015,96,54,9,33,0,3,2,2,5,0,42,25,0,3,13,1
N00000016,105,67,9,47,0,1,0,3,6,1,38,22,0,2,12,2
N00000017,137,93,16,58,0,2,2,8,7,0,44,24,0,6,8,6
N00000018,82,63,8,49,0,0,0,4,2,0,19,9,2,1,2,5
N00000019,107,66,11,49,0,1,0,2,3,0,41,21,0,4,12,4
N00000020,112,72,21,43,0,0,0,1,7,0,40,15,1,6,10,8
N00000021,115,72,10,50,0,2,1,3,6,0,43,20,0,6,13,4
N00000022,98,68,13,44,0,1,1,4,5,0,30,13,1,3,6,7
N00000023,93,56,15,36,0,0,0,2,2,1,37,27,0,2,6,2
N00000024,157,138,6,82,1,16,6,25,1,1,19,16,0,0,2,1
N00000025,146,123,8,69,0,11,6,24,4,1,23,17,0,1,4,1
N00000026,134,109,11,59,1,19,3,16,0,0,25,14,2,0,7,2
N00000027,162,135,14,72,1,11,3,29,5,0,27,12,0,8,5,2
N00000028,82,66,6,47,0,0,2,7,3,1,16,14,0,1,0,1
N00000029,122,102,8,55,0,17,2,18,1,1,20,16,0,1,2,1
N00000030,115,93,8,50,0,6,4,22,2,1,22,15,0,1,6,0
N00000031,184,145,11,88,0,15,1,26,4,0,39,29,1,5,3,1
N00000032,116,91,11,60,0,6,4,9,0,1,25,22,0,1,2,0
N00000033,149,121,5,77,0,9,3,26,1,0,28,20,0,2,4,2
N00000034,138,111,8,76,1,6,2,11,5,2,27,19,0,3,4,1
N00000035,115,73,10,45,1,1,0,9,7,0,42,14,0,4,16,8
N00000036,119,92,7,67,0,3,0,11,4,0,27,14,2,1,5,5
N00000037,107,66,15,39,2,1,0,3,5,1,41,27,0,2,11,1
N00000038,119,92,12,53,0,6,1,18,2,0,27,14,1,5,5,2
N00000039,389,330,60,216,0,14,4,18,16,2,59,32,1,6,16,4
