GeographyCode,QS112NI0001,QS112NI0002,QS112NI0003,QS112NI0004,QS112NI0005,QS112NI0006,QS112NI0007,QS112NI0008,QS112NI0009,QS112NI0010,QS112NI0011,QS112NI0012
N00000001,982,21,2,19,961,11,180,2,503,170,64,31
N00000002,351,42,15,27,309,18,38,46,63,42,42,60
N00000003,233,12,4,8,221,4,30,24,25,41,58,39
N00000004,616,28,12,16,588,10,56,46,120,71,143,142
N00000005,374,17,5,12,357,2,56,28,88,59,51,73
N00000006,240,21,11,10,219,0,20,16,60,31,39,53
N00000007,245,17,10,7,228,5,36,18,54,16,44,55
N00000008,288,54,11,43,234,17,62,22,51,5,31,46
N00000009,727,64,12,52,663,42,92,44,200,61,60,164
N00000010,234,20,12,8,214,7,24,28,42,26,23,64
N00000011,293,58,35,23,235,4,40,38,28,10,71,44
N00000012,264,43,17,26,221,19,36,40,37,12,18,59
N00000013,268,67,32,35,201,20,30,28,46,5,11,61
N00000014,460,60,18,42,400,41,90,32,94,15,27,101
N00000015,226,56,31,25,170,9,36,32,31,6,23,33
N00000016,223,62,22,40,161,23,30,26,22,12,5,43
N00000017,340,53,19,34,287,37,42,18,68,26,63,33
N00000018,229,23,8,15,206,9,42,24,62,18,9,42
N00000019,261,39,13,26,222,36,24,34,35,10,16,67
N00000020,236,53,16,37,183,67,36,18,35,15,0,12
N00000021,269,54,16,38,215,27,40,24,50,11,26,37
N00000022,269,53,26,27,216,26,30,28,24,11,48,49
N00000023,218,48,25,23,170,18,34,42,36,10,14,16
N00000024,533,22,10,12,511,7,58,40,113,68,103,122
N00000025,460,29,11,18,431,6,66,34,80,26,113,106
N00000026,460,23,12,11,437,2,44,28,75,36,86,166
N00000027,535,37,12,25,498,16,50,36,106,71,125,94
N00000028,236,19,6,13,217,4,32,12,37,17,51,64
N00000029,403,19,12,7,384,8,44,40,68,41,64,119
N00000030,375,22,10,12,353,6,44,50,41,48,67,97
N00000031,699,25,12,13,674,18,46,36,110,108,200,156
N00000032,386,30,19,11,356,7,26,42,96,50,54,81
N00000033,495,27,14,13,468,6,42,44,92,79,57,148
N00000034,438,29,15,14,409,29,40,46,79,56,50,109
N00000035,291,48,12,36,243,29,28,18,37,23,23,85
N00000036,345,33,16,17,312,23,50,18,65,16,45,95
N00000037,285,44,21,23,241,10,30,36,46,16,40,63
N00000038,406,24,13,11,382,18,38,44,58,64,82,78
N00000039,1262,119,56,63,1143,115,98,62,297,145,227,199
N00000040,265,43,20,23,222,32,24,10,52,10,29,65
N00000041,462,20,5,15,442,32,42,14,114,66,101,73
N00000042,410,18,7,11,392,13,40,18,57,56,91,117
