GeographyCode,QS607NI0001,QS607NI0002,QS607NI0003,QS607NI0004,QS607NI0005,QS607NI0006,QS607NI0007,QS607NI0008,QS607NI0009,QS607NI0010,QS607NI0011,QS607NI0012,QS607NI0013,QS607NI0014
N00000001,978,98,51,47,464,234,35,80,36,24,0,0,0,7
N00000002,298,56,3,53,76,35,34,33,15,32,13,8,5,4
N00000003,200,37,0,37,61,18,45,6,13,13,7,3,4,0
N00000004,562,48,8,40,119,52,159,58,62,55,9,9,0,0
N00000005,341,63,17,46,80,30,105,29,11,23,0,0,0,0
N00000006,209,33,8,25,45,11,55,18,33,9,5,1,4,0
N00000007,209,25,6,19,45,30,42,12,17,35,3,0,3,0
N00000008,252,32,6,26,54,43,44,24,22,24,1,0,1,8
N00000009,658,108,26,82,240,65,116,26,45,44,12,5,7,2
N00000010,192,41,6,35,25,11,63,9,13,26,4,4,0,0
N00000011,217,8,2,6,53,32,11,35,27,42,9,7,2,0
N00000012,203,9,4,5,40,29,16,34,36,34,5,4,1,0
N00000013,206,12,0,12,45,29,10,32,34,28,16,2,14,0
N00000014,401,29,4,25,72,37,31,73,66,78,11,6,5,4
N00000015,162,0,0,0,38,19,15,17,19,45,9,3,6,0
N00000016,178,7,0,7,31,34,14,14,35,37,4,0,4,2
N00000017,301,18,5,13,33,49,23,47,67,53,11,7,4,0
N00000018,196,6,0,6,36,29,4,32,39,45,2,0,2,3
N00000019,215,6,0,6,26,25,9,33,59,41,16,13,3,0
N00000020,204,0,0,0,36,29,4,19,41,53,20,10,10,2
N00000021,224,18,10,8,29,24,19,27,45,48,14,7,7,0
N00000022,212,3,0,3,30,28,16,6,66,48,15,10,5,0
N00000023,159,7,0,7,21,15,6,31,27,43,7,4,3,2
N00000024,475,91,26,65,106,33,126,75,26,10,4,3,1,4
N00000025,394,50,19,31,112,16,121,34,15,37,7,3,4,2
N00000026,397,45,10,35,107,42,119,33,20,24,1,1,0,6
N00000027,481,47,10,37,111,64,125,36,44,46,8,5,3,0
N00000028,215,9,6,3,63,20,30,23,19,41,6,0,6,4
N00000029,344,73,18,55,82,18,100,31,10,26,2,1,1,2
N00000030,303,24,12,12,78,30,84,19,35,25,5,0,5,3
N00000031,633,100,28,72,171,50,155,45,51,47,12,8,4,2
N00000032,324,22,10,12,81,53,62,48,23,30,0,0,0,5
N00000033,429,57,7,50,114,43,123,32,20,35,5,5,0,0
N00000034,374,47,7,40,98,32,48,52,39,45,7,4,3,6
N00000035,255,11,4,7,21,26,25,42,56,61,13,3,10,0
N00000036,306,28,8,20,82,35,41,10,42,54,8,5,3,6
N00000037,228,18,1,17,60,44,18,20,28,18,15,7,8,7
N00000038,344,36,23,13,58,32,76,35,44,48,15,10,5,0
N00000039,1143,85,27,58,288,188,129,99,180,123,40,15,25,11
N00000040,231,7,0,7,27,29,31,11,56,60,8,5,3,2
N00000041,437,37,18,19,125,90,58,36,45,38,8,6,2,0
N00000042,381,28,10,18,98,44,60,51,46,34,16,6,10,4
N00000043,1142,114,39,75,372,135,119,88,126,129,39,17,22,20
N00000044,274,6,0,6,41,57,32,11,64,43,14,8,6,6
N00000045,457,62,17,45,90,46,124,32,34,58,6,0,6,5
N00000046,331,31,0,31,67,25,127,11,31,28,11,7,4,0
N00000047,276,23,4,19,63,30,65,30,32,28,5,3,2,0
N00000048,261,15,9,6,30,21,36,22,49,78,10,3,7,0
N00000049,224,9,0,9,37,32,20,16,41,55,14,8,6,0
N00000050,239,41,9,32,52,16,28,23,26,52,0,0,0,1
N00000051,277,6,1,5,37,30,20,21,47,76,34,28,6,6
N00000052,264,9,2,7,55,38,16,24,40,54,24,7,17,4
N00000053,231,9,5,4,33,42,12,30,42,44,19,7,12,0
N00000054,247,9,5,4,42,49,9,28,46,49,14,7,7,1
N00000055,203,0,0,0,36,39,12,28,41,43,4,1,3,0
N00000056,214,4,0,4,13,18,5,40,46,70,15,8,7,3
N00000057,261,6,1,5,12,28,11,31,102,56,15,11,4,0
