GeographyCode,QS104NI0001,QS104NI0002,QS104NI0003,QS104NI0004,QS104NI0005,QS104NI0006,QS104NI0007,QS104NI0008,QS104NI0009,QS104NI0010,QS104NI0011,QS104NI0012,QS104NI0013,QS104NI0014,QS104NI0015,QS104NI0016,QS104NI0017,QS104NI0018,QS104NI0019,QS104NI0020
N00000001,1113,177,119,55,31,140,208,162,121,61,18,9,5,3,0,1,2,0,1,0
N00000002,351,29,29,21,18,12,19,29,29,27,21,25,18,21,23,10,10,6,3,1
N00000003,237,5,15,33,17,6,6,8,8,27,29,24,13,13,12,8,6,4,2,1
N00000004,616,33,39,62,64,37,25,23,37,49,70,41,46,36,27,10,12,3,1,1
N00000005,374,26,29,30,28,23,21,17,17,48,32,22,23,25,16,11,5,0,1,0
N00000006,251,15,15,20,15,10,18,12,19,21,19,14,19,15,8,7,6,5,8,5
N00000007,245,12,16,18,17,15,8,11,14,27,19,15,26,11,9,9,11,4,2,1
N00000008,288,15,15,10,13,20,21,25,19,27,27,22,20,18,11,10,10,4,1,0
N00000009,727,63,54,40,37,32,63,91,77,51,49,35,34,32,20,18,13,10,5,3
N00000010,242,17,19,13,14,15,19,7,12,16,20,18,13,17,15,7,11,7,2,0
N00000011,293,14,7,17,16,16,16,14,10,26,20,22,23,16,21,18,16,6,11,4
N00000012,264,9,12,17,16,12,13,16,26,18,14,14,17,19,25,21,3,8,3,1
N00000013,268,18,9,12,11,18,20,17,15,17,17,14,20,18,16,16,11,9,8,2
N00000014,460,31,21,23,18,38,57,36,30,45,22,29,26,25,18,18,11,9,2,1
N00000015,226,5,10,12,14,10,8,6,22,15,9,17,17,17,17,22,16,3,5,1
N00000016,223,7,6,16,9,14,17,8,17,17,22,15,16,14,16,10,8,7,1,3
N00000017,340,30,28,26,20,28,20,28,16,27,32,13,17,16,21,10,3,4,1,0
N00000018,229,26,7,10,19,18,10,21,14,18,21,9,11,12,12,5,7,4,4,1
N00000019,261,16,11,16,21,15,15,15,20,17,15,21,14,19,22,13,4,6,1,0
N00000020,236,27,22,13,6,19,15,22,19,11,15,11,11,13,13,7,7,2,3,0
N00000021,269,16,17,16,11,18,21,12,24,23,20,13,18,15,13,15,11,3,2,1
N00000022,269,15,12,18,20,23,13,15,16,16,21,15,15,13,11,15,12,13,4,2
N00000023,218,11,9,12,9,10,15,16,14,16,13,11,12,11,17,18,10,7,5,2
N00000024,533,31,44,47,46,19,24,23,40,58,40,55,23,25,25,10,14,6,0,3
N00000025,460,10,26,39,32,28,23,17,21,30,64,36,38,30,24,18,7,10,5,2
N00000026,466,32,16,27,46,32,24,11,30,41,52,40,37,15,13,23,15,5,6,1
N00000027,540,56,32,39,44,32,40,37,39,36,50,31,24,26,18,15,14,5,2,0
N00000028,236,5,20,19,26,16,9,4,12,25,27,24,14,14,11,6,1,3,0,0
N00000029,403,19,25,27,37,29,20,14,29,33,32,28,25,26,23,17,8,9,1,1
N00000030,375,21,25,22,24,27,18,18,15,22,45,25,20,21,30,14,17,1,6,4
N00000031,707,57,45,68,57,55,36,42,52,39,55,43,43,43,29,16,13,9,3,2
N00000032,386,25,27,36,23,24,27,12,24,34,32,32,13,15,23,16,5,12,4,2
N00000033,498,41,41,25,34,30,29,33,36,33,34,27,37,29,31,16,7,7,5,3
N00000034,474,39,34,26,20,32,19,26,38,40,30,20,28,25,26,20,16,11,16,8
N00000035,291,22,17,12,17,23,29,25,13,26,21,16,19,15,6,13,8,3,1,5
N00000036,345,26,17,18,23,30,22,20,21,28,29,36,28,8,12,8,10,5,1,3
N00000037,285,18,15,13,15,14,21,16,14,21,25,18,16,22,20,13,17,5,0,2
N00000038,406,27,28,38,34,30,13,14,14,32,30,39,26,19,18,21,10,9,3,1
N00000039,1262,119,115,111,102,81,77,104,102,106,71,74,49,32,36,15,32,22,8,6
N00000040,265,18,20,15,22,14,22,19,19,24,18,14,13,13,19,7,5,2,1,0
N00000041,462,36,38,50,45,30,23,35,28,53,39,31,22,7,11,7,5,2,0,0
N00000042,410,24,36,31,38,41,24,14,23,31,43,36,26,14,12,9,2,5,1,0
N00000043,1245,123,131,134,98,67,58,84,106,125,92,64,42,34,22,11,25,17,9,3
N00000044,312,20,26,40,28,21,18,16,20,22,19,10,18,16,11,6,9,7,2,3
N00000045,515,39,48,38,28,22,27,29,60,42,49,26,27,22,26,16,6,5,3,2
N00000046,394,22,21,34,24,26,20,13,29,26,34,24,33,25,18,14,13,8,9,1
N00000047,374,17,18,21,17,15,10,18,24,21,43,28,24,36,30,23,16,7,4,2
N00000048,304,22,18,20,22,24,28,17,25,23,21,7,20,14,16,11,7,3,6,0
N00000049,254,19,14,10,11,19,29,20,15,20,15,16,18,18,15,7,5,2,1,0
N00000050,299,11,15,17,17,14,12,13,19,27,25,25,22,22,22,16,7,8,4,3
N00000051,313,23,24,30,15,26,20,24,19,21,21,15,26,13,12,12,6,3,3,0
N00000052,309,22,16,22,22,17,30,22,11,21,16,18,30,17,18,13,7,3,4,0
N00000053,261,20,13,14,23,23,26,16,22,16,18,13,15,12,12,6,6,2,2,2
N00000054,266,30,15,21,19,16,32,11,19,22,16,17,17,12,12,5,2,0,0,0
N00000055,266,12,11,11,19,19,10,17,18,15,21,19,18,13,25,13,12,7,6,0
N00000056,283,19,13,9,16,15,20,20,22,19,18,18,16,20,18,20,12,5,3,0
N00000057,279,33,19,26,24,12,23,22,27,19,12,17,14,13,10,3,5,0,0,0
N00000058,266,29,18,18,17,22,31,10,26,13,24,10,14,15,2,10,4,0,3,0
N00000059,226,15,18,15,12,15,23,20,11,21,15,10,8,21,7,7,1,5,1,1
N00000060,394,35,30,21,18,30,34,29,35,25,20,24,19,23,16,13,13,7,0,2
N00000061,273,13,13,8,12,7,12,19,10,14,21,17,15,27,28,29,12,8,7,1
N00000062,351,13,12,22,27,27,13,15,17,26,19,22,23,41,28,19,12,10,4,1
N00000063,431,24,21,23,26,26,33,22,29,29,27,26,18,23,12,12,16,17,25,22
N00000064,279,14,19,24,16,23,20,23,12,25,24,15,11,23,11,7,7,4,1,0
