GeographyCode,QS606NI0001,QS606NI0002,QS606NI0003,QS606NI0004,QS606NI0005,QS606NI0006,QS606NI0007,QS606NI0008,QS606NI0009,QS606NI0010,QS606NI0011,QS606NI0012,QS606NI0013,QS606NI0014,QS606NI0015,QS606NI0016,QS606NI0017,QS606NI0018,QS606NI0019,QS606NI0020,QS606NI0021,QS606NI0022,QS606NI0023,QS606NI0024,QS606NI0025,QS606NI0026,QS606NI0027,QS606NI0028,QS606NI0029,QS606NI0030,QS606NI0031,QS606NI0032,QS606NI0033,QS606NI0034,QS606NI0035,QS606NI0036,QS606NI0037,QS606NI0038,QS606NI0039,QS606NI0040,QS606NI0041,QS606NI0042,QS606NI0043,QS606NI0044,QS606NI0045,QS606NI0046,QS606NI0047,QS606NI0048,QS606NI0049,QS606NI0050,QS606NI0051
N00000001,754,57,30,27,15,12,0,0,274,61,53,3,5,0,61,152,197,133,60,2,2,18,5,5,0,13,12,1,48,31,17,16,1,73,29,29,0,6,0,7,2,43,14,1,8,18,2,18,9,9,26
N00000002,249,35,6,29,17,8,4,0,69,44,41,2,1,0,15,10,27,17,7,3,0,18,7,7,0,11,11,0,21,10,11,9,2,21,11,5,1,1,1,2,0,27,4,1,9,13,0,14,9,5,17
N00000003,166,16,2,14,8,4,1,1,48,31,27,2,2,0,11,6,22,18,2,1,1,23,7,7,0,16,14,2,4,3,1,1,0,15,4,7,1,2,0,1,0,17,3,1,3,10,0,8,6,2,13
N00000004,449,27,5,22,11,7,2,2,90,64,48,11,5,0,12,14,48,39,9,0,0,88,16,11,5,72,48,24,27,15,12,11,1,58,21,17,3,4,2,9,2,45,7,5,11,22,0,15,8,7,51
N00000005,275,30,8,22,14,4,4,0,69,46,40,4,2,0,16,7,30,21,8,0,1,55,19,19,0,36,25,11,16,8,8,6,2,30,8,13,2,4,1,2,0,22,1,3,8,10,0,3,3,0,20
N00000006,174,21,4,17,14,2,1,0,32,21,20,0,0,1,6,5,27,18,6,0,3,28,9,5,4,19,15,4,12,4,8,8,0,27,13,7,2,2,0,3,0,6,2,0,3,1,0,8,6,2,13
N00000007,176,17,5,12,9,2,1,0,38,22,18,1,3,0,8,8,29,19,4,5,1,22,12,9,3,10,7,3,14,9,5,4,1,22,5,8,0,7,0,2,0,15,1,3,5,6,0,6,2,4,13
N00000008,229,25,6,19,9,2,8,0,54,40,32,3,5,0,10,4,33,22,3,4,4,28,8,6,2,20,14,6,16,6,10,9,1,22,6,7,0,6,0,2,1,29,2,4,9,13,1,8,5,3,14
N00000009,533,70,12,58,33,15,10,0,157,92,74,9,6,3,50,15,76,60,13,1,2,57,17,15,2,40,27,13,26,14,12,11,1,65,21,21,3,11,0,6,3,29,1,2,13,13,0,17,9,8,36
N00000010,172,12,2,10,6,3,1,0,26,15,14,0,1,0,2,9,23,14,7,2,0,32,14,11,3,18,17,1,12,4,8,8,0,21,10,9,0,0,1,1,0,21,3,0,12,6,0,8,5,3,17
