GeographyCode,QS404NI0001,QS404NI0002,QS404NI0003,QS404NI0004,QS404NI0005,QS404NI0006,QS404NI0007
N00000001,3,2,0,0,0,1,0
N00000002,37,32,0,1,0,2,2
N00000003,20,17,0,0,0,1,2
N00000004,34,28,0,2,0,0,4
N00000005,20,20,0,0,0,0,0
N00000006,23,23,0,0,0,0,0
N00000007,24,21,0,0,0,1,2
N00000008,22,17,1,0,0,4,0
N00000009,40,36,0,0,0,3,1
N00000010,29,26,0,0,0,2,1
N00000011,58,40,0,8,0,5,5
N00000012,41,33,0,5,0,1,2
N00000013,49,35,0,5,0,4,5
N00000014,38,25,0,7,1,2,3
N00000015,49,25,0,20,1,2,1
N00000016,38,20,0,10,0,4,4
N00000017,30,16,0,12,0,1,1
N00000018,22,21,0,0,0,1,0
N00000019,31,18,0,6,4,3,0
N00000020,26,13,0,8,1,2,2
N00000021,32,24,0,5,0,2,1
N00000022,42,28,0,12,0,0,2
N00000023,48,25,0,21,0,0,2
N00000024,36,33,1,0,0,1,1
N00000025,36,31,0,0,0,1,4
N00000026,35,33,0,0,0,1,1
N00000027,34,29,1,0,0,2,2
N00000028,13,13,0,0,0,0,0
N00000029,37,33,0,0,0,3,1
N00000030,38,36,0,0,0,2,0
N00000031,39,33,1,1,0,2,2
N00000032,42,35,0,0,0,4,3
N00000033,41,36,0,0,0,1,4
N00000034,41,36,0,1,0,2,2
N00000035,24,17,0,4,0,2,1
N00000036,29,19,0,7,0,1,2
N00000037,43,39,0,3,0,0,1
N00000038,38,30,0,0,4,3,1
N00000039,91,44,3,10,28,0,6
N00000040,29,8,0,14,0,1,6
N00000041,14,12,0,1,0,0,1
N00000042,19,18,0,0,0,0,1
N00000043,45,29,1,6,4,3,2
N00000044,25,19,1,1,1,2,1
N00000045,35,33,0,0,0,2,0
N00000046,36,32,0,2,0,0,2
N00000047,44,38,0,2,0,3,1
N00000048,30,21,0,3,0,4,2
N00000049,22,12,0,7,0,1,2
N00000050,42,32,0,1,1,3,5
N00000051,28,16,0,10,0,0,2
N00000052,28,17,0,4,0,1,6
N00000053,14,10,0,1,0,2,1
N00000054,13,9,0,3,0,1,0
N00000055,40,33,1,3,0,2,1
N00000056,39,33,0,5,0,0,1
N00000057,14,4,0,9,0,1,0
N00000058,14,9,0,4,0,0,1
N00000059,19,7,0,10,0,0,2
N00000060,38,16,0,17,0,1,4
N00000061,56,49,0,4,0,1,2
N00000062,42,40,0,1,0,0,1
N00000063,24,11,0,12,0,1,0
N00000064,25,3,0,20,0,0,2
N00000065,41,37,1,0,0,2,1
N00000066,42,38,0,0,0,1,3
N00000067,26,16,0,7,0,3,0
N00000068,34,30,0,0,0,3,1
N00000069,25,8,0,14,3,0,0
N00000070,49,49,0,0,0,0,0
N00000071,52,38,0,2,0,5,7
N00000072,72,50,0,12,0,7,3
N00000073,70,30,0,7,17,13,3
N00000074,27,23,0,0,2,0,2
N00000075,33,28,2,0,0,1,2
N00000076,28,25,0,0,0,2,1
N00000077,24,23,0,0,0,0,1
N00000078,19,19,0,0,0,0,0
N00000079,38,34,0,0,0,2,2
N00000080,26,20,0,0,0,2,4
N00000081,46,19,0,13,3,5,6
N00000082,43,41,0,0,0,1,1
N00000083,36,33,0,0,0,0,3
N00000084,41,38,0,0,0,1,2
N00000085,46,29,0,7,2,7,1
N00000086,25,15,1,0,0,3,6
N00000087,57,45,1,0,0,6,5
N00000088,72,22,0,14,30,3,3
N00000089,25,19,0,0,0,4,2
N00000090,23,21,0,1,0,0,1
N00000091,28,25,0,0,0,2,1
N00000092,48,44,0,0,0,1,3
N00000093,51,47,0,1,0,2,1
N00000094,46,43,0,0,0,2,1
N00000095,35,30,0,0,0,2,3
N00000096,39,37,0,0,1,1,0
N00000097,24,22,0,1,0,1,0
N00000098,46,41,2,0,0,2,1
N00000099,29,13,0,15,0,1,0
N00000100,35,16,0,15,0,0,4
N00000101,8,3,0,3,0,0,2
N00000102,22,16,0,4,0,2,0
N00000103,21,15,0,4,0,1,1
N00000104,7,2,0,2,0,1,2
N00000105,42,29,0,8,0,0,5
N00000106,19,8,0,9,0,1,1
N00000107,23,15,0,6,0,1,1
N00000108,43,34,0,4,0,0,5
N00000109,44,30,0,10,0,1,3
N00000110,28,19,0,6,0,1,2
N00000111,37,34,1,0,0,0,2
N00000112,16,11,0,2,0,1,2
N00000113,15,10,0,0,1,1,3
N00000114,30,25,1,3,0,1,0
N00000115,28,20,0,6,0,0,2
N00000116,21,16,0,3,0,1,1
N00000117,14,6,0,3,3,2,0
N00000118,42,37,0,0,0,1,4
N00000119,53,52,0,0,0,1,0
N00000120,52,45,0,0,0,2,5
N00000121,41,36,0,1,0,2,2
N00000122,51,48,0,0,0,1,2
N00000123,54,51,0,0,0,3,0
N00000124,51,44,0,0,0,2,5
N00000125,34,27,0,2,0,1,4
N00000126,37,35,0,0,0,1,1
N00000127,34,24,0,5,0,4,1
N00000128,62,58,0,0,0,2,2
N00000129,26,9,0,9,1,3,4
N00000130,12,10,0,0,0,1,1
N00000131,24,24,0,0,0,0,0
N00000132,44,41,0,0,0,1,2
N00000133,51,36,0,10,0,0,5
N00000134,38,29,0,3,0,3,3
N00000135,38,24,0,10,0,1,3
N00000136,29,28,0,0,0,0,1
N00000137,30,27,0,0,0,0,3
N00000138,14,14,0,0,0,0,0
N00000139,43,32,0,7,0,2,2
N00000140,56,49,0,0,0,2,5
N00000141,95,28,0,24,25,9,9
N00000142,36,25,0,6,0,4,1
N00000143,43,18,0,22,0,1,2
N00000144,27,12,0,11,0,1,3
N00000145,46,5,0,1,36,2,2
N00000146,37,33,0,0,0,2,2
N00000147,27,20,0,3,0,1,3
N00000148,56,39,0,9,0,6,2
N00000149,70,41,0,6,15,4,4
N00000150,57,57,0,0,0,0,0
N00000151,45,30,0,8,0,5,2
N00000152,44,16,0,23,0,2,3
N00000153,47,33,0,9,0,2,3
N00000154,34,28,0,4,0,1,1
N00000155,35,25,1,5,0,2,2
N00000156,52,51,0,1,0,0,0
N00000157,45,39,0,2,0,1,3
N00000158,89,79,0,1,0,6,3
N00000159,50,21,0,23,0,4,2
N00000160,42,29,0,8,0,1,4
N00000161,35,32,0,0,0,2,1
N00000162,33,25,0,1,0,4,3
N00000163,48,14,0,10,17,1,6
N00000164,56,54,0,0,0,0,2
N00000165,49,42,0,3,0,2,2
N00000166,46,46,0,0,0,0,0
N00000167,56,51,0,0,0,2,3
N00000168,57,53,1,0,0,2,1
N00000169,97,78,0,4,0,8,7
N00000170,31,29,0,1,1,0,0
N00000171,33,28,0,2,1,0,2
N00000172,96,87,0,3,0,5,1
N00000173,51,47,0,3,0,1,0
N00000174,34,14,0,17,0,0,3
N00000175,29,23,0,2,0,2,2
N00000176,55,39,0,13,0,3,0
N00000177,50,31,1,0,9,9,0
N00000178,138,49,0,20,42,15,12
N00000179,159,46,0,42,45,17,9
N00000180,39,24,0,14,0,0,1
N00000181,47,18,0,22,0,7,0
N00000182,45,33,0,4,0,2,6
N00000183,21,14,0,1,1,4,1
N00000184,58,25,0,0,24,7,2
N00000185,66,16,0,1,40,5,4
N00000186,36,22,0,10,1,1,2
N00000187,39,1,0,19,9,2,8
N00000188,37,26,0,6,1,0,4
N00000189,32,30,0,0,0,0,2
N00000190,37,36,0,0,0,1,0
N00000191,42,41,0,0,0,1,0
N00000192,25,21,0,4,0,0,0
N00000193,26,3,0,19,0,2,2
N00000194,42,19,0,16,0,2,5
N00000195,61,29,0,21,0,2,9
N00000196,48,9,0,29,0,1,9
N00000197,15,14,0,0,0,0,1
N00000198,25,24,0,0,0,1,0
N00000199,23,21,0,0,0,1,1
N00000200,17,17,0,0,0,0,0
N00000201,56,44,0,0,9,2,1
N00000202,43,42,0,0,0,0,1
N00000203,55,49,0,1,0,3,2
N00000204,37,31,0,0,0,5,1
N00000205,30,24,0,0,0,4,2
N00000206,50,30,0,4,0,13,3
N00000207,21,16,0,1,0,4,0
N00000208,35,34,0,0,0,1,0
N00000209,19,18,0,0,0,1,0
N00000210,78,45,0,4,16,9,4
N00000211,126,66,1,28,22,5,4
N00000212,23,11,0,1,3,5,3
N00000213,48,32,0,7,0,3,6
N00000214,46,41,1,1,0,1,2
N00000215,50,46,0,1,0,3,0
N00000216,42,34,0,8,0,0,0
N00000217,61,59,0,0,0,2,0
N00000218,63,58,0,0,0,5,0
N00000219,28,9,1,12,0,2,4
N00000220,16,8,0,6,1,1,0
N00000221,26,7,0,17,1,0,1
N00000222,52,48,0,0,1,2,1
N00000223,49,26,0,8,10,2,3
N00000224,40,34,0,0,0,6,0
N00000225,62,55,0,1,1,1,4
N00000226,52,50,0,0,0,1,1
N00000227,48,29,0,13,0,2,4
N00000228,59,56,0,2,0,0,1
N00000229,45,25,0,8,6,3,3
N00000230,28,20,0,7,0,0,1
N00000231,23,9,0,12,0,0,2
N00000232,37,30,0,4,1,2,0
N00000233,41,24,0,10,0,2,5
N00000234,38,21,1,10,1,3,2
N00000235,46,43,0,2,0,1,0
N00000236,19,12,0,4,0,0,3
N00000237,39,38,0,0,0,1,0
N00000238,47,44,0,0,0,1,2
N00000239,25,3,0,17,3,1,1
N00000240,8,4,0,3,0,0,1
N00000241,23,20,0,2,0,0,1
N00000242,24,21,0,0,0,1,2
N00000243,38,31,0,4,1,0,2
N00000244,31,19,0,9,0,0,3
N00000245,37,35,0,2,0,0,0
N00000246,35,20,0,9,0,0,6
N00000247,43,42,0,0,0,1,0
N00000248,35,34,0,0,0,1,0
N00000249,14,14,0,0,0,0,0
N00000250,32,30,0,0,0,0,2
N00000251,13,13,0,0,0,0,0
N00000252,36,33,0,0,0,0,3
N00000253,51,47,0,1,0,0,3
N00000254,33,32,0,0,0,0,1
N00000255,43,43,0,0,0,0,0
N00000256,101,94,0,0,0,6,1
N00000257,43,38,0,3,0,1,1
N00000258,47,43,0,0,0,2,2
N00000259,36,25,0,3,0,6,2
N00000260,58,49,0,3,0,2,4
N00000261,42,38,0,1,0,1,2
N00000262,51,32,0,9,0,5,5
N00000263,30,23,0,1,0,5,1
N00000264,32,22,0,6,0,2,2
N00000265,48,30,0,10,0,5,3
N00000266,27,20,0,3,0,3,1
N00000267,45,37,0,0,0,7,1
N00000268,40,33,0,0,0,6,1
N00000269,43,37,0,1,0,5,0
N00000270,48,46,0,0,0,2,0
N00000271,40,38,0,0,0,2,0
N00000272,44,39,1,4,0,0,0
N00000273,45,42,0,1,0,1,1
N00000274,50,47,0,0,0,2,1
N00000275,36,33,0,0,0,3,0
N00000276,24,18,4,0,1,1,0
N00000277,10,9,0,0,0,1,0
N00000278,22,20,1,1,0,0,0
N00000279,7,6,0,0,0,0,1
N00000280,13,4,0,7,0,0,2
N00000281,37,33,0,4,0,0,0
N00000282,42,40,0,0,0,2,0
N00000283,40,38,0,0,0,2,0
N00000284,31,16,0,8,0,4,3
N00000285,11,2,0,8,0,0,1
