GeographyCode,QS203NI0001,QS203NI0002,QS203NI0003,QS203NI0004,QS203NI0005,QS203NI0006,QS203NI0007,QS203NI0008,QS203NI0009,QS203NI0010,QS203NI0011,QS203NI0012,QS203NI0013
N00000001,310,285,1,0,0,1,0,2,5,8,3,2,3
N00000002,141,140,0,0,0,0,0,0,0,0,0,0,1
N00000003,78,78,0,0,0,0,0,0,0,0,0,0,0
N00000004,195,194,0,0,0,0,0,0,0,0,1,0,0
N00000005,124,124,0,0,0,0,0,0,0,0,0,0,0
N00000006,86,84,0,0,0,0,0,0,0,1,0,1,0
N00000007,89,88,0,0,0,0,0,1,0,0,0,0,0
N00000008,138,137,1,0,0,0,0,0,0,0,0,0,0
N00000009,275,270,0,0,1,2,0,0,0,0,1,1,0
N00000010,86,86,0,0,0,0,0,0,0,0,0,0,0
N00000011,136,135,0,0,1,0,0,0,0,0,0,0,0
N00000012,121,121,0,0,0,0,0,0,0,0,0,0,0
N00000013,136,136,0,0,0,0,0,0,0,0,0,0,0
N00000014,205,202,1,0,1,0,0,0,0,0,0,0,1
N00000015,119,118,0,0,0,0,0,0,0,0,0,1,0
N00000016,122,120,0,1,0,1,0,0,0,0,0,0,0
N00000017,144,140,0,0,0,0,0,0,0,1,0,2,1
N00000018,94,93,0,0,0,0,0,1,0,0,0,0,0
N00000019,116,114,0,0,0,1,0,1,0,0,0,0,0
N00000020,122,121,0,0,0,0,0,0,0,0,0,1,0
N00000021,128,126,0,0,0,0,0,0,1,0,0,1,0
N00000022,126,126,0,0,0,0,0,0,0,0,0,0,0
N00000023,115,115,0,0,0,0,0,0,0,0,0,0,0
N00000024,174,173,0,0,0,1,0,0,0,0,0,0,0
N00000025,159,159,0,0,0,0,0,0,0,0,0,0,0
N00000026,151,150,0,0,0,0,0,0,0,0,0,1,0
N00000027,178,176,0,0,0,0,0,1,0,0,0,1,0
N00000028,85,84,0,0,0,0,0,0,0,0,0,1,0
N00000029,136,134,1,0,0,1,0,0,0,0,0,0,0
N00000030,131,130,0,0,0,0,0,0,0,1,0,0,0
N00000031,201,201,0,0,0,0,0,0,0,0,0,0,0
N00000032,133,133,0,0,0,0,0,0,0,0,0,0,0
N00000033,166,165,0,0,0,0,0,0,0,1,0,0,0
N00000034,158,156,0,0,0,0,0,0,0,0,1,1,0
N00000035,128,127,0,0,1,0,0,0,0,0,0,0,0
N00000036,134,131,0,0,0,0,0,1,1,1,0,0,0
N00000037,124,124,0,0,0,0,0,0,0,0,0,0,0
N00000038,138,136,0,0,0,0,0,1,0,0,0,1,0
N00000039,448,441,0,0,2,0,0,1,0,1,0,2,1
N00000040,114,114,0,0,0,0,0,0,0,0,0,0,0
N00000041,144,144,0,0,0,0,0,0,0,0,0,0,0
N00000042,126,126,0,0,0,0,0,0,0,0,0,0,0
N00000043,368,361,0,1,0,1,0,0,0,2,0,3,0
N00000044,108,108,0,0,0,0,0,0,0,0,0,0,0
N00000045,170,170,0,0,0,0,0,0,0,0,0,0,0
N00000046,129,129,0,0,0,0,0,0,0,0,0,0,0
N00000047,138,137,0,0,0,0,0,0,0,0,0,0,1
N00000048,125,124,0,0,1,0,0,0,0,0,0,0,0
N00000049,123,123,0,0,0,0,0,0,0,0,0,0,0
N00000050,135,135,0,0,0,0,0,0,0,0,0,0,0
N00000051,124,122,0,0,1,0,0,1,0,0,0,0,0
N00000052,120,118,1,0,0,0,0,0,0,0,0,1,0
N00000053,108,106,1,0,0,0,1,0,0,0,0,0,0
N00000054,111,110,1,0,0,0,0,0,0,0,0,0,0
N00000055,117,116,0,0,1,0,0,0,0,0,0,0,0
N00000056,119,119,0,0,0,0,0,0,0,0,0,0,0
N00000057,118,116,1,0,0,0,0,0,0,0,1,0,0
N00000058,121,115,1,0,3,0,0,0,0,0,0,2,0
N00000059,110,107,2,0,0,0,0,0,0,0,0,1,0
N00000060,180,176,0,0,3,1,0,0,0,0,0,0,0
N00000061,129,123,2,0,4,0,0,0,0,0,0,0,0
N00000062,130,128,1,0,0,1,0,0,0,0,0,0,0
N00000063,155,146,5,0,2,0,0,1,0,0,0,1,0
N00000064,133,130,2,0,0,0,0,0,0,1,0,0,0
N00000065,146,143,1,0,2,0,0,0,0,0,0,0,0
N00000066,110,107,1,0,1,0,0,0,0,1,0,0,0
N00000067,134,134,0,0,0,0,0,0,0,0,0,0,0
N00000068,124,121,3,0,0,0,0,0,0,0,0,0,0
N00000069,145,144,1,0,0,0,0,0,0,0,0,0,0
N00000070,104,104,0,0,0,0,0,0,0,0,0,0,0
N00000071,136,134,1,0,0,0,0,0,0,1,0,0,0
N00000072,634,620,1,2,6,1,0,1,0,1,1,1,0
N00000073,249,244,0,0,3,1,0,0,0,1,0,0,0
N00000074,386,367,3,0,7,0,0,9,0,0,0,0,0
N00000075,111,111,0,0,0,0,0,0,0,0,0,0,0
N00000076,114,112,1,0,0,1,0,0,0,0,0,0,0
N00000077,98,97,0,0,0,0,0,0,0,0,0,0,1
N00000078,161,149,2,1,5,0,0,3,0,0,0,1,0
N00000079,192,192,0,0,0,0,0,0,0,0,0,0,0
N00000080,146,146,0,0,0,0,0,0,0,0,0,0,0
N00000081,140,139,1,0,0,0,0,0,0,0,0,0,0
N00000082,132,132,0,0,0,0,0,0,0,0,0,0,0
N00000083,208,208,0,0,0,0,0,0,0,0,0,0,0
N00000084,153,152,0,0,0,0,0,0,0,0,0,1,0
N00000085,180,178,1,0,0,0,0,1,0,0,0,0,0
N00000086,142,142,0,0,0,0,0,0,0,0,0,0,0
N00000087,303,301,1,1,0,0,0,0,0,0,0,0,0
N00000088,136,135,0,0,1,0,0,0,0,0,0,0,0
N00000089,164,163,0,0,0,0,0,0,0,0,0,1,0
N00000090,138,138,0,0,0,0,0,0,0,0,0,0,0
N00000091,176,175,1,0,0,0,0,0,0,0,0,0,0
N00000092,168,168,0,0,0,0,0,0,0,0,0,0,0
N00000093,140,139,0,0,0,0,0,0,0,1,0,0,0
N00000094,161,160,0,0,1,0,0,0,0,0,0,0,0
N00000095,152,151,0,0,1,0,0,0,0,0,0,0,0
N00000096,158,158,0,0,0,0,0,0,0,0,0,0,0
N00000097,296,289,1,0,3,0,0,0,1,1,0,1,0
N00000098,446,407,2,0,25,0,0,10,0,1,0,1,0
N00000099,107,105,0,0,1,0,0,1,0,0,0,0,0
N00000100,164,159,1,0,2,0,0,1,1,0,0,0,0
N00000101,122,116,0,0,4,0,0,1,0,0,0,1,0
N00000102,125,118,0,0,5,0,0,1,0,1,0,0,0
N00000103,205,199,0,0,3,0,0,0,0,0,0,2,1
N00000104,130,121,0,0,4,1,0,2,0,1,0,1,0
N00000105,148,144,1,0,0,0,0,1,1,1,0,0,0
N00000106,103,99,1,0,1,0,0,1,0,0,0,1,0
N00000107,120,119,0,0,0,0,0,0,0,0,0,0,1
N00000108,110,109,0,0,0,0,0,1,0,0,0,0,0
N00000109,229,225,1,0,0,1,0,0,0,2,0,0,0
N00000110,122,120,1,0,1,0,0,0,0,0,0,0,0
N00000111,136,133,1,0,2,0,0,0,0,0,0,0,0
N00000112,143,141,0,0,2,0,0,0,0,0,0,0,0
N00000113,122,119,1,0,2,0,0,0,0,0,0,0,0
N00000114,121,120,0,0,1,0,0,0,0,0,0,0,0
N00000115,128,125,0,0,1,0,0,0,0,1,0,1,0
N00000116,119,118,0,0,1,0,0,0,0,0,0,0,0
N00000117,86,86,0,0,0,0,0,0,0,0,0,0,0
N00000118,143,135,1,0,7,0,0,0,0,0,0,0,0
N00000119,125,124,0,0,0,0,0,1,0,0,0,0,0
N00000120,127,127,0,0,0,0,0,0,0,0,0,0,0
N00000121,124,121,0,0,0,0,0,0,0,0,0,2,1
N00000122,199,194,0,0,1,3,0,1,0,0,0,0,0
N00000123,143,143,0,0,0,0,0,0,0,0,0,0,0
N00000124,143,142,0,0,0,0,0,1,0,0,0,0,0
N00000125,148,148,0,0,0,0,0,0,0,0,0,0,0
N00000126,134,134,0,0,0,0,0,0,0,0,0,0,0
N00000127,130,130,0,0,0,0,0,0,0,0,0,0,0
N00000128,282,278,0,0,3,0,0,0,0,0,0,0,1
N00000129,138,135,0,0,3,0,0,0,0,0,0,0,0
N00000130,152,148,2,0,0,0,0,0,0,1,0,0,1
N00000131,136,135,0,0,0,0,0,0,0,0,1,0,0
N00000132,121,119,0,0,1,0,1,0,0,0,0,0,0
N00000133,139,138,0,0,0,0,0,0,0,0,1,0,0
N00000134,177,177,0,0,0,0,0,0,0,0,0,0,0
N00000135,119,119,0,0,0,0,0,0,0,0,0,0,0
N00000136,188,186,2,0,0,0,0,0,0,0,0,0,0
N00000137,120,120,0,0,0,0,0,0,0,0,0,0,0
N00000138,155,155,0,0,0,0,0,0,0,0,0,0,0
N00000139,133,132,0,0,0,0,1,0,0,0,0,0,0
N00000140,158,158,0,0,0,0,0,0,0,0,0,0,0
N00000141,220,218,0,1,0,0,1,0,0,0,0,0,0
N00000142,96,96,0,0,0,0,0,0,0,0,0,0,0
N00000143,123,122,0,0,0,0,0,0,0,1,0,0,0
N00000144,110,109,1,0,0,0,0,0,0,0,0,0,0
N00000145,75,75,0,0,0,0,0,0,0,0,0,0,0
N00000146,105,105,0,0,0,0,0,0,0,0,0,0,0
N00000147,106,105,0,0,0,0,1,0,0,0,0,0,0
N00000148,279,276,0,0,1,0,0,0,0,1,0,1,0
N00000149,187,186,0,0,0,0,0,1,0,0,0,0,0
N00000150,149,148,0,0,0,0,1,0,0,0,0,0,0
N00000151,131,131,0,0,0,0,0,0,0,0,0,0,0
N00000152,131,130,0,0,0,0,0,0,0,0,0,1,0
N00000153,111,111,0,0,0,0,0,0,0,0,0,0,0
N00000154,108,108,0,0,0,0,0,0,0,0,0,0,0
N00000155,128,126,0,0,1,0,0,0,0,0,0,1,0
N00000156,127,126,0,0,0,0,0,0,0,0,0,0,1
N00000157,139,138,1,0,0,0,0,0,0,0,0,0,0
N00000158,286,284,0,0,0,0,0,0,0,1,0,0,1
N00000159,116,115,0,0,0,0,1,0,0,0,0,0,0
N00000160,124,124,0,0,0,0,0,0,0,0,0,0,0
N00000161,128,126,1,0,0,0,1,0,0,0,0,0,0
N00000162,115,113,0,0,0,0,1,0,0,0,0,1,0
N00000163,155,155,0,0,0,0,0,0,0,0,0,0,0
N00000164,118,118,0,0,0,0,0,0,0,0,0,0,0
N00000165,135,134,1,0,0,0,0,0,0,0,0,0,0
N00000166,122,122,0,0,0,0,0,0,0,0,0,0,0
N00000167,149,147,0,0,0,0,0,0,0,0,1,1,0
N00000168,145,145,0,0,0,0,0,0,0,0,0,0,0
N00000169,279,278,0,0,0,0,0,0,0,1,0,0,0
N00000170,139,139,0,0,0,0,0,0,0,0,0,0,0
