GeographyCode,QS403NI0001,QS403NI0002,QS403NI0003,QS403NI0004,QS403NI0005,QS403NI0006,QS403NI0007,QS403NI0008,QS403NI0009,QS403NI0010,QS403NI0011,QS403NI0012,QS403NI0013,QS403NI0014
N00000001,982,93,14,79,0,26,8,18,857,66,601,3,187,6
N00000002,351,292,83,209,0,11,11,0,35,29,4,2,0,13
N00000003,233,218,92,126,0,0,0,0,10,2,0,2,6,5
N00000004,616,548,189,359,0,11,4,7,49,38,5,6,0,8
N00000005,374,349,96,253,0,0,0,0,23,20,0,3,0,2
N00000006,240,216,82,134,0,0,0,0,24,16,3,3,2,0
N00000007,245,184,101,83,0,3,0,3,43,23,16,4,0,15
N00000008,288,218,75,142,1,3,3,0,62,58,0,1,3,5
N00000009,727,622,210,412,0,2,2,0,92,88,0,2,2,11
N00000010,234,208,128,80,0,0,0,0,21,11,0,9,1,5
N00000011,293,223,90,128,5,30,30,0,33,32,0,1,0,7
N00000012,264,209,98,110,1,26,26,0,27,26,0,1,0,2
N00000013,268,178,93,84,1,14,14,0,67,65,0,2,0,9
N00000014,460,303,91,212,0,47,40,7,102,94,0,7,1,8
N00000015,226,125,59,65,1,67,66,1,30,25,0,4,1,4
N00000016,223,118,50,68,0,47,47,0,52,48,0,4,0,6
N00000017,340,222,55,165,2,86,85,1,28,23,0,5,0,4
N00000018,229,182,44,138,0,3,3,0,44,39,4,1,0,0
N00000019,261,172,84,88,0,50,41,9,38,31,7,0,0,1
N00000020,236,82,32,49,1,125,124,1,25,24,0,1,0,4
N00000021,269,181,65,106,10,33,33,0,52,50,0,2,0,3
N00000022,269,170,60,106,4,49,49,0,47,42,0,5,0,3
N00000023,218,123,56,67,0,73,73,0,18,16,0,2,0,4
N00000024,533,498,169,328,1,1,1,0,22,20,0,2,0,12
N00000025,460,441,218,223,0,4,4,0,9,7,0,2,0,6
N00000026,460,430,222,208,0,5,5,0,12,12,0,0,0,13
N00000027,535,475,184,285,6,0,0,0,57,53,0,4,0,3
N00000028,236,221,53,167,1,0,0,0,15,15,0,0,0,0
N00000029,403,379,209,170,0,3,3,0,12,6,0,6,0,9
N00000030,375,347,178,169,0,0,0,0,21,13,0,8,0,7
N00000031,699,639,286,347,6,11,11,0,42,31,8,3,0,7
N00000032,386,354,159,192,3,0,0,0,25,22,0,3,0,7
N00000033,495,448,186,262,0,3,3,0,34,26,0,3,5,10
N00000034,438,376,131,245,0,10,10,0,44,37,0,7,0,8
N00000035,291,159,62,97,0,71,71,0,54,44,0,10,0,7
N00000036,345,253,88,165,0,37,37,0,52,40,0,3,9,3
N00000037,285,264,83,177,4,8,8,0,11,11,0,0,0,2
N00000038,406,340,110,230,0,7,0,7,55,39,4,12,0,4
N00000039,1262,1009,178,817,14,106,67,39,136,104,8,22,2,11
N00000040,265,165,29,134,2,50,50,0,36,28,0,8,0,14
N00000041,462,414,48,358,8,5,5,0,38,36,0,2,0,5
N00000042,410,390,73,317,0,5,5,0,14,12,0,2,0,1
N00000043,1202,1016,120,891,5,87,55,32,95,63,5,10,17,4
N00000044,312,227,39,181,7,61,2,59,22,14,0,6,2,2
N00000045,515,462,191,271,0,7,7,0,38,30,6,2,0,8
N00000046,394,357,197,160,0,12,12,0,19,15,0,0,4,6
N00000047,353,303,166,137,0,10,10,0,37,32,0,5,0,3
N00000048,304,175,66,107,2,56,56,0,71,62,0,6,3,2
N00000049,254,144,63,81,0,51,51,0,56,42,4,10,0,3
N00000050,299,239,119,120,0,10,9,1,35,33,0,2,0,15
N00000051,313,142,32,104,6,150,150,0,14,14,0,0,0,7
N00000052,309,173,62,105,6,92,89,3,32,30,0,2,0,12
N00000053,252,149,42,104,3,29,29,0,69,66,0,3,0,5
N00000054,266,153,37,110,6,62,62,0,47,46,0,1,0,4
N00000055,266,215,81,129,5,15,15,0,35,35,0,0,0,1
N00000056,270,189,85,103,1,41,41,0,39,37,0,2,0,1
N00000057,279,105,36,69,0,133,133,0,39,39,0,0,0,2
N00000058,266,132,40,92,0,76,76,0,49,45,0,4,0,9
N00000059,226,97,35,62,0,87,85,2,37,37,0,0,0,5
N00000060,394,178,45,129,4,138,136,2,65,64,0,1,0,13
N00000061,273,231,121,110,0,17,17,0,15,15,0,0,0,10
N00000062,351,307,162,145,0,14,14,0,26,26,0,0,0,4
N00000063,354,198,64,134,0,92,92,0,63,59,0,4,0,1
N00000064,279,87,23,62,2,140,140,0,33,33,0,0,0,19
N00000065,389,361,142,210,9,9,9,0,16,12,0,4,0,3
N00000066,264,234,111,123,0,10,10,0,13,11,0,2,0,7
N00000067,316,160,52,108,0,115,115,0,38,37,0,1,0,3
N00000068,371,340,152,188,0,3,3,0,26,22,0,3,1,2
N00000069,334,122,35,87,0,179,169,10,30,29,0,1,0,3
N00000070,243,215,133,82,0,0,0,0,23,16,0,7,0,5
N00000071,258,165,98,66,1,20,20,0,58,46,7,5,0,15
N00000072,1753,1410,251,1151,8,71,70,1,249,241,0,8,0,23
N00000073,444,236,80,155,1,58,30,28,137,128,0,2,7,13
N00000074,1047,895,149,733,13,11,2,9,135,130,0,3,2,6
N00000075,277,217,89,126,2,15,0,15,42,38,0,4,0,3
N00000076,344,299,76,223,0,0,0,0,43,43,0,0,0,2
N00000077,275,254,73,181,0,0,0,0,18,16,0,2,0,3
N00000078,488,447,73,374,0,6,6,0,35,35,0,0,0,0
N00000079,564,516,195,321,0,4,0,4,31,27,0,4,0,13
N00000080,424,388,145,243,0,8,4,4,19,17,0,2,0,9
N00000081,339,240,67,172,1,56,32,24,25,23,0,2,0,18
N00000082,342,303,185,118,0,0,0,0,25,22,0,3,0,14
N00000083,650,618,279,339,0,0,0,0,23,18,0,5,0,9
N00000084,456,427,219,208,0,3,1,2,21,21,0,0,0,5
N00000085,399,210,83,127,0,78,22,56,110,101,0,6,3,1
N00000086,395,265,102,159,4,7,1,6,111,99,0,7,5,12
N00000087,913,797,286,509,2,1,1,0,86,65,0,21,0,29
N00000088,216,86,44,41,1,87,47,40,39,37,0,0,2,4
N00000089,478,417,80,334,3,8,8,0,47,41,0,6,0,6
N00000090,391,333,85,248,0,3,3,0,52,46,0,6,0,3
N00000091,476,345,107,238,0,0,0,0,129,125,0,2,2,2
N00000092,504,455,218,237,0,3,3,0,33,25,0,3,5,13
N00000093,400,355,196,159,0,4,4,0,34,23,0,6,5,7
N00000094,492,463,252,211,0,0,0,0,23,21,0,2,0,6
N00000095,468,433,208,225,0,0,0,0,25,24,0,1,0,10
N00000096,438,404,222,178,4,1,0,1,18,18,0,0,0,15
N00000097,850,674,104,552,18,11,11,0,162,153,0,9,0,3
N00000098,1181,916,165,729,22,5,5,0,257,247,0,10,0,3
N00000099,258,147,30,117,0,81,81,0,28,20,5,2,1,2
N00000100,341,195,49,144,2,68,68,0,66,58,0,8,0,12
N00000101,282,65,18,47,0,153,151,2,52,48,1,3,0,12
N00000102,318,219,73,146,0,69,69,0,29,24,5,0,0,1
N00000103,550,283,41,236,6,133,133,0,126,122,0,4,0,8
N00000104,322,174,17,152,5,70,70,0,74,72,0,2,0,4
N00000105,327,196,61,135,0,54,47,7,66,57,3,6,0,11
N00000106,198,71,18,53,0,96,95,1,23,23,0,0,0,8
N00000107,269,140,29,99,12,84,84,0,43,37,2,0,4,2
N00000108,243,191,86,105,0,19,19,0,27,25,0,2,0,6
N00000109,512,287,75,199,13,81,81,0,137,131,0,6,0,7
N00000110,258,143,58,85,0,44,44,0,69,69,0,0,0,2
N00000111,356,318,98,211,9,6,6,0,29,27,0,0,2,3
N00000112,402,309,64,238,7,51,51,0,38,37,0,1,0,4
N00000113,309,233,53,179,1,29,28,1,39,39,0,0,0,8
N00000114,318,282,77,196,9,7,7,0,29,23,0,6,0,0
N00000115,302,184,71,105,8,84,84,0,29,25,2,2,0,5
N00000116,287,186,33,152,1,66,66,0,30,30,0,0,0,5
N00000117,168,55,8,47,0,83,66,17,28,26,0,1,1,2
N00000118,311,233,151,81,1,3,0,3,68,63,1,2,2,7
N00000119,289,276,161,112,3,0,0,0,13,13,0,0,0,0
N00000120,323,291,191,100,0,4,4,0,18,14,2,2,0,10
N00000121,293,221,106,115,0,17,17,0,52,45,2,5,0,3
N00000122,481,404,166,238,0,5,5,0,65,57,0,8,0,7
N00000123,351,335,180,155,0,0,0,0,16,14,0,2,0,0
N00000124,325,284,145,139,0,2,2,0,30,26,0,4,0,9
N00000125,464,397,220,177,0,17,13,4,45,41,0,4,0,5
N00000126,481,431,224,207,0,8,8,0,36,28,0,8,0,6
N00000127,405,315,146,169,0,33,33,0,53,43,0,8,2,4
N00000128,949,800,381,418,1,33,28,5,102,78,12,9,3,14
N00000129,346,98,36,62,0,183,159,24,48,34,0,12,2,17
N00000130,498,462,75,387,0,2,2,0,28,28,0,0,0,6
N00000131,388,362,184,178,0,9,9,0,13,6,0,1,6,4
N00000132,366,350,191,159,0,0,0,0,12,12,0,0,0,4
N00000133,322,256,117,136,3,35,32,3,26,26,0,0,0,5
N00000134,437,386,130,254,2,15,15,0,32,31,0,1,0,4
N00000135,312,222,70,152,0,74,74,0,6,6,0,0,0,10
N00000136,507,474,167,307,0,3,3,0,25,21,0,4,0,5
N00000137,315,298,96,200,2,5,5,0,7,4,0,3,0,5
N00000138,464,454,103,351,0,0,0,0,5,5,0,0,0,5
N00000139,288,217,95,122,0,43,43,0,16,15,0,1,0,12
