GeographyCode,QS611NI0001,QS611NI0002,QS611NI0003,QS611NI0004,QS611NI0005
N00000001,307,41,206,41,19
N00000002,104,31,24,25,24
N00000003,58,26,12,13,7
N00000004,161,22,47,58,34
N00000005,104,29,31,33,11
N00000006,63,11,20,19,13
N00000007,65,13,19,16,17
N00000008,116,21,43,34,18
N00000009,235,68,84,48,35
N00000010,57,12,13,18,14
N00000011,78,1,25,19,33
N00000012,80,1,23,21,35
N00000013,87,10,22,26,29
N00000014,167,19,46,46,56
N00000015,70,3,19,13,35
N00000016,84,6,27,24,27
N00000017,114,6,20,35,53
N00000018,72,9,23,22,18
N00000019,85,8,15,20,42
N00000020,96,4,21,19,52
N00000021,96,9,18,26,43
N00000022,84,3,17,28,36
N00000023,67,5,16,18,28
N00000024,138,31,42,42,23
N00000025,123,24,39,35,25
N00000026,116,23,43,30,20
N00000027,144,26,47,49,22
N00000028,72,11,22,25,14
N00000029,99,28,29,32,10
N00000030,93,17,25,37,14
N00000031,162,48,33,56,25
N00000032,91,13,32,32,14
N00000033,125,31,29,43,22
N00000034,117,27,31,38,21
N00000035,104,8,20,34,42
N00000036,105,20,29,26,30
N00000037,81,10,32,13,26
N00000038,100,14,31,28,27
N00000039,357,44,135,81,97
N00000040,85,2,23,19,41
N00000041,130,27,50,30,23
N00000042,107,16,34,31,26
N00000043,323,63,110,70,80
N00000044,83,5,24,15,39
N00000045,135,30,35,45,25
N00000046,93,13,26,40,14
N00000047,94,19,30,29,16
N00000048,95,6,17,30,42
N00000049,101,6,29,19,47
N00000050,93,20,24,28,21
N00000051,96,3,23,14,56
N00000052,92,6,24,23,39
N00000053,94,4,23,21,46
N00000054,98,7,28,26,37
N00000055,77,3,23,14,37
N00000056,80,2,17,29,32
N00000057,104,4,13,22,65
N00000058,107,1,32,21,53
N00000059,91,4,12,21,54
N00000060,142,6,32,24,80
N00000061,73,17,21,14,21
N00000062,88,31,30,13,14
N00000063,131,16,28,24,63
N00000064,108,1,19,19,69
N00000065,105,17,33,30,25
N00000066,68,10,27,14,17
N00000067,108,1,22,23,62
N00000068,90,23,33,15,19
N00000069,120,2,18,20,80
N00000070,55,9,24,13,9
N00000071,84,5,32,23,24
N00000072,562,99,191,123,149
N00000073,179,20,49,33,77
N00000074,359,80,130,87,62
N00000075,78,14,28,10,26
N00000076,86,12,34,19,21
N00000077,74,11,23,22,18
N00000078,142,35,44,33,30
N00000079,154,45,51,45,13
N00000080,120,40,48,20,12
N00000081,94,35,25,16,18
N00000082,89,27,31,22,9
N00000083,172,44,67,44,17
N00000084,112,31,37,32,12
N00000085,134,17,28,36,53
N00000086,117,16,36,30,35
N00000087,246,79,61,59,47
N00000088,64,6,17,20,21
N00000089,139,33,44,32,30
N00000090,115,23,39,27,26
N00000091,148,31,41,32,44
N00000092,120,30,39,35,16
N00000093,89,16,28,32,13
N00000094,115,33,40,29,13
N00000095,117,20,40,37,20
N00000096,119,26,42,33,18
N00000097,272,43,88,82,59
N00000098,400,88,151,72,89
N00000099,78,5,24,19,30
N00000100,129,9,39,24,57
N00000101,114,5,31,21,57
N00000102,103,11,33,24,35
N00000103,184,12,48,39,85
N00000104,123,13,27,36,47
N00000105,106,3,25,28,50
N00000106,84,2,19,19,44
N00000107,97,3,20,19,55
N00000108,67,10,19,17,21
N00000109,185,23,39,52,71
N00000110,94,7,22,22,43
N00000111,99,23,34,26,16
N00000112,127,15,29,37,46
N00000113,107,13,25,22,47
N00000114,91,10,36,18,27
N00000115,100,6,29,21,44
N00000116,98,7,29,18,44
N00000117,72,2,10,17,43
N00000118,101,39,34,13,15
N00000119,72,28,23,14,7
N00000120,75,27,23,13,12
N00000121,83,13,32,26,12
N00000122,148,58,53,23,14
N00000123,89,41,33,10,5
N00000124,92,35,31,16,10
N00000125,114,21,22,47,24
N00000126,97,16,21,37,23
N00000127,96,8,20,38,30
N00000128,220,28,49,101,42
N00000129,112,2,10,36,64
N00000130,140,28,54,39,19
N00000131,112,34,39,23,16
N00000132,77,10,21,39,7
N00000133,88,12,27,33,16
N00000134,139,29,62,32,16
N00000135,81,4,19,26,32
N00000136,159,38,55,41,25
N00000137,90,13,32,32,13
N00000138,141,33,59,38,11
N00000139,90,13,29,19,29
N00000140,102,14,28,22,38
N00000141,125,3,27,29,66
N00000142,60,4,15,19,22
N00000143,80,5,17,17,41
N00000144,83,4,22,22,35
N00000145,29,0,4,8,17
N00000146,68,21,18,12,17
