GeographyCode,QS410NI0001,QS410NI0002,QS410NI0003
N00000001,368,310,58
N00000002,147,141,6
N00000003,79,78,1
N00000004,202,195,7
N00000005,135,124,11
N00000006,89,86,3
N00000007,98,89,9
N00000008,153,138,15
N00000009,292,275,17
N00000010,90,86,4
N00000011,145,136,9
N00000012,125,121,4
N00000013,154,136,18
N00000014,251,205,46
N00000015,126,119,7
N00000016,128,122,6
N00000017,150,144,6
N00000018,97,94,3
N00000019,119,116,3
N00000020,127,122,5
N00000021,138,128,10
N00000022,129,126,3
N00000023,120,115,5
N00000024,178,174,4
N00000025,165,159,6
N00000026,161,151,10
N00000027,190,178,12
N00000028,88,85,3
N00000029,141,136,5
N00000030,138,131,7
N00000031,215,201,14
N00000032,137,133,4
N00000033,181,166,15
N00000034,164,158,6
N00000035,128,128,0
N00000036,135,134,1
N00000037,126,124,2
N00000038,142,138,4
N00000039,473,448,25
N00000040,116,114,2
N00000041,144,144,0
N00000042,128,126,2
N00000043,380,368,12
N00000044,120,108,12
N00000045,176,170,6
N00000046,135,129,6
N00000047,140,138,2
N00000048,132,125,7
N00000049,129,123,6
N00000050,142,135,7
N00000051,129,124,5
N00000052,123,120,3
N00000053,122,108,14
N00000054,117,111,6
N00000055,122,117,5
N00000056,121,119,2
N00000057,124,118,6
N00000058,124,121,3
N00000059,116,110,6
N00000060,185,180,5
N00000061,130,129,1
N00000062,138,130,8
N00000063,158,155,3
N00000064,136,133,3
N00000065,147,146,1
N00000066,116,110,6
N00000067,140,134,6
N00000068,126,124,2
N00000069,147,145,2
N00000070,105,104,1
N00000071,148,136,12
N00000072,643,634,9
N00000073,263,249,14
N00000074,392,386,6
N00000075,114,111,3
N00000076,116,114,2
N00000077,100,98,2
N00000078,163,161,2
N00000079,200,192,8
N00000080,146,146,0
N00000081,144,140,4
N00000082,146,132,14
N00000083,216,208,8
N00000084,162,153,9
N00000085,213,180,33
N00000086,150,142,8
N00000087,318,303,15
N00000088,138,136,2
N00000089,168,164,4
N00000090,141,138,3
N00000091,184,176,8
N00000092,180,168,12
N00000093,146,140,6
N00000094,167,161,6
N00000095,159,152,7
N00000096,168,158,10
N00000097,300,296,4
N00000098,472,446,26
N00000099,110,107,3
N00000100,168,164,4
N00000101,123,122,1
N00000102,126,125,1
N00000103,210,205,5
N00000104,132,130,2
N00000105,152,148,4
N00000106,109,103,6
N00000107,127,120,7
N00000108,116,110,6
N00000109,234,229,5
N00000110,127,122,5
N00000111,138,136,2
N00000112,148,143,5
N00000113,124,122,2
N00000114,124,121,3
N00000115,132,128,4
N00000116,126,119,7
