GeographyCode,QS220NI0001,QS220NI0002,QS220NI0003,QS220NI0004,QS220NI0005
N00000001,310,54,161,8,87
N00000002,141,83,51,2,5
N00000003,78,33,44,0,1
N00000004,195,87,103,0,5
N00000005,124,52,66,0,6
N00000006,86,47,35,2,2
N00000007,89,17,67,0,5
N00000008,138,35,88,2,13
N00000009,275,58,197,4,16
N00000010,86,10,71,0,5
N00000011,136,42,91,1,2
N00000012,121,34,81,1,5
N00000013,136,40,94,0,2
N00000014,205,76,116,2,11
N00000015,119,36,79,0,4
N00000016,122,31,85,0,6
N00000017,144,11,120,2,11
N00000018,94,13,77,1,3
N00000019,116,6,101,3,6
N00000020,122,9,104,0,9
N00000021,128,25,93,0,10
N00000022,126,17,101,1,7
N00000023,115,6,103,1,5
N00000024,174,20,149,0,5
N00000025,159,24,128,0,7
N00000026,151,35,110,0,6
N00000027,178,98,71,3,6
N00000028,85,58,26,0,1
N00000029,136,13,112,3,8
N00000030,131,26,101,2,2
N00000031,201,174,26,0,1
N00000032,133,70,61,0,2
N00000033,166,86,75,1,4
N00000034,158,56,92,3,7
N00000035,128,71,53,1,3
N00000036,134,75,50,0,9
N00000037,124,96,26,1,1
N00000038,138,100,33,0,5
N00000039,448,340,94,2,12
N00000040,114,76,36,0,2
N00000041,144,128,16,0,0
N00000042,126,90,33,0,3
N00000043,368,282,78,0,8
N00000044,108,69,35,0,4
N00000045,170,18,147,3,2
N00000046,129,4,119,0,6
N00000047,138,18,117,1,2
N00000048,125,20,100,1,4
N00000049,123,34,85,0,4
N00000050,135,27,105,1,2
N00000051,124,100,19,2,3
N00000052,120,74,40,0,6
N00000053,108,58,37,1,12
N00000054,111,19,75,2,15
N00000055,117,22,89,0,6
N00000056,119,32,76,0,11
N00000057,118,26,79,0,13
N00000058,121,19,94,1,7
N00000059,110,23,73,1,13
N00000060,180,47,121,1,11
N00000061,129,29,90,3,7
N00000062,130,23,99,1,7
N00000063,155,33,101,2,19
N00000064,133,66,53,1,13
N00000065,146,44,96,2,4
N00000066,110,43,62,3,2
N00000067,134,69,54,0,11
N00000068,124,35,81,2,6
N00000069,145,78,60,1,6
N00000070,104,40,60,0,4
N00000071,136,58,69,0,9
N00000072,634,213,359,9,53
N00000073,249,90,134,4,21
N00000074,386,159,204,3,20
N00000075,111,53,52,1,5
N00000076,114,49,61,2,2
N00000077,98,50,47,0,1
N00000078,161,65,76,4,16
N00000079,192,18,168,1,5
N00000080,146,8,128,2,8
N00000081,140,7,131,1,1
N00000082,132,11,120,1,0
N00000083,208,12,183,2,11
N00000084,153,6,143,1,3
N00000085,180,110,62,0,8
N00000086,142,117,21,0,4
N00000087,303,199,93,2,9
N00000088,136,23,109,0,4
N00000089,164,130,27,1,6
N00000090,138,107,27,2,2
N00000091,176,122,48,0,6
N00000092,168,19,141,2,6
N00000093,140,57,81,0,2
N00000094,161,67,92,1,1
N00000095,152,88,60,0,4
N00000096,158,23,129,2,4
N00000097,296,118,155,2,21
N00000098,446,160,246,14,26
N00000099,107,57,45,0,5
N00000100,164,96,53,3,12
N00000101,122,59,46,2,15
N00000102,125,47,68,4,6
N00000103,205,88,103,3,11
N00000104,130,69,47,4,10
N00000105,148,29,114,0,5
N00000106,103,12,79,2,10
N00000107,120,20,89,1,10
N00000108,110,24,83,0,3
N00000109,229,49,164,2,14
N00000110,122,24,81,1,16
N00000111,136,52,71,5,8
N00000112,143,45,88,2,8
N00000113,122,45,69,1,7
N00000114,121,57,58,1,5
N00000115,128,55,61,2,10
N00000116,119,41,63,1,14
N00000117,86,24,56,0,6
N00000118,143,18,112,7,6
N00000119,125,7,112,1,5
N00000120,127,17,108,0,2
N00000121,124,12,102,3,7
N00000122,199,30,150,7,12
N00000123,143,17,125,0,1
N00000124,143,23,112,0,8
N00000125,148,120,24,0,4
N00000126,134,126,8,0,0
N00000127,130,102,25,2,1
N00000128,282,259,22,0,1
N00000129,138,129,7,0,2
N00000130,152,8,136,1,7
N00000131,136,8,119,3,6
N00000132,121,35,79,2,5
N00000133,139,38,98,1,2
N00000134,177,13,151,4,9
N00000135,119,18,94,1,6
N00000136,188,16,164,1,7
N00000137,120,6,103,0,11
N00000138,155,6,140,2,7
N00000139,133,10,113,2,8
N00000140,158,19,129,0,10
N00000141,220,16,194,4,6
N00000142,96,7,82,0,7
N00000143,123,12,102,3,6
N00000144,110,8,87,0,15
N00000145,75,5,65,1,4
N00000146,105,9,93,0,3
N00000147,106,9,86,2,9
N00000148,279,9,247,2,21
N00000149,187,3,176,1,7
N00000150,149,3,140,2,4
N00000151,131,6,118,1,6
N00000152,131,4,119,2,6
N00000153,111,6,96,1,8
N00000154,108,11,93,0,4
N00000155,128,14,99,2,13
N00000156,127,7,116,0,4
N00000157,139,22,106,5,6
N00000158,286,17,237,6,26
N00000159,116,7,101,1,7
N00000160,124,12,104,2,6
N00000161,128,8,113,1,6
N00000162,115,8,96,5,6
N00000163,155,20,114,2,19
N00000164,118,3,109,0,6
N00000165,135,10,122,0,3
N00000166,122,9,108,0,5
N00000167,149,8,137,0,4
N00000168,145,8,130,0,7
N00000169,279,13,254,3,9
N00000170,139,2,128,3,6
N00000171,146,10,126,2,8
N00000172,307,16,268,5,18
N00000173,144,1,138,0,5
N00000174,163,6,144,2,11
N00000175,140,3,128,1,8
N00000176,205,20,170,3,12
N00000177,167,28,126,4,9
N00000178,355,50,275,8,22
N00000179,492,52,388,11,41
N00000180,131,9,112,2,8
N00000181,168,16,133,4,15
N00000182,105,1,99,1,4
