GeographyCode,QS113NI0001,QS113NI0002,QS113NI0003,QS113NI0004,QS113NI0005,QS113NI0006,QS113NI0007,QS113NI0008,QS113NI0009,QS113NI0010,QS113NI0011,QS113NI0012
N00000001,310,21,2,19,289,3,90,1,141,32,13,9
N00000002,141,42,15,27,99,7,19,23,17,8,8,17
N00000003,78,12,4,8,66,1,15,12,7,8,11,12
N00000004,195,28,12,16,167,4,28,23,33,13,28,38
N00000005,124,17,5,12,107,1,28,14,24,11,10,19
N00000006,86,21,11,10,65,0,10,8,18,6,8,15
N00000007,89,17,10,7,72,2,18,9,15,3,9,16
N00000008,138,54,11,43,84,7,31,11,15,1,6,13
N00000009,275,64,12,52,211,17,46,22,58,12,12,44
N00000010,86,20,12,8,66,2,12,14,12,5,4,17
N00000011,136,58,35,23,78,2,20,19,8,2,14,13
N00000012,121,43,17,26,78,7,18,20,10,2,4,17
N00000013,136,67,32,35,69,6,15,14,13,1,2,18
N00000014,205,60,18,42,145,15,45,16,29,3,6,31
N00000015,119,56,31,25,63,4,18,16,8,1,5,11
N00000016,122,62,22,40,60,10,15,13,6,2,1,13
N00000017,144,53,19,34,91,14,21,9,19,5,13,10
N00000018,94,23,8,15,71,4,21,12,17,3,2,12
N00000019,116,39,13,26,77,12,12,17,10,2,3,21
N00000020,122,53,16,37,69,25,18,9,10,3,0,4
N00000021,128,54,16,38,74,9,20,12,14,2,6,11
N00000022,126,53,26,27,73,10,15,14,7,2,10,15
N00000023,115,48,25,23,67,8,17,21,11,2,3,5
N00000024,174,22,10,12,152,3,29,20,32,13,21,34
N00000025,159,29,11,18,130,2,33,17,22,5,21,30
N00000026,151,23,12,11,128,1,22,14,20,7,17,47
N00000027,178,37,12,25,141,6,25,18,30,13,23,26
N00000028,85,19,6,13,66,1,16,6,10,3,11,19
N00000029,136,19,12,7,117,3,22,20,18,8,13,33
N00000030,131,22,10,12,109,3,22,25,11,9,12,27
N00000031,201,25,12,13,176,6,23,18,29,19,38,43
N00000032,133,30,19,11,103,2,13,21,26,10,11,20
N00000033,166,27,14,13,139,2,21,22,25,15,11,43
N00000034,158,29,15,14,129,11,20,23,22,11,10,32
N00000035,128,48,12,36,80,13,14,9,11,4,5,24
N00000036,134,33,16,17,101,10,25,9,18,3,9,27
N00000037,124,44,21,23,80,5,15,18,13,3,8,18
N00000038,138,24,13,11,114,7,19,22,16,12,15,23
N00000039,448,119,56,63,329,37,49,31,83,27,48,54
N00000040,114,43,20,23,71,11,12,5,15,2,7,19
N00000041,144,20,5,15,124,11,21,7,32,13,21,19
N00000042,126,18,7,11,108,6,20,9,15,10,17,31
N00000043,368,59,25,34,309,30,48,19,75,39,57,41
N00000044,108,29,12,17,79,12,13,9,9,6,14,16
N00000045,170,21,11,10,149,5,28,18,35,14,19,30
N00000046,129,21,12,9,108,3,20,18,11,11,12,33
N00000047,138,27,10,17,111,4,25,26,15,4,12,25
N00000048,125,35,11,24,90,12,19,16,19,2,5,17
N00000049,123,52,10,42,71,9,17,10,16,1,2,16
N00000050,135,45,19,26,90,3,22,22,16,1,12,14
N00000051,124,35,11,24,89,20,14,11,18,2,4,20
N00000052,120,36,9,27,84,9,11,16,10,4,13,21
N00000053,108,36,7,29,72,11,20,4,15,2,9,11
N00000054,111,30,6,24,81,19,18,7,18,0,6,13
N00000055,117,42,19,23,75,2,16,17,5,4,10,21
N00000056,119,36,15,21,83,7,17,18,10,4,6,21
N00000057,118,43,9,34,75,18,15,5,11,6,8,12
N00000058,121,46,8,38,75,20,17,3,15,5,3,12
N00000059,110,42,11,31,68,13,25,6,12,1,5,6
N00000060,180,65,17,48,115,23,25,16,21,3,6,21
N00000061,129,45,22,23,84,1,17,30,9,3,7,17
N00000062,130,19,6,13,111,2,15,33,14,2,11,34
N00000063,155,47,14,33,108,19,31,10,19,2,8,19
N00000064,133,60,16,44,73,11,19,8,13,3,6,13
N00000065,146,19,9,10,127,0,33,31,20,6,9,28
N00000066,110,19,10,9,91,5,18,27,10,2,4,25
