ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"QS604NI0001","Count","PERSONS","All usual residents in employment: Aged 16-74 years"
"QS604NI0002","Count","PERSONS","A Agriculture, forestry and fishing: Aged 16-74 years"
"QS604NI0003","Count","PERSONS","B Mining and quarrying: Aged 16-74 years"
"QS604NI0004","Count","PERSONS","C Manufacturing: Aged 16-74 years"
"QS604NI0005","Count","PERSONS","C10-12 Manufacturing: Food, beverages and tobacco: Aged 16-74 years"
"QS604NI0006","Count","PERSONS","C13-15 Manufacturing: Textiles, wearing apparel and leather and related products: Aged 16-74 years"
"QS604NI0007","Count","PERSONS","C16,17 Manufacturing: Wood, paper and paper products: Aged 16-74 years"
"QS604NI0008","Count","PERSONS","C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic: Aged 16-74 years"
"QS604NI0009","Count","PERSONS","C23-25 Manufacturing: Low tech: Aged 16-74 years"
"QS604NI0010","Count","PERSONS","C26-30 Manufacturing: High tech: Aged 16-74 years"
"QS604NI0011","Count","PERSONS","C18, 31, 32 Manufacturing: Other: Aged 16-74 years"
"QS604NI0012","Count","PERSONS","D Electricity, gas, steam and air conditioning supply: Aged 16-74 years"
"QS604NI0013","Count","PERSONS","E Water supply, sewerage, waste management and remediation activities: Aged 16-74 years"
"QS604NI0014","Count","PERSONS","F Construction: Aged 16-74 years"
"QS604NI0015","Count","PERSONS","G Wholesale and retail trade; repair of motor vehicles and motor cycles: Aged 16-74 years"
"QS604NI0016","Count","PERSONS","H Transport and storage: Aged 16-74 years"
"QS604NI0017","Count","PERSONS","I Accommodation and food service activities: Aged 16-74 years"
"QS604NI0018","Count","PERSONS","J Information and communication: Aged 16-74 years"
"QS604NI0019","Count","PERSONS","K Financial and insurance activities: Aged 16-74 years"
"QS604NI0020","Count","PERSONS","L Real estate activities: Aged 16-74 years"
"QS604NI0021","Count","PERSONS","M Professional, scientific and technical activities: Aged 16-74 years"
"QS604NI0022","Count","PERSONS","N Administrative and support service activities: Aged 16-74 years"
"QS604NI0023","Count","PERSONS","O Public administration and defence; compulsory social security: Aged 16-74 years"
"QS604NI0024","Count","PERSONS","P Education: Aged 16-74 years"
"QS604NI0025","Count","PERSONS","Q Human health and social work activities: Aged 16-74 years"
"QS604NI0026","Count","PERSONS","R,S Arts, entertainment and recreation; other service activities: Aged 16-74 years"
"QS604NI0027","Count","PERSONS","T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use: Aged 16-74 years"
"QS604NI0028","Count","PERSONS","U Activities of extraterritorial organisations and bodies: Aged 16-74 years"
