GeographyCode,QS207NI0001,QS207NI0002,QS207NI0003,QS207NI0004,QS207NI0005,QS207NI0006,QS207NI0007,QS207NI0008,QS207NI0009,QS207NI0010,QS207NI0011,QS207NI0012,QS207NI0013,QS207NI0014,QS207NI0015,QS207NI0016,QS207NI0017,QS207NI0018,QS207NI0019,QS207NI0020,QS207NI0021
N00001545,352,333,294,9,2,283,0,0,14,0,0,25,24,1,3,13,3,0,0,0,0
N00001546,352,348,339,5,0,334,0,0,3,0,0,6,6,0,0,3,1,0,0,0,0
N00001547,316,309,296,7,1,288,0,0,8,0,0,5,5,0,4,1,1,1,0,0,0
N00001548,317,305,286,14,2,270,0,0,6,0,0,13,13,0,0,6,6,0,0,0,0
N00001549,376,370,341,4,1,335,1,0,9,0,0,20,20,0,0,3,3,0,0,0,0
N00001550,213,197,190,7,2,181,0,0,3,0,0,4,4,0,4,10,1,0,0,1,0
N00001551,388,373,345,5,2,338,0,0,14,0,0,14,13,1,2,12,0,0,0,1,0
N00001552,376,369,352,5,1,346,0,0,5,0,0,12,12,0,2,3,0,0,0,2,0
N00001553,264,254,217,13,0,204,0,0,10,0,0,27,24,3,1,6,2,0,0,1,0
N00001554,326,315,287,16,2,269,0,0,13,0,0,15,15,0,4,5,1,0,1,0,0
N00001555,272,270,261,7,1,253,0,0,0,0,0,9,9,0,1,0,1,0,0,0,0
N00001556,211,208,198,5,1,192,0,0,9,0,0,1,1,0,1,2,0,0,0,0,0
N00001557,268,267,262,13,0,249,0,0,2,0,0,3,3,0,0,0,1,0,0,0,0
N00001558,247,239,219,4,5,210,0,0,5,0,0,15,15,0,0,2,5,0,0,1,0
N00001559,328,316,295,13,8,273,1,0,7,0,0,14,13,1,0,3,7,0,0,2,0
N00001560,266,257,244,13,3,228,0,0,6,0,0,7,7,0,0,5,1,0,0,3,0
N00001561,218,213,192,10,1,181,0,0,12,0,0,9,9,0,2,0,2,0,0,1,0
N00001562,215,215,205,5,0,200,0,0,3,0,0,7,7,0,0,0,0,0,0,0,0
N00001563,172,170,166,5,2,159,0,0,3,0,0,1,1,0,1,0,1,0,0,0,0
N00001564,352,348,343,17,1,325,0,0,4,0,0,1,1,0,1,1,2,0,0,0,0
N00001565,351,349,346,3,4,338,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0
N00001566,387,385,379,4,0,375,0,0,4,0,0,2,2,0,1,0,0,0,0,1,0
N00001567,251,249,246,5,1,240,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0
N00001568,297,293,286,11,0,275,0,0,2,0,0,5,5,0,1,0,3,0,0,0,0
N00001569,329,326,306,8,1,297,0,0,7,0,0,13,13,0,0,3,0,0,0,0,0
N00001570,1119,1110,1094,24,2,1068,0,0,11,0,0,5,5,0,1,5,2,0,0,1,0
N00001571,493,492,480,11,1,468,0,0,10,0,0,2,0,2,1,0,0,0,0,0,0
N00001572,355,354,348,4,1,343,0,0,5,0,0,1,1,0,0,0,1,0,0,0,0
N00001573,444,443,434,3,1,430,0,0,7,0,0,2,1,1,1,0,0,0,0,0,0
N00001574,310,309,304,5,0,299,0,0,4,0,0,1,0,1,0,1,0,0,0,0,0
N00001575,317,315,311,6,1,304,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0
N00001576,365,364,361,8,0,353,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
N00001577,364,364,358,5,1,351,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
N00001578,312,311,308,3,1,304,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0
N00001579,317,289,260,17,3,240,0,0,18,0,0,11,11,0,1,13,7,0,0,7,0
