GeographyCode,QS604NI0001,QS604NI0002,QS604NI0003,QS604NI0004,QS604NI0005,QS604NI0006,QS604NI0007,QS604NI0008,QS604NI0009,QS604NI0010,QS604NI0011,QS604NI0012,QS604NI0013,QS604NI0014,QS604NI0015,QS604NI0016,QS604NI0017,QS604NI0018,QS604NI0019,QS604NI0020,QS604NI0021,QS604NI0022,QS604NI0023,QS604NI0024,QS604NI0025,QS604NI0026,QS604NI0027,QS604NI0028
N00000001,591,1,0,26,1,1,1,3,4,10,6,1,0,15,35,16,16,3,7,1,17,66,314,20,39,14,0,0
N00000002,170,1,0,18,2,2,2,3,1,4,4,1,2,10,34,8,4,10,10,1,10,8,5,22,21,5,0,0
N00000003,115,1,0,12,0,0,3,1,2,3,3,0,1,14,10,6,4,3,2,1,4,6,11,18,13,9,0,0
N00000004,310,29,1,39,7,2,1,12,2,6,9,1,3,22,55,19,9,6,8,0,15,11,20,26,36,10,0,0
N00000005,210,9,0,13,2,0,0,3,2,5,1,2,3,26,25,12,16,8,3,2,11,5,10,22,36,7,0,0
N00000006,134,10,0,16,0,0,0,6,1,4,5,1,0,11,22,6,8,0,6,1,3,7,11,20,12,0,0,0
N00000007,130,4,0,17,3,1,0,3,3,2,5,1,1,15,19,10,2,0,3,0,6,3,13,14,17,5,0,0
N00000008,162,5,1,24,2,1,0,7,2,9,3,0,2,11,17,8,8,4,3,1,4,8,17,14,26,9,0,0
N00000009,408,11,3,37,6,1,0,11,3,12,4,1,2,26,65,23,19,18,17,2,21,15,29,39,67,13,0,0
N00000010,113,6,0,12,3,0,0,3,1,2,3,0,3,10,20,8,7,2,4,1,2,5,8,8,12,5,0,0
N00000011,130,1,0,8,0,0,0,1,1,5,1,0,0,7,27,7,11,1,4,0,9,12,13,7,18,5,0,0
N00000012,132,1,0,15,1,0,0,6,1,7,0,0,2,6,27,15,12,0,1,0,0,8,10,8,24,3,0,0
N00000013,116,0,0,10,0,0,0,3,3,4,0,0,1,7,19,11,7,1,1,0,5,3,11,7,28,5,0,0
N00000014,265,1,0,33,4,1,1,4,4,15,4,1,3,13,57,20,20,11,2,1,8,13,22,14,31,15,0,0
N00000015,85,0,0,8,0,2,0,0,1,3,2,0,1,3,18,3,7,3,1,0,0,3,7,8,15,8,0,0
N00000016,98,0,0,10,2,0,1,0,1,3,3,0,0,7,15,6,11,0,2,2,1,6,6,8,16,8,0,0
N00000017,150,0,1,14,1,1,0,4,0,5,3,0,1,9,30,18,10,3,5,1,4,8,6,9,26,4,0,1
