GeographyCode,QS221NI0001,QS221NI0002,QS221NI0003,QS221NI0004,QS221NI0005,QS221NI0006,QS221NI0007,QS221NI0008,QS221NI0009,QS221NI0010,QS221NI0011,QS221NI0012,QS221NI0013,QS221NI0014,QS221NI0015,QS221NI0016,QS221NI0017
N00000001,310,21,3,13,1,4,173,18,91,4,60,116,21,54,21,19,1
N00000002,141,42,24,17,1,0,79,54,25,0,0,20,4,4,11,1,0
N00000003,78,12,3,9,0,0,59,26,33,0,0,7,1,1,4,1,0
N00000004,195,28,7,21,0,0,127,65,62,0,0,40,5,5,23,7,0
N00000005,124,17,7,8,0,2,83,39,42,0,2,24,3,3,12,6,0
N00000006,86,21,9,12,0,0,53,33,18,1,1,12,0,3,6,3,0
N00000007,89,17,0,17,0,0,60,14,45,0,1,12,1,4,4,3,0
N00000008,138,54,12,35,2,5,55,15,36,0,4,29,4,9,12,4,0
N00000009,275,64,16,42,1,5,156,21,126,2,7,55,4,16,29,6,0
N00000010,86,20,1,17,0,2,57,5,51,0,1,9,2,3,2,2,0
N00000011,136,58,20,37,0,1,60,14,46,0,0,18,4,3,10,1,0
N00000012,121,43,13,27,1,2,62,18,43,0,1,16,3,4,6,3,0
N00000013,136,67,15,51,0,1,57,22,34,0,1,12,1,4,6,1,0
N00000014,205,60,26,32,0,2,105,35,65,0,5,40,9,6,24,1,0
N00000015,119,56,16,39,0,1,49,17,32,0,0,14,2,3,8,1,0
N00000016,122,62,17,43,0,2,47,10,34,0,3,13,0,2,10,1,0
N00000017,144,53,1,47,0,5,72,7,61,0,4,19,4,11,3,1,0
N00000018,94,23,0,22,0,1,48,5,43,0,0,23,2,11,7,3,0
N00000019,116,39,0,34,0,5,60,2,57,1,0,17,3,11,3,0,0
N00000020,122,53,3,46,0,4,56,3,50,0,3,13,1,5,7,0,0
N00000021,128,54,6,45,0,3,50,7,41,0,2,24,4,8,9,3,0
N00000022,126,53,7,41,0,5,59,6,52,0,1,14,3,8,1,2,0
N00000023,115,48,4,42,1,1,55,1,51,0,3,12,1,8,2,1,0
N00000024,174,22,5,16,0,1,127,9,117,0,1,25,0,10,8,7,0
N00000025,159,29,5,21,0,3,106,10,93,0,3,24,3,7,11,3,0
N00000026,151,23,5,18,0,0,109,23,84,0,2,19,6,4,7,2,0
N00000027,178,37,19,16,0,2,113,66,46,0,1,28,5,5,13,5,0
N00000028,85,19,8,10,0,1,52,42,10,0,0,14,3,2,7,2,0
N00000029,136,19,0,17,1,1,96,6,84,1,5,21,2,9,8,2,0
N00000030,131,22,5,17,0,0,91,14,73,2,2,18,0,5,13,0,0
N00000031,201,25,20,5,0,0,163,148,15,0,0,13,0,2,10,1,0
N00000032,133,30,16,14,0,0,85,48,37,0,0,18,2,4,7,5,0
N00000033,166,27,13,14,0,0,123,67,53,0,3,16,1,4,10,1,0
N00000034,158,29,8,21,0,0,99,40,55,2,2,30,2,5,16,7,0
N00000035,128,48,31,16,0,1,62,33,28,0,1,18,3,1,11,3,0
N00000036,134,33,17,15,0,1,76,48,25,0,3,25,6,3,12,4,0
N00000037,124,44,30,13,1,0,73,60,13,0,0,7,2,0,3,2,0
N00000038,138,24,16,8,0,0,99,80,18,0,1,15,4,0,8,3,0
N00000039,448,119,80,36,0,3,288,245,40,0,3,41,11,3,27,0,0
N00000040,114,43,24,19,0,0,56,47,7,0,2,15,0,1,14,0,0
N00000041,144,20,14,6,0,0,110,106,4,0,0,14,1,1,12,0,0
N00000042,126,18,10,7,0,1,95,76,19,0,0,13,2,1,7,3,0
N00000043,368,59,34,23,0,2,265,232,32,0,1,44,7,4,31,2,0
N00000044,108,29,16,12,0,1,64,47,15,0,2,15,0,5,9,1,0
N00000045,170,21,1,20,0,0,131,13,114,2,2,18,1,6,9,2,0
N00000046,129,21,0,20,0,1,94,4,87,0,3,14,0,5,6,3,0
N00000047,138,27,4,23,0,0,88,6,81,1,0,23,3,7,12,1,0
N00000048,125,35,4,31,0,0,75,12,61,0,2,15,1,5,5,3,1
N00000049,123,52,17,34,0,1,53,10,42,0,1,18,2,4,9,3,0
N00000050,135,45,9,35,0,1,79,14,65,0,0,11,2,4,5,0,0
N00000051,124,35,30,5,0,0,69,61,6,0,2,20,3,1,11,4,1
N00000052,120,36,22,13,0,1,58,40,17,0,1,26,2,3,15,6,0
N00000053,108,36,18,14,0,4,54,33,15,1,5,18,5,0,11,1,1
N00000054,111,30,6,20,0,4,60,9,44,0,7,21,5,9,5,0,2
N00000055,117,42,6,34,0,2,63,10,51,0,2,12,0,2,9,1,0
N00000056,119,36,9,24,0,3,54,7,44,0,3,29,6,5,17,1,0
