GeographyCode,QS213NI0001,QS213NI0002,QS213NI0003,QS213NI0004,QS213NI0005,QS213NI0006
N00000001,1003,46,6,9,3,47
N00000002,332,16,0,1,0,16
N00000003,236,25,1,5,0,27
N00000004,595,38,7,11,4,38
N00000005,359,21,1,0,0,21
N00000006,242,17,1,1,0,17
N00000007,238,36,9,11,4,37
N00000008,277,34,7,9,3,35
N00000009,688,58,15,12,9,59
N00000010,232,23,4,3,2,24
N00000011,284,15,3,2,1,16
N00000012,259,35,9,12,9,36
N00000013,257,30,8,8,6,30
N00000014,444,45,16,13,8,48
N00000015,222,17,7,7,5,17
N00000016,217,33,12,10,6,36
N00000017,319,34,8,9,4,38
N00000018,215,30,11,11,9,31
N00000019,250,26,5,6,6,28
N00000020,221,25,5,9,6,26
N00000021,261,29,14,13,6,32
N00000022,260,29,9,8,6,29
N00000023,210,22,6,5,4,22
N00000024,520,51,11,7,2,51
N00000025,454,50,9,10,2,53
N00000026,448,38,9,12,7,40
N00000027,508,40,10,9,7,41
N00000028,233,7,0,1,1,7
N00000029,395,49,10,12,4,52
N00000030,364,46,11,18,3,51
N00000031,680,48,13,14,8,48
N00000032,371,36,8,9,3,37
N00000033,478,59,11,16,6,59
N00000034,452,52,10,12,3,58
N00000035,278,11,1,3,0,11
N00000036,327,17,6,3,3,17
N00000037,279,22,5,6,2,22
N00000038,394,13,2,2,1,14
N00000039,1187,41,6,8,5,41
N00000040,254,4,4,4,4,5
N00000041,439,14,0,1,0,14
N00000042,399,3,1,1,1,3
N00000043,1171,43,5,7,2,44
N00000044,298,13,3,4,2,13
N00000045,496,77,25,17,7,83
N00000046,382,73,16,9,2,74
N00000047,362,80,15,13,3,80
N00000048,293,38,7,6,3,38
N00000049,245,28,10,8,4,30
N00000050,292,67,9,15,5,68
N00000051,297,22,3,2,2,22
N00000052,296,22,2,4,0,24
N00000053,248,6,0,1,0,7
N00000054,249,14,4,6,4,14
N00000055,256,28,5,6,4,28
N00000056,270,34,8,8,5,37
N00000057,256,25,2,3,2,25
N00000058,244,15,5,5,5,15
N00000059,212,22,7,6,2,24
N00000060,374,19,6,4,1,20
N00000061,267,36,8,12,2,38
N00000062,340,52,11,18,8,55
N00000063,412,45,11,13,6,48
N00000064,271,17,10,7,5,17
N00000065,379,42,11,7,0,44
N00000066,256,37,14,18,9,38
N00000067,298,18,3,6,2,19
N00000068,361,26,4,5,1,26
N00000069,319,15,8,6,6,16
N00000070,242,20,1,2,0,20
N00000071,274,21,2,2,2,21
N00000072,1663,108,19,19,12,109
N00000073,506,41,13,12,6,47
N00000074,968,70,16,16,8,75
N00000075,401,32,8,10,6,36
N00000076,328,30,9,8,3,30
N00000077,270,20,5,4,4,20
N00000078,457,26,3,4,2,26
N00000079,541,72,18,18,8,74
N00000080,404,60,13,15,9,60
N00000081,328,44,6,11,4,46
N00000082,336,95,16,21,5,98
N00000083,637,141,36,23,12,147
N00000084,444,85,34,29,9,90
N00000085,417,35,14,10,8,36
N00000086,369,10,2,2,1,10
N00000087,874,65,10,18,9,68
N00000088,213,34,8,9,8,35
N00000089,447,24,1,1,0,24
N00000090,377,18,2,3,1,18
N00000091,450,29,7,11,7,30
N00000092,481,127,45,47,22,129
N00000093,407,64,19,18,9,66
N00000094,479,97,32,26,13,103
N00000095,454,38,7,10,1,40
N00000096,454,95,13,13,6,97
N00000097,799,42,9,11,7,43
N00000098,1106,91,20,25,11,92
N00000099,246,7,1,1,1,7
N00000100,323,19,5,2,1,20
N00000101,253,5,1,1,0,6
N00000102,302,25,9,6,4,25
N00000103,583,38,15,16,8,38
N00000104,294,10,3,3,2,11
N00000105,318,29,6,5,5,29
N00000106,190,15,6,5,5,15
N00000107,252,18,9,12,7,21
N00000108,239,54,10,7,6,54
N00000109,473,39,15,13,11,41
N00000110,250,29,6,9,4,29
N00000111,341,32,4,7,3,33
N00000112,389,21,4,4,1,25
N00000113,295,26,9,7,5,27
N00000114,306,17,1,1,1,17
N00000115,283,12,9,5,3,17
N00000116,276,19,6,8,3,24
N00000117,154,7,3,2,2,9
N00000118,330,51,13,18,5,57
N00000119,279,50,10,19,3,57
N00000120,315,49,9,16,2,50
N00000121,280,27,7,17,2,31
N00000122,463,43,8,6,5,43
N00000123,344,52,5,11,3,55
N00000124,358,41,5,4,0,41
N00000125,442,33,14,19,8,35
N00000126,461,21,2,2,2,21
N00000127,379,24,5,5,1,26
N00000128,944,35,8,8,4,38
N00000129,329,12,3,5,3,13
N00000130,475,25,9,3,0,34
N00000131,382,54,11,11,7,56
N00000132,352,40,8,11,2,44
N00000133,312,39,7,9,4,40
N00000134,415,38,4,7,1,39
N00000135,305,24,2,3,0,25
N00000136,488,37,7,9,4,38
N00000137,303,24,3,4,1,25
N00000138,453,36,8,7,3,36
N00000139,297,40,9,8,7,40
N00000140,326,45,7,12,2,47
N00000141,429,54,13,16,9,54
N00000142,196,15,5,5,3,15
N00000143,209,23,8,5,1,23
N00000144,219,35,11,9,5,38
N00000145,123,15,5,3,2,16
N00000146,267,40,4,5,0,40
N00000147,214,34,7,6,3,35
N00000148,639,103,27,22,12,106
N00000149,408,78,23,28,17,85
N00000150,352,60,21,20,11,63
N00000151,277,59,29,27,12,68
N00000152,266,69,22,12,7,73
N00000153,238,71,27,22,7,71
N00000154,251,68,14,14,3,69
N00000155,329,80,28,24,13,81
N00000156,295,59,18,12,6,62
N00000157,356,92,20,23,8,92
N00000158,647,100,14,18,9,102
N00000159,218,21,3,6,1,23
N00000160,305,35,9,10,6,36
N00000161,336,34,10,11,2,34
N00000162,235,38,10,14,3,39
N00000163,302,40,11,10,7,42
N00000164,283,46,11,19,6,48
N00000165,310,41,4,6,2,42
N00000166,264,34,9,9,3,37
N00000167,369,49,7,1,0,50
N00000168,337,43,7,9,4,45
N00000169,689,125,40,40,17,131
N00000170,357,63,25,17,4,67
N00000171,408,96,27,24,10,104
N00000172,749,136,34,43,11,144
N00000173,366,121,34,36,16,121
N00000174,379,58,17,21,8,60
N00000175,353,51,9,15,9,55
N00000176,456,45,11,11,5,46
N00000177,309,43,14,11,4,45
N00000178,648,77,22,22,9,77
N00000179,821,78,21,25,6,81
N00000180,271,42,14,13,6,44
N00000181,273,27,6,10,4,27
N00000182,212,27,6,8,2,27
N00000183,279,28,6,6,2,28
N00000184,361,36,13,10,5,38
N00000185,209,24,2,5,3,27
N00000186,288,30,3,3,3,30
N00000187,243,17,5,1,1,17
N00000188,332,27,4,2,1,28
N00000189,333,29,3,4,1,29
N00000190,301,33,3,3,1,33
N00000191,292,36,6,15,4,37
N00000192,286,16,4,6,4,16
N00000193,275,15,4,6,4,17
N00000194,243,11,3,1,0,13
N00000195,240,14,5,6,4,15
N00000196,231,33,11,9,3,34
N00000197,312,22,7,7,5,22
N00000198,274,25,3,5,3,25
N00000199,341,33,7,5,2,33
N00000200,306,27,10,13,6,31
N00000201,282,42,6,14,3,44
N00000202,297,42,5,7,2,42
N00000203,329,41,5,10,4,42
N00000204,374,36,7,7,4,36
N00000205,292,27,6,4,2,27
N00000206,378,39,7,6,1,39
N00000207,248,28,4,7,3,29
N00000208,306,24,5,8,3,26
N00000209,344,38,10,7,1,43
N00000210,373,51,6,11,4,53
N00000211,514,65,7,11,3,67
N00000212,172,26,7,6,5,27
N00000213,276,40,18,12,7,41
N00000214,316,48,11,19,5,51
N00000215,387,46,8,16,3,48
N00000216,384,74,13,19,2,74
N00000217,468,50,6,6,2,51
N00000218,352,41,9,8,1,41
N00000219,236,21,7,9,6,21
N00000220,265,22,2,4,2,23
N00000221,253,34,9,8,5,36
N00000222,289,51,18,21,5,54
N00000223,313,41,9,12,6,42
N00000224,234,40,7,9,4,40
N00000225,147,21,5,6,2,21
N00000226,258,47,7,10,3,48
N00000227,191,23,6,6,5,23
N00000228,297,39,9,8,4,40
N00000229,385,33,9,13,5,36
N00000230,280,32,13,10,5,32
N00000231,300,29,6,10,5,31
N00000232,296,35,7,5,3,37
N00000233,248,45,7,10,2,45
N00000234,246,25,4,7,3,25
