GeographyCode,QS408NI0001,QS408NI0002,QS408NI0003,QS408NI0004,QS408NI0005
N00000001,310,166,140,4,0
N00000002,141,105,31,5,0
N00000003,78,64,13,1,0
N00000004,195,132,60,1,2
N00000005,124,88,36,0,0
N00000006,86,64,22,0,0
N00000007,89,64,25,0,0
N00000008,138,115,23,0,0
N00000009,275,212,62,1,0
N00000010,86,66,19,1,0
N00000011,136,97,38,1,0
N00000012,121,82,37,1,1
N00000013,136,109,26,1,0
N00000014,205,138,66,0,1
N00000015,119,96,22,1,0
N00000016,122,101,19,2,0
N00000017,144,101,41,2,0
N00000018,94,63,29,1,1
N00000019,116,81,30,5,0
N00000020,122,92,28,1,1
N00000021,128,91,37,0,0
N00000022,126,89,34,3,0
N00000023,115,92,23,0,0
N00000024,174,139,35,0,0
N00000025,159,125,31,2,1
N00000026,151,112,37,2,0
N00000027,178,119,54,5,0
N00000028,85,58,27,0,0
N00000029,136,111,25,0,0
N00000030,131,99,31,1,0
N00000031,201,127,68,4,2
N00000032,133,87,43,1,2
N00000033,166,118,43,4,1
N00000034,158,115,42,0,1
N00000035,128,90,36,2,0
N00000036,134,96,37,1,0
N00000037,124,91,32,1,0
N00000038,138,92,43,2,1
N00000039,448,258,179,9,2
N00000040,114,71,41,1,1
N00000041,144,79,64,1,0
N00000042,126,76,46,4,0
N00000043,368,200,161,6,1
N00000044,108,59,45,3,1
N00000045,170,131,36,3,0
N00000046,129,90,37,2,0
N00000047,138,107,30,1,0
N00000048,125,74,49,1,1
N00000049,123,87,35,1,0
N00000050,135,110,25,0,0
N00000051,124,78,44,2,0
N00000052,120,78,39,3,0
N00000053,108,72,34,1,1
N00000054,111,76,34,1,0
N00000055,117,84,31,2,0
N00000056,119,76,42,1,0
N00000057,118,71,42,4,1
N00000058,121,80,40,1,0
N00000059,110,77,31,2,0
N00000060,180,116,63,1,0
N00000061,129,111,18,0,0
N00000062,130,102,28,0,0
N00000063,155,107,47,1,0
N00000064,133,98,33,2,0
N00000065,146,105,41,0,0
N00000066,110,85,24,1,0
N00000067,134,91,41,2,0
N00000068,124,95,28,1,0
N00000069,145,92,50,3,0
N00000070,104,89,15,0,0
N00000071,136,109,26,1,0
N00000072,634,416,214,3,1
N00000073,249,193,53,3,0
N00000074,386,258,126,1,1
N00000075,111,80,30,1,0
N00000076,114,73,39,1,1
N00000077,98,62,35,1,0
N00000078,161,93,68,0,0
N00000079,192,159,29,3,1
N00000080,146,106,39,1,0
N00000081,140,111,28,1,0
N00000082,132,115,17,0,0
N00000083,208,160,47,0,1
N00000084,153,126,26,1,0
N00000085,180,129,48,1,2
N00000086,142,80,59,3,0
N00000087,303,212,86,3,2
N00000088,136,113,23,0,0
N00000089,164,87,73,3,1
N00000090,138,89,44,5,0
N00000091,176,124,50,2,0
N00000092,168,125,43,0,0
N00000093,140,101,34,5,0
N00000094,161,124,35,2,0
N00000095,152,107,42,1,2
N00000096,158,132,26,0,0
N00000097,296,171,122,2,1
N00000098,446,278,162,6,0
N00000099,107,72,32,2,1
N00000100,164,120,42,2,0
N00000101,122,77,40,4,1
N00000102,125,86,37,2,0
N00000103,205,127,71,6,1
N00000104,130,81,44,3,2
N00000105,148,105,37,5,1
N00000106,103,77,24,2,0
N00000107,120,76,43,1,0
N00000108,110,88,22,0,0
N00000109,229,145,82,2,0
N00000110,122,86,34,2,0
N00000111,136,91,40,4,1
N00000112,143,86,53,4,0
N00000113,122,78,44,0,0
N00000114,121,76,45,0,0
N00000115,128,87,37,4,0
N00000116,119,74,43,2,0
N00000117,86,67,17,1,1
N00000118,143,121,21,0,1
N00000119,125,107,16,2,0
N00000120,127,105,22,0,0
N00000121,124,84,38,2,0
N00000122,199,166,32,1,0
N00000123,143,132,10,1,0
N00000124,143,124,17,2,0
N00000125,148,94,51,2,1
N00000126,134,73,53,7,1
N00000127,130,80,45,5,0
N00000128,282,170,96,14,2
N00000129,138,83,50,3,2
N00000130,152,93,57,1,1
N00000131,136,103,32,1,0
N00000132,121,82,39,0,0
N00000133,139,106,32,1,0
N00000134,177,130,46,1,0
N00000135,119,71,46,2,0
N00000136,188,134,54,0,0
N00000137,120,79,41,0,0
N00000138,155,104,50,1,0
N00000139,133,108,22,2,1
N00000140,158,130,26,2,0
N00000141,220,165,54,1,0
N00000142,96,73,21,2,0
N00000143,123,93,29,1,0
N00000144,110,82,27,1,0
N00000145,75,66,8,1,0
N00000146,105,89,16,0,0
N00000147,106,82,23,1,0
N00000148,279,189,87,1,2
N00000149,187,141,44,2,0
N00000150,149,120,28,0,1
N00000151,131,99,31,1,0
N00000152,131,98,33,0,0
N00000153,111,79,31,1,0
N00000154,108,76,30,2,0
N00000155,128,96,31,1,0
N00000156,127,94,31,2,0
N00000157,139,106,32,1,0
N00000158,286,229,53,3,1
N00000159,116,96,20,0,0
N00000160,124,103,21,0,0
N00000161,128,114,14,0,0
N00000162,115,96,19,0,0
N00000163,155,108,46,1,0
N00000164,118,100,17,0,1
N00000165,135,112,20,2,1
N00000166,122,98,24,0,0
N00000167,149,117,31,0,1
N00000168,145,123,22,0,0
N00000169,279,217,62,0,0
N00000170,139,94,44,1,0
N00000171,146,120,24,1,1
