ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC4406NI0001,Count,HOUSEHOLDS,"All categories: Tenure, All categories: Household size, All categories: Number of rooms"
DC4406NI0002,Count,HOUSEHOLDS,"All categories: Tenure, All categories: Household size, 1 room "
DC4406NI0003,Count,HOUSEHOLDS,"All categories: Tenure, All categories: Household size, 2 rooms "
DC4406NI0004,Count,HOUSEHOLDS,"All categories: Tenure, All categories: Household size, 3 rooms "
DC4406NI0005,Count,HOUSEHOLDS,"All categories: Tenure, All categories: Household size, 4 rooms "
DC4406NI0006,Count,HOUSEHOLDS,"All categories: Tenure, All categories: Household size, 5 rooms "
DC4406NI0007,Count,HOUSEHOLDS,"All categories: Tenure, All categories: Household size, 6 rooms "
DC4406NI0008,Count,HOUSEHOLDS,"All categories: Tenure, All categories: Household size, 7 rooms "
DC4406NI0009,Count,HOUSEHOLDS,"All categories: Tenure, All categories: Household size, 8 or more rooms"
DC4406NI0010,Count,HOUSEHOLDS,"All categories: Tenure, 1 person in household , All categories: Number of rooms"
DC4406NI0011,Count,HOUSEHOLDS,"All categories: Tenure, 1 person in household , 1 room "
DC4406NI0012,Count,HOUSEHOLDS,"All categories: Tenure, 1 person in household , 2 rooms "
DC4406NI0013,Count,HOUSEHOLDS,"All categories: Tenure, 1 person in household , 3 rooms "
DC4406NI0014,Count,HOUSEHOLDS,"All categories: Tenure, 1 person in household , 4 rooms "
DC4406NI0015,Count,HOUSEHOLDS,"All categories: Tenure, 1 person in household , 5 rooms "
DC4406NI0016,Count,HOUSEHOLDS,"All categories: Tenure, 1 person in household , 6 rooms "
DC4406NI0017,Count,HOUSEHOLDS,"All categories: Tenure, 1 person in household , 7 rooms "
DC4406NI0018,Count,HOUSEHOLDS,"All categories: Tenure, 1 person in household , 8 or more rooms"
DC4406NI0019,Count,HOUSEHOLDS,"All categories: Tenure, 2 people in household, All categories: Number of rooms"
DC4406NI0020,Count,HOUSEHOLDS,"All categories: Tenure, 2 people in household, 1 room "
DC4406NI0021,Count,HOUSEHOLDS,"All categories: Tenure, 2 people in household, 2 rooms "
DC4406NI0022,Count,HOUSEHOLDS,"All categories: Tenure, 2 people in household, 3 rooms "
DC4406NI0023,Count,HOUSEHOLDS,"All categories: Tenure, 2 people in household, 4 rooms "
DC4406NI0024,Count,HOUSEHOLDS,"All categories: Tenure, 2 people in household, 5 rooms "
DC4406NI0025,Count,HOUSEHOLDS,"All categories: Tenure, 2 people in household, 6 rooms "
DC4406NI0026,Count,HOUSEHOLDS,"All categories: Tenure, 2 people in household, 7 rooms "
DC4406NI0027,Count,HOUSEHOLDS,"All categories: Tenure, 2 people in household, 8 or more rooms"
DC4406NI0028,Count,HOUSEHOLDS,"All categories: Tenure, 3 people in household, All categories: Number of rooms"
DC4406NI0029,Count,HOUSEHOLDS,"All categories: Tenure, 3 people in household, 1 room "
DC4406NI0030,Count,HOUSEHOLDS,"All categories: Tenure, 3 people in household, 2 rooms "
DC4406NI0031,Count,HOUSEHOLDS,"All categories: Tenure, 3 people in household, 3 rooms "
DC4406NI0032,Count,HOUSEHOLDS,"All categories: Tenure, 3 people in household, 4 rooms "
DC4406NI0033,Count,HOUSEHOLDS,"All categories: Tenure, 3 people in household, 5 rooms "
DC4406NI0034,Count,HOUSEHOLDS,"All categories: Tenure, 3 people in household, 6 rooms "
DC4406NI0035,Count,HOUSEHOLDS,"All categories: Tenure, 3 people in household, 7 rooms "
DC4406NI0036,Count,HOUSEHOLDS,"All categories: Tenure, 3 people in household, 8 or more rooms"
DC4406NI0037,Count,HOUSEHOLDS,"All categories: Tenure, 4 people in household, All categories: Number of rooms"
DC4406NI0038,Count,HOUSEHOLDS,"All categories: Tenure, 4 people in household, 1 room "
DC4406NI0039,Count,HOUSEHOLDS,"All categories: Tenure, 4 people in household, 2 rooms "
DC4406NI0040,Count,HOUSEHOLDS,"All categories: Tenure, 4 people in household, 3 rooms "
DC4406NI0041,Count,HOUSEHOLDS,"All categories: Tenure, 4 people in household, 4 rooms "
DC4406NI0042,Count,HOUSEHOLDS,"All categories: Tenure, 4 people in household, 5 rooms "
DC4406NI0043,Count,HOUSEHOLDS,"All categories: Tenure, 4 people in household, 6 rooms "
DC4406NI0044,Count,HOUSEHOLDS,"All categories: Tenure, 4 people in household, 7 rooms "
DC4406NI0045,Count,HOUSEHOLDS,"All categories: Tenure, 4 people in household, 8 or more rooms"
DC4406NI0046,Count,HOUSEHOLDS,"All categories: Tenure, 5 people in household, All categories: Number of rooms"
DC4406NI0047,Count,HOUSEHOLDS,"All categories: Tenure, 5 people in household, 1 room "
DC4406NI0048,Count,HOUSEHOLDS,"All categories: Tenure, 5 people in household, 2 rooms "
DC4406NI0049,Count,HOUSEHOLDS,"All categories: Tenure, 5 people in household, 3 rooms "
DC4406NI0050,Count,HOUSEHOLDS,"All categories: Tenure, 5 people in household, 4 rooms "
DC4406NI0051,Count,HOUSEHOLDS,"All categories: Tenure, 5 people in household, 5 rooms "
DC4406NI0052,Count,HOUSEHOLDS,"All categories: Tenure, 5 people in household, 6 rooms "
DC4406NI0053,Count,HOUSEHOLDS,"All categories: Tenure, 5 people in household, 7 rooms "
DC4406NI0054,Count,HOUSEHOLDS,"All categories: Tenure, 5 people in household, 8 or more rooms"
DC4406NI0055,Count,HOUSEHOLDS,"All categories: Tenure, 6 or more people in household, All categories: Number of rooms"
