GeographyCode,DC1102NI0001,DC1102NI0002,DC1102NI0003,DC1102NI0004,DC1102NI0005,DC1102NI0006,DC1102NI0007,DC1102NI0008,DC1102NI0009,DC1102NI0010,DC1102NI0011,DC1102NI0012,DC1102NI0013,DC1102NI0014,DC1102NI0015,DC1102NI0016,DC1102NI0017,DC1102NI0018,DC1102NI0019,DC1102NI0020,DC1102NI0021,DC1102NI0022,DC1102NI0023,DC1102NI0024,DC1102NI0025,DC1102NI0026,DC1102NI0027,DC1102NI0028,DC1102NI0029,DC1102NI0030,DC1102NI0031,DC1102NI0032,DC1102NI0033,DC1102NI0034,DC1102NI0035,DC1102NI0036,DC1102NI0037,DC1102NI0038,DC1102NI0039,DC1102NI0040,DC1102NI0041,DC1102NI0042,DC1102NI0043,DC1102NI0044,DC1102NI0045,DC1102NI0046,DC1102NI0047,DC1102NI0048
95AA01S1,6,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
95AA01S2,30,0,0,1,0,0,0,2,9,5,5,5,1,1,1,0,16,0,0,1,0,0,0,1,4,3,1,4,1,0,1,0,14,0,0,0,0,0,0,1,5,2,4,1,0,1,0,0
95AA01S3,23,2,0,0,0,0,0,0,6,5,6,2,1,0,1,0,9,0,0,0,0,0,0,0,3,3,1,1,1,0,0,0,14,2,0,0,0,0,0,0,3,2,5,1,0,0,1,0
95AA02W1,7,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
95AA03W1,7,0,0,0,0,0,0,1,0,2,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0
95AA04W1,32,0,0,0,0,0,0,2,8,11,4,4,2,0,1,0,11,0,0,0,0,0,0,0,2,5,1,2,0,0,1,0,21,0,0,0,0,0,0,2,6,6,3,2,2,0,0,0
95AA05W1,36,0,0,0,0,0,0,5,6,9,6,2,6,0,2,0,17,0,0,0,0,0,0,4,3,2,4,1,1,0,2,0,19,0,0,0,0,0,0,1,3,7,2,1,5,0,0,0
95AA06S1,10,0,0,0,0,0,0,0,1,4,1,3,0,0,1,0,5,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0
95AA06S2,14,0,0,0,0,0,0,0,7,4,2,0,0,1,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,3,2,0,0,1,0,0
95AA07W1,22,0,0,1,0,0,0,0,5,5,4,3,1,0,2,1,8,0,0,1,0,0,0,0,0,2,3,0,1,0,0,1,14,0,0,0,0,0,0,0,5,3,1,3,0,0,2,0
