GeographyCode,DC2251NI0001,DC2251NI0002,DC2251NI0003,DC2251NI0004,DC2251NI0005,DC2251NI0006,DC2251NI0007,DC2251NI0008,DC2251NI0009,DC2251NI0010,DC2251NI0011,DC2251NI0012,DC2251NI0013,DC2251NI0014,DC2251NI0015,DC2251NI0016,DC2251NI0017,DC2251NI0018,DC2251NI0019,DC2251NI0020,DC2251NI0021,DC2251NI0022,DC2251NI0023,DC2251NI0024,DC2251NI0025,DC2251NI0026,DC2251NI0027,DC2251NI0028,DC2251NI0029,DC2251NI0030,DC2251NI0031,DC2251NI0032,DC2251NI0033,DC2251NI0034,DC2251NI0035,DC2251NI0036,DC2251NI0037,DC2251NI0038,DC2251NI0039,DC2251NI0040,DC2251NI0041,DC2251NI0042,DC2251NI0043,DC2251NI0044,DC2251NI0045,DC2251NI0046,DC2251NI0047,DC2251NI0048,DC2251NI0049,DC2251NI0050,DC2251NI0051,DC2251NI0052,DC2251NI0053,DC2251NI0054,DC2251NI0055,DC2251NI0056,DC2251NI0057,DC2251NI0058,DC2251NI0059,DC2251NI0060,DC2251NI0061,DC2251NI0062,DC2251NI0063,DC2251NI0064,DC2251NI0065,DC2251NI0066,DC2251NI0067,DC2251NI0068,DC2251NI0069,DC2251NI0070,DC2251NI0071,DC2251NI0072,DC2251NI0073,DC2251NI0074,DC2251NI0075,DC2251NI0076,DC2251NI0077,DC2251NI0078,DC2251NI0079,DC2251NI0080,DC2251NI0081,DC2251NI0082,DC2251NI0083,DC2251NI0084,DC2251NI0085,DC2251NI0086,DC2251NI0087,DC2251NI0088,DC2251NI0089,DC2251NI0090
95AA01S1,1113,141,458,72,53,12,321,23,482,9,125,8,39,11,4,0,24,0,78,0,896,100,388,54,46,9,279,14,386,8,23,16,0,0,0,0,0,0,6,1,4,3,1,1,0,0,0,0,0,0,11,0,10,3,0,0,7,0,1,0,2,1,0,0,0,0,0,0,1,0,9,2,2,0,0,0,2,1,4,0,43,11,18,3,3,3,9,8,6,0
95AA01S2,1829,939,635,290,219,50,76,7,170,78,214,93,85,54,24,5,2,0,22,14,1120,424,517,228,178,43,68,4,119,56,409,365,17,4,8,2,3,0,20,7,51,33,10,3,6,0,1,0,8,0,4,1,2,0,1,0,1,1,0,0,3,2,1,0,1,0,0,0,0,0,18,15,0,0,0,0,0,1,1,1,10,6,3,1,1,0,1,1,0,0
95AA01S3,1502,276,878,559,169,20,130,13,235,100,195,19,139,93,34,1,11,0,23,14,1097,154,686,440,124,17,105,10,180,67,121,70,26,12,9,2,3,0,14,11,29,8,15,13,1,0,1,0,3,3,8,3,3,1,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,0,40,20,7,0,0,0,7,0,12,1,10,2,2,0,1,0,1,3,1,2
95AA02W1,1734,504,888,461,348,20,59,6,204,132,335,83,189,88,81,3,17,1,42,20,1175,291,678,359,262,17,40,3,113,90,134,92,15,9,5,0,1,1,9,17,19,10,3,3,0,0,0,0,6,0,7,1,0,0,0,0,0,0,6,0,1,0,1,0,0,0,1,0,0,0,55,25,0,0,0,0,0,0,25,5,8,2,2,2,0,0,0,1,3,0
95AA03W1,1822,135,1222,684,378,50,110,15,315,135,502,30,361,206,121,6,28,1,76,34,1209,73,832,466,248,44,74,4,215,85,50,17,16,9,6,0,1,1,5,11,11,1,6,1,1,0,4,0,3,1,3,0,2,0,1,0,1,0,1,0,2,0,1,1,0,0,0,0,1,0,31,14,1,0,1,0,0,1,12,3,14,0,3,1,0,0,2,8,2,1
95AA04W1,3013,751,1772,1198,317,64,193,19,343,128,352,87,208,162,23,5,18,2,39,16,2238,385,1471,981,272,56,162,14,268,100,327,258,41,31,4,2,4,2,18,8,64,17,33,18,11,0,4,1,10,3,11,1,5,1,2,1,1,0,4,1,5,0,5,0,5,0,0,0,0,0,8,3,1,0,0,0,1,0,4,0,8,0,8,5,0,0,3,0,0,0
95AA05W1,2701,1579,757,482,157,8,110,10,178,177,519,281,170,139,22,0,9,0,33,35,1481,697,546,329,124,8,85,7,117,114,606,546,24,7,10,0,7,1,16,19,40,32,5,3,1,0,1,1,2,0,6,0,6,4,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,32,13,5,0,0,0,5,1,6,7,13,6,1,0,0,0,1,0,4,2
95AA06S1,1953,1489,238,83,122,3,30,3,91,132,288,206,47,24,18,1,4,1,12,22,886,570,179,56,97,2,24,1,57,79,693,637,5,0,5,0,0,0,20,31,53,48,5,3,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,2,0,19,17,1,0,0,0,1,1,0,0
95AA06S2,2694,2022,346,157,140,10,39,6,131,189,393,265,58,29,23,0,6,0,23,47,1244,793,275,125,113,10,27,6,81,89,985,908,10,3,2,0,5,0,22,45,41,34,2,0,2,0,0,0,0,5,3,2,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,22,16,1,0,0,0,1,0,2,3,2,0,0,0,0,0,0,0,2,0
95AA07W1,2140,283,1553,1042,300,10,201,16,189,99,481,54,376,243,70,0,63,0,35,16,1473,132,1126,756,227,9,134,16,137,62,98,51,24,21,1,0,2,0,8,15,37,9,22,18,1,1,2,0,5,1,5,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,35,1,0,1,0,0,0,1,5,4,0,1,1,0,0,0,0,3,0
95AA08W1,1698,680,623,353,192,12,66,13,247,135,495,203,179,113,49,6,11,0,78,35,943,297,427,236,137,6,48,5,141,73,160,120,10,4,6,0,0,1,16,13,20,14,0,0,0,0,0,1,3,2,3,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,68,41,7,0,0,0,7,2,8,10,8,3,0,0,0,0,0,3,0,2
95AA09W1,2220,387,1244,669,410,47,118,26,346,217,459,58,275,139,84,13,39,3,71,52,1544,228,928,513,313,31,71,12,246,130,102,50,20,11,8,0,1,1,8,23,17,2,10,5,1,2,2,0,3,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,36,5,0,0,0,5,0,8,10,37,12,6,1,4,1,0,10,9,0
95AA10W1,1953,712,810,437,224,54,95,23,292,116,393,156,136,66,45,6,19,1,84,16,1302,384,638,360,165,48,65,18,181,81,178,137,20,5,10,0,5,0,6,15,22,8,11,5,4,0,2,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,48,27,1,1,0,0,0,0,16,4,8,0,4,0,0,0,4,4,0,0
95AA11S1,2800,832,1313,675,425,70,143,29,455,171,477,141,224,129,69,9,17,1,62,49,1866,426,1020,521,342,57,100,16,307,97,210,138,36,19,11,1,5,1,18,17,30,10,10,3,3,3,1,2,6,2,17,8,3,2,0,0,1,2,4,0,3,0,2,0,0,0,2,0,1,0,175,108,13,1,0,0,12,1,48,5,22,1,5,0,0,0,5,6,9,1
