GeographyCode,DC3401NI0001,DC3401NI0002,DC3401NI0003,DC3401NI0004,DC3401NI0005,DC3401NI0006,DC3401NI0007,DC3401NI0008,DC3401NI0009,DC3401NI0010,DC3401NI0011,DC3401NI0012,DC3401NI0013,DC3401NI0014,DC3401NI0015,DC3401NI0016,DC3401NI0017,DC3401NI0018,DC3401NI0019,DC3401NI0020,DC3401NI0021,DC3401NI0022,DC3401NI0023,DC3401NI0024,DC3401NI0025,DC3401NI0026,DC3401NI0027,DC3401NI0028,DC3401NI0029,DC3401NI0030,DC3401NI0031,DC3401NI0032,DC3401NI0033,DC3401NI0034,DC3401NI0035,DC3401NI0036,DC3401NI0037,DC3401NI0038,DC3401NI0039,DC3401NI0040,DC3401NI0041,DC3401NI0042,DC3401NI0043,DC3401NI0044,DC3401NI0045,DC3401NI0046,DC3401NI0047,DC3401NI0048,DC3401NI0049,DC3401NI0050,DC3401NI0051,DC3401NI0052
95AA01S1,982,93,26,863,12,3,0,9,5,1,0,4,4,0,1,3,15,4,0,11,17,3,1,13,16,2,0,14,31,8,0,23,32,6,1,25,3,3,0,0,9,2,0,7,10,1,2,7,865,74,24,767
95AA01S2,1814,1623,22,169,73,67,1,5,20,15,0,5,23,19,1,3,145,119,8,18,37,28,2,7,60,53,3,4,134,117,5,12,119,104,5,10,18,14,3,1,89,82,3,4,91,83,2,6,1339,1208,9,122
95AA01S3,1494,1232,8,254,47,43,0,4,11,4,0,7,17,14,1,2,99,85,1,13,19,13,1,5,41,34,0,7,106,91,1,14,99,83,2,14,16,13,1,2,80,69,2,9,66,57,1,8,1146,935,5,206
95AA02W1,1734,1156,231,347,121,80,20,21,37,24,5,8,33,17,5,11,290,174,64,52,27,11,9,7,120,67,27,26,256,157,55,44,185,119,30,36,37,22,4,11,124,75,27,22,117,75,24,18,1064,739,98,227
95AA03W1,1822,1132,419,271,105,79,22,4,34,16,12,6,25,9,10,6,255,146,88,21,62,24,24,14,143,64,54,25,271,160,83,28,220,118,72,30,37,14,13,10,152,93,46,13,105,64,28,13,1103,709,210,184
95AA04W1,3002,2791,13,198,127,121,1,5,30,27,1,2,28,25,1,2,227,207,1,19,43,39,1,3,94,80,2,12,228,207,4,17,202,182,1,19,26,26,0,0,159,150,2,7,131,119,1,11,2254,2108,7,139
95AA05W1,2654,2229,132,293,118,97,6,15,30,22,1,7,22,13,4,5,220,162,24,34,39,29,5,5,105,65,17,23,217,169,17,31,176,138,21,17,27,21,1,5,147,111,17,19,123,109,7,7,1916,1644,70,202
95AA06S1,1953,1613,121,219,95,64,22,9,28,18,6,4,28,19,5,4,221,165,36,20,41,34,2,5,82,58,12,12,186,139,29,18,223,176,22,25,28,24,3,1,137,104,18,15,103,77,10,16,1351,1148,48,155
95AA06S2,2651,2212,208,231,89,74,12,3,22,17,3,2,40,31,3,6,221,160,40,21,66,48,9,9,134,88,31,15,197,153,29,15,209,162,30,17,25,19,5,1,106,80,17,9,143,124,16,3,1934,1649,115,170
95AA07W1,2119,1680,146,293,97,81,5,11,24,18,3,3,24,12,3,9,219,150,26,43,41,21,7,13,107,60,22,25,207,150,28,29,159,117,18,24,28,15,3,10,135,99,18,18,102,81,8,13,1470,1194,76,200
95AA08W1,1676,1021,389,266,75,48,18,9,28,18,6,4,25,12,10,3,232,143,59,30,61,28,23,10,131,66,40,25,220,145,50,25,196,106,58,32,36,20,11,5,124,84,28,12,100,57,28,15,1070,656,237,177
95AA09W1,2143,1248,557,338,136,93,29,14,26,15,9,2,31,13,10,8,256,135,96,25,53,21,21,11,129,42,67,20,259,131,95,33,205,100,82,23,36,11,22,3,140,72,48,20,98,49,40,9,1425,850,327,248
95AA10W1,1953,1304,456,193,114,80,28,6,44,26,12,6,40,16,17,7,256,151,86,19,64,22,33,9,129,52,60,17,235,150,70,15,176,98,62,16,31,16,8,7,155,101,41,13,130,86,25,19,1227,862,242,123
95AA11S1,2698,2026,149,523,132,95,13,24,32,18,4,10,25,19,4,2,260,175,46,39,38,22,8,8,141,86,24,31,245,161,39,45,212,145,29,38,36,18,10,8,171,113,24,34,131,91,17,23,1920,1477,60,383
95AA11S2,2431,2112,32,287,73,62,2,9,29,24,1,4,25,20,3,2,157,137,7,13,33,28,2,3,76,60,2,14,169,147,7,15,168,139,7,22,20,18,0,2,104,94,4,6,92,77,7,8,1857,1623,16,218
95AA12W1,2775,2492,71,212,137,118,5,14,33,29,0,4,13,9,1,3,209,164,22,23,24,20,1,3,76,62,5,9,192,151,19,22,187,154,13,20,18,14,2,2,127,105,7,15,121,108,2,11,2068,1892,38,138
95AA13S1,1707,1272,86,349,61,40,5,16,14,11,2,1,18,10,5,3,143,103,14,26,40,29,5,6,73,40,15,18,107,80,13,14,116,78,9,29,16,9,3,4,94,67,9,18,73,50,11,12,1284,971,49,264
95AA13S2,1561,1181,98,282,71,44,15,12,18,12,4,2,23,16,4,3,155,93,36,26,34,22,4,8,85,47,13,25,142,89,26,27,116,72,22,22,30,15,9,6,97,65,18,14,79,56,6,17,1130,884,37,209
95AA14W1,2302,2110,8,184,112,105,1,6,25,23,0,2,17,15,0,2,179,163,2,14,23,18,0,5,65,57,1,7,190,169,3,18,157,143,1,13,19,15,2,2,116,108,0,8,113,103,1,9,1696,1559,4,133
95AA15S1,2630,1932,165,533,91,62,17,12,17,13,2,2,40,23,8,9,211,135,46,30,38,23,6,9,121,69,28,24,211,142,33,36,195,132,31,32,29,11,13,5,138,92,22,24,108,81,9,18,1964,1466,69,429
