GeographyCode,DC2250NI0001,DC2250NI0002,DC2250NI0003,DC2250NI0004,DC2250NI0005,DC2250NI0006,DC2250NI0007,DC2250NI0008,DC2250NI0009,DC2250NI0010,DC2250NI0011,DC2250NI0012,DC2250NI0013,DC2250NI0014,DC2250NI0015,DC2250NI0016,DC2250NI0017,DC2250NI0018,DC2250NI0019,DC2250NI0020,DC2250NI0021,DC2250NI0022,DC2250NI0023,DC2250NI0024,DC2250NI0025,DC2250NI0026,DC2250NI0027,DC2250NI0028,DC2250NI0029,DC2250NI0030,DC2250NI0031,DC2250NI0032,DC2250NI0033,DC2250NI0034,DC2250NI0035,DC2250NI0036,DC2250NI0037,DC2250NI0038,DC2250NI0039,DC2250NI0040,DC2250NI0041,DC2250NI0042,DC2250NI0043,DC2250NI0044,DC2250NI0045
95AA01S1,1113,161,516,24,412,125,10,45,0,70,949,143,452,16,338,911,120,447,14,330,29,21,3,1,4,0,0,0,0,0,2,1,0,1,0,7,1,2,0,4,56,13,30,9,4
95AA01S2,1829,1003,736,8,82,214,104,92,0,18,1660,931,655,7,67,1177,496,619,6,56,465,419,35,0,11,12,12,0,0,0,4,4,0,0,0,2,0,1,1,0,17,9,6,2,0
95AA01S3,1502,321,1032,15,134,195,23,153,0,19,1326,304,896,12,114,1134,193,837,12,92,152,89,52,0,11,16,12,0,0,4,4,4,0,0,0,20,6,7,0,7,20,5,7,3,5
95AA02W1,1734,570,1048,7,109,335,92,214,1,28,1412,487,839,5,81,1202,335,810,4,53,155,118,29,1,7,25,23,0,0,2,3,3,0,0,0,27,8,0,0,19,16,5,6,1,4
95AA03W1,1822,195,1422,15,190,502,42,406,1,53,1317,154,1021,6,136,1223,103,993,4,123,63,29,27,1,6,21,17,0,0,4,2,1,0,0,1,8,4,1,1,2,19,1,6,8,4
95AA04W1,3013,832,1979,26,176,352,96,231,2,23,2717,757,1779,25,156,2313,460,1691,22,140,396,294,87,3,12,0,0,0,0,0,0,0,0,0,0,8,3,1,0,4,24,1,23,0,0
95AA05W1,2701,1683,900,12,106,519,300,194,0,25,2209,1407,709,13,80,1527,785,668,10,64,650,603,35,2,10,4,4,0,0,0,17,12,4,1,0,11,3,2,0,6,23,12,8,0,3
95AA06S1,1953,1585,319,3,46,288,219,63,1,5,1701,1399,260,1,41,941,659,248,1,33,754,736,12,0,6,2,2,0,0,0,0,0,0,0,0,4,2,0,0,2,27,24,2,1,0
95AA06S2,2694,2170,455,6,63,393,293,84,0,16,2340,1910,377,6,47,1288,891,355,6,36,1030,998,21,0,11,14,14,0,0,0,0,0,0,0,0,8,7,1,0,0,9,8,0,0,1
95AA07W1,2140,336,1680,17,107,481,60,389,0,32,1692,285,1316,16,75,1515,172,1256,16,71,135,72,59,0,4,7,7,0,0,0,25,24,1,0,0,10,10,0,0,0,9,2,6,1,0
