ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2252NI0001,Count,PERSONS,"All categories: Passport (Classification 2), All categories: Religion brought up in"
DC2252NI0002,Count,PERSONS,"All categories: Passport (Classification 2), Catholic"
DC2252NI0003,Count,PERSONS,"All categories: Passport (Classification 2), Protestant and other Christian (including Christian related)"
DC2252NI0004,Count,PERSONS,"All categories: Passport (Classification 2), Other religions "
DC2252NI0005,Count,PERSONS,"All categories: Passport (Classification 2), None"
DC2252NI0006,Count,PERSONS,"No passport, All categories: Religion brought up in"
DC2252NI0007,Count,PERSONS,"No passport, Catholic"
DC2252NI0008,Count,PERSONS,"No passport, Protestant and other Christian (including Christian related)"
DC2252NI0009,Count,PERSONS,"No passport, Other religions "
DC2252NI0010,Count,PERSONS,"No passport, None"
DC2252NI0011,Count,PERSONS,"United Kingdom only, All categories: Religion brought up in"
DC2252NI0012,Count,PERSONS,"United Kingdom only, Catholic"
DC2252NI0013,Count,PERSONS,"United Kingdom only, Protestant and other Christian (including Christian related)"
DC2252NI0014,Count,PERSONS,"United Kingdom only, Other religions "
DC2252NI0015,Count,PERSONS,"United Kingdom only, None"
DC2252NI0016,Count,PERSONS,"Ireland only, All categories: Religion brought up in"
DC2252NI0017,Count,PERSONS,"Ireland only, Catholic"
DC2252NI0018,Count,PERSONS,"Ireland only, Protestant and other Christian (including Christian related)"
DC2252NI0019,Count,PERSONS,"Ireland only, Other religions "
DC2252NI0020,Count,PERSONS,"Ireland only, None"
DC2252NI0021,Count,PERSONS,"United Kingdom and Ireland only, All categories: Religion brought up in"
DC2252NI0022,Count,PERSONS,"United Kingdom and Ireland only, Catholic"
DC2252NI0023,Count,PERSONS,"United Kingdom and Ireland only, Protestant and other Christian (including Christian related)"
DC2252NI0024,Count,PERSONS,"United Kingdom and Ireland only, Other religions "
DC2252NI0025,Count,PERSONS,"United Kingdom and Ireland only, None"
DC2252NI0026,Count,PERSONS,"United Kingdom and other (not Ireland), All categories: Religion brought up in"
DC2252NI0027,Count,PERSONS,"United Kingdom and other (not Ireland), Catholic"
DC2252NI0028,Count,PERSONS,"United Kingdom and other (not Ireland), Protestant and other Christian (including Christian related)"
DC2252NI0029,Count,PERSONS,"United Kingdom and other (not Ireland), Other religions "
DC2252NI0030,Count,PERSONS,"United Kingdom and other (not Ireland), None"
DC2252NI0031,Count,PERSONS,"Ireland and other (not United Kingdom), All categories: Religion brought up in"
DC2252NI0032,Count,PERSONS,"Ireland and other (not United Kingdom), Catholic"
DC2252NI0033,Count,PERSONS,"Ireland and other (not United Kingdom), Protestant and other Christian (including Christian related)"
DC2252NI0034,Count,PERSONS,"Ireland and other (not United Kingdom), Other religions "
DC2252NI0035,Count,PERSONS,"Ireland and other (not United Kingdom), None"
DC2252NI0036,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), All categories: Religion brought up in"
DC2252NI0037,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), Catholic"
DC2252NI0038,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), Protestant and other Christian (including Christian related)"
DC2252NI0039,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), Other religions "
DC2252NI0040,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), None"
DC2252NI0041,Count,PERSONS,"Other, All categories: Religion brought up in"
DC2252NI0042,Count,PERSONS,"Other, Catholic"
DC2252NI0043,Count,PERSONS,"Other, Protestant and other Christian (including Christian related)"
DC2252NI0044,Count,PERSONS,"Other, Other religions "
DC2252NI0045,Count,PERSONS,"Other, None"
