GeographyCode,DC4103NI0001,DC4103NI0002,DC4103NI0003,DC4103NI0004,DC4103NI0005,DC4103NI0006,DC4103NI0007,DC4103NI0008,DC4103NI0009,DC4103NI0010,DC4103NI0011,DC4103NI0012,DC4103NI0013,DC4103NI0014,DC4103NI0015,DC4103NI0016,DC4103NI0017,DC4103NI0018,DC4103NI0019,DC4103NI0020,DC4103NI0021,DC4103NI0022,DC4103NI0023,DC4103NI0024,DC4103NI0025,DC4103NI0026,DC4103NI0027,DC4103NI0028,DC4103NI0029,DC4103NI0030,DC4103NI0031,DC4103NI0032,DC4103NI0033,DC4103NI0034,DC4103NI0035,DC4103NI0036,DC4103NI0037,DC4103NI0038,DC4103NI0039,DC4103NI0040,DC4103NI0041,DC4103NI0042,DC4103NI0043,DC4103NI0044,DC4103NI0045,DC4103NI0046,DC4103NI0047,DC4103NI0048,DC4103NI0049,DC4103NI0050,DC4103NI0051,DC4103NI0052,DC4103NI0053,DC4103NI0054,DC4103NI0055,DC4103NI0056,DC4103NI0057,DC4103NI0058,DC4103NI0059,DC4103NI0060,DC4103NI0061,DC4103NI0062,DC4103NI0063,DC4103NI0064,DC4103NI0065,DC4103NI0066,DC4103NI0067,DC4103NI0068,DC4103NI0069,DC4103NI0070,DC4103NI0071,DC4103NI0072,DC4103NI0073,DC4103NI0074,DC4103NI0075,DC4103NI0076,DC4103NI0077,DC4103NI0078,DC4103NI0079,DC4103NI0080,DC4103NI0081,DC4103NI0082,DC4103NI0083,DC4103NI0084,DC4103NI0085,DC4103NI0086,DC4103NI0087,DC4103NI0088,DC4103NI0089,DC4103NI0090,DC4103NI0091,DC4103NI0092,DC4103NI0093,DC4103NI0094,DC4103NI0095,DC4103NI0096
95AA01S1,310,23,199,82,3,3,21,4,12,5,0,0,2,2,0,0,0,0,19,2,12,5,0,0,278,13,186,73,3,3,1,0,1,0,0,0,85,7,49,28,1,0,186,6,131,44,2,3,0,0,0,0,0,0,5,0,4,1,0,0,1,0,1,0,0,0,11,6,1,4,0,0,3,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0
95AA01S2,624,44,209,259,72,40,120,29,80,7,1,3,47,18,29,0,0,0,73,11,51,7,1,3,465,10,118,243,60,34,39,2,24,10,3,0,112,0,25,77,7,3,212,7,30,128,29,18,55,0,8,17,17,13,21,1,16,3,1,0,26,0,15,8,3,0,39,5,11,9,11,3,18,2,2,4,8,2,0,0,0,0,0,0,1,0,0,1,0,0,20,3,9,4,3,1
95AA01S3,588,46,219,229,57,37,155,34,109,10,1,1,45,17,24,3,1,0,110,17,85,7,0,1,392,9,101,204,46,32,31,2,14,13,1,1,104,0,25,64,12,3,142,3,19,99,12,9,53,0,3,17,17,16,35,3,26,3,1,2,27,1,14,8,3,1,41,3,9,15,10,4,19,2,1,7,6,3,1,1,0,0,0,0,0,0,0,0,0,0,21,0,8,8,4,1
95AA02W1,839,287,392,128,25,7,346,189,151,6,0,0,155,93,60,2,0,0,191,96,91,4,0,0,450,85,229,110,20,6,53,14,36,2,1,0,127,20,70,35,2,0,103,8,55,35,4,1,65,11,18,22,10,4,60,16,35,9,0,0,42,16,15,7,3,1,43,13,12,12,5,1,16,2,4,6,3,1,0,0,0,0,0,0,1,1,0,0,0,0,26,10,8,6,2,0
95AA03W1,845,293,399,129,22,2,323,179,139,5,0,0,123,80,41,2,0,0,200,99,98,3,0,0,479,107,236,115,19,2,54,10,38,6,0,0,100,13,53,31,3,0,124,16,48,52,7,1,43,5,18,13,6,1,103,48,49,3,3,0,55,15,30,10,0,0,43,7,24,9,3,0,15,0,9,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,27,6,15,4,2,0
95AA04W1,1014,46,312,418,167,71,171,25,123,16,7,0,73,15,53,5,0,0,98,10,70,11,7,0,752,17,171,361,143,60,77,3,40,30,3,1,159,1,41,97,17,3,312,2,46,179,59,26,133,3,13,36,52,29,31,3,21,4,3,0,40,5,10,15,9,1,91,4,18,41,17,11,47,2,4,23,9,9,1,0,0,1,0,0,4,1,3,0,0,0,39,1,11,17,8,2
95AA05W1,920,86,357,339,93,45,192,50,128,13,0,1,88,23,59,6,0,0,104,27,69,7,0,1,675,33,216,307,80,39,69,4,46,18,0,1,108,5,36,57,7,3,272,5,63,160,33,11,132,1,24,47,36,24,57,13,28,13,3,0,37,5,19,12,1,0,53,3,13,19,13,5,28,2,6,11,6,3,0,0,0,0,0,0,4,0,3,1,0,0,21,1,4,7,7,2
95AA06S1,710,125,302,222,46,15,187,81,101,2,2,1,90,53,35,0,1,1,97,28,66,2,1,0,484,40,188,202,41,13,44,4,32,5,2,1,78,6,32,36,3,1,205,6,56,124,15,4,57,0,13,19,18,7,75,17,44,13,1,0,25,7,11,5,2,0,39,4,13,18,3,1,25,1,9,11,3,1,0,0,0,0,0,0,1,0,1,0,0,0,13,3,3,7,0,0
95AA06S2,860,126,367,300,47,20,169,72,93,4,0,0,69,41,27,1,0,0,100,31,66,3,0,0,637,48,255,276,40,18,29,5,22,2,0,0,100,5,48,43,2,2,310,2,91,185,21,11,69,2,19,33,12,3,102,26,63,8,3,2,27,8,12,5,2,0,54,6,19,20,7,2,32,3,9,12,7,1,0,0,0,0,0,0,2,0,2,0,0,0,20,3,8,8,0,1
95AA07W1,820,107,319,263,85,46,201,67,127,6,1,0,73,30,42,0,1,0,128,37,85,6,0,0,569,32,178,243,76,40,69,2,43,19,5,0,132,4,45,71,10,2,184,5,30,106,28,15,91,1,13,24,30,23,56,16,33,6,1,0,37,4,14,17,2,0,50,8,14,14,8,6,24,2,5,9,3,5,0,0,0,0,0,0,7,4,2,1,0,0,19,2,7,4,5,1
95AA08W1,699,230,333,100,26,10,215,111,101,2,1,0,67,40,26,0,1,0,148,71,75,2,0,0,436,104,210,88,25,9,48,7,37,3,0,1,68,12,32,19,5,0,103,11,55,31,4,2,69,8,25,17,13,6,100,52,38,10,0,0,48,14,23,8,3,0,48,15,22,10,0,1,21,4,10,7,0,0,0,0,0,0,0,0,2,2,0,0,0,0,25,9,12,3,0,1
95AA09W1,943,357,370,172,34,10,307,182,120,4,0,1,87,57,29,1,0,0,220,125,91,3,0,1,581,153,237,151,32,8,58,12,29,17,0,0,125,13,67,43,1,1,143,24,54,50,10,5,79,13,20,29,16,1,131,78,45,5,2,1,45,13,22,7,3,0,55,22,13,17,2,1,23,7,5,9,1,1,0,0,0,0,0,0,3,2,1,0,0,0,29,13,7,8,1,0
95AA10W1,792,228,335,177,40,12,199,104,92,2,1,0,64,32,32,0,0,0,135,72,60,2,1,0,542,109,220,164,37,12,69,9,49,11,0,0,111,14,55,40,2,0,138,13,38,69,14,4,74,3,19,27,18,7,94,48,40,4,2,0,56,22,19,13,1,1,51,15,23,11,2,0,28,6,13,7,2,0,0,0,0,0,0,0,3,1,1,1,0,0,20,8,9,3,0,0
95AA11S1,1123,229,499,344,40,11,330,147,172,11,0,0,115,69,44,2,0,0,215,78,128,9,0,0,707,67,294,304,31,11,68,10,40,17,0,1,192,15,85,88,3,1,265,15,80,152,15,3,66,1,17,30,12,6,76,15,55,6,0,0,40,11,17,11,1,0,86,15,33,29,9,0,32,3,13,11,5,0,0,0,0,0,0,0,3,0,3,0,0,0,51,12,17,18,4,0
95AA11S2,870,74,385,346,57,8,157,38,116,3,0,0,44,16,27,1,0,0,113,22,89,2,0,0,652,29,239,327,49,8,48,4,32,12,0,0,155,8,52,86,9,0,312,6,94,189,20,3,64,1,15,26,18,4,52,7,39,6,0,0,21,3,7,8,2,1,61,7,30,16,8,0,32,4,16,7,5,0,1,0,1,0,0,0,1,0,0,1,0,0,27,3,13,8,3,0
95AA12W1,971,46,251,454,144,76,180,34,126,14,4,2,92,26,58,4,2,2,88,8,68,10,2,0,733,9,119,423,118,64,65,1,28,32,4,0,178,4,24,124,19,7,336,1,28,216,60,31,95,1,7,30,31,26,33,1,23,8,1,0,26,1,9,13,3,0,58,3,6,17,22,10,27,1,0,8,12,6,0,0,0,0,0,0,5,2,0,3,0,0,26,0,6,6,10,4
95AA13S1,625,104,240,214,51,16,151,53,90,6,2,0,47,19,26,2,0,0,104,34,64,4,2,0,436,47,135,194,47,13,33,6,18,8,1,0,76,2,23,44,7,0,169,6,38,104,15,6,64,2,12,24,20,6,63,21,34,7,1,0,31,10,10,7,3,1,38,4,15,14,2,3,14,2,4,6,1,1,0,0,0,0,0,0,1,0,1,0,0,0,23,2,10,8,1,2
95AA13S2,614,117,276,175,29,17,175,78,96,1,0,0,78,45,33,0,0,0,97,33,63,1,0,0,400,34,164,164,26,12,39,4,25,9,1,0,84,10,36,36,2,0,153,4,44,94,8,3,44,0,9,13,14,8,55,12,38,5,0,0,25,4,12,7,1,1,39,5,16,10,3,5,16,1,6,6,2,1,0,0,0,0,0,0,3,0,2,1,0,0,20,4,8,3,1,4
95AA14W1,779,45,230,318,116,70,130,33,92,3,2,0,80,28,51,1,0,0,50,5,41,2,2,0,596,11,128,298,100,59,58,1,33,22,2,0,145,0,37,93,12,3,224,4,23,129,44,24,104,0,8,35,35,26,30,5,12,9,2,2,35,1,15,10,5,4,53,1,10,17,14,11,25,1,0,7,10,7,0,0,0,0,0,0,7,0,7,0,0,0,21,0,3,10,4,4
95AA15S1,1013,153,489,318,40,13,223,73,143,6,0,1,50,31,19,0,0,0,173,42,124,6,0,1,726,64,321,295,35,11,39,3,29,6,1,0,193,10,77,99,6,1,283,11,112,145,9,6,70,2,20,28,17,3,100,29,64,6,1,0,41,9,19,11,1,1,64,16,25,17,5,1,21,4,5,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,43,12,20,8,3,0
95AA15S2,582,166,264,134,18,0,172,83,86,3,0,0,28,11,17,0,0,0,144,72,69,3,0,0,365,70,163,119,13,0,11,2,7,2,0,0,76,5,34,37,0,0,130,15,54,54,7,0,31,0,9,16,6,0,93,40,47,6,0,0,24,8,12,4,0,0,45,13,15,12,5,0,24,7,8,7,2,0,0,0,0,0,0,0,1,0,1,0,0,0,20,6,6,5,3,0
95AA16W1,832,290,411,108,18,5,318,163,154,0,1,0,91,57,34,0,0,0,227,106,120,0,1,0,465,111,236,97,16,5,58,12,41,5,0,0,102,19,52,30,1,0,140,18,82,32,6,2,44,2,12,19,9,2,77,44,30,3,0,0,44,16,19,8,0,1,49,16,21,11,1,0,14,6,6,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34,10,14,9,1,0
95AA17W1,855,220,405,186,33,11,237,114,116,7,0,0,71,34,37,0,0,0,166,80,79,7,0,0,571,97,270,164,31,9,44,6,32,6,0,0,117,9,60,46,2,0,167,17,77,61,9,3,88,4,26,33,19,6,106,48,50,8,0,0,49,13,25,10,1,0,47,9,19,15,2,2,27,5,9,9,2,2,1,1,0,0,0,0,0,0,0,0,0,0,19,3,10,6,0,0
95AA18W1,1004,66,404,409,92,33,257,39,201,15,0,2,121,25,92,4,0,0,136,14,109,11,0,2,693,22,192,370,85,24,145,3,71,68,3,0,207,7,48,130,18,4,184,2,22,126,26,8,87,1,12,29,33,12,42,5,29,5,3,0,28,4,10,12,2,0,54,5,11,24,7,7,19,2,3,6,5,3,2,0,0,2,0,0,3,1,1,1,0,0,30,2,7,15,2,4
95AA19W1,832,108,321,250,95,58,157,53,85,15,2,2,66,24,35,5,1,1,91,29,50,10,1,1,612,48,215,220,82,47,40,6,23,9,2,0,69,5,32,27,3,2,279,9,70,138,42,20,96,1,18,25,30,22,70,18,47,5,0,0,58,9,25,16,5,3,63,7,21,15,11,9,35,4,9,9,5,8,0,0,0,0,0,0,6,1,4,0,1,0,22,2,8,6,5,1
95BB01S1,548,45,155,235,72,41,105,33,62,9,1,0,51,24,26,1,0,0,54,9,36,8,1,0,400,9,87,207,62,35,41,2,18,19,2,0,80,1,13,55,9,2,165,1,21,108,24,11,67,0,8,17,23,19,29,2,22,3,1,1,18,3,5,5,3,2,43,3,6,19,9,6,15,2,1,6,5,1,0,0,0,0,0,0,3,1,1,1,0,0,25,0,4,12,4,5
95BB01S2,759,54,288,318,81,18,165,36,123,5,1,0,56,23,32,1,0,0,109,13,91,4,1,0,568,18,161,303,71,15,57,4,42,10,1,0,124,2,35,78,8,1,229,4,29,163,29,4,85,0,10,39,26,10,49,6,33,7,3,0,24,2,12,6,4,0,26,0,4,10,9,3,11,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,6,3,3
95BB02W1,1126,398,490,180,37,21,438,257,172,8,0,1,202,136,64,2,0,0,236,121,108,6,0,1,620,124,285,160,35,16,108,25,64,17,0,2,141,16,65,56,3,1,146,14,59,52,17,4,61,5,21,16,12,7,85,40,37,6,1,1,79,24,39,13,2,1,68,17,33,12,2,4,15,2,10,2,0,1,0,0,0,0,0,0,6,3,1,1,0,1,47,12,22,9,2,2
95BB03S1,877,168,434,237,31,7,263,98,154,11,0,0,134,66,66,2,0,0,129,32,88,9,0,0,567,58,264,211,28,6,79,11,54,14,0,0,140,13,76,47,4,0,189,9,59,108,9,4,52,1,14,23,12,2,69,16,50,3,0,0,38,8,11,16,3,0,47,12,16,15,3,1,13,2,5,5,1,0,0,0,0,0,0,0,2,2,0,0,0,0,32,8,11,10,2,1
95BB03S2,899,110,398,297,67,27,214,68,131,11,1,3,117,43,65,9,0,0,97,25,66,2,1,3,631,33,247,270,61,20,109,5,72,27,4,1,184,5,71,95,12,1,188,3,43,113,25,4,72,5,19,18,17,13,52,10,32,8,2,0,26,5,10,9,1,1,54,9,20,16,5,4,19,4,6,2,4,3,0,0,0,0,0,0,5,3,1,1,0,0,30,2,13,13,1,1
95BB04S1,638,147,268,159,55,9,192,83,100,8,1,0,80,54,23,3,0,0,112,29,77,5,1,0,405,52,153,143,48,9,82,17,47,18,0,0,115,4,51,50,9,1,93,5,19,46,19,4,51,3,8,19,17,4,36,13,18,3,2,0,28,10,10,7,1,0,41,12,15,8,6,0,15,2,5,4,4,0,0,0,0,0,0,0,3,2,0,1,0,0,23,8,10,3,2,0
95BB04S2,669,52,262,267,67,21,157,40,109,6,2,0,96,34,59,2,1,0,61,6,50,4,1,0,489,10,148,250,62,19,105,2,60,36,5,2,125,1,39,77,6,2,128,1,18,87,17,5,84,0,12,29,33,10,24,3,14,6,1,0,23,3,5,15,0,0,23,2,5,11,3,2,9,0,2,6,1,0,0,0,0,0,0,0,4,1,1,2,0,0,10,1,2,3,2,2
95BB05S1,564,40,174,233,81,36,107,29,68,10,0,0,54,15,35,4,0,0,53,14,33,6,0,0,423,8,96,216,72,31,65,1,30,27,6,1,115,0,27,69,14,5,141,1,15,90,26,9,63,0,7,16,25,15,24,2,14,7,0,1,15,4,3,7,1,0,34,3,10,7,9,5,12,1,1,3,4,3,0,0,0,0,0,0,5,1,4,0,0,0,17,1,5,4,5,2
95BB05S2,754,84,264,294,77,35,175,54,102,16,2,1,80,37,33,8,1,1,95,17,69,8,1,0,541,24,151,265,70,31,69,2,36,27,4,0,149,5,41,92,8,3,167,2,32,97,22,14,85,2,11,26,32,14,41,9,23,7,2,0,30,4,8,16,2,0,38,6,11,13,5,3,17,4,3,6,2,2,0,0,0,0,0,0,1,0,1,0,0,0,20,2,7,7,3,1
95BB06W1,1518,642,675,164,32,5,680,412,258,5,3,2,296,221,75,0,0,0,384,191,183,5,3,2,740,197,370,145,26,2,92,35,54,3,0,0,224,43,132,45,4,0,131,19,58,45,9,0,74,9,23,28,12,2,141,62,71,7,1,0,78,29,32,17,0,0,98,33,47,14,3,1,23,6,7,6,3,1,0,0,0,0,0,0,9,6,3,0,0,0,66,21,37,8,0,0
95BB07S1,819,212,420,154,24,9,343,148,185,10,0,0,163,97,65,1,0,0,180,51,120,9,0,0,450,60,218,140,24,8,62,8,41,13,0,0,125,13,51,56,5,0,103,4,46,46,4,3,28,3,6,4,11,4,90,26,59,5,0,0,42,6,15,16,4,1,26,4,17,4,0,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,10,4,0,1
