ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2251NI0073,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), Protestant and other Christian: Total"
DC2251NI0074,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), Protestant and other Christian: Presbyterian Church in Ireland"
DC2251NI0075,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), Protestant and other Christian: Church of Ireland"
DC2251NI0076,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), Protestant and other Christian: Methodist Church in Ireland"
DC2251NI0077,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), Protestant and other Christian: Other Christian (including Christian related)"
DC2251NI0078,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), Other religions "
DC2251NI0079,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), No religion"
DC2251NI0080,Count,PERSONS,"EU/EEA (not United Kingdom or Ireland), Not stated"
DC2251NI0081,Count,PERSONS,"Other, All categories: Religion"
DC2251NI0082,Count,PERSONS,"Other, Catholic"
DC2251NI0083,Count,PERSONS,"Other, Protestant and other Christian: Total"
DC2251NI0084,Count,PERSONS,"Other, Protestant and other Christian: Presbyterian Church in Ireland"
DC2251NI0085,Count,PERSONS,"Other, Protestant and other Christian: Church of Ireland"
DC2251NI0086,Count,PERSONS,"Other, Protestant and other Christian: Methodist Church in Ireland"
DC2251NI0087,Count,PERSONS,"Other, Protestant and other Christian: Other Christian (including Christian related)"
DC2251NI0088,Count,PERSONS,"Other, Other religions "
DC2251NI0089,Count,PERSONS,"Other, No religion"
DC2251NI0090,Count,PERSONS,"Other, Not stated"
