GeographyCode,DC2120NI0001,DC2120NI0002,DC2120NI0003,DC2120NI0004,DC2120NI0005,DC2120NI0006,DC2120NI0007,DC2120NI0008,DC2120NI0009,DC2120NI0010,DC2120NI0011,DC2120NI0012,DC2120NI0013,DC2120NI0014,DC2120NI0015,DC2120NI0016,DC2120NI0017,DC2120NI0018,DC2120NI0019,DC2120NI0020,DC2120NI0021,DC2120NI0022,DC2120NI0023,DC2120NI0024,DC2120NI0025,DC2120NI0026,DC2120NI0027,DC2120NI0028,DC2120NI0029,DC2120NI0030,DC2120NI0031,DC2120NI0032,DC2120NI0033,DC2120NI0034,DC2120NI0035,DC2120NI0036,DC2120NI0037,DC2120NI0038,DC2120NI0039,DC2120NI0040,DC2120NI0041,DC2120NI0042,DC2120NI0043,DC2120NI0044,DC2120NI0045,DC2120NI0046,DC2120NI0047,DC2120NI0048,DC2120NI0049,DC2120NI0050,DC2120NI0051,DC2120NI0052,DC2120NI0053,DC2120NI0054,DC2120NI0055,DC2120NI0056,DC2120NI0057,DC2120NI0058,DC2120NI0059,DC2120NI0060,DC2120NI0061,DC2120NI0062,DC2120NI0063,DC2120NI0064,DC2120NI0065,DC2120NI0066,DC2120NI0067,DC2120NI0068,DC2120NI0069,DC2120NI0070,DC2120NI0071,DC2120NI0072,DC2120NI0073,DC2120NI0074,DC2120NI0075,DC2120NI0076,DC2120NI0077,DC2120NI0078,DC2120NI0079,DC2120NI0080,DC2120NI0081,DC2120NI0082,DC2120NI0083,DC2120NI0084,DC2120NI0085,DC2120NI0086,DC2120NI0087,DC2120NI0088,DC2120NI0089,DC2120NI0090,DC2120NI0091,DC2120NI0092,DC2120NI0093,DC2120NI0094,DC2120NI0095,DC2120NI0096,DC2120NI0097,DC2120NI0098,DC2120NI0099,DC2120NI0100,DC2120NI0101,DC2120NI0102,DC2120NI0103,DC2120NI0104,DC2120NI0105,DC2120NI0106,DC2120NI0107,DC2120NI0108,DC2120NI0109,DC2120NI0110
95AA01S1,310,54,161,8,87,21,3,13,1,4,2,1,1,0,0,19,2,12,1,4,278,49,143,7,79,1,1,0,0,0,262,46,136,6,74,80,16,30,3,31,182,30,106,3,43,0,0,0,0,0,9,2,4,1,2,5,1,1,1,2,4,1,3,0,0,0,0,0,0,0,6,0,3,0,3,5,0,3,0,2,1,0,0,0,1,11,2,5,0,4,3,0,1,0,2,2,2,0,0,0,0,0,0,0,0,6,0,4,0,2
95AA01S2,624,302,299,4,19,120,50,67,1,2,47,10,36,0,1,73,40,31,1,1,465,229,219,2,15,39,7,32,0,0,345,180,152,1,12,95,36,55,1,3,197,116,73,0,8,53,28,24,0,1,34,16,15,0,3,17,8,8,0,1,15,7,6,0,2,2,1,1,0,0,47,26,20,1,0,21,16,5,0,0,26,10,15,1,0,39,23,13,1,2,18,13,4,0,1,0,0,0,0,0,1,0,1,0,0,20,10,8,1,1
95AA01S3,588,120,423,6,39,155,29,111,3,12,45,3,42,0,0,110,26,69,3,12,392,83,285,3,21,31,7,24,0,0,268,55,194,3,16,82,11,61,0,10,135,36,91,3,5,51,8,42,0,1,31,10,19,0,2,22,7,13,0,2,7,3,4,0,0,2,0,2,0,0,62,11,48,0,3,35,6,26,0,3,27,5,22,0,0,41,8,27,0,6,19,4,13,0,2,1,0,1,0,0,0,0,0,0,0,21,4,13,0,4
95AA02W1,839,259,546,4,30,346,107,229,1,9,155,38,116,0,1,191,69,113,1,8,450,140,288,3,19,53,12,41,0,0,236,72,149,3,12,93,30,61,1,1,81,18,53,2,8,62,24,35,0,3,59,18,35,0,6,34,13,18,0,3,22,5,14,0,3,3,0,3,0,0,102,38,63,0,1,60,25,34,0,1,42,13,29,0,0,43,12,29,0,2,16,6,10,0,0,0,0,0,0,0,1,0,1,0,0,26,6,18,0,2
95AA03W1,845,87,699,8,51,323,21,277,1,24,123,7,116,0,0,200,14,161,1,24,479,59,389,7,24,54,5,48,1,0,209,29,164,5,11,69,8,56,0,5,98,18,71,5,4,42,3,37,0,2,58,14,38,1,5,31,8,21,1,1,26,6,16,0,4,1,0,1,0,0,158,11,139,0,8,103,9,88,0,6,55,2,51,0,2,43,7,33,0,3,15,1,13,0,1,0,0,0,0,0,1,0,1,0,0,27,6,19,0,2
95AA04W1,1014,274,697,8,35,171,47,115,1,8,73,9,61,1,2,98,38,54,0,6,752,199,520,7,26,77,9,67,0,1,557,144,387,6,20,141,30,101,3,7,287,88,187,2,10,129,26,99,1,3,47,20,22,1,4,18,3,13,0,2,25,16,6,1,2,4,1,3,0,0,71,26,44,0,1,31,14,16,0,1,40,12,28,0,0,91,28,62,0,1,47,16,30,0,1,1,0,1,0,0,4,1,3,0,0,39,11,28,0,0
95AA05W1,920,532,357,5,26,192,105,85,0,2,88,48,40,0,0,104,57,45,0,2,675,394,256,5,20,69,22,47,0,0,468,282,171,3,12,91,42,46,1,2,252,161,81,1,9,125,79,44,1,1,44,25,12,2,5,17,10,6,1,0,20,10,6,1,3,7,5,0,0,2,94,65,26,0,3,57,43,11,0,3,37,22,15,0,0,53,33,16,0,4,28,21,5,0,2,0,0,0,0,0,4,1,3,0,0,21,11,8,0,2
95AA06S1,710,536,153,3,18,187,126,57,1,3,90,58,32,0,0,97,68,25,1,3,484,381,89,2,12,44,31,13,0,0,296,235,53,2,6,64,43,20,1,0,178,149,22,1,6,54,43,11,0,0,44,33,5,0,6,14,9,2,0,3,27,22,2,0,3,3,2,1,0,0,100,82,18,0,0,75,63,12,0,0,25,19,6,0,0,39,29,7,0,3,25,19,4,0,2,0,0,0,0,0,1,1,0,0,0,13,9,3,0,1
95AA06S2,860,645,198,0,17,169,98,67,0,4,69,29,40,0,0,100,69,27,0,4,637,503,121,0,13,29,15,13,0,1,436,354,74,0,8,78,53,23,0,2,290,251,34,0,5,68,50,17,0,1,43,32,11,0,0,22,18,4,0,0,20,13,7,0,0,1,1,0,0,0,129,102,23,0,4,102,83,15,0,4,27,19,8,0,0,54,44,10,0,0,32,28,4,0,0,0,0,0,0,0,2,1,1,0,0,20,15,5,0,0
95AA07W1,820,121,673,6,20,201,35,163,0,3,73,5,68,0,0,128,30,95,0,3,569,75,471,6,17,69,3,65,0,1,356,41,302,4,9,108,11,96,1,0,159,22,130,1,6,89,8,76,2,3,51,10,36,0,5,24,5,17,0,2,25,4,18,0,3,2,1,1,0,0,93,21,68,2,2,56,13,40,2,1,37,8,28,0,1,50,11,39,0,0,24,5,19,0,0,0,0,0,0,0,7,0,7,0,0,19,6,13,0,0
