GeographyCode,DC2249NI0001,DC2249NI0002,DC2249NI0003,DC2249NI0004,DC2249NI0005,DC2249NI0006,DC2249NI0007,DC2249NI0008,DC2249NI0009,DC2249NI0010,DC2249NI0011,DC2249NI0012,DC2249NI0013,DC2249NI0014,DC2249NI0015,DC2249NI0016,DC2249NI0017,DC2249NI0018,DC2249NI0019,DC2249NI0020,DC2249NI0021,DC2249NI0022,DC2249NI0023,DC2249NI0024,DC2249NI0025,DC2249NI0026,DC2249NI0027,DC2249NI0028,DC2249NI0029,DC2249NI0030,DC2249NI0031,DC2249NI0032,DC2249NI0033,DC2249NI0034,DC2249NI0035,DC2249NI0036,DC2249NI0037,DC2249NI0038,DC2249NI0039,DC2249NI0040,DC2249NI0041,DC2249NI0042,DC2249NI0043,DC2249NI0044,DC2249NI0045,DC2249NI0046,DC2249NI0047,DC2249NI0048,DC2249NI0049,DC2249NI0050,DC2249NI0051,DC2249NI0052,DC2249NI0053,DC2249NI0054,DC2249NI0055,DC2249NI0056,DC2249NI0057,DC2249NI0058,DC2249NI0059,DC2249NI0060,DC2249NI0061,DC2249NI0062,DC2249NI0063,DC2249NI0064,DC2249NI0065,DC2249NI0066,DC2249NI0067,DC2249NI0068,DC2249NI0069,DC2249NI0070,DC2249NI0071,DC2249NI0072,DC2249NI0073,DC2249NI0074,DC2249NI0075,DC2249NI0076,DC2249NI0077,DC2249NI0078,DC2249NI0079,DC2249NI0080,DC2249NI0081,DC2249NI0082,DC2249NI0083,DC2249NI0084,DC2249NI0085,DC2249NI0086,DC2249NI0087,DC2249NI0088,DC2249NI0089,DC2249NI0090
95AA01S1,1113,141,458,72,53,12,321,23,482,9,125,8,39,11,4,0,24,0,78,0,949,125,402,59,46,9,288,15,398,9,911,103,399,58,46,9,286,14,387,8,29,20,1,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,1,2,0,0,0,2,0,4,0,56,12,28,6,3,3,16,8,8,0
95AA01S2,1829,939,635,290,219,50,76,7,170,78,214,93,85,54,24,5,2,0,22,14,1660,877,557,238,200,45,74,6,156,64,1177,460,529,231,185,43,70,5,127,56,465,402,28,7,15,2,4,0,28,7,12,11,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,17,9,6,1,3,0,2,2,0,0
95AA01S3,1502,276,878,559,169,20,130,13,235,100,195,19,139,93,34,1,11,0,23,14,1326,263,752,479,135,19,119,10,214,87,1134,165,704,454,125,17,108,10,183,72,152,78,41,25,10,2,4,0,19,14,16,12,0,0,0,0,0,0,3,1,4,4,0,0,0,0,0,0,0,0,20,4,7,0,0,0,7,0,9,0,20,5,5,1,1,0,3,3,3,4
95AA02W1,1734,504,888,461,348,20,59,6,204,132,335,83,189,88,81,3,17,1,42,20,1412,429,700,374,267,17,42,4,167,112,1202,302,681,362,262,17,40,3,126,90,155,102,19,12,5,0,2,1,16,17,25,15,0,0,0,0,0,0,6,4,3,3,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,19,1,16,3,3,2,0,0,1,1,9,0
95AA03W1,1822,135,1222,684,378,50,110,15,315,135,502,30,361,206,121,6,28,1,76,34,1317,106,864,478,258,44,84,6,240,101,1223,74,840,467,250,44,79,4,219,86,63,18,23,11,7,0,5,1,9,12,21,9,0,0,0,0,0,0,9,3,2,1,0,0,0,0,0,0,1,0,8,4,1,0,1,0,0,1,2,0,19,0,6,2,1,0,3,8,4,1
95AA04W1,3013,751,1772,1198,317,64,193,19,343,128,352,87,208,162,23,5,18,2,39,16,2717,681,1589,1049,305,59,176,18,314,115,2313,403,1509,1000,285,57,167,15,282,104,396,275,79,49,20,2,8,3,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,0,0,1,0,4,0,24,1,18,6,7,1,4,0,4,1
95AA05W1,2701,1579,757,482,157,8,110,10,178,177,519,281,170,139,22,0,9,0,33,35,2209,1324,591,346,136,8,101,11,143,140,1527,729,557,336,125,8,88,8,119,114,650,582,29,10,11,0,8,2,18,19,4,0,0,0,0,0,0,0,0,4,17,11,4,0,0,0,4,1,0,1,11,2,1,0,0,0,1,0,6,2,23,10,7,4,0,0,3,0,4,2
95AA06S1,1953,1489,238,83,122,3,30,3,91,132,288,206,47,24,18,1,4,1,12,22,1701,1316,195,62,105,2,26,1,79,110,941,619,185,59,99,2,25,1,57,79,754,693,10,3,6,0,1,0,20,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,27,24,2,0,1,0,1,1,0,0
95AA06S2,2694,2022,346,157,140,10,39,6,131,189,393,265,58,29,23,0,6,0,23,47,2340,1791,290,128,119,10,33,6,106,147,1288,829,277,125,115,10,27,6,82,94,1030,946,12,3,4,0,5,0,22,50,14,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,5,1,0,0,0,1,0,2,0,9,6,0,0,0,0,0,0,3,0
95AA07W1,2140,283,1553,1042,300,10,201,16,189,99,481,54,376,243,70,0,63,0,35,16,1692,238,1198,816,231,11,140,16,156,84,1515,143,1151,777,228,10,136,16,142,63,135,60,46,39,2,1,4,0,13,16,7,7,0,0,0,0,0,0,0,0,25,24,1,0,1,0,0,0,0,0,10,4,0,0,0,0,0,0,1,5,9,2,4,4,0,0,0,0,3,0
95AA08W1,1698,680,623,353,192,12,66,13,247,135,495,203,179,113,49,6,11,0,78,35,1215,488,444,240,143,6,55,11,172,100,966,312,427,236,137,6,48,7,145,75,181,135,10,4,6,0,0,2,19,15,23,21,0,0,0,0,0,0,2,0,21,9,0,0,0,0,0,2,0,10,24,11,7,0,0,0,7,0,6,0,12,5,0,0,0,0,0,4,1,2
95AA09W1,2220,387,1244,669,410,47,118,26,346,217,459,58,275,139,84,13,39,3,71,52,1742,319,973,534,323,35,81,13,270,167,1563,231,938,518,314,33,73,12,250,132,119,52,30,16,9,2,3,1,11,25,42,34,0,0,0,0,0,0,2,6,4,1,0,0,0,0,0,0,0,3,14,1,5,0,0,0,5,0,7,1,38,13,6,1,4,1,0,10,9,0
95AA10W1,1953,712,810,437,224,54,95,23,292,116,393,156,136,66,45,6,19,1,84,16,1574,564,681,376,183,48,74,18,211,100,1326,392,649,365,169,48,67,18,186,81,200,145,31,10,14,0,7,0,9,15,27,20,0,0,0,0,0,0,3,4,10,3,0,0,0,0,0,0,7,0,11,4,1,1,0,0,0,0,6,0,10,0,4,0,0,0,4,4,2,0
95AA11S1,2800,832,1313,675,425,70,143,29,455,171,477,141,224,129,69,9,17,1,62,49,2333,700,1095,550,359,64,122,24,391,123,1913,444,1033,526,345,60,102,20,317,99,243,148,48,22,14,4,8,3,25,19,96,80,3,0,0,0,3,0,10,3,6,4,0,0,0,0,0,0,2,0,75,24,11,2,0,0,9,1,37,2,40,9,9,1,0,0,8,8,13,1
95AA11S2,2564,1043,987,516,292,44,135,24,346,164,249,114,76,37,19,8,12,1,35,23,2322,922,922,488,274,36,124,20,315,143,1951,640,888,476,266,33,113,17,277,129,290,228,28,11,8,3,6,1,26,7,32,27,0,0,0,0,0,0,1,4,13,13,0,0,0,0,0,0,0,0,36,14,6,1,0,0,5,2,11,3,59,43,6,3,0,0,3,4,6,0
95AA12W1,2775,133,2161,1491,357,31,282,20,332,129,390,20,310,236,29,4,41,0,45,15,2425,113,1883,1268,341,27,247,20,290,119,2286,82,1817,1241,313,27,236,19,270,98,131,29,62,25,28,0,9,1,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,2,0,0,2,0,2,0,7,1,2,0,1,0,1,1,2,1
95AA13S1,1745,1116,367,213,90,16,48,7,129,126,266,147,75,52,10,3,10,2,19,23,1507,987,293,162,80,13,38,5,114,108,1010,565,278,157,75,12,34,2,90,75,401,345,14,5,5,1,3,2,14,26,15,13,0,0,0,0,0,0,0,2,64,54,0,0,0,0,0,1,5,4,17,10,1,0,0,0,1,0,5,1,9,5,0,0,0,0,0,0,3,1
95AA13S2,1562,1023,334,187,88,5,54,2,101,102,295,168,85,54,21,2,8,0,23,19,1301,882,256,134,70,3,49,2,72,89,900,524,239,129,64,3,43,2,60,75,342,306,16,5,6,0,5,0,7,13,16,15,0,0,0,0,0,0,0,1,35,30,0,0,0,0,0,0,5,0,8,7,1,0,0,0,1,0,0,0,14,4,3,0,1,0,2,0,7,0
95AA14W1,2349,816,1215,836,169,27,183,13,178,127,477,164,262,204,32,4,22,7,21,23,1913,677,966,643,140,23,160,6,160,104,1565,408,918,611,135,23,149,6,139,94,342,264,48,32,5,0,11,0,21,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,12,3,4,0,0,0,4,0,4,1
95AA15S1,2641,998,1040,551,293,38,158,52,423,128,330,137,107,54,34,8,11,1,65,20,2278,856,919,497,258,30,134,32,361,110,1843,540,890,489,249,26,126,31,299,83,247,187,23,8,9,3,3,1,24,12,97,77,0,0,0,0,0,0,12,8,31,25,0,0,0,0,0,0,6,0,60,27,6,0,0,1,5,0,20,7,81,30,23,3,4,0,16,19,7,2
95AA15S2,1545,588,502,235,165,31,71,43,273,139,354,128,103,37,48,2,16,2,69,52,1156,461,391,200,117,29,45,21,198,85,878,266,369,191,112,27,39,14,158,71,160,107,15,8,5,2,0,4,23,11,50,47,0,0,0,0,0,0,3,0,46,36,4,0,0,0,4,0,4,2,22,5,3,1,0,0,2,3,10,1,55,13,10,0,0,0,10,21,9,2
95AA16W1,1807,291,1128,608,366,34,120,14,256,118,413,50,270,141,100,3,26,1,65,27,1398,242,867,473,270,30,94,6,191,92,1210,129,830,460,258,27,85,5,162,84,67,28,30,13,10,3,4,0,6,3,56,54,1,0,1,0,0,0,0,1,10,6,0,0,0,0,0,0,4,0,55,25,6,0,1,0,5,1,19,4,15,2,4,1,0,1,2,7,1,1
95AA17W1,2142,694,852,407,301,45,99,25,395,176,426,122,164,79,59,7,19,7,101,32,1716,572,684,328,243,35,78,17,296,147,1486,421,666,319,238,33,76,16,263,120,161,107,15,8,5,2,0,0,22,17,23,21,0,0,0,0,0,0,0,2,19,12,2,0,0,0,2,0,4,1,27,11,1,1,0,0,0,1,7,7,25,17,7,1,1,3,2,1,0,0
95AA18W1,2439,283,1608,1043,346,61,158,34,348,166,299,31,212,144,37,11,20,3,27,26,2199,264,1446,927,324,50,145,20,327,142,1974,178,1358,881,299,46,132,16,295,127,200,74,85,44,25,4,12,3,29,9,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,3,2,0,0,1,1,3,6,32,2,6,1,4,0,1,12,11,1
95AA19W1,2687,2335,170,94,37,3,36,3,56,123,740,628,59,39,7,3,10,0,22,31,1990,1743,115,56,34,0,25,3,36,93,1047,860,91,48,22,0,21,1,19,76,920,863,23,8,11,0,4,2,16,16,19,18,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,35,30,3,1,0,0,2,0,2,0
95BB01S1,1574,224,1051,679,158,48,166,14,190,95,215,39,133,101,20,0,12,3,19,21,1371,190,921,582,140,48,151,11,175,74,1262,126,893,571,131,47,144,11,166,66,105,61,28,11,9,1,7,0,8,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18,4,11,4,0,0,7,1,2,0
95BB01S2,2035,124,1473,928,283,66,196,11,333,94,301,18,224,143,39,8,34,0,50,9,1755,106,1267,794,250,62,161,11,285,86,1651,83,1220,766,240,58,156,8,257,83,91,21,45,27,9,4,5,3,19,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,11,0,2,1,1,0,0,0,9,0,16,1,10,1,0,5,4,0,5,0
95BB02W1,2347,184,1546,861,388,113,184,31,390,196,570,43,378,213,96,26,43,3,100,46,1811,139,1202,662,302,89,149,25,293,152,1638,89,1113,622,282,76,133,25,271,140,134,23,87,39,20,13,15,0,16,8,9,9,0,0,0,0,0,0,0,0,19,15,0,0,0,0,0,0,1,3,11,3,2,1,0,0,1,0,5,1,10,2,0,0,0,0,0,5,3,0
95BB03S1,2026,42,1590,811,535,57,187,17,268,109,413,5,325,187,99,3,36,3,49,31,1625,37,1275,627,442,55,151,14,220,79,1547,25,1224,611,416,54,143,13,208,77,66,3,51,16,26,1,8,1,9,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,14,0,9,0,2,0,7,1,4,0
95BB03S2,2193,132,1510,804,368,105,233,28,401,122,383,23,270,143,73,6,48,8,61,21,1833,112,1260,665,303,103,189,20,340,101,1720,86,1197,634,288,97,178,18,322,97,106,24,61,29,15,6,11,2,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,0,0,0,0,3,0,8,0,2,2,0,0,0,1,5,0
95BB04S1,1438,90,959,540,206,89,124,17,239,133,208,13,144,87,25,21,11,2,35,14,1258,84,834,462,186,69,117,13,205,122,1172,65,794,445,178,64,107,12,195,106,71,11,39,17,8,5,9,1,6,14,3,3,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,4,0,5,2,1,0,0,0,1,0,0,2,13,0,7,2,1,0,4,3,3,0
95BB04S2,1610,83,1215,620,299,101,195,5,237,70,165,5,129,79,26,6,18,0,16,15,1485,83,1116,559,281,95,181,5,226,55,1382,62,1055,526,264,94,171,5,207,53,95,18,59,33,17,1,8,0,16,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,2,0,3,0,5,1,1,1,0,0,0,0,3,0
95BB05S1,1490,44,1116,671,237,52,156,33,212,85,207,7,161,103,29,8,21,3,25,11,1304,40,970,579,210,46,135,30,190,74,1205,24,910,548,194,39,129,28,172,71,98,15,60,31,16,7,6,2,18,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,1,0,0,1,2,5,1
