GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
95GG31S3,1703,174,1529,1393,132,1261,125,22,103,69,6,63,116,14,102
95GG32S1,2308,241,2067,1945,182,1763,159,41,118,83,10,73,121,8,113
95GG32S2,1250,114,1136,1043,91,952,84,11,73,43,9,34,80,3,77
95GG32S3,1357,189,1168,1126,137,989,116,32,84,42,7,35,73,13,60
95GG33S1,1595,429,1166,1294,304,990,222,94,128,32,15,17,47,16,31
95GG33S2,1338,323,1015,1117,252,865,175,59,116,22,7,15,24,5,19
95GG33S3,1601,405,1196,1361,325,1036,182,67,115,23,3,20,35,10,25
95GG34S1,1150,157,993,958,123,835,103,25,78,19,3,16,70,6,64
95GG34S2,1334,230,1104,1084,182,902,155,37,118,32,6,26,63,5,58
95GG34S3,1573,282,1291,1327,225,1102,170,43,127,40,9,31,36,5,31
95GG35S1,1606,127,1479,1370,98,1272,70,10,60,49,5,44,117,14,103
95GG35S2,1206,102,1104,1034,82,952,48,12,36,42,3,39,82,5,77
95GG35S3,1119,91,1028,946,66,880,59,10,49,42,9,33,72,6,66
95GG36S1,1481,229,1252,1277,184,1093,121,34,87,32,5,27,51,6,45
95GG36S2,1582,302,1280,1305,224,1081,179,59,120,35,7,28,63,12,51
95GG36S3,1562,260,1302,1305,202,1103,184,49,135,20,3,17,53,6,47
95GG37S1,1714,437,1277,1442,318,1124,190,95,95,30,9,21,52,15,37
95GG37S2,1545,296,1249,1328,237,1091,149,49,100,27,7,20,41,3,38
95GG37S3,1859,295,1564,1637,250,1387,149,37,112,24,2,22,49,6,43
95GG38S1,2633,594,2039,2301,489,1812,250,85,165,35,12,23,47,8,39
95GG38S2,1591,306,1285,1372,245,1127,134,44,90,33,12,21,52,5,47
95GG38S3,1287,254,1033,1096,194,902,146,46,100,19,9,10,26,5,21
95GG39S1,2034,267,1767,1806,234,1572,97,27,70,55,2,53,76,4,72
95GG39S2,2327,300,2027,2070,255,1815,115,32,83,68,7,61,74,6,68
95GG39S3,1773,266,1507,1550,233,1317,103,23,80,56,4,52,64,6,58
95GG40S1,1294,69,1225,1125,54,1071,63,11,52,31,1,30,75,3,72
95GG40S2,1726,107,1619,1508,91,1417,81,10,71,39,0,39,98,6,92
95GG41S1,1619,428,1191,1338,323,1015,207,88,119,30,9,21,44,8,36
95GG41S2,1246,376,870,995,265,730,182,95,87,25,6,19,44,10,34
95GG41S3,1658,363,1295,1415,300,1115,164,50,114,29,4,25,50,9,41
95GG42S1,1472,356,1116,1227,275,952,168,67,101,32,7,25,45,7,38
95GG42S2,1708,721,987,1592,660,932,100,59,41,8,1,7,8,1,7
95GG42S3,2062,678,1384,1902,610,1292,124,61,63,15,2,13,21,5,16
95GG42S4,1878,434,1444,1619,344,1275,201,74,127,25,9,16,33,7,26
95GG43S1,1259,141,1118,1100,115,985,77,21,56,26,2,24,56,3,53
95GG43S2,1396,177,1219,1211,148,1063,111,24,87,22,3,19,52,2,50
95GG43S3,1432,195,1237,1250,162,1088,104,24,80,22,1,21,56,8,48
95GG44S1,2316,207,2109,2056,177,1879,108,20,88,60,6,54,92,4,88
95GG44S2,2168,236,1932,1890,191,1699,127,28,99,54,5,49,97,12,85
95GG45S1,1408,336,1072,1193,249,944,157,72,85,19,5,14,39,10,29
95GG45S2,1226,121,1105,1005,88,917,96,20,76,46,4,42,79,9,70
95GG45S3,1322,242,1080,1096,172,924,141,55,86,32,7,25,53,8,45
95GG46S1,1348,133,1215,1129,104,1025,92,18,74,45,2,43,82,9,73
95GG46S2,1418,134,1284,1149,90,1059,93,23,70,68,6,62,108,15,93
95GG46S3,1326,116,1210,1100,91,1009,78,17,61,52,3,49,96,5,91
95GG47S1,1831,218,1613,1574,176,1398,111,22,89,53,7,46,93,13,80
95GG47S2,1373,163,1210,1187,138,1049,83,19,64,41,3,38,62,3,59
95GG47S3,1425,208,1217,1202,156,1046,101,38,63,45,5,40,77,9,68
95GG48S1,1222,93,1129,1019,69,950,82,14,68,47,4,43,74,6,68
95GG48S2,1661,122,1539,1365,92,1273,81,16,65,79,7,72,136,7,129
95GG48S3,1259,95,1164,1039,76,963,73,10,63,52,4,48,95,5,90
95GG49S1,1441,336,1105,1292,295,997,106,30,76,16,6,10,27,5,22
95GG49S2,2123,597,1526,1963,534,1429,113,52,61,21,8,13,26,3,23
95GG49S3,1976,512,1464,1847,477,1370,87,32,55,18,3,15,24,0,24
95GG49S4,1935,523,1412,1775,470,1305,103,36,67,25,10,15,32,7,25
95GG50S1,1275,177,1098,1119,144,975,83,23,60,31,4,27,42,6,36
95GG50S2,1637,181,1456,1435,148,1287,96,20,76,38,4,34,68,9,59
95GG50S3,1565,177,1388,1384,150,1234,89,20,69,34,4,30,58,3,55
95GG51S1,1081,94,987,899,67,832,65,16,49,53,5,48,64,6,58
95GG51S2,1143,78,1065,989,60,929,58,10,48,37,2,35,59,6,53
95GG51S3,1095,78,1017,921,58,863,69,13,56,38,3,35,67,4,63
95HH01W1,1711,283,1428,1444,211,1233,163,46,117,43,11,32,61,15,46
95HH02S1,1088,197,891,908,150,758,115,39,76,18,3,15,47,5,42
95HH02S2,1205,207,998,1006,165,841,125,31,94,23,4,19,51,7,44
95HH03W1,1404,259,1145,1131,179,952,162,53,109,39,11,28,72,16,56
95HH04S1,1378,197,1181,1146,146,1000,137,37,100,32,7,25,63,7,56
95HH04S2,1153,174,979,960,136,824,113,28,85,35,7,28,45,3,42
95HH05W1,1630,136,1494,1405,107,1298,94,18,76,43,3,40,88,8,80
95HH06S1,1655,260,1395,1431,195,1236,145,49,96,32,6,26,47,10,37
95HH06S2,1956,302,1654,1646,213,1433,192,63,129,36,7,29,82,19,63
95HH07W1,1234,139,1095,1065,104,961,89,25,64,24,4,20,56,6,50
95HH08W1,2169,410,1759,1804,309,1495,253,81,172,38,8,30,74,12,62
95HH09W1,2301,300,2001,2024,250,1774,158,33,125,43,9,34,76,8,68
95HH10W1,1923,396,1527,1582,291,1291,236,77,159,47,13,34,58,15,43
95HH11W1,1143,87,1056,983,67,916,89,14,75,19,3,16,52,3,49
95HH12W1,1252,168,1084,1027,120,907,110,30,80,35,6,29,80,12,68
95HH13W1,1052,94,958,898,77,821,73,9,64,25,1,24,56,7,49
95HH14W1,1281,141,1140,1102,110,992,81,20,61,27,2,25,71,9,62
95HH15W1,2154,279,1875,1839,214,1625,174,42,132,54,11,43,87,12,75
95HH16W1,1767,333,1434,1492,259,1233,176,57,119,39,5,34,60,12,48
95HH17W1,1953,315,1638,1653,236,1417,206,60,146,41,8,33,53,11,42
95II01S1,1282,208,1074,1048,154,894,152,41,111,30,4,26,52,9,43
