GeographyCode,DC2252NI0001,DC2252NI0002,DC2252NI0003,DC2252NI0004,DC2252NI0005,DC2252NI0006,DC2252NI0007,DC2252NI0008,DC2252NI0009,DC2252NI0010,DC2252NI0011,DC2252NI0012,DC2252NI0013,DC2252NI0014,DC2252NI0015,DC2252NI0016,DC2252NI0017,DC2252NI0018,DC2252NI0019,DC2252NI0020,DC2252NI0021,DC2252NI0022,DC2252NI0023,DC2252NI0024,DC2252NI0025,DC2252NI0026,DC2252NI0027,DC2252NI0028,DC2252NI0029,DC2252NI0030,DC2252NI0031,DC2252NI0032,DC2252NI0033,DC2252NI0034,DC2252NI0035,DC2252NI0036,DC2252NI0037,DC2252NI0038,DC2252NI0039,DC2252NI0040,DC2252NI0041,DC2252NI0042,DC2252NI0043,DC2252NI0044,DC2252NI0045
95AA01S1,1113,161,516,24,412,125,10,45,0,70,896,116,436,14,330,23,17,2,0,4,4,3,1,0,0,11,1,10,0,0,2,1,0,1,0,9,2,2,1,4,43,11,20,8,4
95AA01S2,1829,1003,736,8,82,214,104,92,0,18,1120,459,603,5,53,409,381,20,0,8,51,34,14,0,3,4,1,2,1,0,3,2,1,0,0,18,16,1,1,0,10,6,3,1,0
95AA01S3,1502,321,1032,15,134,195,23,153,0,19,1097,182,813,12,90,121,81,32,0,8,29,8,20,0,1,8,3,4,0,1,2,0,0,0,2,40,22,7,0,11,10,2,3,3,2
95AA02W1,1734,570,1048,7,109,335,92,214,1,28,1175,321,801,4,49,134,107,21,1,5,19,11,6,0,2,7,3,2,0,2,1,0,1,0,0,55,34,0,0,21,8,2,3,1,2
95AA03W1,1822,195,1422,15,190,502,42,406,1,53,1209,101,983,4,121,50,27,18,1,4,11,2,8,0,1,3,0,2,0,1,2,0,1,0,1,31,22,1,1,7,14,1,3,8,2
95AA04W1,3013,832,1979,26,176,352,96,231,2,23,2238,438,1642,21,137,327,273,43,2,9,64,21,39,1,3,11,1,10,0,0,5,0,5,0,0,8,3,1,0,4,8,0,8,0,0
95AA05W1,2701,1683,900,12,106,519,300,194,0,25,1481,753,657,9,62,606,567,30,1,8,40,32,5,1,2,6,0,6,0,0,4,4,0,0,0,32,19,6,1,6,13,8,2,0,3
95AA06S1,1953,1585,319,3,46,288,219,63,1,5,886,610,242,1,33,693,680,7,0,6,53,48,5,0,0,1,0,1,0,0,7,7,0,0,0,6,4,0,0,2,19,17,1,1,0
95AA06S2,2694,2170,455,6,63,393,293,84,0,16,1244,854,349,6,35,985,959,15,0,11,41,35,6,0,0,3,2,0,0,1,4,4,0,0,0,22,21,1,0,0,2,2,0,0,0
95AA07W1,2140,336,1680,17,107,481,60,389,0,32,1473,161,1225,16,71,98,63,31,0,4,37,9,28,0,0,5,2,3,0,0,0,0,0,0,0,42,41,1,0,0,4,0,3,1,0
95AA08W1,1698,757,761,14,166,495,214,226,0,55,943,343,509,6,85,160,133,14,1,12,20,17,1,1,1,3,1,0,1,1,1,1,0,0,0,68,44,11,2,11,8,4,0,3,1
95AA09W1,2220,491,1466,28,235,459,73,326,4,56,1544,290,1088,13,153,102,65,26,1,10,17,2,14,0,1,2,1,0,0,1,0,0,0,0,0,59,47,5,0,7,37,13,7,10,7
95AA10W1,1953,806,939,25,183,393,178,161,2,52,1302,426,740,19,117,178,154,21,0,3,22,8,12,0,2,2,2,0,0,0,0,0,0,0,0,48,38,1,0,9,8,0,4,4,0
95AA11S1,2800,955,1548,37,260,477,158,277,1,41,1866,495,1199,21,151,210,163,38,1,8,30,13,11,2,4,17,9,3,2,3,3,0,2,0,1,175,114,13,1,47,22,3,5,9,5
95AA11S2,2564,1130,1190,25,219,249,124,88,1,36,1891,671,1051,17,152,237,206,19,0,12,45,25,17,1,2,9,7,1,0,1,4,4,0,0,0,81,61,8,2,10,48,32,6,4,6
95AA12W1,2775,197,2395,23,160,390,27,330,0,33,2239,123,1976,21,119,88,42,40,1,5,43,1,40,0,2,4,0,2,1,1,0,0,0,0,0,7,3,4,0,0,4,1,3,0,0
95AA13S1,1745,1201,456,7,81,266,160,90,2,14,975,581,342,2,50,368,345,20,2,1,31,24,3,0,4,4,4,0,0,0,2,2,0,0,0,95,84,1,1,9,4,1,0,0,3
95AA13S2,1562,1081,412,3,66,295,182,94,0,19,854,521,298,3,32,296,287,7,0,2,44,33,9,0,2,2,2,0,0,0,2,0,2,0,0,59,52,1,0,6,10,4,1,0,5
95AA14W1,2349,872,1373,13,91,477,167,290,7,13,1514,418,1020,6,70,289,248,36,0,5,51,30,21,0,0,0,0,0,0,0,2,2,0,0,0,6,5,1,0,0,10,2,5,0,3
95AA15S1,2641,1091,1226,62,262,330,149,132,1,48,1804,575,1033,37,159,204,175,21,1,7,34,23,9,0,2,4,2,2,0,0,8,4,1,0,3,188,139,8,1,40,69,24,20,22,3
95AA15S2,1545,665,652,44,184,354,153,139,3,59,859,279,476,13,91,141,110,14,4,13,18,15,2,0,1,1,0,0,1,0,1,0,0,0,1,118,91,8,3,16,53,17,13,20,3
95AA16W1,1807,344,1276,14,173,413,62,308,1,42,1191,161,922,5,103,49,27,19,0,3,18,3,15,0,0,1,1,0,0,0,0,0,0,0,0,121,89,7,1,24,14,1,5,7,1
95AA17W1,2142,813,1067,27,235,426,144,197,7,78,1462,470,839,18,135,141,114,16,0,11,19,15,4,0,0,4,1,1,0,2,0,0,0,0,0,67,53,4,1,9,23,16,6,1,0
95AA18W1,2439,341,1891,37,170,299,35,240,4,20,1883,199,1543,16,125,120,69,41,2,8,80,16,56,1,7,11,3,6,0,2,0,0,0,0,0,24,17,4,1,2,22,2,1,13,6
95AA19W1,2687,2410,231,6,40,740,643,79,2,16,986,849,119,2,16,848,819,23,2,4,55,47,6,0,2,0,0,0,0,0,11,10,1,0,0,23,21,1,0,1,24,21,2,0,1
95BB01S1,1574,255,1197,14,108,215,43,153,3,16,1232,137,1002,10,83,83,63,17,0,3,22,5,14,0,3,8,4,2,1,1,0,0,0,0,0,4,3,0,0,1,10,0,9,0,1
95BB01S2,2035,150,1697,11,177,301,20,244,0,37,1617,104,1388,8,117,64,22,29,3,10,24,1,21,0,2,8,0,7,0,1,1,0,1,0,0,12,2,2,0,8,8,1,5,0,2
95BB02W1,2347,224,1881,33,209,570,52,443,3,72,1594,111,1335,25,123,93,26,61,0,6,41,1,40,0,0,3,0,1,2,0,0,0,0,0,0,38,32,1,0,5,8,2,0,3,3
95BB03S1,2026,59,1781,22,164,413,8,367,4,34,1523,35,1351,16,121,49,4,39,0,6,15,0,14,1,0,7,0,6,0,1,0,0,0,0,0,12,10,0,0,2,7,2,4,1,0
95BB03S2,2193,174,1782,31,206,383,31,309,8,35,1690,111,1395,21,163,78,23,48,1,6,27,3,23,0,1,3,0,2,0,1,1,0,0,1,0,7,4,3,0,0,4,2,2,0,0
95BB04S1,1438,127,1150,19,142,208,14,161,2,31,1132,81,935,13,103,39,13,24,1,1,31,9,22,0,0,8,0,4,1,3,0,0,0,0,0,15,10,1,0,4,5,0,3,2,0
95BB04S2,1610,100,1388,5,117,165,6,144,0,15,1337,72,1166,5,94,53,12,37,0,4,42,6,35,0,1,3,0,2,0,1,0,0,0,0,0,8,3,4,0,1,2,1,0,0,1
95BB05S1,1490,54,1289,36,111,207,7,180,3,17,1174,28,1034,27,85,68,13,49,0,6,30,3,24,2,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,9,2,2,3,2
95BB05S2,1911,57,1658,18,178,336,7,284,2,43,1460,36,1280,16,128,67,8,54,0,5,34,2,31,0,1,6,1,5,0,0,1,0,0,0,1,5,3,2,0,0,2,0,2,0,0
95BB06W1,2870,335,2173,61,301,674,76,527,3,68,1953,175,1542,38,198,114,44,57,0,13,36,4,27,3,2,4,0,0,1,3,3,2,0,1,0,51,34,6,0,11,35,0,14,15,6
95BB07S1,1658,90,1367,21,180,345,9,291,3,42,1178,44,1011,12,111,53,16,34,0,3,20,1,15,0,4,5,2,3,0,0,2,0,1,0,1,35,17,3,0,15,20,1,9,6,4
95BB07S2,1295,28,1154,12,101,177,5,144,2,26,1072,18,971,9,74,19,4,14,0,1,13,0,13,0,0,4,0,4,0,0,1,0,0,1,0,4,1,3,0,0,5,0,5,0,0
95BB08S1,1331,90,1087,24,130,347,15,299,7,26,909,45,756,11,97,33,14,15,0,4,10,1,7,1,1,2,0,2,0,0,1,0,0,1,0,18,11,6,0,1,11,4,2,4,1
