GeographyCode,DC2417NI0001,DC2417NI0002,DC2417NI0003,DC2417NI0004,DC2417NI0005,DC2417NI0006,DC2417NI0007,DC2417NI0008,DC2417NI0009,DC2417NI0010,DC2417NI0011,DC2417NI0012,DC2417NI0013,DC2417NI0014,DC2417NI0015,DC2417NI0016,DC2417NI0017,DC2417NI0018,DC2417NI0019,DC2417NI0020,DC2417NI0021,DC2417NI0022,DC2417NI0023,DC2417NI0024,DC2417NI0025,DC2417NI0026,DC2417NI0027,DC2417NI0028,DC2417NI0029,DC2417NI0030,DC2417NI0031,DC2417NI0032,DC2417NI0033,DC2417NI0034,DC2417NI0035,DC2417NI0036,DC2417NI0037,DC2417NI0038,DC2417NI0039,DC2417NI0040,DC2417NI0041,DC2417NI0042,DC2417NI0043,DC2417NI0044,DC2417NI0045,DC2417NI0046,DC2417NI0047,DC2417NI0048,DC2417NI0049,DC2417NI0050,DC2417NI0051,DC2417NI0052,DC2417NI0053,DC2417NI0054,DC2417NI0055,DC2417NI0056,DC2417NI0057,DC2417NI0058,DC2417NI0059,DC2417NI0060,DC2417NI0061,DC2417NI0062,DC2417NI0063,DC2417NI0064,DC2417NI0065,DC2417NI0066,DC2417NI0067,DC2417NI0068,DC2417NI0069,DC2417NI0070,DC2417NI0071,DC2417NI0072,DC2417NI0073,DC2417NI0074,DC2417NI0075,DC2417NI0076,DC2417NI0077,DC2417NI0078,DC2417NI0079,DC2417NI0080,DC2417NI0081,DC2417NI0082,DC2417NI0083,DC2417NI0084,DC2417NI0085,DC2417NI0086,DC2417NI0087,DC2417NI0088,DC2417NI0089,DC2417NI0090,DC2417NI0091,DC2417NI0092,DC2417NI0093,DC2417NI0094,DC2417NI0095,DC2417NI0096,DC2417NI0097,DC2417NI0098,DC2417NI0099,DC2417NI0100,DC2417NI0101,DC2417NI0102,DC2417NI0103,DC2417NI0104,DC2417NI0105,DC2417NI0106,DC2417NI0107,DC2417NI0108,DC2417NI0109,DC2417NI0110,DC2417NI0111,DC2417NI0112,DC2417NI0113,DC2417NI0114,DC2417NI0115,DC2417NI0116,DC2417NI0117,DC2417NI0118,DC2417NI0119,DC2417NI0120,DC2417NI0121,DC2417NI0122,DC2417NI0123,DC2417NI0124,DC2417NI0125
95AA01S1,982,142,457,19,364,744,85,364,10,285,158,38,66,1,53,46,15,13,2,16,34,4,14,6,10,93,29,42,4,18,50,6,30,4,10,21,13,5,0,3,12,8,4,0,0,10,2,3,0,5,8,3,1,0,4,3,3,0,0,0,0,0,0,0,0,5,0,1,0,4,0,0,0,0,0,18,0,6,4,8,12,0,6,0,6,2,0,0,0,2,0,0,0,0,0,4,0,0,4,0,863,110,408,11,334,679,76,328,6,269,135,25,61,1,48,29,7,8,2,12,20,2,11,2,5
95AA01S2,1814,998,728,8,80,1345,711,577,3,54,239,139,84,0,16,151,88,50,5,8,79,60,17,0,2,1623,902,653,7,61,1270,678,543,3,46,196,119,69,0,8,99,55,33,4,7,58,50,8,0,0,15,9,6,0,0,2,0,2,0,0,2,0,2,0,0,10,8,2,0,0,1,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,169,80,69,1,19,73,33,32,0,8,41,20,13,0,8,42,25,15,1,1,13,2,9,0,2
95AA01S3,1494,318,1029,15,132,1072,205,778,8,81,245,68,148,0,29,122,29,74,1,18,55,16,29,6,4,1232,245,878,11,98,958,176,706,7,69,179,49,109,0,21,68,11,49,0,8,27,9,14,4,0,5,0,5,0,0,2,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,254,73,143,4,34,112,29,70,1,12,60,19,33,0,8,54,18,25,1,10,28,7,15,2,4
95AA02W1,1734,570,1048,7,109,678,213,437,5,23,528,172,326,1,29,346,107,200,1,38,182,78,85,0,19,1156,377,719,4,56,544,167,358,3,16,351,116,218,0,17,196,62,114,1,19,65,32,29,0,4,223,63,149,1,10,39,11,28,0,0,85,23,58,1,3,68,16,45,0,7,31,13,18,0,0,8,4,4,0,0,2,1,1,0,0,4,3,1,0,0,2,0,2,0,0,0,0,0,0,0,347,126,176,2,43,93,34,50,2,7,88,30,49,0,9,80,29,39,0,12,86,33,38,0,15
95AA03W1,1822,195,1422,15,190,641,74,520,7,40,587,45,464,7,71,427,49,315,1,62,167,27,123,0,17,1132,110,917,7,98,493,55,404,4,30,358,27,286,2,43,191,21,149,1,20,90,7,78,0,5,408,28,328,1,51,61,5,51,0,5,136,4,115,1,16,164,11,130,0,23,47,8,32,0,7,11,3,8,0,0,1,0,1,0,0,7,0,7,0,0,3,3,0,0,0,0,0,0,0,0,271,54,169,7,41,86,14,64,3,5,86,14,56,4,12,69,14,36,0,19,30,12,13,0,5
95AA04W1,3002,828,1973,26,175,2285,512,1622,18,133,338,102,208,8,20,258,158,86,0,14,121,56,57,0,8,2791,769,1837,22,163,2164,496,1525,18,125,306,98,185,4,19,226,134,81,0,11,95,41,46,0,8,13,3,6,3,1,5,0,4,0,1,6,1,2,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,56,130,1,11,116,16,93,0,7,26,3,21,1,1,32,24,5,0,3,24,13,11,0,0
95AA05W1,2654,1668,869,12,105,1684,1033,578,10,63,516,319,171,2,24,281,200,74,0,7,173,116,46,0,11,2229,1432,715,8,74,1541,965,518,7,51,348,229,108,1,10,211,146,58,0,7,129,92,31,0,6,132,85,38,0,9,22,11,11,0,0,66,40,18,0,8,37,28,9,0,0,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,151,116,4,22,121,57,49,3,12,102,50,45,1,6,33,26,7,0,0,37,18,15,0,4
95AA06S1,1953,1585,319,3,46,951,774,162,2,13,519,415,91,1,12,309,258,38,0,13,174,138,28,0,8,1613,1335,244,2,32,881,724,146,2,9,393,321,64,0,8,225,197,18,0,10,114,93,16,0,5,75,59,15,0,1,13,6,6,0,1,29,26,3,0,0,25,22,3,0,0,8,5,3,0,0,46,22,24,0,0,1,1,0,0,0,19,7,12,0,0,20,11,9,0,0,6,3,3,0,0,219,169,36,1,13,56,43,10,0,3,78,61,12,1,4,39,28,8,0,3,46,37,6,0,3
95AA06S2,2651,2150,436,2,63,1430,1162,242,2,24,615,516,91,0,8,376,282,76,0,18,230,190,27,0,13,2212,1828,344,2,38,1307,1076,209,2,20,514,442,69,0,3,229,169,52,0,8,162,141,14,0,7,117,85,30,0,2,18,13,5,0,0,34,22,12,0,0,43,36,6,0,1,22,14,7,0,1,91,69,16,0,6,1,1,0,0,0,16,13,2,0,1,49,33,11,0,5,25,22,3,0,0,231,168,46,0,17,104,72,28,0,4,51,39,8,0,4,55,44,7,0,4,21,13,3,0,5
95AA07W1,2119,327,1670,17,105,1327,166,1099,11,51,427,73,311,6,37,221,49,165,0,7,144,39,95,0,10,1680,219,1384,14,63,1191,146,996,11,38,291,42,229,3,17,138,22,112,0,4,60,9,47,0,4,145,21,112,2,10,18,2,15,0,1,57,7,39,2,9,28,5,23,0,0,42,7,35,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,293,87,173,1,32,118,18,88,0,12,78,24,42,1,11,55,22,30,0,3,42,23,13,0,6
95AA08W1,1676,748,748,14,166,669,268,338,4,59,430,199,193,0,38,375,170,146,10,49,202,111,71,0,20,1021,411,522,4,84,485,184,270,1,30,219,78,122,0,19,203,84,86,3,30,114,65,44,0,5,386,218,120,8,40,104,57,31,1,15,118,69,37,0,12,126,61,48,7,10,38,31,4,0,3,3,1,2,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,118,104,2,42,77,26,35,2,14,93,52,34,0,7,46,25,12,0,9,50,15,23,0,12
95AA09W1,2143,482,1399,27,235,929,190,640,15,84,614,127,403,11,73,442,116,263,1,62,158,49,93,0,16,1248,292,830,20,106,738,135,522,14,67,260,60,174,6,20,191,75,103,0,13,59,22,31,0,6,553,82,401,2,68,86,17,65,1,3,211,25,169,0,17,183,23,121,1,38,73,17,46,0,10,4,2,2,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,338,106,166,5,61,105,38,53,0,14,139,40,58,5,36,68,18,39,0,11,26,10,16,0,0
