GeographyCode,DC6202NI0001,DC6202NI0002,DC6202NI0003,DC6202NI0004,DC6202NI0005,DC6202NI0006,DC6202NI0007,DC6202NI0008,DC6202NI0009,DC6202NI0010,DC6202NI0011,DC6202NI0012,DC6202NI0013,DC6202NI0014,DC6202NI0015
95AA01S1,757,110,647,125,19,106,373,55,318,21,8,13,238,28,210
95AA01S2,1393,244,1149,727,120,607,617,119,498,7,1,6,42,4,38
95AA01S3,1194,219,975,260,36,224,848,169,679,11,4,7,75,10,65
95AA02W1,1468,164,1304,484,49,435,910,102,808,6,3,3,68,10,58
95AA03W1,1436,133,1303,151,11,140,1176,110,1066,13,1,12,96,11,85
95AA04W1,2373,453,1920,628,102,526,1620,328,1292,17,5,12,108,18,90
95AA05W1,2083,324,1759,1255,180,1075,756,134,622,9,2,7,63,8,55
95AA06S1,1437,199,1238,1131,154,977,270,40,230,3,1,2,33,4,29
95AA06S2,1909,233,1676,1495,186,1309,376,37,339,6,2,4,32,8,24
95AA07W1,1714,281,1433,266,39,227,1374,229,1145,14,5,9,60,8,52
95AA08W1,1347,148,1199,593,61,532,639,73,566,12,3,9,103,11,92
95AA09W1,1772,198,1574,399,28,371,1195,160,1035,25,0,25,153,10,143
95AA10W1,1551,208,1343,635,59,576,788,132,656,17,2,15,111,15,96
95AA11S1,2227,310,1917,775,103,672,1247,191,1056,30,4,26,175,12,163
95AA11S2,1925,216,1709,816,87,729,958,120,838,17,5,12,134,4,130
95AA12W1,2162,421,1741,145,19,126,1917,389,1528,19,2,17,81,11,70
95AA13S1,1330,184,1146,885,117,768,389,62,327,5,1,4,51,4,47
95AA13S2,1198,168,1030,806,114,692,351,51,300,3,0,3,38,3,35
95AA14W1,1852,318,1534,649,97,552,1143,209,934,11,3,8,49,9,40
95AA15S1,2016,222,1794,852,84,768,967,121,846,42,5,37,155,12,143
95AA15S2,1134,98,1036,497,38,459,515,51,464,31,2,29,91,7,84
95AA16W1,1463,117,1346,281,17,264,1060,96,964,12,0,12,110,4,106
95AA17W1,1669,170,1499,651,57,594,867,102,765,25,4,21,126,7,119
95AA18W1,2063,403,1660,282,56,226,1661,325,1336,32,6,26,88,16,72
95AA19W1,2006,243,1763,1797,204,1593,179,30,149,6,4,2,24,5,19
95BB01S1,1242,208,1034,219,32,187,945,163,782,12,1,11,66,12,54
95BB01S2,1595,237,1358,134,15,119,1346,210,1136,11,2,9,104,10,94
95BB02W1,2020,232,1788,199,16,183,1662,197,1465,28,5,23,131,14,117
95BB03S1,1614,182,1432,50,4,46,1448,170,1278,15,2,13,101,6,95
95BB03S2,1788,255,1533,149,22,127,1481,213,1268,25,3,22,133,17,116
95BB04S1,1258,171,1087,110,14,96,1025,142,883,17,2,15,106,13,93
95BB04S2,1356,255,1101,82,14,68,1205,231,974,5,1,4,64,9,55
95BB05S1,1209,217,992,44,6,38,1072,198,874,29,10,19,64,3,61
95BB05S2,1550,236,1314,49,7,42,1383,212,1171,16,7,9,102,10,92
95BB06W1,2484,251,2233,290,32,258,1924,193,1731,47,4,43,223,22,201
95BB07S1,1390,153,1237,76,5,71,1188,134,1054,16,2,14,110,12,98
95BB07S2,1055,147,908,26,2,24,960,137,823,12,2,10,57,6,51
95BB08S1,1085,102,983,73,5,68,927,86,841,17,3,14,68,8,60
95BB08S2,1017,135,882,55,4,51,887,122,765,10,0,10,65,9,56
95BB09S1,1129,173,956,50,7,43,992,159,833,7,3,4,80,4,76
95BB09S2,1378,255,1123,65,6,59,1201,230,971,8,4,4,104,15,89
95BB10S1,1462,225,1237,116,17,99,1209,189,1020,26,5,21,111,14,97
95BB10S2,1366,283,1083,84,17,67,1190,254,936,16,1,15,76,11,65
95BB11S1,1122,124,998,46,10,36,996,103,893,13,1,12,67,10,57
95BB11S2,1358,190,1168,79,15,64,1189,173,1016,20,0,20,70,2,68
95BB12S1,1115,118,997,127,11,116,845,97,748,23,2,21,120,8,112
95BB12S2,1062,213,849,81,10,71,909,193,716,11,3,8,61,7,54
95BB13S1,1050,163,887,71,10,61,876,139,737,13,1,12,90,13,77
95BB13S2,1197,146,1051,106,25,81,1000,110,890,20,2,18,71,9,62
95BB13S3,1201,165,1036,72,6,66,1025,151,874,8,2,6,96,6,90
95BB14S1,1234,219,1015,65,14,51,1087,191,896,12,4,8,70,10,60
95BB14S2,1299,263,1036,82,19,63,1101,229,872,18,4,14,98,11,87
95BB15S1,1535,216,1319,791,104,687,665,103,562,12,2,10,67,7,60
95BB15S2,1164,137,1027,770,87,683,344,45,299,2,0,2,48,5,43
95BB16S1,1281,238,1043,60,9,51,1143,212,931,8,4,4,70,13,57
95BB16S2,1290,245,1045,86,16,70,1114,217,897,11,1,10,79,11,68
95BB17S1,1352,147,1205,102,7,95,1117,124,993,7,0,7,126,16,110
95BB17S2,1359,211,1148,80,8,72,1137,184,953,17,5,12,125,14,111
95BB18S1,1328,165,1163,39,6,33,1175,147,1028,13,2,11,101,10,91
95BB18S2,1980,340,1640,127,28,99,1681,295,1386,12,2,10,160,15,145
95BB19S1,1318,187,1131,136,16,120,1092,162,930,11,0,11,79,9,70
95BB19S2,1338,219,1119,93,14,79,1120,189,931,6,1,5,119,15,104
95BB19S3,1063,159,904,82,10,72,879,137,742,15,0,15,87,12,75
95BB20S1,1499,275,1224,1113,191,922,333,75,258,2,1,1,51,8,43
95BB20S2,1230,153,1077,1023,125,898,162,24,138,6,1,5,39,3,36
95BB21S1,1853,194,1659,67,8,59,1676,172,1504,25,4,21,85,10,75
95BB21S2,1818,249,1569,377,52,325,1295,179,1116,14,0,14,132,18,114
95BB22S1,1145,124,1021,70,6,64,950,107,843,6,0,6,119,11,108
95BB22S2,1093,85,1008,67,3,64,926,73,853,6,0,6,94,9,85
95BB23S1,1303,220,1083,169,28,141,1030,178,852,12,0,12,92,14,78
95BB23S2,1228,193,1035,103,13,90,1032,167,865,23,3,20,70,10,60
95CC01W1,2046,254,1792,1778,228,1550,225,19,206,10,4,6,33,3,30
95CC02W1,2140,388,1752,1500,268,1232,608,112,496,3,0,3,29,8,21
95CC03W1,2141,258,1883,1827,224,1603,190,21,169,25,2,23,99,11,88
95CC04W1,1879,278,1601,1307,184,1123,547,91,456,5,1,4,20,2,18
95CC05W1,2112,300,1812,1367,184,1183,687,104,583,16,4,12,42,8,34
95CC06S1,1173,218,955,688,142,546,427,69,358,16,0,16,42,7,35
95CC06S2,1013,164,849,496,83,413,496,78,418,3,1,2,18,2,16
95CC07W1,2554,369,2185,2064,308,1756,455,56,399,9,2,7,26,3,23
95CC08W1,1988,252,1736,1811,223,1588,132,20,112,7,3,4,38,6,32
95CC09S1,1164,218,946,131,24,107,994,189,805,7,1,6,32,4,28
95CC09S2,1466,233,1233,96,9,87,1305,216,1089,16,0,16,49,8,41
95CC10W1,2101,385,1716,397,75,322,1621,301,1320,17,3,14,66,6,60
