GeographyCode,DC2108NI0001,DC2108NI0002,DC2108NI0003,DC2108NI0004,DC2108NI0005,DC2108NI0006,DC2108NI0007,DC2108NI0008,DC2108NI0009,DC2108NI0010,DC2108NI0011,DC2108NI0012,DC2108NI0013,DC2108NI0014,DC2108NI0015,DC2108NI0016,DC2108NI0017,DC2108NI0018,DC2108NI0019,DC2108NI0020,DC2108NI0021,DC2108NI0022,DC2108NI0023,DC2108NI0024,DC2108NI0025,DC2108NI0026,DC2108NI0027,DC2108NI0028,DC2108NI0029,DC2108NI0030,DC2108NI0031,DC2108NI0032,DC2108NI0033,DC2108NI0034,DC2108NI0035,DC2108NI0036,DC2108NI0037,DC2108NI0038,DC2108NI0039,DC2108NI0040,DC2108NI0041,DC2108NI0042,DC2108NI0043,DC2108NI0044,DC2108NI0045,DC2108NI0046,DC2108NI0047,DC2108NI0048,DC2108NI0049,DC2108NI0050,DC2108NI0051,DC2108NI0052,DC2108NI0053,DC2108NI0054,DC2108NI0055,DC2108NI0056,DC2108NI0057,DC2108NI0058,DC2108NI0059,DC2108NI0060,DC2108NI0061,DC2108NI0062,DC2108NI0063,DC2108NI0064,DC2108NI0065,DC2108NI0066,DC2108NI0067,DC2108NI0068,DC2108NI0069,DC2108NI0070,DC2108NI0071,DC2108NI0072,DC2108NI0073,DC2108NI0074,DC2108NI0075,DC2108NI0076,DC2108NI0077,DC2108NI0078,DC2108NI0079,DC2108NI0080,DC2108NI0081,DC2108NI0082,DC2108NI0083,DC2108NI0084,DC2108NI0085,DC2108NI0086,DC2108NI0087,DC2108NI0088,DC2108NI0089,DC2108NI0090
95MM17S2,1466,1298,49,12,1,81,3,6,16,602,516,26,6,0,39,2,4,9,544,466,24,5,0,35,2,3,9,58,50,2,1,0,4,0,1,0,864,782,23,6,1,42,1,2,7,582,543,12,4,1,14,1,2,5,15,15,0,0,0,0,0,0,0,80,67,2,1,0,10,0,0,0,101,93,4,0,0,3,0,0,1,86,64,5,1,0,15,0,0,1
95MM18S1,1711,1554,62,17,1,57,8,6,6,940,838,41,14,1,38,5,0,3,850,759,37,9,1,37,4,0,3,90,79,4,5,0,1,1,0,0,771,716,21,3,0,19,3,6,3,564,535,14,0,0,8,2,4,1,28,22,0,0,0,4,0,1,1,47,41,4,1,0,1,0,0,0,48,42,2,1,0,1,1,1,0,84,76,1,1,0,5,0,0,1
95MM18S2,2075,1800,113,17,4,90,7,8,36,1190,1016,70,11,2,60,4,5,22,1088,930,61,10,2,57,3,5,20,102,86,9,1,0,3,1,0,2,885,784,43,6,2,30,3,3,14,668,610,31,3,2,14,1,3,4,14,9,1,0,0,1,0,0,3,76,64,4,2,0,3,1,0,2,82,70,6,0,0,5,0,0,1,45,31,1,1,0,7,1,0,4
95MM19S1,1337,1148,47,10,1,86,13,8,24,744,624,30,5,1,58,5,7,14,678,573,28,2,1,53,2,5,14,66,51,2,3,0,5,3,2,0,593,524,17,5,0,28,8,1,10,399,367,8,3,0,9,6,1,5,18,15,0,0,0,2,0,0,1,32,29,1,0,0,0,1,0,1,59,46,5,1,0,5,0,0,2,85,67,3,1,0,12,1,0,1
95MM19S2,1141,933,66,10,2,53,6,40,31,601,489,31,2,2,22,1,32,22,456,363,23,2,2,19,1,24,22,145,126,8,0,0,3,0,8,0,540,444,35,8,0,31,5,8,9,385,330,19,6,0,18,4,6,2,10,6,2,0,0,1,0,0,1,41,34,5,0,0,2,0,0,0,67,49,6,2,0,5,1,1,3,37,25,3,0,0,5,0,1,3
95MM20S1,1305,1123,70,16,3,54,8,8,23,692,590,39,9,3,28,4,5,14,616,521,36,8,3,28,4,3,13,76,69,3,1,0,0,0,2,1,613,533,31,7,0,26,4,3,9,360,320,20,2,0,7,3,3,5,13,10,0,0,0,1,0,0,2,43,40,1,1,0,1,0,0,0,92,77,7,3,0,2,1,0,2,105,86,3,1,0,15,0,0,0
95MM20S2,1441,1179,75,16,3,76,10,18,64,760,594,46,10,1,40,6,13,50,664,516,37,9,1,37,5,11,48,96,78,9,1,0,3,1,2,2,681,585,29,6,2,36,4,5,14,398,356,17,3,1,10,2,1,8,18,11,1,0,0,2,0,1,3,47,37,3,1,0,4,1,1,0,92,78,4,0,1,5,1,2,1,126,103,4,2,0,15,0,0,2
95MM21S1,1250,1126,40,9,4,46,10,4,11,674,598,22,9,3,28,5,2,7,616,543,21,9,3,26,5,2,7,58,55,1,0,0,2,0,0,0,576,528,18,0,1,18,5,2,4,385,361,11,0,1,5,3,2,2,4,3,0,0,0,1,0,0,0,42,41,0,0,0,1,0,0,0,68,60,4,0,0,2,1,0,1,77,63,3,0,0,9,1,0,1
95MM21S2,1437,1207,72,18,0,88,5,8,39,848,689,48,11,0,61,5,4,30,792,644,44,11,0,59,5,1,28,56,45,4,0,0,2,0,3,2,589,518,24,7,0,27,0,4,9,424,389,15,1,0,10,0,2,7,10,9,0,0,0,1,0,0,0,40,31,4,1,0,4,0,0,0,38,36,0,0,0,0,0,1,1,77,53,5,5,0,12,0,1,1
95MM22S1,1001,861,32,11,2,70,4,4,17,488,407,16,9,2,43,3,3,5,448,376,13,9,2,40,1,3,4,40,31,3,0,0,3,2,0,1,513,454,16,2,0,27,1,1,12,335,302,12,0,0,11,1,1,8,15,11,0,0,0,3,0,0,1,40,32,1,0,0,6,0,0,1,35,31,2,0,0,2,0,0,0,88,78,1,2,0,5,0,0,2
