GeographyCode,DC4402NI0001,DC4402NI0002,DC4402NI0003,DC4402NI0004,DC4402NI0005,DC4402NI0006,DC4402NI0007,DC4402NI0008,DC4402NI0009,DC4402NI0010,DC4402NI0011,DC4402NI0012,DC4402NI0013,DC4402NI0014,DC4402NI0015,DC4402NI0016,DC4402NI0017,DC4402NI0018,DC4402NI0019,DC4402NI0020,DC4402NI0021,DC4402NI0022,DC4402NI0023,DC4402NI0024,DC4402NI0025,DC4402NI0026,DC4402NI0027,DC4402NI0028,DC4402NI0029,DC4402NI0030,DC4402NI0031,DC4402NI0032,DC4402NI0033,DC4402NI0034,DC4402NI0035,DC4402NI0036,DC4402NI0037,DC4402NI0038,DC4402NI0039,DC4402NI0040,DC4402NI0041,DC4402NI0042,DC4402NI0043,DC4402NI0044,DC4402NI0045,DC4402NI0046,DC4402NI0047,DC4402NI0048,DC4402NI0049,DC4402NI0050,DC4402NI0051,DC4402NI0052,DC4402NI0053,DC4402NI0054,DC4402NI0055,DC4402NI0056,DC4402NI0057,DC4402NI0058,DC4402NI0059,DC4402NI0060,DC4402NI0061,DC4402NI0062,DC4402NI0063,DC4402NI0064,DC4402NI0065,DC4402NI0066,DC4402NI0067,DC4402NI0068,DC4402NI0069,DC4402NI0070,DC4402NI0071,DC4402NI0072,DC4402NI0073,DC4402NI0074,DC4402NI0075,DC4402NI0076,DC4402NI0077,DC4402NI0078,DC4402NI0079,DC4402NI0080,DC4402NI0081,DC4402NI0082,DC4402NI0083,DC4402NI0084,DC4402NI0085,DC4402NI0086,DC4402NI0087,DC4402NI0088,DC4402NI0089,DC4402NI0090,DC4402NI0091,DC4402NI0092,DC4402NI0093,DC4402NI0094,DC4402NI0095,DC4402NI0096,DC4402NI0097,DC4402NI0098,DC4402NI0099,DC4402NI0100,DC4402NI0101,DC4402NI0102,DC4402NI0103,DC4402NI0104,DC4402NI0105,DC4402NI0106,DC4402NI0107,DC4402NI0108,DC4402NI0109,DC4402NI0110,DC4402NI0111,DC4402NI0112,DC4402NI0113,DC4402NI0114,DC4402NI0115,DC4402NI0116,DC4402NI0117,DC4402NI0118,DC4402NI0119,DC4402NI0120,DC4402NI0121,DC4402NI0122,DC4402NI0123,DC4402NI0124,DC4402NI0125,DC4402NI0126,DC4402NI0127,DC4402NI0128,DC4402NI0129,DC4402NI0130,DC4402NI0131,DC4402NI0132
95AA01S1,310,5,21,0,2,7,24,186,1,59,5,310,5,21,0,2,7,24,186,1,59,5,305,5,19,0,2,7,22,185,1,59,5,72,2,12,0,0,2,4,39,0,13,0,212,2,2,0,1,5,13,141,1,44,3,21,1,5,0,1,0,5,5,0,2,2,5,0,2,0,0,0,2,1,0,0,0,5,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA01S2,624,230,310,0,11,1,45,4,7,2,14,624,230,310,0,11,1,45,4,7,2,14,598,228,297,0,6,1,41,4,6,2,13,481,195,250,0,3,0,18,3,3,2,7,61,18,21,0,2,1,15,1,0,0,3,56,15,26,0,1,0,8,0,3,0,3,23,1,12,0,4,0,4,0,1,0,1,21,1,12,0,4,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA01S3,588,215,253,1,3,1,85,4,7,3,16,588,215,253,1,3,1,85,4,7,3,16,533,204,240,1,2,1,57,4,7,2,15,289,155,102,0,0,0,16,2,4,0,10,105,24,55,1,2,1,15,2,1,1,3,139,25,83,0,0,0,26,0,2,1,2,54,11,13,0,1,0,28,0,0,1,0,49,11,13,0,1,0,24,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95AA02W1,839,253,245,5,141,7,148,0,12,2,26,839,253,245,5,141,7,148,0,12,2,26,654,232,224,4,70,6,87,0,9,0,22,78,30,31,0,3,0,10,0,0,0,4,98,22,39,1,14,2,15,0,2,0,3,478,180,154,3,53,4,62,0,7,0,15,185,21,21,1,71,1,61,0,3,2,4,182,20,21,1,71,1,59,0,3,2,4,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA03W1,845,206,263,7,226,7,112,3,6,0,15,845,206,263,7,226,7,112,3,6,0,15,806,205,261,7,209,6,94,3,6,0,15,74,17,32,0,15,0,7,0,1,0,2,170,47,52,1,41,5,21,1,0,0,2,562,141,177,6,153,1,66,2,5,0,11,39,1,2,0,17,1,18,0,0,0,0,36,1,1,0,16,1,17,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA04W1,1014,480,439,5,5,0,53,0,8,0,24,1014,480,439,5,5,0,53,0,8,0,24,991,466,436,3,4,0,51,0,8,0,23,852,417,377,1,0,0,28,0,7,0,22,82,27,36,1,1,0,16,0,0,0,1,57,22,23,1,3,0,7,0,1,0,0,9,3,1,2,1,0,1,0,0,0,1,9,3,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA05W1,920,357,370,3,68,0,83,1,10,4,24,920,357,370,3,68,0,83,1,10,4,24,908,355,368,3,65,0,78,1,10,4,24,522,245,218,1,3,0,31,0,6,1,17,327,101,135,2,36,0,42,0,4,3,4,59,9,15,0,26,0,5,1,0,0,3,10,0,2,0,3,0,5,0,0,0,0,8,0,1,0,3,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA06S1,710,180,362,10,38,36,54,4,11,2,13,710,180,362,10,38,36,54,4,11,2,13,643,177,351,6,32,13,47,1,10,0,6,262,82,160,0,0,6,11,0,0,0,3,263,64,142,4,15,4,22,1,8,0,3,118,31,49,2,17,3,14,0,2,0,0,67,3,11,4,6,23,7,3,1,2,7,63,3,10,3,6,23,5,3,1,2,7,2,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA06S2,860,157,513,9,58,27,61,1,11,5,18,860,157,513,9,58,27,61,1,11,5,18,814,154,509,9,40,16,55,1,9,4,17,348,60,260,1,5,1,16,0,3,1,1,288,59,176,6,13,1,22,1,2,3,5,178,35,73,2,22,14,17,0,4,0,11,46,3,4,0,18,11,6,0,2,1,1,38,1,3,0,18,11,2,0,1,1,1,2,1,0,0,0,0,1,0,0,0,0,6,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA07W1,820,344,273,1,69,1,95,2,11,2,22,820,344,273,1,69,1,95,2,11,2,22,803,341,272,1,60,1,92,2,11,2,21,434,224,163,0,5,0,27,1,2,0,12,134,55,31,0,23,0,16,1,2,2,4,235,62,78,1,32,1,49,0,7,0,5,15,1,1,0,9,0,3,0,0,0,1,15,1,1,0,9,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA08W1,699,171,233,12,160,1,96,0,5,0,21,699,171,233,12,160,1,96,0,5,0,21,670,166,233,12,150,1,83,0,5,0,20,70,21,27,1,12,1,1,0,1,0,6,106,32,33,1,13,0,21,0,1,0,5,494,113,173,10,125,0,61,0,3,0,9,29,5,0,0,10,0,13,0,0,0,1,29,5,0,0,10,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA09W1,943,248,267,1,274,2,124,0,5,0,22,943,248,267,1,274,2,124,0,5,0,22,819,241,261,1,185,2,107,0,5,0,17,249,140,80,0,8,0,15,0,0,0,6,74,15,26,0,17,1,11,0,1,0,3,496,86,155,1,160,1,81,0,4,0,8,123,7,6,0,88,0,17,0,0,0,5,118,6,6,0,85,0,16,0,0,0,5,5,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA10W1,792,234,249,6,216,6,54,0,7,1,19,792,234,249,6,216,6,54,0,7,1,19,709,230,244,6,151,6,52,0,7,1,12,218,111,85,0,6,1,8,0,1,1,5,245,87,97,5,28,4,16,0,5,0,3,246,32,62,1,117,1,28,0,1,0,4,83,4,5,0,65,0,2,0,0,0,7,81,3,5,0,64,0,2,0,0,0,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA11S1,1123,274,520,6,61,27,185,2,13,5,30,1123,274,520,6,61,27,185,2,13,5,30,1024,268,508,6,54,2,141,2,11,2,30,406,156,203,0,8,0,23,2,2,0,12,260,39,154,3,8,0,46,0,6,0,4,358,73,151,3,38,2,72,0,3,2,14,99,6,12,0,7,25,44,0,2,3,0,88,5,11,0,6,24,37,0,2,3,0,9,0,1,0,1,0,7,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA11S2,870,204,533,8,2,10,98,0,4,1,10,870,204,533,8,2,10,98,0,4,1,10,853,204,528,8,1,10,87,0,4,1,10,351,111,219,0,0,0,16,0,0,0,5,358,65,239,2,1,4,43,0,1,0,3,144,28,70,6,0,6,28,0,3,1,2,17,0,5,0,1,0,11,0,0,0,0,15,0,4,0,1,0,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA12W1,971,420,417,1,22,11,56,0,8,0,36,971,420,417,1,22,11,56,0,8,0,36,965,419,417,1,22,11,52,0,8,0,35,787,376,347,0,1,0,34,0,4,0,25,128,35,53,0,10,9,11,0,2,0,8,50,8,17,1,11,2,7,0,2,0,2,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95AA13S1,625,195,232,3,21,25,115,0,11,3,20,624,195,232,3,21,25,114,0,11,3,20,573,192,227,3,10,24,86,0,10,1,20,278,109,132,1,0,5,19,0,4,1,7,197,53,78,2,4,18,35,0,4,0,3,98,30,17,0,6,1,32,0,2,0,10,51,3,5,0,11,1,28,0,1,2,0,35,2,4,0,8,1,18,0,1,1,0,8,1,1,0,3,0,2,0,0,1,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
95AA13S2,614,147,271,2,36,34,107,0,5,3,9,614,147,271,2,36,34,107,0,5,3,9,573,145,271,2,33,11,96,0,5,2,8,196,67,107,0,2,0,16,0,2,0,2,272,51,137,1,13,3,58,0,2,1,6,105,27,27,1,18,8,22,0,1,1,0,41,2,0,0,3,23,11,0,0,1,1,31,0,0,0,3,23,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
