GeographyCode,DC2415NI0001,DC2415NI0002,DC2415NI0003,DC2415NI0004,DC2415NI0005,DC2415NI0006,DC2415NI0007,DC2415NI0008,DC2415NI0009,DC2415NI0010,DC2415NI0011,DC2415NI0012,DC2415NI0013,DC2415NI0014,DC2415NI0015,DC2415NI0016,DC2415NI0017,DC2415NI0018,DC2415NI0019,DC2415NI0020,DC2415NI0021,DC2415NI0022,DC2415NI0023,DC2415NI0024,DC2415NI0025,DC2415NI0026,DC2415NI0027,DC2415NI0028,DC2415NI0029,DC2415NI0030,DC2415NI0031,DC2415NI0032,DC2415NI0033,DC2415NI0034,DC2415NI0035,DC2415NI0036,DC2415NI0037,DC2415NI0038,DC2415NI0039,DC2415NI0040,DC2415NI0041,DC2415NI0042,DC2415NI0043,DC2415NI0044,DC2415NI0045,DC2415NI0046,DC2415NI0047,DC2415NI0048,DC2415NI0049,DC2415NI0050,DC2415NI0051,DC2415NI0052,DC2415NI0053,DC2415NI0054,DC2415NI0055,DC2415NI0056,DC2415NI0057,DC2415NI0058,DC2415NI0059,DC2415NI0060,DC2415NI0061,DC2415NI0062,DC2415NI0063,DC2415NI0064,DC2415NI0065,DC2415NI0066,DC2415NI0067,DC2415NI0068,DC2415NI0069,DC2415NI0070,DC2415NI0071,DC2415NI0072,DC2415NI0073,DC2415NI0074,DC2415NI0075,DC2415NI0076,DC2415NI0077,DC2415NI0078,DC2415NI0079,DC2415NI0080,DC2415NI0081,DC2415NI0082,DC2415NI0083,DC2415NI0084,DC2415NI0085,DC2415NI0086,DC2415NI0087,DC2415NI0088,DC2415NI0089,DC2415NI0090,DC2415NI0091,DC2415NI0092,DC2415NI0093,DC2415NI0094,DC2415NI0095,DC2415NI0096,DC2415NI0097,DC2415NI0098,DC2415NI0099,DC2415NI0100,DC2415NI0101,DC2415NI0102,DC2415NI0103,DC2415NI0104,DC2415NI0105,DC2415NI0106,DC2415NI0107,DC2415NI0108,DC2415NI0109,DC2415NI0110,DC2415NI0111,DC2415NI0112,DC2415NI0113,DC2415NI0114,DC2415NI0115,DC2415NI0116,DC2415NI0117,DC2415NI0118,DC2415NI0119,DC2415NI0120,DC2415NI0121,DC2415NI0122,DC2415NI0123,DC2415NI0124,DC2415NI0125,DC2415NI0126,DC2415NI0127,DC2415NI0128,DC2415NI0129,DC2415NI0130,DC2415NI0131,DC2415NI0132,DC2415NI0133,DC2415NI0134,DC2415NI0135,DC2415NI0136,DC2415NI0137,DC2415NI0138,DC2415NI0139,DC2415NI0140,DC2415NI0141,DC2415NI0142,DC2415NI0143,DC2415NI0144,DC2415NI0145,DC2415NI0146,DC2415NI0147,DC2415NI0148,DC2415NI0149,DC2415NI0150
N92000002,703275,296577,372213,6654,27831,159659,72895,77473,1804,7487,291016,121856,154079,2964,12117,190196,76336,105687,1479,6694,62404,25490,34974,407,1533,470507,190700,262190,3561,14056,48892,21661,25662,348,1221,194473,78117,108491,1635,6230,168663,67049,95087,1212,5315,58479,23873,32950,366,1290,4244,1726,2218,44,256,768,388,320,8,52,2426,955,1291,28,152,907,333,521,8,45,143,50,86,0,7,104885,46000,53757,857,4271,62115,27745,31444,456,2470,37914,16247,19740,364,1563,4222,1698,2277,30,217,634,310,296,7,21,106016,51279,43971,2035,8731,39164,19493,15247,921,3503,49719,23994,20889,870,3966,14445,6652,6520,215,1058,2688,1140,1315,29,204,17623,6872,10077,157,517,8720,3608,4800,71,241,6484,2543,3668,67,206,1959,604,1282,14,59,460,117,327,5,11
BHSCT,148328,60176,77559,2274,8319,53341,22938,26282,938,3183,61963,24448,33117,927,3471,27057,10566,14761,338,1392,5967,2224,3399,71,273,82996,33050,45648,862,3436,15231,6826,7772,134,499,39912,15582,22172,420,1738,22888,8850,12779,251,1008,4965,1792,2925,57,191,919,417,427,12,63,244,131,93,2,18,503,223,239,7,34,149,55,80,3,11,23,8,15,0,0,34700,13720,19007,338,1635,23138,9640,12246,207,1045,10479,3760,6094,121,504,968,275,607,7,79,115,45,60,3,7,26068,11752,10295,1008,3013,12260,5476,4711,564,1509,10126,4564,4060,359,1143,2860,1342,1157,75,286,822,370,367,10,75,3645,1237,2182,54,172,2468,865,1460,31,112,943,319,552,20,52,192,44,138,2,8,42,9,32,1,0
NHSCT,177914,53944,115324,1514,7132,33276,9465,21845,314,1652,73877,21994,48012,678,3193,52554,16301,33985,408,1860,18207,6184,11482,114,427,126501,38058,83509,964,3970,10968,3097,7480,96,295,51228,14624,34415,421,1768,47065,14460,30738,343,1524,17240,5877,10876,104,383,1119,335,705,9,70,144,53,79,2,10,678,198,426,5,49,259,74,172,2,11,38,10,28,0,0,21174,5358,14678,169,969,12085,2956,8495,79,555,8002,2094,5466,82,360,949,258,635,7,49,138,50,82,1,5,24665,8993,13354,322,1996,8162,2820,4473,117,752,12147,4575,6476,149,947,3719,1375,2034,50,260,637,223,371,6,37,4455,1200,3078,50,127,1917,539,1318,20,40,1822,503,1229,21,69,562,134,406,6,16,154,24,125,3,2
SEHSCT,136698,39157,88981,1300,7260,24173,7993,14575,221,1384,56979,16350,36794,656,3179,42292,11274,28508,335,2175,13254,3540,9104,88,522,98710,26603,66998,833,4276,8145,2420,5401,63,261,39764,10746,26856,412,1750,38179,10070,26029,277,1803,12622,3367,8712,81,462,1116,332,685,10,89,151,41,92,1,17,664,212,392,9,51,269,69,182,0,18,32,10,19,0,3,17644,5807,10704,166,967,9652,3310,5755,78,509,7035,2221,4342,79,393,856,238,553,8,57,101,38,54,1,8,16284,5624,8582,267,1811,4852,1817,2413,71,551,8377,2857,4441,145,934,2643,832,1483,45,283,412,118,245,6,43,2944,791,2012,24,117,1373,405,914,8,46,1139,314,763,11,51,345,65,261,5,14,87,7,74,0,6
SHSCT,131129,71338,55496,925,3370,23463,14129,8363,179,792,53579,29468,22189,428,1494,39607,20423,18092,229,863,14480,7318,6852,89,221,91375,47928,41355,539,1553,7539,4438,2972,29,100,35100,18698,15554,232,616,35048,17889,16306,197,656,13688,6903,6523,81,181,626,341,252,6,27,126,86,35,1,4,332,165,147,4,16,138,77,55,1,5,30,13,15,0,2,14218,8320,5341,112,445,7401,4409,2713,53,226,5920,3409,2267,51,193,755,425,298,6,26,142,77,63,2,0,21404,12987,6881,251,1285,6908,4406,1976,89,437,10807,6471,3557,132,647,3175,1830,1155,25,165,514,280,193,5,36,3506,1762,1667,17,60,1489,790,667,7,25,1420,725,664,9,22,491,202,278,0,11,106,45,58,1,2
WHSCT,109206,71962,34853,641,1750,25406,18370,6408,152,476,44618,29596,13967,275,780,28686,17772,10341,169,404,10496,6224,4137,45,90,70925,45061,24680,363,821,7009,4880,2037,26,66,28469,18467,9494,150,358,25483,15780,9235,144,324,9964,5934,3914,43,73,464,301,149,7,7,103,77,21,2,3,249,157,87,3,2,92,58,32,2,0,20,9,9,0,2,17149,12795,4027,72,255,9839,7430,2235,39,135,6478,4763,1571,31,113,694,502,184,2,6,138,100,37,0,1,17595,11923,4859,187,626,6982,4974,1674,80,254,8262,5527,2355,85,295,2048,1273,691,20,64,303,149,139,2,13,3073,1882,1138,12,41,1473,1009,441,5,18,1160,682,460,6,12,369,159,199,1,10,71,32,38,0,1
BELB,120595,54899,57007,1944,6745,48321,22479,22082,893,2867,49528,22174,23823,761,2770,18707,8365,9172,241,929,4039,1881,1930,49,179,62301,28748,30450,641,2462,13143,6599,5999,119,426,30706,13840,15251,316,1299,15320,6845,7677,169,629,3132,1464,1523,37,108,718,372,287,11,48,212,127,68,2,15,395,195,168,6,26,93,43,40,3,7,18,7,11,0,0,30818,13531,15629,302,1356,21126,9545,10488,191,902,8854,3679,4679,103,393,743,263,416,7,57,95,44,46,1,4,23632,11041,8915,945,2731,11658,5356,4322,553,1427,8809,4158,3322,322,1007,2403,1170,943,60,230,762,357,328,10,67,3126,1207,1726,45,148,2182,852,1205,28,97,764,302,403,14,45,148,44,96,2,6,32,9,22,1,0
NEELB,165010,46779,109895,1450,6886,31316,8323,21102,306,1585,68853,19195,45923,647,3088,48498,14116,32194,389,1799,16343,5145,10676,108,414,117095,32878,79417,924,3876,10241,2665,7192,94,290,47900,12798,32971,403,1728,43502,12538,29149,328,1487,15452,4877,10105,99,371,1049,303,671,9,66,135,49,75,2,9,639,179,407,5,48,238,65,162,2,9,37,10,27,0,0,20122,4801,14214,162,945,11586,2696,8269,77,544,7525,1842,5257,77,349,885,218,613,7,47,126,45,75,1,5,22633,7773,12673,307,1880,7558,2440,4299,113,706,11116,3946,6130,143,897,3376,1197,1892,46,241,583,190,352,5,36,4111,1024,2920,48,119,1796,473,1267,20,36,1673,430,1158,19,66,497,98,378,6,15,145,23,117,3,2
SEELB,164431,44434,109533,1630,8834,29193,8452,18775,266,1700,69414,18624,46088,822,3880,50642,13475,34097,432,2638,15182,3883,10573,110,616,119405,30905,82196,1054,5250,10233,2647,7174,78,334,48970,12488,33777,516,2189,45747,12075,31131,359,2182,14455,3695,10114,101,545,1317,377,825,11,104,183,45,117,1,20,772,240,463,10,59,325,81,222,0,22,37,11,23,0,3,21526,5996,14082,202,1246,11664,3405,7513,94,652,8660,2302,5757,97,504,1081,250,744,8,79,121,39,68,3,11,18720,6335,9962,330,2093,5454,1937,2802,82,633,9694,3263,5179,182,1070,3100,1004,1697,60,339,472,131,284,6,51,3463,821,2468,33,141,1659,418,1169,11,61,1318,331,912,17,58,389,65,303,5,16,97,7,84,0,6
SELB,144033,78503,60925,989,3616,25423,15271,9106,187,859,58603,32267,24278,459,1599,43663,22608,19883,248,924,16344,8357,7658,95,234,100781,53108,45447,579,1647,8266,4870,3260,31,105,38428,20524,16998,250,656,38611,19811,17895,212,693,15476,7903,7294,86,193,696,373,286,6,31,135,90,39,1,5,371,184,166,4,17,159,86,65,1,7,31,13,16,0,2,15270,8877,5805,119,469,7900,4669,2939,55,237,6397,3661,2476,56,204,819,465,320,6,28,154,82,70,2,0,23436,14207,7562,266,1401,7512,4786,2150,93,483,11838,7100,3903,138,697,3518,2008,1297,29,184,568,313,212,6,37,3850,1938,1825,19,68,1610,856,718,7,29,1569,798,735,11,25,556,238,306,0,12,115,46,66,1,2
