GeographyCode,DC1102NI0001,DC1102NI0002,DC1102NI0003,DC1102NI0004,DC1102NI0005,DC1102NI0006,DC1102NI0007,DC1102NI0008,DC1102NI0009,DC1102NI0010,DC1102NI0011,DC1102NI0012,DC1102NI0013,DC1102NI0014,DC1102NI0015,DC1102NI0016,DC1102NI0017,DC1102NI0018,DC1102NI0019,DC1102NI0020,DC1102NI0021,DC1102NI0022,DC1102NI0023,DC1102NI0024,DC1102NI0025,DC1102NI0026,DC1102NI0027,DC1102NI0028,DC1102NI0029,DC1102NI0030,DC1102NI0031,DC1102NI0032,DC1102NI0033,DC1102NI0034,DC1102NI0035,DC1102NI0036,DC1102NI0037,DC1102NI0038,DC1102NI0039,DC1102NI0040,DC1102NI0041,DC1102NI0042,DC1102NI0043,DC1102NI0044,DC1102NI0045,DC1102NI0046,DC1102NI0047,DC1102NI0048
N92000002,21683,475,181,290,123,114,171,1357,4511,4926,3985,2678,1291,621,889,71,10023,244,91,149,67,69,108,561,1959,2218,1760,1280,656,329,487,45,11660,231,90,141,56,45,63,796,2552,2708,2225,1398,635,292,402,26
BHSCT,2743,83,22,36,19,15,17,160,518,629,494,337,160,91,144,18,1351,40,10,19,14,9,9,71,250,310,224,166,83,50,86,10,1392,43,12,17,5,6,8,89,268,319,270,171,77,41,58,8
NHSCT,5204,117,48,78,22,34,49,335,1113,1160,941,671,276,140,205,15,2370,58,26,31,11,22,31,127,476,510,412,335,132,74,113,12,2834,59,22,47,11,12,18,208,637,650,529,336,144,66,92,3
SEHSCT,3997,98,47,75,40,26,36,224,781,863,782,489,266,108,150,12,1840,43,24,41,21,13,23,95,332,390,357,211,142,54,86,8,2157,55,23,34,19,13,13,129,449,473,425,278,124,54,64,4
SHSCT,4938,106,31,55,20,20,38,339,1118,1125,887,592,263,142,185,17,2261,59,18,30,9,13,28,142,476,500,385,288,131,75,99,8,2677,47,13,25,11,7,10,197,642,625,502,304,132,67,86,9
WHSCT,4801,71,33,46,22,19,31,299,981,1149,881,589,326,140,205,9,2201,44,13,28,12,12,17,126,425,508,382,280,168,76,103,7,2600,27,20,18,10,7,14,173,556,641,499,309,158,64,102,2
BELB,2041,71,18,28,15,14,14,117,372,442,369,241,133,71,120,16,1014,32,8,13,11,9,7,51,179,221,171,124,71,39,70,8,1027,39,10,15,4,5,7,66,193,221,198,117,62,32,50,8
NEELB,4708,111,42,73,22,32,44,296,985,1070,854,597,253,126,188,15,2134,52,22,28,11,21,28,112,423,469,371,298,119,63,105,12,2574,59,20,45,11,11,16,184,562,601,483,299,134,63,83,3
SEELB,4699,110,51,83,44,27,39,267,927,1050,907,585,293,128,174,14,2177,51,26,47,24,13,25,115,403,479,410,253,154,65,102,10,2522,59,25,36,20,14,14,152,524,571,497,332,139,63,72,4
SELB,5434,112,37,60,20,22,43,378,1246,1215,974,666,286,156,202,17,2497,65,22,33,9,14,31,157,529,541,426,325,144,86,107,8,2937,47,15,27,11,8,12,221,717,674,548,341,142,70,95,9
WELB,4801,71,33,46,22,19,31,299,981,1149,881,589,326,140,205,9,2201,44,13,28,12,12,17,126,425,508,382,280,168,76,103,7,2600,27,20,18,10,7,14,173,556,641,499,309,158,64,102,2
UKN01,2041,71,18,28,15,14,14,117,372,442,369,241,133,71,120,16,1014,32,8,13,11,9,7,51,179,221,171,124,71,39,70,8,1027,39,10,15,4,5,7,66,193,221,198,117,62,32,50,8
UKN02,3961,91,36,78,32,30,31,239,760,903,735,488,249,115,163,11,1831,45,23,45,19,17,21,104,313,411,330,212,122,60,100,9,2130,46,13,33,13,13,10,135,447,492,405,276,127,55,63,2
UKN03,4952,132,49,69,29,25,41,295,1108,1124,896,603,272,123,171,15,2327,64,22,31,13,13,28,120,509,526,396,300,135,61,98,11,2625,68,27,38,16,12,13,175,599,598,500,303,137,62,73,4
UKN04,4065,84,36,51,18,18,28,248,807,924,781,524,241,123,168,14,1854,47,16,25,8,13,16,100,349,409,338,243,129,72,79,10,2211,37,20,26,10,5,12,148,458,515,443,281,112,51,89,4
UKN05,6664,97,42,64,29,27,57,458,1464,1533,1204,822,396,189,267,15,2997,56,22,35,16,17,36,186,609,651,525,401,199,97,140,7,3667,41,20,29,13,10,21,272,855,882,679,421,197,92,127,8
95AA,504,13,4,12,2,2,4,32,129,124,75,53,27,11,14,2,222,6,1,4,0,2,2,13,51,56,31,25,17,3,9,2,282,7,3,8,2,0,2,19,78,68,44,28,10,8,5,0
95BB,750,22,9,14,6,4,8,37,166,169,149,87,36,16,27,0,348,12,3,7,3,2,6,13,76,76,71,35,25,6,13,0,402,10,6,7,3,2,2,24,90,93,78,52,11,10,14,0
95CC,949,15,5,7,4,2,7,78,201,216,175,123,49,28,38,1,426,7,2,3,1,2,6,35,83,78,75,64,33,20,17,0,523,8,3,4,3,0,1,43,118,138,100,59,16,8,21,1
95DD,720,18,4,7,4,5,4,48,164,155,121,97,39,23,31,0,341,7,2,1,3,3,2,18,76,75,56,54,16,9,19,0,379,11,2,6,1,2,2,30,88,80,65,43,23,14,12,0
95EE,374,8,4,9,0,4,4,14,75,88,79,49,14,12,13,1,152,2,2,4,0,3,4,8,29,36,33,13,4,6,7,1,222,6,2,5,0,1,0,6,46,52,46,36,10,6,6,0
