GeographyCode,DC2102NI0001,DC2102NI0002,DC2102NI0003,DC2102NI0004,DC2102NI0005,DC2102NI0006,DC2102NI0007,DC2102NI0008,DC2102NI0009,DC2102NI0010,DC2102NI0011,DC2102NI0012,DC2102NI0013,DC2102NI0014,DC2102NI0015,DC2102NI0016,DC2102NI0017,DC2102NI0018,DC2102NI0019,DC2102NI0020,DC2102NI0021,DC2102NI0022,DC2102NI0023,DC2102NI0024,DC2102NI0025,DC2102NI0026,DC2102NI0027,DC2102NI0028,DC2102NI0029,DC2102NI0030,DC2102NI0031,DC2102NI0032,DC2102NI0033,DC2102NI0034,DC2102NI0035,DC2102NI0036,DC2102NI0037,DC2102NI0038,DC2102NI0039,DC2102NI0040,DC2102NI0041,DC2102NI0042,DC2102NI0043,DC2102NI0044,DC2102NI0045,DC2102NI0046,DC2102NI0047,DC2102NI0048,DC2102NI0049,DC2102NI0050,DC2102NI0051,DC2102NI0052,DC2102NI0053,DC2102NI0054,DC2102NI0055,DC2102NI0056,DC2102NI0057,DC2102NI0058,DC2102NI0059,DC2102NI0060,DC2102NI0061,DC2102NI0062,DC2102NI0063,DC2102NI0064,DC2102NI0065,DC2102NI0066,DC2102NI0067,DC2102NI0068,DC2102NI0069,DC2102NI0070,DC2102NI0071,DC2102NI0072,DC2102NI0073,DC2102NI0074,DC2102NI0075,DC2102NI0076,DC2102NI0077,DC2102NI0078,DC2102NI0079,DC2102NI0080,DC2102NI0081,DC2102NI0082,DC2102NI0083,DC2102NI0084,DC2102NI0085,DC2102NI0086,DC2102NI0087,DC2102NI0088,DC2102NI0089,DC2102NI0090,DC2102NI0091,DC2102NI0092,DC2102NI0093,DC2102NI0094,DC2102NI0095,DC2102NI0096,DC2102NI0097,DC2102NI0098,DC2102NI0099,DC2102NI0100,DC2102NI0101,DC2102NI0102,DC2102NI0103,DC2102NI0104,DC2102NI0105,DC2102NI0106,DC2102NI0107,DC2102NI0108,DC2102NI0109,DC2102NI0110,DC2102NI0111,DC2102NI0112,DC2102NI0113,DC2102NI0114,DC2102NI0115,DC2102NI0116,DC2102NI0117,DC2102NI0118,DC2102NI0119,DC2102NI0120,DC2102NI0121,DC2102NI0122,DC2102NI0123,DC2102NI0124,DC2102NI0125,DC2102NI0126,DC2102NI0127,DC2102NI0128,DC2102NI0129,DC2102NI0130,DC2102NI0131,DC2102NI0132,DC2102NI0133,DC2102NI0134,DC2102NI0135,DC2102NI0136,DC2102NI0137,DC2102NI0138,DC2102NI0139,DC2102NI0140,DC2102NI0141,DC2102NI0142,DC2102NI0143,DC2102NI0144,DC2102NI0145,DC2102NI0146,DC2102NI0147,DC2102NI0148,DC2102NI0149,DC2102NI0150,DC2102NI0151,DC2102NI0152,DC2102NI0153,DC2102NI0154,DC2102NI0155,DC2102NI0156,DC2102NI0157,DC2102NI0158,DC2102NI0159,DC2102NI0160,DC2102NI0161,DC2102NI0162,DC2102NI0163,DC2102NI0164,DC2102NI0165,DC2102NI0166,DC2102NI0167,DC2102NI0168,DC2102NI0169,DC2102NI0170,DC2102NI0171,DC2102NI0172,DC2102NI0173,DC2102NI0174,DC2102NI0175,DC2102NI0176,DC2102NI0177,DC2102NI0178,DC2102NI0179,DC2102NI0180,DC2102NI0181,DC2102NI0182,DC2102NI0183,DC2102NI0184,DC2102NI0185,DC2102NI0186,DC2102NI0187,DC2102NI0188,DC2102NI0189,DC2102NI0190,DC2102NI0191,DC2102NI0192,DC2102NI0193,DC2102NI0194,DC2102NI0195,DC2102NI0196,DC2102NI0197,DC2102NI0198,DC2102NI0199,DC2102NI0200,DC2102NI0201,DC2102NI0202,DC2102NI0203,DC2102NI0204,DC2102NI0205,DC2102NI0206,DC2102NI0207,DC2102NI0208,DC2102NI0209,DC2102NI0210,DC2102NI0211,DC2102NI0212,DC2102NI0213,DC2102NI0214,DC2102NI0215,DC2102NI0216,DC2102NI0217,DC2102NI0218,DC2102NI0219,DC2102NI0220,DC2102NI0221,DC2102NI0222,DC2102NI0223,DC2102NI0224,DC2102NI0225,DC2102NI0226,DC2102NI0227,DC2102NI0228,DC2102NI0229,DC2102NI0230,DC2102NI0231,DC2102NI0232,DC2102NI0233,DC2102NI0234,DC2102NI0235,DC2102NI0236,DC2102NI0237,DC2102NI0238,DC2102NI0239,DC2102NI0240,DC2102NI0241,DC2102NI0242,DC2102NI0243,DC2102NI0244,DC2102NI0245,DC2102NI0246,DC2102NI0247,DC2102NI0248,DC2102NI0249,DC2102NI0250,DC2102NI0251,DC2102NI0252,DC2102NI0253,DC2102NI0254,DC2102NI0255,DC2102NI0256,DC2102NI0257,DC2102NI0258,DC2102NI0259,DC2102NI0260,DC2102NI0261,DC2102NI0262,DC2102NI0263,DC2102NI0264,DC2102NI0265,DC2102NI0266,DC2102NI0267,DC2102NI0268,DC2102NI0269,DC2102NI0270,DC2102NI0271,DC2102NI0272,DC2102NI0273,DC2102NI0274,DC2102NI0275,DC2102NI0276,DC2102NI0277,DC2102NI0278,DC2102NI0279,DC2102NI0280,DC2102NI0281,DC2102NI0282,DC2102NI0283,DC2102NI0284,DC2102NI0285,DC2102NI0286,DC2102NI0287,DC2102NI0288,DC2102NI0289,DC2102NI0290,DC2102NI0291,DC2102NI0292,DC2102NI0293,DC2102NI0294,DC2102NI0295,DC2102NI0296,DC2102NI0297,DC2102NI0298,DC2102NI0299,DC2102NI0300,DC2102NI0301,DC2102NI0302,DC2102NI0303,DC2102NI0304,DC2102NI0305,DC2102NI0306,DC2102NI0307,DC2102NI0308,DC2102NI0309,DC2102NI0310,DC2102NI0311,DC2102NI0312,DC2102NI0313,DC2102NI0314,DC2102NI0315,DC2102NI0316,DC2102NI0317,DC2102NI0318,DC2102NI0319,DC2102NI0320,DC2102NI0321,DC2102NI0322,DC2102NI0323,DC2102NI0324,DC2102NI0325,DC2102NI0326,DC2102NI0327,DC2102NI0328,DC2102NI0329,DC2102NI0330,DC2102NI0331,DC2102NI0332,DC2102NI0333,DC2102NI0334,DC2102NI0335,DC2102NI0336,DC2102NI0337,DC2102NI0338,DC2102NI0339,DC2102NI0340,DC2102NI0341,DC2102NI0342,DC2102NI0343,DC2102NI0344,DC2102NI0345,DC2102NI0346,DC2102NI0347,DC2102NI0348,DC2102NI0349,DC2102NI0350,DC2102NI0351,DC2102NI0352
N92000002,703275,693990,693524,466,6186,2002,2162,346,164,1512,1294,168,858,268,961,844,196414,194837,194650,187,861,326,260,63,27,185,264,33,181,50,219,233,78101,77913,77880,33,124,68,43,2,2,9,12,3,6,3,17,35,118313,116924,116770,154,737,258,217,61,25,176,252,30,175,47,202,198,455076,448950,448708,242,4239,1286,1597,203,106,1047,811,104,555,152,568,508,46826,46705,46695,10,87,33,45,3,1,5,1,0,0,1,10,23,269421,264801,264726,75,3498,949,1409,169,92,879,488,73,324,91,299,335,72268,71325,71313,12,693,222,274,27,15,155,92,19,57,16,75,83,138677,135334,135284,50,2543,591,1058,128,75,691,376,52,251,73,204,220,58476,58142,58129,13,262,136,77,14,2,33,20,2,16,2,20,32,38599,38009,37987,22,307,144,73,10,6,74,125,13,85,27,82,76,20553,20278,20267,11,136,57,35,4,2,38,47,8,30,9,50,42,16186,15883,15874,9,164,82,37,6,4,35,76,5,54,17,30,33,1860,1848,1846,2,7,5,1,0,0,1,2,0,1,1,2,1,100230,99435,99300,135,347,160,70,21,7,89,197,18,146,33,177,74,64228,63606,63491,115,247,106,47,18,6,70,176,13,134,29,153,46,36002,35829,35809,20,100,54,23,3,1,19,21,5,12,4,24,28,51785,50203,50166,37,1086,390,305,80,31,280,219,31,122,66,174,103,18980,18458,18436,22,360,126,75,31,16,112,81,9,55,17,55,26,2055,1898,1898,0,127,71,15,1,3,37,4,2,2,0,21,5,3279,3269,3265,4,6,2,3,0,0,1,2,0,1,1,1,1,27471,26578,26567,11,593,191,212,48,12,130,132,20,64,48,97,71
BHSCT,148328,144517,144437,80,2731,860,958,99,75,739,503,53,403,47,306,271,50611,49879,49835,44,421,153,128,23,15,102,138,12,110,16,82,91,18213,18149,18144,5,47,38,4,0,1,4,5,1,2,2,1,11,32398,31730,31691,39,374,115,124,23,14,98,133,11,108,14,81,80,82487,80159,80130,29,1742,521,630,54,45,492,289,27,240,22,155,142,8867,8831,8831,0,31,19,10,0,1,1,0,0,0,0,0,5,40544,38798,38792,6,1419,358,559,43,36,423,162,17,136,9,76,89,11980,11615,11614,1,285,91,113,7,4,70,36,6,27,3,22,22,19796,18513,18509,4,1055,221,430,33,32,339,120,11,103,6,51,57,8768,8670,8669,1,79,46,16,3,0,14,6,0,6,0,3,10,8939,8677,8673,4,152,77,34,4,3,34,47,4,39,4,33,30,5402,5275,5273,2,61,24,15,1,2,19,18,3,13,2,28,20,3150,3020,3018,2,88,51,19,3,1,14,28,1,25,2,5,9,387,382,382,0,3,2,0,0,0,1,1,0,1,0,0,1,24137,23853,23834,19,140,67,27,7,5,34,80,6,65,9,46,18,15992,15763,15747,16,103,45,18,7,4,29,73,6,58,9,39,14,8145,8090,8087,3,37,22,9,0,1,5,7,0,7,0,7,4,15230,14479,14472,7,568,186,200,22,15,145,76,14,53,9,69,38,4011,3814,3812,2,156,54,26,13,6,57,23,2,20,1,12,6,1601,1475,1475,0,101,57,12,0,2,30,3,2,1,0,20,2,723,718,718,0,2,1,1,0,0,0,1,0,0,1,1,1,8895,8472,8467,5,309,74,161,9,7,58,49,10,32,7,36,29
NHSCT,177914,176172,176099,73,1220,434,444,91,14,237,194,29,134,31,190,138,46858,46582,46547,35,167,62,60,13,3,29,35,5,25,5,37,37,19904,19856,19850,6,36,13,20,1,0,2,3,1,1,1,2,7,26954,26726,26697,29,131,49,40,12,3,27,32,4,24,4,35,30,119950,118735,118701,34,859,278,342,55,9,175,133,18,93,22,130,93,13135,13105,13104,1,20,2,17,1,0,0,0,0,0,0,4,6,73906,72989,72976,13,695,210,301,41,9,134,86,18,53,15,72,64,20606,20397,20395,2,156,53,69,10,0,24,18,4,10,4,18,17,37427,36798,36789,9,479,127,211,27,9,105,62,14,38,10,50,38,15873,15794,15792,2,60,30,21,4,0,5,6,0,5,1,4,9,9778,9682,9680,2,60,29,13,4,0,14,15,0,12,3,11,10,5004,4961,4960,1,33,16,9,2,0,6,4,0,2,2,1,5,4257,4204,4204,0,27,13,4,2,0,8,11,0,10,1,10,5,517,517,516,1,0,0,0,0,0,0,0,0,0,0,0,0,23131,22959,22941,18,84,37,11,9,0,27,32,0,28,4,43,13,14383,14245,14231,14,64,28,9,7,0,20,29,0,27,2,37,8,8748,8714,8710,4,20,9,2,2,0,7,3,0,1,2,6,5,11106,10855,10851,4,194,94,42,23,2,33,26,6,16,4,23,8,4380,4278,4275,3,76,35,21,8,1,11,12,3,8,1,10,4,341,323,323,0,16,9,1,1,1,4,0,0,0,0,1,1,795,794,794,0,1,0,0,0,0,1,0,0,0,0,0,0,5590,5460,5459,1,101,50,20,14,0,17,14,3,8,3,12,3
SEHSCT,136698,135326,135275,51,842,276,268,46,53,199,218,35,118,65,176,136,36574,36364,36343,21,94,37,25,6,7,19,36,10,12,14,42,38,15394,15367,15361,6,10,5,5,0,0,0,3,1,2,0,7,7,21180,20997,20982,15,84,32,20,6,7,19,33,9,10,14,35,31,92625,91605,91577,28,641,209,225,25,36,146,170,25,96,49,115,94,11107,11086,11084,2,14,5,6,0,0,3,1,0,0,1,2,4,55946,55147,55137,10,543,158,206,23,35,121,126,17,72,37,65,65,16986,16837,16834,3,90,30,21,2,8,29,25,5,13,7,19,15,27764,27168,27162,6,412,101,177,20,25,89,97,11,56,30,41,46,11196,11142,11141,1,41,27,8,1,2,3,4,1,3,0,5,4,8040,7956,7953,3,33,17,7,1,0,8,18,4,9,5,21,12,4290,4253,4252,1,13,6,3,1,0,3,7,3,3,1,10,7,3335,3293,3291,2,16,8,3,0,0,5,11,1,6,4,10,5,415,410,410,0,4,3,1,0,0,0,0,0,0,0,1,0,17532,17416,17403,13,51,29,6,1,1,14,25,4,15,6,27,13,11387,11307,11296,11,32,18,5,1,1,7,20,3,13,4,21,7,6145,6109,6107,2,19,11,1,0,0,7,5,1,2,2,6,6,7499,7357,7355,2,107,30,18,15,10,34,12,0,10,2,19,4,3145,3073,3072,1,57,18,11,4,8,16,6,0,6,0,9,0,23,20,20,0,2,0,0,0,0,2,1,0,1,0,0,0,519,518,517,1,1,0,1,0,0,0,0,0,0,0,0,0,3812,3746,3746,0,47,12,6,11,2,16,5,0,3,2,10,4
SHSCT,131129,129766,129584,182,744,251,201,72,19,201,271,24,148,99,158,190,32965,32769,32714,55,90,35,17,13,2,23,38,3,23,12,30,38,13634,13616,13607,9,9,4,3,0,1,1,1,0,1,0,3,5,19331,19153,19107,46,81,31,14,13,1,22,37,3,22,12,27,33,88923,88052,87945,107,510,157,166,45,14,128,161,18,97,46,90,110,7907,7890,7885,5,14,4,7,2,0,1,0,0,0,0,1,2,56199,55565,55537,28,434,128,143,41,10,112,83,11,46,26,43,74,13033,12913,12912,1,85,30,33,3,3,16,11,3,6,2,7,17,30783,30327,30305,22,303,76,96,34,7,90,70,8,38,24,32,51,12383,12325,12320,5,46,22,14,4,0,6,2,0,2,0,4,6,6831,6740,6731,9,29,9,7,0,3,10,31,2,19,10,14,17,3360,3319,3315,4,15,6,3,0,0,6,10,1,7,2,9,7,3167,3119,3115,4,14,3,4,0,3,4,20,1,12,7,4,10,304,302,301,1,0,0,0,0,0,0,1,0,0,1,1,0,17986,17857,17792,65,33,16,9,2,1,5,47,5,32,10,32,17,11233,11133,11076,57,21,7,7,1,1,5,42,2,30,10,28,9,6753,6724,6716,8,12,9,2,1,0,0,5,3,2,0,4,8,9241,8945,8925,20,144,59,18,14,3,50,72,3,28,41,38,42,3842,3735,3721,14,47,15,4,5,1,22,29,1,14,14,16,15,19,13,13,0,5,2,2,0,0,1,0,0,0,0,0,1,652,652,651,1,0,0,0,0,0,0,0,0,0,0,0,0,4728,4545,4540,5,92,42,12,9,2,27,43,2,14,27,22,26
WHSCT,109206,108209,108129,80,649,181,291,38,3,136,108,27,55,26,131,109,29406,29243,29211,32,89,39,30,8,0,12,17,3,11,3,28,29,10956,10925,10918,7,22,8,11,1,0,2,0,0,0,0,4,5,18450,18318,18293,25,67,31,19,7,0,10,17,3,11,3,24,24,71091,70399,70355,44,487,121,234,24,2,106,58,16,29,13,78,69,5810,5793,5791,2,8,3,5,0,0,0,0,0,0,0,3,6,42826,42302,42284,18,407,95,200,21,2,89,31,10,17,4,43,43,9663,9563,9558,5,77,18,38,5,0,16,2,1,1,0,9,12,22907,22528,22519,9,294,66,144,14,2,68,27,8,16,3,30,28,10256,10211,10207,4,36,11,18,2,0,5,2,1,0,1,4,3,5011,4954,4950,4,33,12,12,1,0,8,14,3,6,5,3,7,2497,2470,2467,3,14,5,5,0,0,4,8,1,5,2,2,3,2277,2247,2246,1,19,7,7,1,0,4,6,2,1,3,1,4,237,237,237,0,0,0,0,0,0,0,0,0,0,0,0,0,17444,17350,17330,20,39,11,17,2,0,9,13,3,6,4,29,13,11233,11158,11141,17,27,8,8,2,0,9,12,2,6,4,28,8,6211,6192,6189,3,12,3,9,0,0,0,1,1,0,0,1,5,8709,8567,8563,4,73,21,27,6,1,18,33,8,15,10,25,11,3602,3558,3556,2,24,4,13,1,0,6,11,3,7,1,8,1,71,67,67,0,3,3,0,0,0,0,0,0,0,0,0,1,590,587,585,2,2,1,1,0,0,0,1,0,1,0,0,0,4446,4355,4355,0,44,13,13,5,1,12,21,5,7,9,17,9
BELB,120595,117336,117260,76,2294,707,851,74,62,600,460,49,366,45,267,238,42401,41735,41693,42,381,142,116,20,13,90,131,11,104,16,74,80,14555,14500,14495,5,42,35,3,0,1,3,4,0,2,2,0,9,27846,27235,27198,37,339,107,113,20,12,87,127,11,102,14,74,71,64315,62411,62384,27,1399,399,541,37,36,386,255,24,210,21,129,121,6375,6345,6345,0,26,17,7,0,1,1,0,0,0,0,0,4,29604,28218,28213,5,1120,259,479,28,27,327,137,14,114,9,59,70,8786,8488,8487,1,235,73,103,6,3,50,28,5,20,3,18,17,14162,13146,13143,3,827,154,363,21,24,265,105,9,90,6,38,46,6656,6584,6583,1,58,32,13,1,0,12,4,0,4,0,3,7,7316,7079,7076,3,132,68,30,3,3,28,44,4,36,4,31,30,4445,4327,4326,1,53,20,13,1,2,17,17,3,12,2,28,20,2565,2450,2448,2,77,46,17,2,1,11,26,1,23,2,3,9,306,302,302,0,2,2,0,0,0,0,1,0,1,0,0,1,21020,20769,20750,19,121,55,25,6,5,30,74,6,60,8,39,17,14184,13981,13965,16,90,36,18,6,4,26,67,6,53,8,33,13,6836,6788,6785,3,31,19,7,0,1,4,7,0,7,0,6,4,13879,13190,13183,7,514,166,194,17,13,124,74,14,52,8,64,37,3542,3386,3384,2,120,39,24,9,5,43,21,2,19,0,10,5,1592,1468,1468,0,99,57,12,0,2,28,3,2,1,0,20,2,615,611,611,0,1,1,0,0,0,0,1,0,0,1,1,1,8130,7725,7720,5,294,69,158,8,6,53,49,10,32,7,33,29
NEELB,165010,163368,163297,71,1167,403,434,87,14,229,158,27,109,22,183,134,43835,43580,43546,34,158,57,58,13,3,27,28,5,19,4,35,34,18592,18545,18540,5,35,12,20,1,0,2,3,1,1,1,2,7,25243,25035,25006,29,123,45,38,12,3,25,25,4,18,3,33,27,110991,109836,109803,33,823,257,337,51,9,169,113,17,79,17,126,93,12373,12344,12343,1,19,2,16,1,0,0,0,0,0,0,4,6,67975,67092,67080,12,668,190,297,39,9,133,80,17,50,13,71,64,19352,19155,19153,2,145,46,67,9,0,23,18,4,10,4,17,17,34174,33564,33556,8,466,117,209,26,9,105,56,13,35,8,50,38,14449,14373,14371,2,57,27,21,4,0,5,6,0,5,1,4,9,9208,9120,9118,2,57,29,13,3,0,12,10,0,9,1,11,10,4734,4694,4693,1,32,16,9,1,0,6,2,0,2,0,1,5,3987,3939,3939,0,25,13,4,2,0,6,8,0,7,1,10,5,487,487,486,1,0,0,0,0,0,0,0,0,0,0,0,0,21435,21280,21262,18,79,36,11,8,0,24,23,0,20,3,40,13,13410,13288,13274,14,59,27,9,6,0,17,20,0,19,1,35,8,8025,7992,7988,4,20,9,2,2,0,7,3,0,1,2,5,5,10184,9952,9948,4,186,89,39,23,2,33,17,5,11,1,22,7,3966,3876,3873,3,71,32,19,8,1,11,6,2,4,0,10,3,338,320,320,0,16,9,1,1,1,4,0,0,0,0,1,1,737,736,736,0,1,0,0,0,0,1,0,0,0,0,0,0,5143,5020,5019,1,98,48,19,14,0,17,11,3,7,1,11,3
SEELB,164431,162507,162452,55,1279,429,375,71,66,338,261,39,155,67,215,169,44784,44508,44485,23,134,48,37,9,9,31,43,11,18,14,50,49,19052,19016,19010,6,15,8,6,0,0,1,4,2,2,0,8,9,25732,25492,25475,17,119,40,31,9,9,30,39,9,16,14,42,40,110797,109353,109323,30,984,331,314,42,45,252,204,28,126,50,141,115,13599,13572,13570,2,19,7,9,0,0,3,1,0,0,1,2,5,66886,65727,65716,11,842,257,286,38,44,217,151,20,94,37,82,84,20180,19964,19961,3,140,48,31,3,9,49,33,6,20,7,23,20,33398,32535,32528,7,640,168,244,32,33,163,112,13,69,30,54,57,13308,13228,13227,1,62,41,11,3,2,5,6,1,5,0,5,7,9663,9554,9550,4,53,26,11,2,0,14,21,4,12,5,23,12,5247,5201,5199,2,21,10,5,1,0,5,8,3,4,1,10,7,3920,3863,3861,2,27,13,5,1,0,8,13,1,8,4,12,5,496,490,490,0,5,3,1,0,0,1,0,0,0,0,1,0,20649,20500,20487,13,70,41,8,2,1,18,31,4,20,7,34,14,13195,13089,13078,11,45,27,5,2,1,10,26,3,18,5,27,8,7454,7411,7409,2,25,14,3,0,0,8,5,1,2,2,7,6,8850,8646,8644,2,161,50,24,20,12,55,14,0,11,3,24,5,3614,3501,3500,1,93,33,13,8,9,30,8,0,7,1,11,1,32,27,27,0,4,0,0,0,0,4,1,0,1,0,0,0,627,625,624,1,2,0,2,0,0,0,0,0,0,0,0,0,4577,4493,4493,0,62,17,9,12,3,21,5,0,3,2,13,4
SELB,144033,142570,142386,184,797,282,211,76,19,209,307,26,173,108,165,194,35988,35771,35715,56,99,40,19,13,2,25,45,3,29,13,32,41,14946,14927,14917,10,10,5,3,0,1,1,1,0,1,0,3,5,21042,20844,20798,46,89,35,16,13,1,24,44,3,28,13,29,36,97882,96951,96843,108,546,178,171,49,14,134,181,19,111,51,94,110,8669,8651,8646,5,15,4,8,2,0,1,0,0,0,0,1,2,62130,61462,61433,29,461,148,147,43,10,113,89,12,49,28,44,74,14287,14155,14154,1,96,37,35,4,3,17,11,3,6,2,8,17,34036,33561,33538,23,316,86,98,35,7,90,76,9,41,26,32,51,13807,13746,13741,5,49,25,14,4,0,6,2,0,2,0,4,6,7401,7302,7293,9,32,9,7,1,3,12,36,2,22,12,14,17,3630,3586,3582,4,16,6,3,1,0,6,12,1,7,4,9,7,3437,3384,3380,4,16,3,4,0,3,6,23,1,15,7,4,10,334,332,331,1,0,0,0,0,0,0,1,0,0,1,1,0,19682,19536,19471,65,38,17,9,3,1,8,56,5,40,11,35,17,12206,12090,12033,57,26,8,7,2,1,8,51,2,38,11,30,9,7476,7446,7438,8,12,9,2,1,0,0,5,3,2,0,5,8,10163,9848,9828,20,152,64,21,14,3,50,81,4,33,44,39,43,4256,4137,4123,14,52,18,6,5,1,22,35,2,18,15,16,16,22,16,16,0,5,2,2,0,0,1,0,0,0,0,0,1,710,710,709,1,0,0,0,0,0,0,0,0,0,0,0,0,5175,4985,4980,5,95,44,13,9,2,27,46,2,15,29,23,26
