GeographyCode,DC2217NI0001,DC2217NI0002,DC2217NI0003,DC2217NI0004,DC2217NI0005,DC2217NI0006,DC2217NI0007,DC2217NI0008,DC2217NI0009,DC2217NI0010,DC2217NI0011,DC2217NI0012,DC2217NI0013,DC2217NI0014,DC2217NI0015,DC2217NI0016,DC2217NI0017,DC2217NI0018,DC2217NI0019,DC2217NI0020,DC2217NI0021,DC2217NI0022,DC2217NI0023,DC2217NI0024,DC2217NI0025,DC2217NI0026,DC2217NI0027,DC2217NI0028,DC2217NI0029,DC2217NI0030,DC2217NI0031,DC2217NI0032,DC2217NI0033,DC2217NI0034,DC2217NI0035,DC2217NI0036,DC2217NI0037,DC2217NI0038,DC2217NI0039,DC2217NI0040,DC2217NI0041,DC2217NI0042,DC2217NI0043,DC2217NI0044,DC2217NI0045,DC2217NI0046,DC2217NI0047,DC2217NI0048,DC2217NI0049,DC2217NI0050,DC2217NI0051,DC2217NI0052,DC2217NI0053,DC2217NI0054,DC2217NI0055,DC2217NI0056,DC2217NI0057,DC2217NI0058,DC2217NI0059,DC2217NI0060,DC2217NI0061,DC2217NI0062,DC2217NI0063,DC2217NI0064,DC2217NI0065,DC2217NI0066,DC2217NI0067,DC2217NI0068,DC2217NI0069,DC2217NI0070,DC2217NI0071,DC2217NI0072,DC2217NI0073,DC2217NI0074,DC2217NI0075,DC2217NI0076,DC2217NI0077,DC2217NI0078,DC2217NI0079,DC2217NI0080,DC2217NI0081,DC2217NI0082,DC2217NI0083,DC2217NI0084,DC2217NI0085,DC2217NI0086,DC2217NI0087,DC2217NI0088,DC2217NI0089,DC2217NI0090,DC2217NI0091
N92000002,1735711,1681171,54540,20260,19811,11802,2667,844317,838832,5485,2615,1648,904,318,489232,482576,6656,4559,1346,535,216,509247,507608,1639,854,444,219,122,17711,17515,196,105,57,24,10,9260,9178,82,51,17,6,8,1734,1669,65,48,10,3,4,6478,1529,4949,2657,1457,676,159,31924,1343,30581,7035,12962,8832,1752,18158,642,17516,3919,7546,4974,1077,6536,291,6245,1263,2595,2010,377,7230,410,6820,1853,2821,1848,298,19780,10950,8830,4132,3213,1236,249
BHSCT,334560,320127,14433,6876,4901,2175,481,159958,157952,2006,1029,558,318,101,102795,100604,2191,1730,332,90,39,92461,92080,381,233,95,42,11,3049,2994,55,37,13,3,2,1818,1802,16,15,1,0,0,337,324,13,11,2,0,0,1673,397,1276,922,302,48,4,5849,272,5577,1625,2492,1249,211,4150,166,3984,1065,1836,909,174,293,19,274,102,101,65,6,1406,87,1319,458,555,275,31,7631,3719,3912,1830,1409,542,131
NHSCT,444578,433481,11097,3665,4127,2674,631,263187,262014,1173,525,359,209,80,81693,80637,1056,693,223,100,40,135217,134878,339,170,94,40,35,4497,4461,36,16,10,7,3,2602,2576,26,19,1,1,5,435,426,9,8,0,0,1,1080,275,805,480,202,88,35,7101,250,6851,1409,2885,2117,440,4168,141,4027,754,1713,1276,284,789,25,764,155,305,252,52,2144,84,2060,500,867,589,104,3884,2273,1611,718,618,244,31
SEHSCT,333088,327171,5917,2703,2018,986,210,200948,199886,1062,478,350,175,59,62086,61268,818,576,161,67,14,104183,103872,311,171,79,38,23,4778,4752,26,16,7,3,0,2216,2207,9,7,1,0,1,466,449,17,12,2,1,2,802,324,478,360,86,30,2,2801,174,2627,772,1112,639,104,1502,67,1435,399,625,360,51,590,44,546,144,233,141,28,709,63,646,229,254,138,25,3263,2102,1161,612,405,125,19
SHSCT,341383,324297,17086,4710,6659,4667,1050,133055,132252,803,348,264,134,57,119510,117977,1533,828,444,184,77,96381,95978,403,175,129,65,34,2777,2710,67,32,19,11,5,1281,1259,22,8,8,4,2,278,265,13,4,6,2,1,2291,360,1931,637,722,463,109,12572,493,12079,2483,5031,3773,792,6185,204,5981,1261,2500,1781,439,4314,178,4136,758,1731,1377,270,2073,111,1962,464,800,615,83,2902,1545,1357,580,490,235,52
WHSCT,282102,276095,6007,2306,2106,1300,295,87169,86728,441,235,117,68,21,123148,122090,1058,732,186,94,46,81005,80800,205,105,47,34,19,2610,2598,12,4,8,0,0,1343,1334,9,2,6,1,0,218,205,13,13,0,0,0,632,173,459,258,145,47,9,3601,154,3447,746,1442,1054,205,2153,64,2089,440,872,648,129,550,25,525,104,225,175,21,898,65,833,202,345,231,55,2100,1311,789,392,291,90,16
BELB,269804,256904,12900,6083,4427,1944,446,116881,115343,1538,754,456,238,90,93453,91364,2089,1657,308,86,38,72323,72001,322,199,77,36,10,2487,2433,54,36,13,3,2,1454,1438,16,15,1,0,0,272,261,11,9,2,0,0,1493,343,1150,819,285,42,4,5327,247,5080,1464,2264,1156,196,3771,149,3622,950,1664,843,165,248,15,233,94,82,51,6,1308,83,1225,420,518,262,25,6676,3172,3504,1588,1297,495,124
NEELB,409258,399392,9866,3341,3661,2326,538,249913,248795,1118,507,340,192,79,69911,68962,949,636,194,83,36,123914,123599,315,161,88,33,33,4215,4181,34,15,10,6,3,2471,2446,25,18,1,1,5,420,411,9,8,0,0,1,809,250,559,386,123,38,12,6319,225,6094,1270,2575,1872,377,3922,134,3788,706,1606,1207,269,661,23,638,125,248,217,48,1736,68,1668,439,721,448,60,3665,2170,1495,690,567,211,27
SEELB,397844,390394,7450,3496,2492,1217,245,244025,242495,1530,753,452,255,70,71428,70508,920,649,185,71,15,124321,123951,370,205,97,44,24,5340,5313,27,17,7,3,0,2580,2571,9,7,1,0,1,531,512,19,14,2,1,2,982,378,604,463,103,36,2,3323,199,3124,933,1340,732,119,1881,84,1797,514,797,426,60,635,48,587,152,252,155,28,807,67,740,267,291,151,31,4218,2649,1569,854,517,172,26
SELB,376703,358386,18317,5034,7125,5015,1143,146329,145471,858,366,283,151,58,131292,129652,1640,885,473,201,81,107684,107257,427,184,135,72,36,3059,2990,69,33,19,12,5,1412,1389,23,9,8,4,2,293,280,13,4,6,2,1,2562,385,2177,731,801,513,132,13354,518,12836,2622,5341,4018,855,6431,211,6220,1309,2607,1850,454,4442,180,4262,788,1788,1412,274,2481,127,2354,525,946,756,127,3121,1648,1473,608,541,268,56
WELB,282102,276095,6007,2306,2106,1300,295,87169,86728,441,235,117,68,21,123148,122090,1058,732,186,94,46,81005,80800,205,105,47,34,19,2610,2598,12,4,8,0,0,1343,1334,9,2,6,1,0,218,205,13,13,0,0,0,632,173,459,258,145,47,9,3601,154,3447,746,1442,1054,205,2153,64,2089,440,872,648,129,550,25,525,104,225,175,21,898,65,833,202,345,231,55,2100,1311,789,392,291,90,16
UKN01,269804,256904,12900,6083,4427,1944,446,116881,115343,1538,754,456,238,90,93453,91364,2089,1657,308,86,38,72323,72001,322,199,77,36,10,2487,2433,54,36,13,3,2,1454,1438,16,15,1,0,0,272,261,11,9,2,0,0,1493,343,1150,819,285,42,4,5327,247,5080,1464,2264,1156,196,3771,149,3622,950,1664,843,165,248,15,233,94,82,51,6,1308,83,1225,420,518,262,25,6676,3172,3504,1588,1297,495,124
UKN02,374966,367324,7642,3582,2624,1194,242,244866,243299,1567,795,441,257,74,57196,56317,879,619,176,62,22,114314,113989,325,184,83,38,20,4639,4611,28,16,8,4,0,2462,2449,13,9,0,0,4,485,473,12,9,2,0,1,983,353,630,466,124,36,4,3183,191,2992,883,1342,657,110,2146,111,2035,550,926,482,77,403,26,377,114,180,72,11,634,54,580,219,236,103,22,4456,2579,1877,983,651,221,22
UKN03,420580,408237,12343,3746,4804,3084,709,246541,245297,1244,533,412,216,83,77151,76260,891,524,227,111,29,128632,128212,420,185,126,71,38,4654,4610,44,18,11,9,6,2319,2298,21,10,7,2,2,447,427,20,13,3,2,2,1577,359,1218,544,405,205,64,8318,331,7987,1629,3446,2421,491,4530,160,4370,845,1920,1312,293,1699,74,1625,270,669,559,127,2089,97,1992,514,857,550,71,3517,2166,1351,649,469,197,36
UKN04,277050,272011,5039,2079,1615,1041,304,111118,110612,506,267,135,73,31,100512,99575,937,683,154,63,37,79896,79672,224,114,52,33,25,2731,2712,19,8,8,2,1,1656,1642,14,5,5,2,2,262,251,11,10,0,0,1,588,167,421,273,108,36,4,2593,112,2481,522,960,795,204,2038,64,1974,403,752,655,164,140,14,126,26,48,45,7,415,34,381,93,160,95,33,2206,1336,870,418,326,103,23
UKN05,393311,376695,16616,4770,6341,4539,966,124911,124281,630,266,204,120,40,160920,159060,1860,1076,481,213,90,114082,113734,348,172,106,41,29,3200,3149,51,27,17,6,1,1369,1351,18,12,4,2,0,268,257,11,7,3,1,0,1837,307,1530,555,535,357,83,12503,462,12041,2537,4950,3803,751,5673,158,5515,1171,2284,1682,378,4046,162,3884,759,1616,1283,226,2784,142,2642,607,1050,838,147,2925,1697,1228,494,470,220,44
95AA,51042,49238,1804,590,681,454,79,28325,28123,202,96,64,31,11,10191,10065,126,90,17,13,6,15457,15424,33,19,7,2,5,779,776,3,0,1,1,1,331,329,2,2,0,0,0,69,67,2,2,0,0,0,129,40,89,51,17,14,7,1239,46,1193,240,519,381,53,593,22,571,107,266,178,20,290,10,280,34,107,114,25,356,14,342,99,146,89,8,580,349,231,131,70,28,2
95BB,75313,74323,990,385,336,217,52,55538,55266,272,112,100,45,15,5662,5615,47,22,14,10,1,23852,23784,68,30,21,10,7,900,888,12,9,1,2,0,464,462,2,2,0,0,0,107,106,1,1,0,0,0,134,62,72,55,14,3,0,491,35,456,118,170,145,23,176,10,166,41,73,50,2,157,11,146,29,50,52,15,158,14,144,48,47,43,6,511,313,198,99,63,28,8
95CC,56792,54716,2076,592,756,600,128,25300,25199,101,41,36,20,4,18293,18053,240,126,72,27,15,15372,15320,52,27,13,5,7,430,422,8,3,5,0,0,189,187,2,2,0,0,0,52,49,3,2,1,0,0,122,57,65,48,6,10,1,1676,69,1607,329,629,543,106,540,17,523,107,188,176,52,715,34,681,130,274,237,40,421,18,403,92,167,130,14,381,228,153,64,57,25,7
95DD,61601,59509,2092,516,844,573,159,42641,42489,152,65,46,25,16,6772,6697,75,38,23,12,2,17080,17031,49,23,16,7,3,487,483,4,1,2,0,1,340,339,1,0,1,0,0,39,38,1,1,0,0,0,91,31,60,39,12,8,1,1739,38,1701,332,707,524,138,925,23,902,146,358,298,100,50,3,47,5,22,12,8,764,12,752,181,327,214,30,442,289,153,66,72,13,2
95EE,29937,29495,442,126,144,136,36,18161,18109,52,19,20,9,4,4901,4868,33,19,8,4,2,9213,9177,36,23,6,3,4,335,327,8,2,3,2,1,165,162,3,1,0,0,2,32,31,1,0,0,0,1,24,1,23,14,3,6,0,325,15,310,57,110,116,27,260,12,248,42,80,101,25,6,0,6,2,2,1,1,59,3,56,13,28,14,1,140,107,33,20,8,4,1
95FF,46112,45397,715,266,264,153,32,28331,28235,96,48,26,18,4,7351,7278,73,42,25,5,1,14589,14553,36,10,17,5,4,457,451,6,0,3,1,2,217,209,8,1,4,1,2,50,45,5,0,3,1,1,66,26,40,34,6,0,0,465,15,450,108,201,118,23,315,11,304,58,150,81,15,84,0,84,24,31,21,8,66,4,62,26,20,16,0,291,207,84,47,20,15,2
95GG,269804,256904,12900,6083,4427,1944,446,116881,115343,1538,754,456,238,90,93453,91364,2089,1657,308,86,38,72323,72001,322,199,77,36,10,2487,2433,54,36,13,3,2,1454,1438,16,15,1,0,0,272,261,11,9,2,0,0,1493,343,1150,819,285,42,4,5327,247,5080,1464,2264,1156,196,3771,149,3622,950,1664,843,165,248,15,233,94,82,51,6,1308,83,1225,420,518,262,25,6676,3172,3504,1588,1297,495,124
95HH,37739,37226,513,220,183,84,26,28921,28818,103,47,30,16,10,2022,1996,26,17,6,0,3,11360,11340,20,7,7,2,4,435,428,7,7,0,0,0,299,294,5,2,0,0,3,63,63,0,0,0,0,0,93,31,62,47,12,2,1,232,16,216,63,95,53,5,164,13,151,37,68,42,4,16,0,16,7,7,2,0,52,3,49,19,20,9,1,338,216,122,60,48,13,1
95II,64756,63223,1533,793,474,231,35,43077,42609,468,275,102,80,11,9342,9240,102,73,24,4,1,20138,20079,59,34,18,6,1,562,561,1,1,0,0,0,364,364,0,0,0,0,0,65,63,2,2,0,0,0,180,54,126,103,17,6,0,522,25,497,161,228,93,15,379,17,362,115,172,66,9,45,4,41,8,19,14,0,98,4,94,38,37,13,6,955,547,408,242,112,47,7
95JJ,56990,55434,1556,532,564,359,101,35705,35553,152,78,40,21,13,8203,8051,152,96,40,12,4,17962,17922,40,22,13,3,2,684,680,4,3,1,0,0,420,417,3,2,0,1,0,70,69,1,1,0,0,0,150,48,102,85,15,0,2,990,29,961,205,390,291,75,855,22,833,163,340,263,67,20,1,19,7,5,5,2,115,6,109,35,45,23,6,603,343,260,103,105,43,9
95KK,35320,34089,1231,324,466,348,93,13274,13219,55,18,19,17,1,11782,11675,107,57,29,17,4,11303,11279,24,9,6,7,2,282,280,2,1,0,1,0,131,130,1,1,0,0,0,15,15,0,0,0,0,0,271,25,246,94,79,50,23,782,25,757,139,310,245,63,246,7,239,48,107,69,15,128,2,126,30,57,35,4,408,16,392,61,146,141,44,219,103,116,28,51,33,4
95LL,88565,83203,5362,1412,2182,1432,336,42961,42618,343,153,114,52,24,22557,22230,327,162,100,51,14,25260,25103,157,63,40,39,15,784,767,17,7,3,5,2,389,386,3,1,1,1,0,71,70,1,1,0,0,0,946,130,816,265,322,173,56,3667,154,3513,655,1551,1080,227,2154,80,2074,408,916,610,140,986,39,947,150,413,319,65,527,35,492,97,222,151,22,939,450,489,215,167,90,17
95MM,103341,101409,1932,935,578,325,94,24578,24356,222,129,57,31,5,56702,56218,484,370,71,24,19,25457,25377,80,39,18,16,7,933,926,7,3,4,0,0,528,523,5,0,4,1,0,70,63,7,7,0,0,0,325,87,238,133,79,25,1,685,46,639,125,232,219,63,529,22,507,98,182,178,49,62,4,58,11,22,21,4,94,20,74,16,28,20,10,990,571,419,211,166,34,8
95NN,66882,65748,1134,463,400,222,49,27046,26907,139,52,46,29,12,21468,21243,225,155,46,20,4,22717,22658,59,30,18,7,4,891,890,1,0,1,0,0,303,301,2,1,1,0,0,79,71,8,6,0,1,1,121,40,81,65,13,3,0,619,35,584,144,247,166,27,332,11,321,74,138,93,16,125,11,114,23,44,41,6,162,13,149,47,65,32,5,579,423,156,71,64,17,4
