ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC6603NI0001,Count,PERSONS,"All categories: Sex, All categories: Age, All categories: Occupation, All usual residents aged 16 to 74"
DC6603NI0002,Count,PERSONS,"All categories: Sex, All categories: Age, All categories: Occupation, Part-time hours worked per week: Total"
DC6603NI0003,Count,PERSONS,"All categories: Sex, All categories: Age, All categories: Occupation, Part-time hours worked per week: 15 hours or less"
DC6603NI0004,Count,PERSONS,"All categories: Sex, All categories: Age, All categories: Occupation, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0005,Count,PERSONS,"All categories: Sex, All categories: Age, All categories: Occupation, Full-time hours worked per week: Total"
DC6603NI0006,Count,PERSONS,"All categories: Sex, All categories: Age, All categories: Occupation, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0007,Count,PERSONS,"All categories: Sex, All categories: Age, All categories: Occupation, Full-time hours worked per week: 49 or more hours"
DC6603NI0008,Count,PERSONS,"All categories: Sex, All categories: Age, 1.Managers, directors and senior officials, All usual residents aged 16 to 74"
DC6603NI0009,Count,PERSONS,"All categories: Sex, All categories: Age, 1.Managers, directors and senior officials, Part-time hours worked per week: Total"
DC6603NI0010,Count,PERSONS,"All categories: Sex, All categories: Age, 1.Managers, directors and senior officials, Part-time hours worked per week: 15 hours or less"
DC6603NI0011,Count,PERSONS,"All categories: Sex, All categories: Age, 1.Managers, directors and senior officials, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0012,Count,PERSONS,"All categories: Sex, All categories: Age, 1.Managers, directors and senior officials, Full-time hours worked per week: Total"
DC6603NI0013,Count,PERSONS,"All categories: Sex, All categories: Age, 1.Managers, directors and senior officials, Full-time hours worked per week: 31 to 48 hours"
DC6603NI0014,Count,PERSONS,"All categories: Sex, All categories: Age, 1.Managers, directors and senior officials, Full-time hours worked per week: 49 or more hours"
DC6603NI0015,Count,PERSONS,"All categories: Sex, All categories: Age, 11.Corporate managers and directors, All usual residents aged 16 to 74"
DC6603NI0016,Count,PERSONS,"All categories: Sex, All categories: Age, 11.Corporate managers and directors, Part-time hours worked per week: Total"
DC6603NI0017,Count,PERSONS,"All categories: Sex, All categories: Age, 11.Corporate managers and directors, Part-time hours worked per week: 15 hours or less"
DC6603NI0018,Count,PERSONS,"All categories: Sex, All categories: Age, 11.Corporate managers and directors, Part-time hours worked per week: 16 to 30 hours"
DC6603NI0019,Count,PERSONS,"All categories: Sex, All categories: Age, 11.Corporate managers and directors, Full-time hours worked per week: Total"
DC6603NI0020,Count,PERSONS,"All categories: Sex, All categories: Age, 11.Corporate managers and directors, Full-time hours worked per week: 31 to 48 hours"
