GeographyCode,DC2205NI0001,DC2205NI0002,DC2205NI0003,DC2205NI0004,DC2205NI0005,DC2205NI0006,DC2205NI0007,DC2205NI0008,DC2205NI0009,DC2205NI0010,DC2205NI0011,DC2205NI0012,DC2205NI0013,DC2205NI0014,DC2205NI0015,DC2205NI0016,DC2205NI0017,DC2205NI0018,DC2205NI0019,DC2205NI0020,DC2205NI0021,DC2205NI0022,DC2205NI0023,DC2205NI0024,DC2205NI0025,DC2205NI0026,DC2205NI0027,DC2205NI0028,DC2205NI0029,DC2205NI0030,DC2205NI0031,DC2205NI0032,DC2205NI0033,DC2205NI0034,DC2205NI0035,DC2205NI0036,DC2205NI0037,DC2205NI0038,DC2205NI0039,DC2205NI0040,DC2205NI0041,DC2205NI0042,DC2205NI0043,DC2205NI0044,DC2205NI0045,DC2205NI0046,DC2205NI0047,DC2205NI0048,DC2205NI0049,DC2205NI0050,DC2205NI0051,DC2205NI0052,DC2205NI0053,DC2205NI0054,DC2205NI0055,DC2205NI0056,DC2205NI0057,DC2205NI0058,DC2205NI0059,DC2205NI0060,DC2205NI0061,DC2205NI0062,DC2205NI0063,DC2205NI0064,DC2205NI0065,DC2205NI0066,DC2205NI0067,DC2205NI0068,DC2205NI0069,DC2205NI0070,DC2205NI0071,DC2205NI0072,DC2205NI0073,DC2205NI0074,DC2205NI0075,DC2205NI0076,DC2205NI0077,DC2205NI0078,DC2205NI0079,DC2205NI0080,DC2205NI0081,DC2205NI0082,DC2205NI0083,DC2205NI0084,DC2205NI0085,DC2205NI0086,DC2205NI0087,DC2205NI0088,DC2205NI0089,DC2205NI0090,DC2205NI0091,DC2205NI0092,DC2205NI0093,DC2205NI0094,DC2205NI0095,DC2205NI0096,DC2205NI0097,DC2205NI0098,DC2205NI0099,DC2205NI0100,DC2205NI0101,DC2205NI0102,DC2205NI0103,DC2205NI0104,DC2205NI0105,DC2205NI0106,DC2205NI0107,DC2205NI0108,DC2205NI0109,DC2205NI0110,DC2205NI0111,DC2205NI0112,DC2205NI0113,DC2205NI0114,DC2205NI0115,DC2205NI0116,DC2205NI0117,DC2205NI0118,DC2205NI0119,DC2205NI0120,DC2205NI0121,DC2205NI0122,DC2205NI0123,DC2205NI0124,DC2205NI0125,DC2205NI0126,DC2205NI0127,DC2205NI0128,DC2205NI0129,DC2205NI0130,DC2205NI0131,DC2205NI0132,DC2205NI0133,DC2205NI0134,DC2205NI0135,DC2205NI0136,DC2205NI0137,DC2205NI0138,DC2205NI0139,DC2205NI0140,DC2205NI0141,DC2205NI0142,DC2205NI0143,DC2205NI0144
N92000002,1810863,1779750,1778449,1301,19130,6303,6198,1091,540,4998,3616,372,2345,899,6014,2353,341428,339495,338937,558,554,329,87,20,24,94,390,6,282,102,802,187,1035451,1022292,1021901,391,8343,3446,2292,549,300,1756,872,173,444,255,3196,748,342887,340805,340476,329,759,262,231,78,27,161,194,16,119,59,798,331,30276,29885,29865,20,184,64,58,38,2,22,6,1,2,3,165,36,4291,3492,3492,0,456,85,22,62,19,268,95,11,77,7,168,80,2282,2035,2034,1,100,25,20,6,1,48,21,2,13,6,82,44,39099,37035,37034,1,497,176,102,10,11,198,763,42,390,331,360,444,15149,4711,4710,1,8237,1916,3386,328,156,2451,1275,121,1018,136,443,483
BHSCT,348204,336221,336009,212,8195,2722,2520,318,240,2395,1384,101,1127,156,1709,695,53550,52708,52610,98,303,185,46,7,11,54,266,3,230,33,221,52,205376,200726,200674,52,3247,1254,719,153,130,991,291,44,195,52,874,238,66902,66210,66154,56,284,113,78,20,12,61,69,5,51,13,239,100,7087,6942,6937,5,60,25,14,6,1,14,3,1,0,2,68,14,1161,846,846,0,194,44,7,8,4,131,42,1,38,3,51,28,508,426,426,0,38,9,5,2,1,21,9,1,7,1,23,12,7547,7045,7045,0,197,80,61,4,8,44,150,13,113,24,73,82,6073,1318,1317,1,3872,1012,1590,118,73,1079,554,33,493,28,160,169
NHSCT,463297,457259,457092,167,3795,1418,1291,280,36,770,556,68,374,114,1306,381,94973,94652,94581,71,76,48,7,5,3,13,22,0,11,11,185,38,296145,293241,293180,61,1826,818,613,132,16,247,173,33,91,49,767,138,52910,52543,52511,32,158,45,60,27,0,26,29,3,21,5,128,52,6671,6598,6595,3,35,11,12,12,0,0,1,0,0,1,32,5,1051,911,911,0,70,10,2,21,0,37,10,5,4,1,48,12,389,346,346,0,19,8,3,1,0,7,2,1,1,0,14,8,8268,8019,8019,0,58,36,5,0,1,16,92,7,52,33,51,48,2890,949,949,0,1553,442,589,82,16,424,227,19,194,14,81,80
SEHSCT,346911,341863,341721,142,2781,891,875,151,205,659,656,95,353,208,1218,393,55111,54858,54795,63,51,23,12,2,7,7,33,2,11,20,148,21,236957,234347,234295,52,1405,643,362,86,137,177,250,46,106,98,786,169,40363,40109,40085,24,87,31,26,4,4,22,18,1,11,6,111,38,6799,6737,6735,2,29,13,10,4,0,2,2,0,2,0,23,8,1074,888,888,0,104,22,7,11,11,53,31,1,29,1,36,15,330,284,284,0,16,5,4,0,0,7,8,0,3,5,13,9,3814,3720,3719,1,28,12,8,0,0,8,20,2,8,10,26,20,2463,920,920,0,1061,142,446,44,46,383,294,43,183,68,75,113
SHSCT,358034,353233,352704,529,2387,786,619,243,38,701,783,44,376,363,1041,590,70037,69747,69527,220,56,31,10,4,0,11,50,0,24,26,128,56,174144,172466,172315,151,1072,492,222,136,14,208,77,19,28,30,424,105,89733,89330,89180,150,110,39,21,14,8,28,54,1,26,27,168,71,5729,5659,5652,7,41,10,11,16,0,4,0,0,0,0,26,3,600,496,496,0,58,5,4,14,0,35,6,2,3,1,20,20,541,511,510,1,12,3,2,0,0,7,1,0,1,0,10,7,15200,14120,14120,0,177,34,14,4,1,124,459,12,189,258,191,253,2050,904,904,0,861,172,335,55,15,284,136,10,105,21,74,75
WHSCT,294417,291174,290923,251,1972,486,893,99,21,473,237,64,115,58,740,294,67757,67530,67424,106,68,42,12,2,3,9,19,1,6,12,120,20,122829,121512,121437,75,793,239,376,42,3,133,81,31,24,26,345,98,92979,92613,92546,67,120,34,46,13,3,24,24,6,10,8,152,70,3990,3949,3946,3,19,5,11,0,1,2,0,0,0,0,16,6,405,351,351,0,30,4,2,8,4,12,6,2,3,1,13,5,514,468,468,0,15,0,6,3,0,6,1,0,1,0,22,8,4270,4131,4131,0,37,14,14,2,1,6,42,8,28,6,19,41,1673,620,620,0,890,148,426,29,6,281,64,16,43,5,53,46
BELB,280962,270945,270743,202,6785,2226,2203,222,202,1932,1255,90,1017,148,1401,576,45310,44549,44454,95,286,180,41,5,10,50,251,2,219,30,181,43,155913,152367,152320,47,2400,876,591,98,98,737,262,40,173,49,701,183,60408,59824,59770,54,242,101,67,12,9,53,65,5,47,13,200,77,5805,5690,5685,5,44,18,10,6,1,9,3,1,0,2,55,13,913,663,663,0,165,41,5,4,4,111,28,1,24,3,34,23,430,363,363,0,33,9,5,0,1,18,4,0,3,1,22,8,6810,6340,6340,0,177,71,55,3,8,40,147,11,112,24,67,79,5373,1149,1148,1,3438,930,1429,94,71,914,495,30,439,26,141,150
NEELB,426284,420556,420395,161,3654,1329,1271,265,36,753,458,60,312,86,1245,371,85964,85665,85594,71,71,43,7,5,3,13,18,0,9,9,172,38,277598,274820,274759,61,1746,754,604,128,16,244,161,31,82,48,737,134,45293,44939,44913,26,154,44,59,26,0,25,26,2,19,5,123,51,6132,6061,6058,3,35,11,12,12,0,0,1,0,0,1,30,5,993,856,856,0,69,10,2,20,0,37,10,5,4,1,47,11,358,315,315,0,19,8,3,1,0,7,2,1,1,0,14,8,7186,7020,7020,0,53,34,5,0,1,13,21,2,11,8,44,48,2760,880,880,0,1507,425,579,73,16,414,219,19,186,14,78,76
SEELB,414153,407139,406987,152,4191,1387,1192,247,243,1122,785,106,463,216,1526,512,63351,63017,62951,66,68,28,17,4,8,11,48,3,22,23,188,30,286420,282706,282649,57,2252,1021,490,141,169,431,279,50,128,101,959,224,46857,46495,46469,26,129,43,37,12,7,30,22,1,15,6,150,61,8081,7989,7987,2,45,20,14,4,0,7,2,0,2,0,36,9,1322,1071,1071,0,133,25,9,15,11,73,45,1,43,1,53,20,408,347,347,0,21,5,4,2,0,10,13,1,7,5,14,13,4551,4425,4424,1,48,21,14,1,0,12,23,4,9,10,32,23,3163,1089,1089,0,1495,224,607,68,48,548,353,46,237,70,94,132
SELB,395047,389936,389401,535,2528,875,639,258,38,718,881,52,438,391,1102,600,79046,78734,78514,220,61,36,10,4,0,11,54,0,26,28,141,56,192691,190887,190736,151,1152,556,231,140,14,211,89,21,37,31,454,109,97350,96934,96778,156,114,40,22,15,8,29,57,2,28,27,173,72,6268,6196,6189,7,41,10,11,16,0,4,0,0,0,0,28,3,658,551,551,0,59,5,4,15,0,35,6,2,3,1,21,21,572,542,541,1,12,3,2,0,0,7,1,0,1,0,10,7,16282,15119,15119,0,182,36,14,4,1,127,530,17,230,283,198,253,2180,973,973,0,907,189,345,64,15,294,144,10,113,21,77,79
