GeographyCode,DC2248NI0001,DC2248NI0002,DC2248NI0003,DC2248NI0004,DC2248NI0005,DC2248NI0006,DC2248NI0007,DC2248NI0008,DC2248NI0009,DC2248NI0010,DC2248NI0011,DC2248NI0012,DC2248NI0013,DC2248NI0014,DC2248NI0015,DC2248NI0016,DC2248NI0017,DC2248NI0018,DC2248NI0019,DC2248NI0020,DC2248NI0021,DC2248NI0022,DC2248NI0023,DC2248NI0024,DC2248NI0025,DC2248NI0026,DC2248NI0027,DC2248NI0028,DC2248NI0029,DC2248NI0030,DC2248NI0031,DC2248NI0032,DC2248NI0033,DC2248NI0034,DC2248NI0035,DC2248NI0036,DC2248NI0037,DC2248NI0038,DC2248NI0039,DC2248NI0040,DC2248NI0041,DC2248NI0042,DC2248NI0043,DC2248NI0044,DC2248NI0045,DC2248NI0046,DC2248NI0047,DC2248NI0048,DC2248NI0049,DC2248NI0050,DC2248NI0051,DC2248NI0052,DC2248NI0053,DC2248NI0054,DC2248NI0055,DC2248NI0056,DC2248NI0057,DC2248NI0058,DC2248NI0059,DC2248NI0060,DC2248NI0061,DC2248NI0062,DC2248NI0063,DC2248NI0064,DC2248NI0065,DC2248NI0066,DC2248NI0067,DC2248NI0068,DC2248NI0069,DC2248NI0070,DC2248NI0071,DC2248NI0072,DC2248NI0073,DC2248NI0074,DC2248NI0075,DC2248NI0076,DC2248NI0077,DC2248NI0078,DC2248NI0079,DC2248NI0080
N92000002,1810863,817385,875717,16592,101169,1779750,807576,869415,8925,93834,1778449,806444,869285,8916,93804,1301,1132,130,9,30,19130,5386,2342,6078,5324,6303,418,786,481,4618,6198,2176,723,2952,347,1091,60,23,959,49,540,11,21,479,29,4998,2721,789,1207,281,3616,1204,1475,511,426,372,103,207,18,44,2345,659,1004,418,264,899,442,264,75,118,6014,2321,1862,577,1254,2353,898,623,501,331
BHSCT,348204,151452,164525,5667,26560,336221,148224,162408,2110,23479,336009,148049,162382,2108,23470,212,175,26,2,9,8195,2058,923,2841,2373,2722,138,345,224,2015,2520,652,194,1487,187,318,5,4,293,16,240,4,7,211,18,2395,1259,373,626,137,1384,335,556,295,198,101,28,56,2,15,1127,273,446,265,143,156,34,54,28,40,1709,607,492,211,399,695,228,146,210,111
NHSCT,463297,155691,276015,3790,27801,457259,154143,274601,2382,26133,457092,154016,274569,2379,26128,167,127,32,3,5,3795,946,471,1151,1227,1418,83,164,99,1072,1291,448,192,572,79,280,12,6,242,20,36,2,5,27,2,770,401,104,211,54,556,155,297,58,46,68,21,40,4,3,374,97,209,39,29,114,37,48,15,14,1306,360,514,103,329,381,87,132,96,66
SEHSCT,346911,107991,207432,3151,28337,341863,106559,206010,2129,27165,341721,106452,205985,2127,27157,142,107,25,2,8,2781,858,432,750,741,891,46,137,52,656,875,476,140,218,41,151,13,6,129,3,205,1,3,195,6,659,322,146,156,35,656,143,362,82,69,95,18,61,4,12,353,70,202,54,27,208,55,99,24,30,1218,352,456,115,295,393,79,172,75,67
SHSCT,358034,202952,140163,2344,12575,353233,200754,139310,1487,11682,352704,200264,139276,1486,11678,529,490,34,1,4,2387,812,301,652,622,786,68,89,61,568,619,249,107,246,17,243,23,2,217,1,38,3,1,31,3,701,469,102,97,33,783,488,163,51,81,44,19,21,3,1,376,179,104,41,52,363,290,38,7,28,1041,535,272,94,140,590,363,117,60,50
WHSCT,294417,199299,87582,1640,5896,291174,197896,87086,817,5375,290923,197663,87073,816,5371,251,233,13,1,4,1972,712,215,684,361,486,83,51,45,307,893,351,90,429,23,99,7,5,78,9,21,1,5,15,0,473,270,64,117,22,237,83,97,25,32,64,17,29,5,13,115,40,43,19,13,58,26,25,1,6,740,467,128,54,91,294,141,56,60,37
BELB,280962,136497,118856,4825,20784,270945,133818,117196,1707,18224,270743,133650,117172,1705,18216,202,168,24,2,8,6785,1641,701,2499,1944,2226,129,245,200,1652,2203,517,157,1361,168,222,5,3,202,12,202,3,6,176,17,1932,987,290,560,95,1255,311,481,279,184,90,23,52,2,13,1017,254,382,249,132,148,34,47,28,39,1401,526,373,168,334,576,201,105,172,98
NEELB,426284,133758,262033,3613,26880,420556,132336,260670,2242,25308,420395,132215,260638,2239,25303,161,121,32,3,5,3654,917,459,1118,1160,1329,73,154,95,1007,1271,437,192,563,79,265,12,6,227,20,36,2,5,27,2,753,393,102,206,52,458,90,276,58,34,60,15,38,4,3,312,61,190,39,22,86,14,48,15,9,1245,332,498,102,313,371,83,130,93,65
SEELB,414153,122946,253101,3993,34113,407139,120965,251222,2532,32420,406987,120851,251195,2530,32411,152,114,27,2,9,4191,1275,654,1092,1170,1387,55,237,76,1019,1192,611,177,344,60,247,13,7,220,7,243,2,4,230,7,1122,594,229,222,77,785,167,437,98,83,106,23,65,4,14,463,89,266,70,38,216,55,106,24,31,1526,433,575,158,360,512,106,213,113,80
SELB,395047,224885,154145,2521,13496,389936,222561,153241,1627,12507,389401,222065,153207,1626,12503,535,496,34,1,4,2528,841,313,685,689,875,78,99,65,633,639,260,107,255,17,258,23,2,232,1,38,3,1,31,3,718,477,104,102,35,881,553,184,51,93,52,25,23,3,1,438,215,123,41,59,391,313,38,7,33,1102,563,288,95,156,600,367,119,63,51
