GeographyCode,DC2122NI0001,DC2122NI0002,DC2122NI0003,DC2122NI0004,DC2122NI0005,DC2122NI0006,DC2122NI0007,DC2122NI0008,DC2122NI0009,DC2122NI0010,DC2122NI0011,DC2122NI0012,DC2122NI0013,DC2122NI0014,DC2122NI0015,DC2122NI0016,DC2122NI0017,DC2122NI0018,DC2122NI0019,DC2122NI0020,DC2122NI0021,DC2122NI0022,DC2122NI0023,DC2122NI0024,DC2122NI0025,DC2122NI0026,DC2122NI0027,DC2122NI0028,DC2122NI0029,DC2122NI0030,DC2122NI0031,DC2122NI0032,DC2122NI0033,DC2122NI0034,DC2122NI0035,DC2122NI0036,DC2122NI0037,DC2122NI0038,DC2122NI0039,DC2122NI0040,DC2122NI0041,DC2122NI0042,DC2122NI0043,DC2122NI0044,DC2122NI0045,DC2122NI0046,DC2122NI0047,DC2122NI0048,DC2122NI0049,DC2122NI0050,DC2122NI0051,DC2122NI0052,DC2122NI0053,DC2122NI0054,DC2122NI0055,DC2122NI0056,DC2122NI0057,DC2122NI0058,DC2122NI0059,DC2122NI0060,DC2122NI0061,DC2122NI0062,DC2122NI0063,DC2122NI0064,DC2122NI0065,DC2122NI0066,DC2122NI0067,DC2122NI0068,DC2122NI0069,DC2122NI0070,DC2122NI0071,DC2122NI0072,DC2122NI0073,DC2122NI0074,DC2122NI0075,DC2122NI0076,DC2122NI0077,DC2122NI0078,DC2122NI0079,DC2122NI0080,DC2122NI0081,DC2122NI0082,DC2122NI0083,DC2122NI0084,DC2122NI0085,DC2122NI0086,DC2122NI0087,DC2122NI0088,DC2122NI0089,DC2122NI0090,DC2122NI0091,DC2122NI0092,DC2122NI0093,DC2122NI0094,DC2122NI0095,DC2122NI0096,DC2122NI0097,DC2122NI0098,DC2122NI0099,DC2122NI0100,DC2122NI0101,DC2122NI0102,DC2122NI0103,DC2122NI0104,DC2122NI0105,DC2122NI0106,DC2122NI0107,DC2122NI0108,DC2122NI0109,DC2122NI0110,DC2122NI0111,DC2122NI0112,DC2122NI0113,DC2122NI0114,DC2122NI0115,DC2122NI0116,DC2122NI0117,DC2122NI0118,DC2122NI0119,DC2122NI0120,DC2122NI0121,DC2122NI0122,DC2122NI0123,DC2122NI0124,DC2122NI0125,DC2122NI0126,DC2122NI0127,DC2122NI0128,DC2122NI0129,DC2122NI0130,DC2122NI0131,DC2122NI0132,DC2122NI0133,DC2122NI0134,DC2122NI0135,DC2122NI0136,DC2122NI0137,DC2122NI0138,DC2122NI0139,DC2122NI0140,DC2122NI0141,DC2122NI0142,DC2122NI0143,DC2122NI0144,DC2122NI0145,DC2122NI0146,DC2122NI0147,DC2122NI0148,DC2122NI0149,DC2122NI0150
N92000002,1409368,622457,713042,13117,60752,683400,298794,343092,6866,34648,725968,323663,369950,6251,26104,750247,308700,406500,7366,27681,375102,150601,204700,3805,15996,375145,158099,201800,3561,11685,662810,270975,366260,6576,18999,331446,132407,184521,3381,11137,331364,138568,181739,3195,7862,87437,37725,40240,790,8682,43656,18194,20179,424,4859,43781,19531,20061,366,3823,659121,313757,306542,5751,33071,308298,148193,138392,3061,18652,350823,165564,168150,2690,14419,443578,224269,189163,3419,26727,236168,117697,100798,2036,15637,207410,106572,88365,1383,11090,15152,7400,6387,471,894,7888,3894,3106,325,563,7264,3506,3281,146,331,48233,24623,21342,497,1771,18563,9024,8503,241,795,29670,15599,12839,256,976,63601,24483,35697,774,2647,25379,9819,13951,334,1275,38222,14664,21746,440,1372,88557,32982,53953,590,1032,20300,7759,12034,125,382,68257,25223,41919,465,650
BHSCT,277668,118565,137564,4426,17113,131909,55058,64568,2444,9839,145759,63507,72996,1982,7274,123308,47776,66378,2298,6856,61867,23125,33581,1193,3968,61441,24651,32797,1105,2888,103016,39330,57429,2000,4257,51540,18996,29027,1032,2485,51476,20334,28402,968,1772,20292,8446,8949,298,2599,10327,4129,4554,161,1483,9965,4317,4395,137,1116,154360,70789,71186,2128,10257,70042,31933,30987,1251,5871,84318,38856,40199,877,4386,104900,51036,43961,1365,8538,53298,25208,22207,850,5033,51602,25828,21754,515,3505,3068,1335,1238,218,277,1656,688,617,176,175,1412,647,621,42,102,12224,6282,5291,188,463,4618,2275,2018,108,217,7606,4007,3273,80,246,14570,5282,8397,209,682,5941,2154,3350,90,347,8629,3128,5047,119,335,19598,6854,12299,148,297,4529,1608,2795,27,99,15069,5246,9504,121,198
NHSCT,360672,117684,223995,2984,16009,175253,56798,107892,1510,9053,185419,60886,116103,1474,6956,204341,64236,130918,1721,7466,102090,31168,65739,888,4295,102251,33068,65179,833,3171,182300,56900,118539,1554,5307,91147,27695,59553,794,3105,91153,29205,58986,760,2202,22041,7336,12379,167,2159,10943,3473,6186,94,1190,11098,3863,6193,73,969,156331,53448,93077,1263,8543,73163,25630,42153,622,4758,83168,27818,50924,641,3785,103463,38605,57272,689,6897,55516,20543,30565,393,4015,47947,18062,26707,296,2882,3713,1431,1984,96,202,1854,747,944,56,107,1859,684,1040,40,95,10993,3611,6776,102,504,4382,1391,2721,41,229,6611,2220,4055,61,275,15755,4066,10806,203,680,6331,1664,4255,96,316,9424,2402,6551,107,364,22407,5735,16239,173,260,5080,1285,3668,36,91,17327,4450,12571,137,169
SEHSCT,270942,81582,170493,2519,16348,130020,38316,81222,1250,9232,140922,43266,89271,1269,7116,157144,43490,104087,1513,8054,78524,20887,52208,774,4655,78620,22603,51879,739,3399,139192,37751,94268,1347,5826,69601,18168,47329,688,3416,69591,19583,46939,659,2410,17952,5739,9819,166,2228,8923,2719,4879,86,1239,9029,3020,4940,80,989,113798,38092,66406,1006,8294,51496,17429,29014,476,4577,62302,20663,37392,530,3717,73120,26800,39098,537,6685,38428,13767,20524,297,3840,34692,13033,18574,240,2845,2494,789,1494,56,155,1264,399,739,29,97,1230,390,755,27,58,8414,3227,4612,104,471,3155,1093,1812,48,202,5259,2134,2800,56,269,12937,3388,8650,181,718,4811,1240,3168,70,333,8126,2148,5482,111,385,16833,3888,12552,128,265,3838,930,2771,32,105,12995,2958,9781,96,160
SHSCT,274244,153432,111233,1906,7673,135209,75292,54530,992,4395,139035,78140,56703,914,3278,150898,80112,66073,1092,3621,75375,39481,33269,560,2065,75523,40631,32804,532,1556,135048,71182,60467,994,2405,67519,35162,30467,510,1380,67529,36020,30000,484,1025,15850,8930,5606,98,1216,7856,4319,2802,50,685,7994,4611,2804,48,531,123346,73320,45160,814,4052,59834,35811,21261,432,2330,63512,37509,23899,382,1722,84561,52057,28843,511,3150,46679,28412,16085,299,1883,37882,23645,12758,212,1267,3163,2025,907,59,172,1698,1111,425,42,120,1465,914,482,17,52,8299,5210,2795,61,233,3261,1963,1175,28,95,5038,3247,1620,33,138,11020,5806,4752,91,371,4500,2374,1898,42,186,6520,3432,2854,49,185,16303,8222,7863,92,126,3696,1951,1678,21,46,12607,6271,6185,71,80
WHSCT,225842,151194,69757,1282,3609,111009,73330,34880,670,2129,114833,77864,34877,612,1480,114556,73086,39044,742,1684,57246,35940,19903,390,1013,57310,37146,19141,352,671,103254,65812,35557,681,1204,51639,32386,18145,357,751,51615,33426,17412,324,453,11302,7274,3487,61,480,5607,3554,1758,33,262,5695,3720,1729,28,218,111286,78108,30713,540,1925,53763,37390,14977,280,1116,57523,40718,15736,260,809,77534,55771,19989,317,1457,42247,29767,11417,197,866,35287,26004,8572,120,591,2714,1820,764,42,88,1416,949,381,22,64,1298,871,383,20,24,8303,6293,1868,42,100,3147,2302,777,16,52,5156,3991,1091,26,48,9319,5941,3092,90,196,3796,2387,1280,36,93,5523,3554,1812,54,103,13416,8283,5000,49,84,3157,1985,1122,9,41,10259,6298,3878,40,43
BELB,224006,107452,99184,3766,13604,106551,50030,46546,2127,7848,117455,57422,52638,1639,5756,92136,40765,44314,1906,5151,46243,19836,22463,992,2952,45893,20929,21851,914,2199,75410,33323,37447,1641,2999,37737,16207,18940,849,1741,37673,17116,18507,792,1258,16726,7442,6867,265,2152,8506,3629,3523,143,1211,8220,3813,3344,122,941,131870,66687,54870,1860,8453,60308,30194,24083,1135,4896,71562,36493,30787,725,3557,90726,47945,34477,1213,7091,46122,23754,17369,776,4223,44604,24191,17108,437,2868,2602,1245,928,202,227,1437,650,478,163,146,1165,595,450,39,81,10773,6048,4194,160,371,4073,2201,1602,97,173,6700,3847,2592,63,198,12050,4948,6377,174,551,5022,2056,2606,81,279,7028,2892,3771,93,272,15719,6501,8894,111,213,3654,1533,2028,18,75,12065,4968,6866,93,138
NEELB,332245,101216,212772,2835,15422,161188,48717,102338,1426,8707,171057,52499,110434,1409,6715,188793,55550,124428,1636,7179,94324,26878,62460,843,4143,94469,28672,61968,793,3036,168102,48980,112543,1475,5104,84047,23774,56527,752,2994,84055,25206,56016,723,2110,20691,6570,11885,161,2075,10277,3104,5933,91,1149,10414,3466,5952,70,926,143452,45666,88344,1199,8243,66864,21839,39878,583,4564,76588,23827,48466,616,3679,94315,32826,54174,649,6666,50492,17446,28823,365,3858,43823,15380,25351,284,2808,3356,1214,1869,85,188,1672,639,886,53,94,1684,575,983,32,94,10213,3138,6494,98,483,4054,1197,2602,39,216,6159,1941,3892,59,267,14777,3583,10344,196,654,5901,1437,4063,91,310,8876,2146,6281,105,344,20791,4905,15463,171,252,4745,1120,3504,35,86,16046,3785,11959,136,166
SEELB,324604,92695,208873,3179,19857,155378,43344,99244,1567,11223,169226,49351,109629,1612,8634,188316,50501,126151,1905,9759,94148,24176,63326,975,5671,94168,26325,62825,930,4088,166798,43758,114250,1706,7084,83404,20957,57416,871,4160,83394,22801,56834,835,2924,21518,6743,11901,199,2675,10744,3219,5910,104,1511,10774,3524,5991,95,1164,136288,42194,82722,1274,10098,61230,19168,35918,592,5552,75058,23026,46804,682,4546,87294,29891,48582,689,8132,45604,15221,25362,371,4650,41690,14670,23220,318,3482,2960,879,1804,72,205,1483,437,878,42,126,1477,442,926,30,79,9865,3461,5709,132,563,3700,1167,2228,59,246,6165,2294,3481,73,317,15457,3722,10670,216,849,5730,1338,3912,79,401,9727,2384,6758,137,448,20712,4241,15957,165,349,4713,1005,3538,41,129,15999,3236,12419,124,220
SELB,302671,169900,122456,2055,8260,149274,83373,60084,1076,4741,153397,86527,62372,979,3519,166446,88798,72563,1177,3908,83141,43771,36548,605,2217,83305,45027,36015,572,1691,149246,79102,66463,1073,2608,74619,39083,33493,552,1491,74627,40019,32970,521,1117,17200,9696,6100,104,1300,8522,4688,3055,53,726,8678,5008,3045,51,574,136225,81102,49893,878,4352,66133,39602,23536,471,2524,70092,41500,26357,407,1828,93709,57836,31941,551,3381,51703,31509,17827,327,2040,42006,26327,14114,224,1341,3520,2242,1022,70,186,1880,1219,483,45,133,1640,1023,539,25,53,9079,5683,3077,65,254,3589,2157,1294,30,108,5490,3526,1783,35,146,11998,6289,5214,98,397,4930,2601,2090,47,192,7068,3688,3124,51,205,17919,9052,8639,94,134,4031,2116,1842,22,51,13888,6936,6797,72,83
