GeographyCode,DC2503NI0001,DC2503NI0002,DC2503NI0003,DC2503NI0004,DC2503NI0005,DC2503NI0006,DC2503NI0007,DC2503NI0008,DC2503NI0009,DC2503NI0010,DC2503NI0011,DC2503NI0012,DC2503NI0013,DC2503NI0014,DC2503NI0015,DC2503NI0016,DC2503NI0017,DC2503NI0018,DC2503NI0019,DC2503NI0020,DC2503NI0021,DC2503NI0022,DC2503NI0023,DC2503NI0024,DC2503NI0025,DC2503NI0026,DC2503NI0027,DC2503NI0028,DC2503NI0029,DC2503NI0030,DC2503NI0031,DC2503NI0032,DC2503NI0033,DC2503NI0034,DC2503NI0035,DC2503NI0036,DC2503NI0037,DC2503NI0038,DC2503NI0039,DC2503NI0040,DC2503NI0041,DC2503NI0042,DC2503NI0043,DC2503NI0044,DC2503NI0045,DC2503NI0046,DC2503NI0047,DC2503NI0048,DC2503NI0049,DC2503NI0050,DC2503NI0051,DC2503NI0052,DC2503NI0053,DC2503NI0054,DC2503NI0055,DC2503NI0056,DC2503NI0057,DC2503NI0058,DC2503NI0059,DC2503NI0060,DC2503NI0061,DC2503NI0062,DC2503NI0063,DC2503NI0064,DC2503NI0065,DC2503NI0066,DC2503NI0067,DC2503NI0068,DC2503NI0069,DC2503NI0070,DC2503NI0071,DC2503NI0072
N92000002,1431540,416851,164798,213570,60462,176110,338544,61205,1253393,379309,147558,192057,55693,157142,284705,36929,57034,11684,7564,9474,1930,7756,16712,1914,14074,3757,1739,1883,583,1561,4051,500,2321,485,275,328,69,302,763,99,35567,10990,2238,3234,936,3346,11473,3350,8415,1220,832,1079,237,979,2660,1408,29867,5058,2126,2445,439,1979,5474,12346,30869,4348,2466,3070,575,3045,12706,4659
BHSCT,283079,82416,30671,36764,9997,36650,75840,10741,245426,76498,27768,33034,9303,32296,60377,6150,9800,1777,1010,1316,228,1631,3564,274,2630,634,291,311,110,296,904,84,436,87,39,46,6,70,175,13,6031,1104,293,483,84,603,3075,389,2147,226,160,195,48,263,963,292,5787,739,395,493,80,487,1676,1917,10822,1351,715,886,138,1004,5106,1622
NHSCT,366872,106538,43450,56884,17053,45576,82138,15233,328747,98921,39358,51867,15909,41401,71240,10051,14147,2957,1986,2444,526,1843,3910,481,3971,1060,493,540,174,453,1118,133,608,118,79,92,22,79,187,31,4685,1227,302,442,122,494,1640,458,1815,291,203,273,54,226,484,284,6629,1111,492,556,107,405,1072,2886,6270,853,537,670,139,675,2487,909
SEHSCT,275606,67575,32900,44203,13260,34752,72479,10437,242472,61800,29112,39478,12262,30935,61482,7403,14497,2531,2027,2541,481,1875,4552,490,3324,726,410,491,127,395,1037,138,656,128,84,94,26,76,218,30,4516,1078,281,410,127,453,1776,391,1637,203,204,262,50,220,525,173,2825,407,228,243,45,199,605,1098,5679,702,554,684,142,599,2284,714
SHSCT,276654,83107,31412,41914,11933,32571,60400,15317,238077,73734,27771,37591,10889,29003,51555,7534,9640,2314,1337,1589,363,1191,2486,360,1871,511,260,256,80,204,498,62,356,79,40,53,10,45,113,16,8492,2942,602,810,272,778,2172,916,1912,366,178,230,52,169,385,532,11287,2181,771,873,160,704,1649,4949,5019,980,453,512,107,477,1542,948
WHSCT,229329,77215,26365,33805,8219,26561,47687,9477,198671,68356,23549,30087,7330,23507,40051,5791,8950,2105,1204,1584,332,1216,2200,309,2278,826,285,285,92,213,494,83,265,73,33,43,5,32,70,9,11843,4639,760,1089,331,1018,2810,1196,904,134,87,119,33,101,303,127,3339,620,240,280,47,184,472,1496,3079,462,207,318,49,290,1287,466
BELB,228679,69498,24585,28773,7444,30052,59536,8791,196963,64568,22233,25674,6911,26295,46499,4783,7899,1439,778,1066,151,1383,2873,209,2050,504,221,234,75,248,707,61,337,68,30,37,4,53,136,9,5133,922,246,415,76,536,2602,336,1849,184,127,162,40,223,855,258,5288,674,356,456,73,451,1541,1737,9160,1139,594,729,114,863,4323,1398
NEELB,338153,96871,40086,52525,15888,42220,76717,13846,302768,89945,36295,47839,14824,38286,66337,9242,13324,2730,1863,2297,495,1752,3733,454,3797,998,467,519,165,435,1088,125,579,112,75,88,20,77,176,31,4296,1106,275,391,108,462,1531,423,1584,223,180,249,51,212,464,205,5872,968,431,502,99,359,975,2538,5933,789,500,640,126,637,2413,828
SEELB,330006,80493,38986,52194,15813,41350,88783,12387,290935,73730,34647,46838,14654,36936,75360,8770,16398,2869,2259,2791,558,2123,5243,555,3904,856,480,568,162,443,1234,161,755,147,93,103,28,93,257,34,5414,1260,328,478,135,520,2249,444,1935,245,237,295,58,260,633,207,3324,472,267,280,52,235,740,1278,7341,914,675,841,166,740,3067,938
SELB,305373,92774,34776,46273,13098,35927,65821,16704,264056,82710,30834,41619,11974,32118,56458,8343,10463,2541,1460,1736,394,1282,2663,387,2045,573,286,277,89,222,528,70,385,85,44,57,12,47,124,16,8881,3063,629,861,286,810,2281,951,2143,434,201,254,55,183,405,611,12044,2324,832,927,168,750,1746,5297,5356,1044,490,542,120,515,1616,1029
WELB,229329,77215,26365,33805,8219,26561,47687,9477,198671,68356,23549,30087,7330,23507,40051,5791,8950,2105,1204,1584,332,1216,2200,309,2278,826,285,285,92,213,494,83,265,73,33,43,5,32,70,9,11843,4639,760,1089,331,1018,2810,1196,904,134,87,119,33,101,303,127,3339,620,240,280,47,184,472,1496,3079,462,207,318,49,290,1287,466
UKN01,228679,69498,24585,28773,7444,30052,59536,8791,196963,64568,22233,25674,6911,26295,46499,4783,7899,1439,778,1066,151,1383,2873,209,2050,504,221,234,75,248,707,61,337,68,30,37,4,53,136,9,5133,922,246,415,76,536,2602,336,1849,184,127,162,40,223,855,258,5288,674,356,456,73,451,1541,1737,9160,1139,594,729,114,863,4323,1398
UKN02,311648,75167,37367,48673,14493,39865,84597,11486,275002,69117,33392,43810,13414,35620,71632,8017,14739,2572,2030,2465,527,1956,4690,499,3761,815,466,531,160,423,1214,152,686,132,75,107,24,91,222,35,4739,1028,277,387,117,492,2054,384,1915,226,215,284,52,265,660,213,3080,384,246,268,44,227,738,1173,7726,893,666,821,155,791,3387,1013
UKN03,346252,97849,41019,54900,16592,41951,78507,15434,307079,89723,36675,49701,15446,37927,67939,9668,14464,2978,2081,2515,497,1794,4101,498,3547,932,460,499,144,413,975,124,604,127,85,93,18,64,190,27,4709,1380,325,455,137,450,1538,424,2158,384,244,332,72,231,457,438,7702,1364,582,624,124,478,1192,3338,5989,961,567,681,154,594,2115,917
UKN04,226804,75017,26352,33746,8568,27495,47180,8446,200222,67809,23782,30483,7830,24684,39982,5652,8758,2034,1205,1505,299,1188,2219,308,2664,872,327,336,114,275,656,84,341,79,43,48,11,43,101,16,8264,3173,517,725,215,748,2120,766,951,126,112,136,23,111,320,123,2326,455,135,180,26,115,374,1041,3278,469,231,333,50,331,1408,456
UKN05,318157,99320,35475,47478,13365,36747,68724,17048,274127,88092,31476,42389,12092,32616,58653,8809,11174,2661,1470,1923,456,1435,2829,400,2052,634,265,283,90,202,499,79,353,79,42,43,12,51,114,12,12722,4487,873,1252,391,1120,3159,1440,1542,300,134,165,50,149,368,376,11471,2181,807,917,172,708,1629,5057,4716,886,408,506,102,466,1473,875
95AA,41479,10904,5097,6863,1873,4979,9828,1935,35506,9854,4421,5967,1695,4303,8199,1067,2350,411,354,464,79,345,626,71,509,119,66,78,18,66,148,14,97,16,20,22,4,11,23,1,588,179,40,66,20,52,183,48,261,37,34,48,21,36,59,26,1149,179,76,98,11,65,167,553,1019,109,86,120,25,101,423,155
