GeographyCode,DC2120NI0001,DC2120NI0002,DC2120NI0003,DC2120NI0004,DC2120NI0005,DC2120NI0006,DC2120NI0007,DC2120NI0008,DC2120NI0009,DC2120NI0010,DC2120NI0011,DC2120NI0012,DC2120NI0013,DC2120NI0014,DC2120NI0015,DC2120NI0016,DC2120NI0017,DC2120NI0018,DC2120NI0019,DC2120NI0020,DC2120NI0021,DC2120NI0022,DC2120NI0023,DC2120NI0024,DC2120NI0025,DC2120NI0026,DC2120NI0027,DC2120NI0028,DC2120NI0029,DC2120NI0030,DC2120NI0031,DC2120NI0032,DC2120NI0033,DC2120NI0034,DC2120NI0035,DC2120NI0036,DC2120NI0037,DC2120NI0038,DC2120NI0039,DC2120NI0040,DC2120NI0041,DC2120NI0042,DC2120NI0043,DC2120NI0044,DC2120NI0045,DC2120NI0046,DC2120NI0047,DC2120NI0048,DC2120NI0049,DC2120NI0050,DC2120NI0051,DC2120NI0052,DC2120NI0053,DC2120NI0054,DC2120NI0055,DC2120NI0056,DC2120NI0057,DC2120NI0058,DC2120NI0059,DC2120NI0060,DC2120NI0061,DC2120NI0062,DC2120NI0063,DC2120NI0064,DC2120NI0065,DC2120NI0066,DC2120NI0067,DC2120NI0068,DC2120NI0069,DC2120NI0070,DC2120NI0071,DC2120NI0072,DC2120NI0073,DC2120NI0074,DC2120NI0075,DC2120NI0076,DC2120NI0077,DC2120NI0078,DC2120NI0079,DC2120NI0080,DC2120NI0081,DC2120NI0082,DC2120NI0083,DC2120NI0084,DC2120NI0085,DC2120NI0086,DC2120NI0087,DC2120NI0088,DC2120NI0089,DC2120NI0090,DC2120NI0091,DC2120NI0092,DC2120NI0093,DC2120NI0094,DC2120NI0095,DC2120NI0096,DC2120NI0097,DC2120NI0098,DC2120NI0099,DC2120NI0100,DC2120NI0101,DC2120NI0102,DC2120NI0103,DC2120NI0104,DC2120NI0105,DC2120NI0106,DC2120NI0107,DC2120NI0108,DC2120NI0109,DC2120NI0110
N92000002,703275,296577,372213,6654,27831,196414,76670,110632,1972,7140,78101,25969,50737,527,868,118313,50701,59895,1445,6272,455076,192899,240855,3965,17357,46826,13081,32955,335,455,269421,113257,144484,2621,9059,72268,23831,45000,773,2664,138677,63496,68331,1490,5360,58476,25930,31153,358,1035,38599,16120,18255,354,3870,20553,8476,9799,176,2102,16186,6946,7404,162,1674,1860,698,1052,16,94,100230,50441,45161,655,3973,64228,33395,27191,421,3221,36002,17046,17970,234,752,51785,27008,20726,717,3334,18980,10586,7212,225,957,2055,969,805,53,228,3279,1479,1755,22,23,27471,13974,10954,417,2126
BHSCT,148328,60176,77559,2274,8319,50611,18470,28867,707,2567,18213,5358,12461,138,256,32398,13112,16406,569,2311,82487,33835,43111,1216,4325,8867,2318,6385,67,97,40544,15933,21796,827,1988,11980,3788,7349,226,617,19796,8519,9592,533,1152,8768,3626,4855,68,219,8939,3648,4014,129,1148,5402,2285,2331,61,725,3150,1229,1452,64,405,387,134,231,4,18,24137,11936,10916,193,1092,15992,8113,6852,140,887,8145,3823,4064,53,205,15230,7871,5581,351,1427,4011,2282,1362,74,293,1601,798,583,47,173,723,291,421,4,7,8895,4500,3215,226,954
NHSCT,177914,53944,115324,1514,7132,46858,12528,32173,461,1696,19904,4585,14952,151,216,26954,7943,17221,310,1480,119950,37150,77109,929,4762,13135,2547,10370,88,130,73906,23935,46819,613,2539,20606,4974,14674,198,760,37427,13667,21997,308,1455,15873,5294,10148,107,324,9778,3072,5653,69,984,5004,1533,2953,36,482,4257,1408,2347,32,470,517,131,353,1,32,23131,7596,14267,159,1109,14383,4756,8628,102,897,8748,2840,5639,57,212,11106,4266,6042,124,674,4380,1831,2280,49,220,341,108,188,4,41,795,265,521,5,4,5590,2062,3053,66,409
SEHSCT,136698,39157,88981,1300,7260,36574,9258,25288,401,1627,15394,3084,11971,117,222,21180,6174,13317,284,1405,92625,27017,59728,814,5066,11107,1854,9019,87,147,55946,15799,36818,513,2816,16986,3667,12336,170,813,27764,8747,17033,275,1709,11196,3385,7449,68,294,8040,2522,4427,75,1016,4290,1277,2427,42,544,3335,1132,1736,26,441,415,113,264,7,31,17532,6842,9464,139,1087,11387,4780,5632,86,889,6145,2062,3832,53,198,7499,2882,3965,85,567,3145,1350,1539,42,214,23,9,11,0,3,519,146,364,1,8,3812,1377,2051,42,342
SHSCT,131129,71338,55496,925,3370,32965,17224,14748,245,748,13634,6456,7007,79,92,19331,10768,7741,166,656,88923,48268,37921,586,2148,7907,3227,4572,60,48,56199,30112,24571,393,1123,13033,5867,6759,114,293,30783,17368,12514,206,695,12383,6877,5298,73,135,6831,3682,2569,48,532,3360,1797,1285,19,259,3167,1710,1171,25,261,304,175,113,4,12,17986,11247,6209,85,445,11233,7234,3595,46,358,6753,4013,2614,39,87,9241,5846,2827,94,474,3842,2496,1132,36,178,19,8,6,2,3,652,388,256,7,1,4728,2954,1433,49,292
WHSCT,109206,71962,34853,641,1750,29406,19190,9556,158,502,10956,6486,4346,42,82,18450,12704,5210,116,420,71091,46629,22986,420,1056,5810,3135,2609,33,33,42826,27478,14480,275,593,9663,5535,3882,65,181,22907,15195,7195,168,349,10256,6748,3403,42,63,5011,3196,1592,33,190,2497,1584,803,18,92,2277,1467,698,15,97,237,145,91,0,1,17444,12820,4305,79,240,11233,8512,2484,47,190,6211,4308,1821,32,50,8709,6143,2311,63,192,3602,2627,899,24,52,71,46,17,0,8,590,389,193,5,3,4446,3081,1202,34,129
BELB,120595,54899,57007,1944,6745,42401,17293,22312,624,2172,14555,5061,9192,109,193,27846,12232,13120,515,1979,64315,30069,29949,996,3301,6375,2096,4159,51,69,29604,13352,14175,679,1398,8786,3248,4901,181,456,14162,6818,6100,447,797,6656,3286,3174,51,145,7316,3175,3091,109,941,4445,1990,1790,51,614,2565,1066,1128,56,315,306,119,173,2,12,21020,11446,8524,157,893,14184,7792,5541,117,734,6836,3654,2983,40,159,13879,7537,4746,324,1272,3542,2179,1082,61,220,1592,794,579,47,172,615,281,326,3,5,8130,4283,2759,213,875
NEELB,165010,46779,109895,1450,6886,43835,10930,30801,445,1659,18592,3947,14284,147,214,25243,6983,16517,298,1445,110991,32158,73356,884,4593,12373,2273,9893,83,124,67975,20533,44403,582,2457,19352,4384,14048,188,732,34174,11670,20804,292,1408,14449,4479,9551,102,317,9208,2762,5434,66,946,4734,1393,2847,34,460,3987,1255,2247,31,454,487,114,340,1,32,21435,6590,13626,153,1066,13410,4165,8282,96,867,8025,2425,5344,57,199,10184,3691,5738,121,634,3966,1561,2154,49,202,338,107,187,4,40,737,229,500,5,3,5143,1794,2897,63,389
SEELB,164431,44434,109533,1630,8834,44784,10435,31843,484,2022,19052,3381,15240,146,285,25732,7054,16603,338,1737,110797,30783,72890,1034,6090,13599,2076,11245,103,175,66886,18380,44439,661,3406,20180,4207,14784,215,974,33398,10448,20525,361,2064,13308,3725,9130,85,368,9663,2995,5350,95,1223,5247,1572,2968,52,655,3920,1295,2060,34,531,496,128,322,9,37,20649,7332,11856,175,1286,13195,5101,6943,109,1042,7454,2231,4913,66,244,8850,3216,4800,112,722,3614,1453,1819,55,287,32,13,15,0,4,627,156,459,2,10,4577,1594,2507,55,421
SELB,144033,78503,60925,989,3616,35988,18822,16120,261,785,14946,7094,7675,83,94,21042,11728,8445,178,691,97882,53260,41674,631,2317,8669,3501,5049,65,54,62130,33514,26987,424,1205,14287,6457,7385,124,321,34036,19365,13707,222,742,13807,7692,5895,78,142,7401,3992,2788,51,570,3630,1937,1391,21,281,3437,1863,1271,26,277,334,192,126,4,12,19682,12253,6850,91,488,12206,7825,3941,52,388,7476,4428,2909,39,100,10163,6421,3131,97,514,4256,2766,1258,36,196,22,9,7,2,4,710,424,277,7,2,5175,3222,1589,52,312
