GeographyCode,DC2418NI0001,DC2418NI0002,DC2418NI0003,DC2418NI0004,DC2418NI0005,DC2418NI0006,DC2418NI0007,DC2418NI0008,DC2418NI0009,DC2418NI0010,DC2418NI0011,DC2418NI0012,DC2418NI0013,DC2418NI0014,DC2418NI0015,DC2418NI0016,DC2418NI0017,DC2418NI0018,DC2418NI0019,DC2418NI0020,DC2418NI0021,DC2418NI0022,DC2418NI0023,DC2418NI0024,DC2418NI0025,DC2418NI0026,DC2418NI0027,DC2418NI0028,DC2418NI0029,DC2418NI0030,DC2418NI0031,DC2418NI0032,DC2418NI0033,DC2418NI0034,DC2418NI0035,DC2418NI0036,DC2418NI0037,DC2418NI0038,DC2418NI0039,DC2418NI0040,DC2418NI0041,DC2418NI0042,DC2418NI0043,DC2418NI0044,DC2418NI0045,DC2418NI0046,DC2418NI0047,DC2418NI0048,DC2418NI0049,DC2418NI0050,DC2418NI0051,DC2418NI0052,DC2418NI0053,DC2418NI0054,DC2418NI0055,DC2418NI0056,DC2418NI0057,DC2418NI0058,DC2418NI0059,DC2418NI0060,DC2418NI0061,DC2418NI0062,DC2418NI0063,DC2418NI0064,DC2418NI0065,DC2418NI0066,DC2418NI0067,DC2418NI0068,DC2418NI0069,DC2418NI0070,DC2418NI0071,DC2418NI0072,DC2418NI0073,DC2418NI0074,DC2418NI0075,DC2418NI0076,DC2418NI0077,DC2418NI0078,DC2418NI0079,DC2418NI0080,DC2418NI0081,DC2418NI0082,DC2418NI0083,DC2418NI0084,DC2418NI0085,DC2418NI0086,DC2418NI0087,DC2418NI0088,DC2418NI0089,DC2418NI0090,DC2418NI0091,DC2418NI0092,DC2418NI0093,DC2418NI0094,DC2418NI0095,DC2418NI0096,DC2418NI0097,DC2418NI0098,DC2418NI0099,DC2418NI0100,DC2418NI0101,DC2418NI0102,DC2418NI0103,DC2418NI0104,DC2418NI0105,DC2418NI0106,DC2418NI0107,DC2418NI0108,DC2418NI0109,DC2418NI0110,DC2418NI0111,DC2418NI0112,DC2418NI0113,DC2418NI0114,DC2418NI0115,DC2418NI0116,DC2418NI0117,DC2418NI0118,DC2418NI0119,DC2418NI0120,DC2418NI0121,DC2418NI0122,DC2418NI0123,DC2418NI0124,DC2418NI0125,DC2418NI0126,DC2418NI0127,DC2418NI0128,DC2418NI0129,DC2418NI0130,DC2418NI0131,DC2418NI0132,DC2418NI0133,DC2418NI0134,DC2418NI0135,DC2418NI0136,DC2418NI0137,DC2418NI0138,DC2418NI0139,DC2418NI0140
N92000002,703275,263153,312808,145109,104505,23132,40062,5925,70600,50789,470507,171750,222863,106315,72156,16522,27870,3157,43826,28911,225845,74061,119626,58828,38508,8798,13492,1466,15150,15542,244662,97689,103237,47487,33648,7724,14378,1691,28676,13369,4244,1518,1739,779,564,133,263,40,654,293,104885,40058,45060,19492,17225,3613,4730,769,8391,10607,80890,29859,35852,15670,13941,2720,3521,549,6498,8132,23995,10199,9208,3822,3284,893,1209,220,1893,2475,106016,43758,34359,14455,11561,2202,6141,1821,16740,9338,95215,39540,30248,12784,10303,1952,5209,1675,15307,8445,1216,367,474,82,83,17,292,27,270,78,7784,3208,2981,1340,1007,190,444,54,935,606,1801,643,656,249,168,43,196,65,228,209,17623,6069,8787,4068,2999,662,1058,138,989,1640
BHSCT,148328,50967,62030,26727,20617,6664,8022,1997,20090,13244,82996,28610,36848,16148,11721,4231,4748,754,10689,6095,37260,10861,19561,8771,6252,2288,2250,306,3546,2986,45736,17749,17287,7377,5469,1943,2498,448,7143,3109,919,344,317,132,97,29,59,10,168,80,34700,11642,15754,6599,5965,1585,1605,293,3045,3966,24102,7453,11622,4933,4431,1156,1102,179,2073,2775,10598,4189,4132,1666,1534,429,503,114,972,1191,26068,9332,7287,3056,2198,603,1430,893,5893,2663,23999,8617,6598,2757,1980,546,1315,841,5508,2435,131,66,34,12,10,2,10,5,14,12,1474,504,494,226,155,37,76,17,322,137,464,145,161,61,53,18,29,30,49,79,3645,1039,1824,792,636,216,180,47,295,440
NHSCT,177914,48294,98398,52927,26943,5993,12535,1359,18401,11462,126501,34467,71781,39862,18527,4344,9048,850,12244,7159,62159,15391,38282,22385,9379,2106,4412,409,4123,3954,64342,19076,33499,17477,9148,2238,4636,441,8121,3205,1119,293,545,285,155,30,75,9,189,83,21174,4650,12485,6022,4277,861,1325,159,1966,1914,18203,3943,10740,5159,3803,701,1077,129,1738,1653,2971,707,1745,863,474,160,248,30,228,261,24665,7798,10878,5268,3246,612,1752,297,3749,1943,21957,6987,9563,4653,2904,549,1457,263,3383,1761,347,92,141,27,22,4,88,9,91,14,2002,629,1003,507,280,53,163,16,218,136,359,90,171,81,40,6,44,9,57,32,4455,1086,2709,1490,738,146,335,44,253,363
SEHSCT,136698,34368,73335,35184,23144,5438,9569,1167,19024,8804,98710,23503,55601,27045,17501,4137,6918,749,13268,5589,45534,8733,28866,14310,9226,2158,3172,351,4626,2958,53176,14770,26735,12735,8275,1979,3746,398,8642,2631,1116,288,525,236,160,52,77,9,226,68,17644,5069,8870,4148,3044,701,977,147,1880,1678,13729,3781,6970,3293,2437,517,723,120,1538,1320,3915,1288,1900,855,607,184,254,27,342,358,16284,4787,6605,2934,1885,428,1358,241,3413,1238,14104,4244,5608,2601,1642,364,1001,203,2966,1083,500,87,240,26,34,8,172,9,135,29,1281,386,561,254,181,39,87,15,224,95,399,70,196,53,28,17,98,14,88,31,2944,721,1734,821,554,120,239,21,237,231
SHSCT,131129,64273,48215,18443,19436,3047,7289,823,8143,9675,91375,43734,36472,14553,14280,2280,5359,484,4808,5877,44798,19818,19754,8149,7660,1275,2670,246,1698,3282,46577,23916,16718,6404,6620,1005,2689,238,3110,2595,626,312,216,69,95,13,39,5,49,44,14218,7292,4510,1391,2254,297,568,103,873,1440,11504,5917,3678,1169,1864,214,431,75,687,1147,2714,1375,832,222,390,83,137,28,186,293,21404,11384,5508,1846,2200,357,1105,216,2295,2001,19348,10310,4876,1595,1972,321,988,204,2156,1802,148,76,33,6,11,3,13,2,18,19,1595,829,522,212,189,32,89,4,99,141,313,169,77,33,28,1,15,6,22,39,3506,1551,1509,584,607,100,218,15,118,313
WHSCT,109206,65251,30830,11828,14365,1990,2647,579,4942,7604,70925,41436,22161,8707,10127,1530,1797,320,2817,4191,36094,19258,13163,5213,5991,971,988,154,1157,2362,34831,22178,8998,3494,4136,559,809,166,1660,1829,464,281,136,57,57,9,13,7,22,18,17149,11405,3441,1332,1685,169,255,67,627,1609,13352,8765,2842,1116,1406,132,188,46,462,1237,3797,2640,599,216,279,37,67,21,165,372,17595,10457,4081,1351,2032,202,496,174,1390,1493,15807,9382,3603,1178,1805,172,448,164,1294,1364,90,46,26,11,6,0,9,2,12,4,1432,860,401,141,202,29,29,2,72,97,266,169,51,21,19,1,10,6,12,28,3073,1672,1011,381,464,80,86,11,86,293
BELB,120595,46467,45058,19193,15507,4760,5598,1695,15816,11559,62301,24886,24245,10547,7984,2794,2920,551,7635,4984,27904,9811,12919,5778,4255,1517,1369,227,2530,2417,34397,15075,11326,4769,3729,1277,1551,324,5105,2567,718,309,209,84,66,17,42,9,124,67,30818,11523,12930,5340,5038,1282,1270,260,2485,3620,20794,7378,9220,3836,3644,904,836,157,1565,2474,10024,4145,3710,1504,1394,378,434,103,920,1146,23632,8731,6249,2605,1902,507,1235,837,5326,2489,21854,8082,5705,2371,1725,465,1144,790,4998,2279,100,51,20,6,8,2,4,4,13,12,1242,458,377,172,119,24,62,15,269,123,436,140,147,56,50,16,25,28,46,75,3126,1018,1425,617,517,160,131,38,246,399
NEELB,165010,41682,93598,50993,24898,5810,11897,1304,17832,10594,117095,29639,68118,38315,17021,4224,8558,817,11939,6582,57078,13018,36063,21393,8501,2044,4125,390,3999,3608,60017,16621,32055,16922,8520,2180,4433,427,7940,2974,1049,265,516,278,140,29,69,9,185,74,20122,4148,12081,5896,4072,834,1279,152,1919,1822,17273,3498,10382,5050,3616,678,1038,124,1692,1577,2849,650,1699,846,456,156,241,28,227,245,22633,6699,10319,5075,2989,587,1668,284,3549,1782,20132,5995,9077,4489,2678,525,1385,252,3194,1614,336,87,139,26,21,4,88,9,89,12,1824,537,937,481,251,52,153,14,209,127,341,80,166,79,39,6,42,9,57,29,4111,931,2564,1429,676,136,323,42,240,334
SEELB,164431,38868,90307,42718,28254,7342,11993,1469,23298,10489,119405,27227,68204,32646,21238,5574,8746,952,16322,6700,54890,9783,35508,17303,11223,2929,4053,430,5642,3527,64515,17444,32696,15343,10015,2645,4693,522,10680,3173,1317,323,633,284,191,64,94,10,270,81,21526,5188,11694,5407,3971,1004,1312,180,2440,2024,17037,3856,9372,4390,3224,769,989,142,2046,1621,4489,1332,2322,1017,747,235,323,38,394,403,18720,5388,7643,3385,2181,524,1553,297,3980,1412,16249,4779,6501,2987,1897,445,1172,254,3476,1239,531,102,254,32,36,8,178,10,136,29,1513,432,678,308,217,52,101,17,277,109,427,75,210,58,31,19,102,16,91,35,3463,742,2133,996,673,176,288,30,286,272
SELB,144033,70885,53015,20377,21481,3230,7927,878,8712,10543,100781,48562,40135,16100,15786,2400,5849,517,5113,6454,49879,22191,21973,9141,8538,1337,2957,265,1822,3628,50902,26371,18162,6959,7248,1063,2892,252,3291,2826,696,340,245,76,110,14,45,5,53,53,15270,7794,4914,1517,2459,324,614,110,920,1532,12434,6362,4036,1278,2051,237,470,80,733,1223,2836,1432,878,239,408,87,144,30,187,309,23436,12483,6067,2039,2457,382,1189,229,2495,2162,21173,11302,5362,1759,2198,345,1060,215,2345,1949,159,81,35,7,12,3,13,2,20,21,1773,921,588,238,218,33,99,6,108,150,331,179,82,35,29,1,17,6,22,42,3850,1706,1654,645,669,110,230,17,131,342
