GeographyCode,DC4402NI0001,DC4402NI0002,DC4402NI0003,DC4402NI0004,DC4402NI0005,DC4402NI0006,DC4402NI0007,DC4402NI0008,DC4402NI0009,DC4402NI0010,DC4402NI0011,DC4402NI0012,DC4402NI0013,DC4402NI0014,DC4402NI0015,DC4402NI0016,DC4402NI0017,DC4402NI0018,DC4402NI0019,DC4402NI0020,DC4402NI0021,DC4402NI0022,DC4402NI0023,DC4402NI0024,DC4402NI0025,DC4402NI0026,DC4402NI0027,DC4402NI0028,DC4402NI0029,DC4402NI0030,DC4402NI0031,DC4402NI0032,DC4402NI0033,DC4402NI0034,DC4402NI0035,DC4402NI0036,DC4402NI0037,DC4402NI0038,DC4402NI0039,DC4402NI0040,DC4402NI0041,DC4402NI0042,DC4402NI0043,DC4402NI0044,DC4402NI0045,DC4402NI0046,DC4402NI0047,DC4402NI0048,DC4402NI0049,DC4402NI0050,DC4402NI0051,DC4402NI0052,DC4402NI0053,DC4402NI0054,DC4402NI0055,DC4402NI0056,DC4402NI0057,DC4402NI0058,DC4402NI0059,DC4402NI0060,DC4402NI0061,DC4402NI0062,DC4402NI0063,DC4402NI0064,DC4402NI0065,DC4402NI0066,DC4402NI0067,DC4402NI0068,DC4402NI0069,DC4402NI0070,DC4402NI0071,DC4402NI0072,DC4402NI0073,DC4402NI0074,DC4402NI0075,DC4402NI0076,DC4402NI0077,DC4402NI0078,DC4402NI0079,DC4402NI0080,DC4402NI0081,DC4402NI0082,DC4402NI0083,DC4402NI0084,DC4402NI0085,DC4402NI0086,DC4402NI0087,DC4402NI0088,DC4402NI0089,DC4402NI0090,DC4402NI0091,DC4402NI0092,DC4402NI0093,DC4402NI0094,DC4402NI0095,DC4402NI0096,DC4402NI0097,DC4402NI0098,DC4402NI0099,DC4402NI0100,DC4402NI0101,DC4402NI0102,DC4402NI0103,DC4402NI0104,DC4402NI0105,DC4402NI0106,DC4402NI0107,DC4402NI0108,DC4402NI0109,DC4402NI0110,DC4402NI0111,DC4402NI0112,DC4402NI0113,DC4402NI0114,DC4402NI0115,DC4402NI0116,DC4402NI0117,DC4402NI0118,DC4402NI0119,DC4402NI0120,DC4402NI0121,DC4402NI0122,DC4402NI0123,DC4402NI0124,DC4402NI0125,DC4402NI0126,DC4402NI0127,DC4402NI0128,DC4402NI0129,DC4402NI0130,DC4402NI0131,DC4402NI0132
N92000002,703275,225845,244662,4244,80890,23995,95215,1216,7784,1801,17623,703097,225837,244656,4244,80879,23948,95120,1216,7783,1795,17619,639780,219211,237592,3764,64101,13501,76953,1021,7052,1261,15324,264307,124534,105586,427,5386,1375,17830,338,2253,357,6221,200577,56053,80982,1904,19056,6241,28607,509,2391,519,4315,174896,38624,51024,1433,39659,5885,30516,174,2408,385,4788,62386,5957,6978,477,16749,10443,18124,195,711,527,2225,55457,5417,6419,427,16277,9945,13772,152,594,460,1994,5340,351,416,43,373,447,3409,20,81,51,149,1589,189,143,7,99,51,943,23,36,16,82,931,669,86,3,29,4,43,0,20,7,70,178,8,6,0,11,47,95,0,1,6,4
BHSCT,148328,37260,45736,919,24102,10598,23999,131,1474,464,3645,148230,37256,45733,919,24096,10578,23939,131,1474,461,3643,123476,35134,42832,747,18319,5945,16212,42,1192,257,2796,20882,9098,8275,28,1146,444,1247,22,99,39,484,46200,15014,19181,295,3815,2030,4559,8,401,84,813,56394,11022,15376,424,13358,3471,10406,12,692,134,1499,24729,2110,2900,172,5775,4629,7723,89,282,204,845,21673,1969,2654,150,5587,4371,5659,75,247,182,779,2742,114,205,20,155,241,1906,5,27,18,51,314,27,41,2,33,17,158,9,8,4,15,25,12,1,0,2,4,4,0,0,0,2,98,4,3,0,6,20,60,0,0,3,2
NHSCT,177914,62159,64342,1119,18203,2971,21957,347,2002,359,4455,177900,62157,64341,1119,18200,2967,21955,347,2002,358,4454,164191,60519,62705,1022,13848,1253,18488,309,1841,256,3950,78464,37770,31204,139,1296,188,5187,89,648,94,1849,48043,13781,19860,517,4261,631,6997,188,643,113,1052,37684,8968,11641,366,8291,434,6304,32,550,49,1049,13465,1474,1603,96,4346,1714,3459,38,153,102,480,12366,1353,1514,86,4252,1660,2830,29,125,90,427,700,71,52,8,67,53,391,3,17,7,31,399,50,37,2,27,1,238,6,11,5,22,244,164,33,1,6,0,8,0,8,0,24,14,2,1,0,3,4,2,0,0,1,1
SEHSCT,136698,45534,53176,1116,13729,3915,14104,500,1281,399,2944,136669,45532,53174,1116,13729,3910,14086,500,1281,398,2943,124869,43776,51557,983,10601,2150,11374,473,1130,309,2516,54723,26327,22968,72,779,211,2814,143,334,74,1001,39637,10681,18024,534,3393,1282,4170,233,393,150,777,30509,6768,10565,377,6429,657,4390,97,403,85,738,11588,1576,1608,133,3127,1760,2704,27,149,87,417,10547,1447,1476,130,3050,1707,2141,22,125,76,373,735,93,105,3,59,42,381,2,17,11,22,306,36,27,0,18,11,182,3,7,0,22,212,180,9,0,1,0,8,0,2,2,10,29,2,2,0,0,5,18,0,0,1,1
SHSCT,131129,44798,46577,626,11504,2714,19348,148,1595,313,3506,131125,44798,46577,626,11504,2712,19346,148,1595,313,3506,124606,44103,46144,568,9722,1604,17366,122,1523,230,3224,60870,28015,25003,96,870,198,4413,48,593,81,1553,37137,9462,13956,323,3561,763,7525,61,504,92,890,26599,6626,7185,149,5291,643,5428,13,426,57,781,6193,466,404,57,1763,1108,1968,26,65,79,257,5307,374,361,45,1700,1035,1448,15,49,65,215,576,45,26,10,46,61,331,8,11,10,28,310,47,17,2,17,12,189,3,5,4,14,326,229,29,1,19,0,12,0,7,4,25,4,0,0,0,0,2,2,0,0,0,0
WHSCT,109206,36094,34831,464,13352,3797,15807,90,1432,266,3073,109173,36094,34831,464,13350,3781,15794,90,1431,265,3073,102638,35679,34354,444,11611,2549,13513,75,1366,209,2838,49368,23324,18136,92,1295,334,4169,36,579,69,1334,29560,7115,9961,235,4026,1535,5356,19,450,80,783,23710,5240,6257,117,6290,680,3988,20,337,60,721,6411,331,463,19,1738,1232,2270,15,62,55,226,5564,274,414,16,1688,1172,1694,11,48,47,200,587,28,28,2,46,50,400,2,9,5,17,260,29,21,1,4,10,176,2,5,3,9,124,84,14,1,1,0,11,0,3,1,9,33,0,0,0,2,16,13,0,1,1,0
BELB,120595,27904,34397,718,20794,10024,21854,100,1242,436,3126,120500,27900,34394,718,20788,10005,21794,100,1242,435,3124,99097,26137,32018,574,16492,5704,14519,31,1000,238,2384,13470,5583,4945,21,1057,422,977,14,65,31,355,34960,10975,13884,211,3352,1883,3577,6,310,79,683,50667,9579,13189,342,12083,3399,9965,11,625,128,1346,21383,1756,2375,144,4294,4297,7271,69,242,197,738,18430,1621,2150,122,4129,4045,5246,56,210,175,676,2666,111,193,20,136,235,1874,5,25,18,49,287,24,32,2,29,17,151,8,7,4,13,20,7,1,0,2,4,4,0,0,0,2,95,4,3,0,6,19,60,0,0,1,2
NEELB,165010,57078,60017,1049,17273,2849,20132,336,1824,341,4111,164998,57076,60016,1049,17270,2846,20130,336,1824,340,4111,151729,55484,58411,953,13035,1185,16816,298,1674,245,3628,71009,33976,28521,125,1219,174,4609,86,561,87,1651,45149,13027,18808,477,4011,592,6354,183,595,111,991,35571,8481,11082,351,7805,419,5853,29,518,47,986,13072,1452,1579,95,4231,1661,3307,38,148,95,466,12041,1337,1497,85,4139,1607,2723,29,122,84,418,670,69,51,8,66,53,368,3,16,7,29,361,46,31,2,26,1,216,6,10,4,19,197,140,26,1,4,0,7,0,2,0,17,12,2,1,0,3,3,2,0,0,1,0
SEELB,164431,54890,64515,1317,17037,4489,16249,531,1513,427,3463,164399,54888,64513,1317,17037,4483,16231,531,1513,424,3462,149248,52773,62371,1156,12428,2391,13067,484,1322,328,2928,62135,29842,26298,79,868,233,3084,151,368,82,1130,50877,14720,23321,618,3856,1429,5152,235,484,155,907,36236,8211,12752,459,7704,729,4831,98,470,91,891,14934,1930,2133,161,4608,2092,3156,47,189,94,524,13790,1795,1980,158,4508,2033,2554,41,162,83,476,811,96,117,3,78,48,413,2,19,11,24,333,39,36,0,22,11,189,4,8,0,24,217,185,9,0,1,0,8,0,2,2,10,32,2,2,0,0,6,18,0,0,3,1
SELB,144033,49879,50902,696,12434,2836,21173,159,1773,331,3850,144027,49879,50902,696,12434,2833,21171,159,1773,331,3849,137068,49138,50438,637,10535,1672,19038,133,1690,241,3546,68325,31809,27686,110,947,212,4991,51,680,88,1751,40031,10216,15008,363,3811,802,8168,66,552,94,951,28712,7113,7744,164,5777,658,5879,16,458,59,844,6586,488,428,58,1878,1161,2120,26,70,86,271,5632,390,378,46,1813,1088,1555,15,52,71,224,606,47,27,10,47,61,354,8,12,10,30,348,51,23,2,18,12,211,3,6,5,17,373,253,36,1,21,0,13,0,13,4,32,6,0,0,0,0,3,2,0,0,0,1
