GeographyCode,DC2421NI0001,DC2421NI0002,DC2421NI0003,DC2421NI0004,DC2421NI0005,DC2421NI0006,DC2421NI0007,DC2421NI0008,DC2421NI0009,DC2421NI0010,DC2421NI0011,DC2421NI0012,DC2421NI0013,DC2421NI0014,DC2421NI0015,DC2421NI0016,DC2421NI0017,DC2421NI0018,DC2421NI0019,DC2421NI0020,DC2421NI0021,DC2421NI0022,DC2421NI0023,DC2421NI0024,DC2421NI0025,DC2421NI0026,DC2421NI0027,DC2421NI0028,DC2421NI0029,DC2421NI0030,DC2421NI0031,DC2421NI0032,DC2421NI0033,DC2421NI0034,DC2421NI0035
N92000002,703275,296577,372213,6654,27831,196414,76670,110632,1972,7140,212286,80631,121107,1871,8677,117920,51724,59670,1228,5298,103137,46186,51589,959,4403,73518,41366,29215,624,2313,2.54,2.72,2.41,2.50,2.54
BHSCT,148328,60176,77559,2274,8319,50611,18470,28867,707,2567,45387,17450,24754,572,2611,23640,10371,11316,483,1470,17941,7965,8538,342,1096,10749,5920,4084,170,575,2.31,2.47,2.17,2.47,2.37
NHSCT,177914,53944,115324,1514,7132,46858,12528,32173,461,1696,55248,14411,38162,449,2226,30174,9369,19129,246,1430,27012,9049,16570,215,1178,18622,8587,9290,143,602,2.57,2.84,2.44,2.45,2.58
SEHSCT,136698,39157,88981,1300,7260,36574,9258,25288,401,1627,44255,10958,30596,404,2297,23269,7365,14269,195,1440,20450,6422,12603,166,1259,12150,5154,6225,134,637,2.50,2.74,2.39,2.45,2.62
SHSCT,131129,71338,55496,925,3370,32965,17224,14748,245,748,37040,18761,16996,266,1017,22440,12340,9268,171,661,20828,11495,8607,133,593,17856,11518,5877,110,351,2.71,2.82,2.57,2.67,2.70
WHSCT,109206,71962,34853,641,1750,29406,19190,9556,158,502,30356,19051,10599,180,526,18397,12279,5688,133,297,16906,11255,5271,103,277,14141,10187,3739,67,148,2.66,2.72,2.56,2.64,2.50
BELB,120595,54899,57007,1944,6745,42401,17293,22312,624,2172,36385,15972,17797,467,2149,19166,9350,8215,421,1180,13886,7029,5753,295,809,8757,5255,2930,137,435,2.29,2.44,2.13,2.45,2.32
NEELB,165010,46779,109895,1450,6886,43835,10930,30801,445,1659,51762,12708,36490,425,2139,28079,8216,18243,240,1380,24874,7817,15717,211,1129,16460,7108,8644,129,579,2.55,2.81,2.44,2.44,2.57
SEELB,164431,44434,109533,1630,8834,44784,10435,31843,484,2022,53257,12436,37553,509,2759,27743,8386,17370,257,1730,24505,7358,15388,213,1546,14142,5819,7379,167,777,2.49,2.74,2.37,2.48,2.62
SELB,144033,78503,60925,989,3616,35988,18822,16120,261,785,40526,20464,18668,290,1104,24535,13493,10154,177,711,22966,12727,9460,137,642,20018,12997,6523,124,374,2.72,2.84,2.58,2.67,2.70
WELB,109206,71962,34853,641,1750,29406,19190,9556,158,502,30356,19051,10599,180,526,18397,12279,5688,133,297,16906,11255,5271,103,277,14141,10187,3739,67,148,2.66,2.72,2.56,2.64,2.50
UKN01,120595,54899,57007,1944,6745,42401,17293,22312,624,2172,36385,15972,17797,467,2149,19166,9350,8215,421,1180,13886,7029,5753,295,809,8757,5255,2930,137,435,2.29,2.44,2.13,2.45,2.32
UKN02,156882,33156,112961,1662,9103,43525,7301,33583,514,2127,51209,9511,38391,485,2822,26741,6532,18086,269,1854,23182,5682,15704,226,1570,12225,4130,7197,168,730,2.45,2.75,2.35,2.47,2.58
