GeographyCode,DC4306NI0001,DC4306NI0002,DC4306NI0003,DC4306NI0004,DC4306NI0005,DC4306NI0006,DC4306NI0007,DC4306NI0008,DC4306NI0009,DC4306NI0010,DC4306NI0011,DC4306NI0012,DC4306NI0013,DC4306NI0014,DC4306NI0015,DC4306NI0016,DC4306NI0017,DC4306NI0018,DC4306NI0019,DC4306NI0020,DC4306NI0021,DC4306NI0022,DC4306NI0023,DC4306NI0024,DC4306NI0025,DC4306NI0026,DC4306NI0027,DC4306NI0028,DC4306NI0029,DC4306NI0030,DC4306NI0031,DC4306NI0032,DC4306NI0033,DC4306NI0034,DC4306NI0035
N92000002,1788339,118758,94605,3753,7511,2851,1589915,1574927,100411,72441,3009,6161,2237,1413487,121910,8151,7324,246,495,206,107627,35297,2907,4056,128,284,99,28845,56205,7289,10784,370,571,309,39956
BHSCT,342643,15225,23217,1049,2092,657,307250,299873,12649,17970,856,1713,542,271637,23556,922,1574,59,130,43,21249,7367,422,980,39,82,15,6051,11847,1232,2693,95,167,57,8313
NHSCT,457038,29086,22806,866,1581,673,408449,403714,24577,17288,666,1288,509,364297,31329,2096,1846,66,119,58,27675,8355,669,990,28,52,25,6821,13640,1744,2682,106,122,81,9656
SEHSCT,342197,19809,16570,579,1148,526,308649,297836,16252,12227,453,917,416,271444,26719,1552,1479,48,92,35,23942,6652,543,764,13,53,12,5463,10990,1462,2100,65,86,63,7800
SHSCT,355580,29963,17208,659,1497,605,311381,314996,25772,13261,545,1222,470,278268,22839,2002,1364,33,96,40,19714,7071,688,729,23,55,29,5753,10674,1501,1854,58,124,66,7646
WHSCT,290881,24675,14804,600,1193,390,254186,258508,21161,11695,489,1021,300,227841,17467,1579,1061,40,58,30,15047,5852,585,593,25,42,18,4757,9054,1350,1455,46,72,42,6541
BELB,276141,13259,19850,930,1830,554,245797,242416,11136,15517,769,1513,467,217934,17878,724,1280,49,99,28,16054,6122,361,823,34,70,10,5026,9725,1038,2230,78,148,49,6783
NEELB,420327,25509,20549,791,1474,624,377181,371104,21466,15494,601,1203,472,336290,29030,1863,1671,64,108,56,25752,7607,599,902,26,47,20,6220,12586,1581,2482,100,116,76,8919
SEELB,408699,21775,19937,698,1410,629,370102,355293,17765,14680,540,1117,491,325147,32397,1750,1773,58,123,50,29137,7897,604,921,18,65,17,6488,13112,1656,2563,82,105,71,9330
SELB,392291,33540,19465,734,1604,654,342649,347606,28883,15055,610,1307,507,306275,25138,2235,1539,35,107,42,21637,7819,758,817,25,60,34,6354,11728,1664,2054,64,130,71,8383
WELB,290881,24675,14804,600,1193,390,254186,258508,21161,11695,489,1021,300,227841,17467,1579,1061,40,58,30,15047,5852,585,593,25,42,18,4757,9054,1350,1455,46,72,42,6541
UKN01,276141,13259,19850,930,1830,554,245797,242416,11136,15517,769,1513,467,217934,17878,724,1280,49,99,28,16054,6122,361,823,34,70,10,5026,9725,1038,2230,78,148,49,6783
