ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2621NI0001,Count,PERSONS,"All categories: Industry, All categories: Sex, All categories: Religion brought up in"
DC2621NI0002,Count,PERSONS,"All categories: Industry, All categories: Sex, Catholic"
DC2621NI0003,Count,PERSONS,"All categories: Industry, All categories: Sex, Protestant and other Christian (including Christian related)"
DC2621NI0004,Count,PERSONS,"All categories: Industry, All categories: Sex, Other religions "
DC2621NI0005,Count,PERSONS,"All categories: Industry, All categories: Sex, None"
DC2621NI0006,Count,PERSONS,"All categories: Industry, Males, All categories: Religion brought up in"
DC2621NI0007,Count,PERSONS,"All categories: Industry, Males, Catholic"
DC2621NI0008,Count,PERSONS,"All categories: Industry, Males, Protestant and other Christian (including Christian related)"
DC2621NI0009,Count,PERSONS,"All categories: Industry, Males, Other religions "
DC2621NI0010,Count,PERSONS,"All categories: Industry, Males, None"
DC2621NI0011,Count,PERSONS,"All categories: Industry, Females, All categories: Religion brought up in"
DC2621NI0012,Count,PERSONS,"All categories: Industry, Females, Catholic"
DC2621NI0013,Count,PERSONS,"All categories: Industry, Females, Protestant and other Christian (including Christian related)"
DC2621NI0014,Count,PERSONS,"All categories: Industry, Females, Other religions "
DC2621NI0015,Count,PERSONS,"All categories: Industry, Females, None"
DC2621NI0016,Count,PERSONS,"Agriculture, forestry and fishing, All categories: Sex, All categories: Religion brought up in"
DC2621NI0017,Count,PERSONS,"Agriculture, forestry and fishing, All categories: Sex, Catholic"
DC2621NI0018,Count,PERSONS,"Agriculture, forestry and fishing, All categories: Sex, Protestant and other Christian (including Christian related)"
DC2621NI0019,Count,PERSONS,"Agriculture, forestry and fishing, All categories: Sex, Other religions "
DC2621NI0020,Count,PERSONS,"Agriculture, forestry and fishing, All categories: Sex, None"
DC2621NI0021,Count,PERSONS,"Agriculture, forestry and fishing, Males, All categories: Religion brought up in"
DC2621NI0022,Count,PERSONS,"Agriculture, forestry and fishing, Males, Catholic"
DC2621NI0023,Count,PERSONS,"Agriculture, forestry and fishing, Males, Protestant and other Christian (including Christian related)"
DC2621NI0024,Count,PERSONS,"Agriculture, forestry and fishing, Males, Other religions "
DC2621NI0025,Count,PERSONS,"Agriculture, forestry and fishing, Males, None"
DC2621NI0026,Count,PERSONS,"Agriculture, forestry and fishing, Females, All categories: Religion brought up in"
DC2621NI0027,Count,PERSONS,"Agriculture, forestry and fishing, Females, Catholic"
DC2621NI0028,Count,PERSONS,"Agriculture, forestry and fishing, Females, Protestant and other Christian (including Christian related)"
DC2621NI0029,Count,PERSONS,"Agriculture, forestry and fishing, Females, Other religions "
DC2621NI0030,Count,PERSONS,"Agriculture, forestry and fishing, Females, None"
DC2621NI0031,Count,PERSONS,"Mining and quarrying, All categories: Sex, All categories: Religion brought up in"
DC2621NI0032,Count,PERSONS,"Mining and quarrying, All categories: Sex, Catholic"
DC2621NI0033,Count,PERSONS,"Mining and quarrying, All categories: Sex, Protestant and other Christian (including Christian related)"
DC2621NI0034,Count,PERSONS,"Mining and quarrying, All categories: Sex, Other religions "
DC2621NI0035,Count,PERSONS,"Mining and quarrying, All categories: Sex, None"
DC2621NI0036,Count,PERSONS,"Mining and quarrying, Males, All categories: Religion brought up in"
DC2621NI0037,Count,PERSONS,"Mining and quarrying, Males, Catholic"
DC2621NI0038,Count,PERSONS,"Mining and quarrying, Males, Protestant and other Christian (including Christian related)"
DC2621NI0039,Count,PERSONS,"Mining and quarrying, Males, Other religions "
DC2621NI0040,Count,PERSONS,"Mining and quarrying, Males, None"
DC2621NI0041,Count,PERSONS,"Mining and quarrying, Females, All categories: Religion brought up in"
DC2621NI0042,Count,PERSONS,"Mining and quarrying, Females, Catholic"
DC2621NI0043,Count,PERSONS,"Mining and quarrying, Females, Protestant and other Christian (including Christian related)"
DC2621NI0044,Count,PERSONS,"Mining and quarrying, Females, Other religions "
DC2621NI0045,Count,PERSONS,"Mining and quarrying, Females, None"
DC2621NI0046,Count,PERSONS,"Manufacturing, All categories: Sex, All categories: Religion brought up in"
DC2621NI0047,Count,PERSONS,"Manufacturing, All categories: Sex, Catholic"
DC2621NI0048,Count,PERSONS,"Manufacturing, All categories: Sex, Protestant and other Christian (including Christian related)"
DC2621NI0049,Count,PERSONS,"Manufacturing, All categories: Sex, Other religions "
DC2621NI0050,Count,PERSONS,"Manufacturing, All categories: Sex, None"
DC2621NI0051,Count,PERSONS,"Manufacturing, Males, All categories: Religion brought up in"
DC2621NI0052,Count,PERSONS,"Manufacturing, Males, Catholic"
DC2621NI0053,Count,PERSONS,"Manufacturing, Males, Protestant and other Christian (including Christian related)"
DC2621NI0054,Count,PERSONS,"Manufacturing, Males, Other religions "
DC2621NI0055,Count,PERSONS,"Manufacturing, Males, None"
DC2621NI0056,Count,PERSONS,"Manufacturing, Females, All categories: Religion brought up in"
DC2621NI0057,Count,PERSONS,"Manufacturing, Females, Catholic"
DC2621NI0058,Count,PERSONS,"Manufacturing, Females, Protestant and other Christian (including Christian related)"
DC2621NI0059,Count,PERSONS,"Manufacturing, Females, Other religions "
DC2621NI0060,Count,PERSONS,"Manufacturing, Females, None"
DC2621NI0061,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , All categories: Sex, All categories: Religion brought up in"
DC2621NI0062,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , All categories: Sex, Catholic"
DC2621NI0063,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , All categories: Sex, Protestant and other Christian (including Christian related)"
DC2621NI0064,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , All categories: Sex, Other religions "
DC2621NI0065,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , All categories: Sex, None"
DC2621NI0066,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , Males, All categories: Religion brought up in"
DC2621NI0067,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , Males, Catholic"
DC2621NI0068,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , Males, Protestant and other Christian (including Christian related)"
DC2621NI0069,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , Males, Other religions "
DC2621NI0070,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , Males, None"
DC2621NI0071,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , Females, All categories: Religion brought up in"
DC2621NI0072,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , Females, Catholic"
DC2621NI0073,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , Females, Protestant and other Christian (including Christian related)"
DC2621NI0074,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , Females, Other religions "
DC2621NI0075,Count,PERSONS,"Electricity, gas, steam and air conditioning supply , Females, None"
DC2621NI0076,Count,PERSONS,"Water supply; sewerage, waste management and remediation activities, All categories: Sex, All categories: Religion brought up in"
DC2621NI0077,Count,PERSONS,"Water supply; sewerage, waste management and remediation activities, All categories: Sex, Catholic"
DC2621NI0078,Count,PERSONS,"Water supply; sewerage, waste management and remediation activities, All categories: Sex, Protestant and other Christian (including Christian related)"
DC2621NI0079,Count,PERSONS,"Water supply; sewerage, waste management and remediation activities, All categories: Sex, Other religions "
DC2621NI0080,Count,PERSONS,"Water supply; sewerage, waste management and remediation activities, All categories: Sex, None"
