ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2215NI0001,Count,PERSONS,"All categories: National Identity Class 2, All categories: Main Language"
DC2215NI0002,Count,PERSONS,"All categories: National Identity Class 2, English"
DC2215NI0003,Count,PERSONS,"All categories: National Identity Class 2, Polish "
DC2215NI0004,Count,PERSONS,"All categories: National Identity Class 2, Lithuanian"
DC2215NI0005,Count,PERSONS,"All categories: National Identity Class 2, Irish (Gaelic)"
DC2215NI0006,Count,PERSONS,"All categories: National Identity Class 2, Portuguese "
DC2215NI0007,Count,PERSONS,"All categories: National Identity Class 2, Slovak"
DC2215NI0008,Count,PERSONS,"All categories: National Identity Class 2, Chinese"
DC2215NI0009,Count,PERSONS,"All categories: National Identity Class 2, Tagalog/Filipino"
DC2215NI0010,Count,PERSONS,"All categories: National Identity Class 2, Latvian "
DC2215NI0011,Count,PERSONS,"All categories: National Identity Class 2, Russian"
DC2215NI0012,Count,PERSONS,"All categories: National Identity Class 2, Malayalam"
DC2215NI0013,Count,PERSONS,"All categories: National Identity Class 2, Hungarian"
DC2215NI0014,Count,PERSONS,"All categories: National Identity Class 2, Other"
DC2215NI0015,Count,PERSONS,"British, All categories: Main Language"
DC2215NI0016,Count,PERSONS,"British, English"
DC2215NI0017,Count,PERSONS,"British, Polish "
DC2215NI0018,Count,PERSONS,"British, Lithuanian"
DC2215NI0019,Count,PERSONS,"British, Irish (Gaelic)"
DC2215NI0020,Count,PERSONS,"British, Portuguese "
DC2215NI0021,Count,PERSONS,"British, Slovak"
DC2215NI0022,Count,PERSONS,"British, Chinese"
DC2215NI0023,Count,PERSONS,"British, Tagalog/Filipino"
DC2215NI0024,Count,PERSONS,"British, Latvian "
DC2215NI0025,Count,PERSONS,"British, Russian"
DC2215NI0026,Count,PERSONS,"British, Malayalam"
DC2215NI0027,Count,PERSONS,"British, Hungarian"
DC2215NI0028,Count,PERSONS,"British, Other"
DC2215NI0029,Count,PERSONS,"Irish, All categories: Main Language"
DC2215NI0030,Count,PERSONS,"Irish, English"
DC2215NI0031,Count,PERSONS,"Irish, Polish "
DC2215NI0032,Count,PERSONS,"Irish, Lithuanian"
DC2215NI0033,Count,PERSONS,"Irish, Irish (Gaelic)"
DC2215NI0034,Count,PERSONS,"Irish, Portuguese "
DC2215NI0035,Count,PERSONS,"Irish, Slovak"
DC2215NI0036,Count,PERSONS,"Irish, Chinese"
DC2215NI0037,Count,PERSONS,"Irish, Tagalog/Filipino"
DC2215NI0038,Count,PERSONS,"Irish, Latvian "
DC2215NI0039,Count,PERSONS,"Irish, Russian"
DC2215NI0040,Count,PERSONS,"Irish, Malayalam"
DC2215NI0041,Count,PERSONS,"Irish, Hungarian"
DC2215NI0042,Count,PERSONS,"Irish, Other"
DC2215NI0043,Count,PERSONS,"Northern Irish, All categories: Main Language"
DC2215NI0044,Count,PERSONS,"Northern Irish, English"
DC2215NI0045,Count,PERSONS,"Northern Irish, Polish "
DC2215NI0046,Count,PERSONS,"Northern Irish, Lithuanian"
DC2215NI0047,Count,PERSONS,"Northern Irish, Irish (Gaelic)"
DC2215NI0048,Count,PERSONS,"Northern Irish, Portuguese "
DC2215NI0049,Count,PERSONS,"Northern Irish, Slovak"
DC2215NI0050,Count,PERSONS,"Northern Irish, Chinese"
DC2215NI0051,Count,PERSONS,"Northern Irish, Tagalog/Filipino"
DC2215NI0052,Count,PERSONS,"Northern Irish, Latvian "
DC2215NI0053,Count,PERSONS,"Northern Irish, Russian"
DC2215NI0054,Count,PERSONS,"Northern Irish, Malayalam"
DC2215NI0055,Count,PERSONS,"Northern Irish, Hungarian"
DC2215NI0056,Count,PERSONS,"Northern Irish, Other"
DC2215NI0057,Count,PERSONS,"English, All categories: Main Language"
DC2215NI0058,Count,PERSONS,"English, English"
DC2215NI0059,Count,PERSONS,"English, Polish "
DC2215NI0060,Count,PERSONS,"English, Lithuanian"
DC2215NI0061,Count,PERSONS,"English, Irish (Gaelic)"
DC2215NI0062,Count,PERSONS,"English, Portuguese "
DC2215NI0063,Count,PERSONS,"English, Slovak"
DC2215NI0064,Count,PERSONS,"English, Chinese"
DC2215NI0065,Count,PERSONS,"English, Tagalog/Filipino"
DC2215NI0066,Count,PERSONS,"English, Latvian "
DC2215NI0067,Count,PERSONS,"English, Russian"
DC2215NI0068,Count,PERSONS,"English, Malayalam"
DC2215NI0069,Count,PERSONS,"English, Hungarian"
DC2215NI0070,Count,PERSONS,"English, Other"
DC2215NI0071,Count,PERSONS,"Scottish, All categories: Main Language"
DC2215NI0072,Count,PERSONS,"Scottish, English"
DC2215NI0073,Count,PERSONS,"Scottish, Polish "
DC2215NI0074,Count,PERSONS,"Scottish, Lithuanian"
DC2215NI0075,Count,PERSONS,"Scottish, Irish (Gaelic)"
DC2215NI0076,Count,PERSONS,"Scottish, Portuguese "
DC2215NI0077,Count,PERSONS,"Scottish, Slovak"
DC2215NI0078,Count,PERSONS,"Scottish, Chinese"
DC2215NI0079,Count,PERSONS,"Scottish, Tagalog/Filipino"
DC2215NI0080,Count,PERSONS,"Scottish, Latvian "
DC2215NI0081,Count,PERSONS,"Scottish, Russian"
DC2215NI0082,Count,PERSONS,"Scottish, Malayalam"
DC2215NI0083,Count,PERSONS,"Scottish, Hungarian"
DC2215NI0084,Count,PERSONS,"Scottish, Other"
DC2215NI0085,Count,PERSONS,"Welsh, All categories: Main Language"
DC2215NI0086,Count,PERSONS,"Welsh, English"
DC2215NI0087,Count,PERSONS,"Welsh, Polish "
DC2215NI0088,Count,PERSONS,"Welsh, Lithuanian"
DC2215NI0089,Count,PERSONS,"Welsh, Irish (Gaelic)"
DC2215NI0090,Count,PERSONS,"Welsh, Portuguese "
DC2215NI0091,Count,PERSONS,"Welsh, Slovak"
DC2215NI0092,Count,PERSONS,"Welsh, Chinese"
DC2215NI0093,Count,PERSONS,"Welsh, Tagalog/Filipino"
DC2215NI0094,Count,PERSONS,"Welsh, Latvian "
DC2215NI0095,Count,PERSONS,"Welsh, Russian"
DC2215NI0096,Count,PERSONS,"Welsh, Malayalam"
DC2215NI0097,Count,PERSONS,"Welsh, Hungarian"
DC2215NI0098,Count,PERSONS,"Welsh, Other"
DC2215NI0099,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, All categories: Main Language"
DC2215NI0100,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, English"
DC2215NI0101,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Polish "
DC2215NI0102,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Lithuanian"
DC2215NI0103,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Irish (Gaelic)"
DC2215NI0104,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Portuguese "
DC2215NI0105,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Slovak"
DC2215NI0106,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Chinese"
DC2215NI0107,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Tagalog/Filipino"
DC2215NI0108,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Latvian "
DC2215NI0109,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Russian"
DC2215NI0110,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Malayalam"
DC2215NI0111,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Hungarian"
DC2215NI0112,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Other"
DC2215NI0113,Count,PERSONS,"EU Accession countries 2004 onwards: Total, All categories: Main Language"
DC2215NI0114,Count,PERSONS,"EU Accession countries 2004 onwards: Total, English"
DC2215NI0115,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Polish "
DC2215NI0116,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Lithuanian"
DC2215NI0117,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Irish (Gaelic)"
DC2215NI0118,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Portuguese "
DC2215NI0119,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Slovak"
DC2215NI0120,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Chinese"
DC2215NI0121,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Tagalog/Filipino"
DC2215NI0122,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Latvian "
DC2215NI0123,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Russian"
DC2215NI0124,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Malayalam"
DC2215NI0125,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Hungarian"
DC2215NI0126,Count,PERSONS,"EU Accession countries 2004 onwards: Total, Other"
DC2215NI0127,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, All categories: Main Language"
DC2215NI0128,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, English"
DC2215NI0129,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Polish "
DC2215NI0130,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Lithuanian"
DC2215NI0131,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Irish (Gaelic)"
DC2215NI0132,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Portuguese "
DC2215NI0133,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Slovak"
DC2215NI0134,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Chinese"
DC2215NI0135,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Tagalog/Filipino"
DC2215NI0136,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Latvian "
DC2215NI0137,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Russian"
DC2215NI0138,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Malayalam"
DC2215NI0139,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Hungarian"
DC2215NI0140,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Other"
DC2215NI0141,Count,PERSONS,"EU Accession countries 2004 onwards: Lithuanian, All categories: Main Language"
DC2215NI0142,Count,PERSONS,"EU Accession countries 2004 onwards: Lithuanian, English"
