GeographyCode,DC4403NI0001,DC4403NI0002,DC4403NI0003,DC4403NI0004,DC4403NI0005,DC4403NI0006,DC4403NI0007,DC4403NI0008,DC4403NI0009,DC4403NI0010,DC4403NI0011,DC4403NI0012,DC4403NI0013,DC4403NI0014,DC4403NI0015,DC4403NI0016,DC4403NI0017,DC4403NI0018,DC4403NI0019,DC4403NI0020,DC4403NI0021,DC4403NI0022,DC4403NI0023,DC4403NI0024,DC4403NI0025,DC4403NI0026,DC4403NI0027,DC4403NI0028,DC4403NI0029,DC4403NI0030,DC4403NI0031,DC4403NI0032,DC4403NI0033,DC4403NI0034,DC4403NI0035,DC4403NI0036,DC4403NI0037,DC4403NI0038,DC4403NI0039,DC4403NI0040,DC4403NI0041,DC4403NI0042,DC4403NI0043,DC4403NI0044,DC4403NI0045,DC4403NI0046,DC4403NI0047,DC4403NI0048,DC4403NI0049,DC4403NI0050,DC4403NI0051,DC4403NI0052,DC4403NI0053,DC4403NI0054,DC4403NI0055,DC4403NI0056,DC4403NI0057,DC4403NI0058,DC4403NI0059,DC4403NI0060,DC4403NI0061,DC4403NI0062,DC4403NI0063,DC4403NI0064,DC4403NI0065,DC4403NI0066,DC4403NI0067,DC4403NI0068,DC4403NI0069,DC4403NI0070,DC4403NI0071,DC4403NI0072,DC4403NI0073,DC4403NI0074,DC4403NI0075,DC4403NI0076,DC4403NI0077,DC4403NI0078,DC4403NI0079,DC4403NI0080,DC4403NI0081,DC4403NI0082,DC4403NI0083,DC4403NI0084,DC4403NI0085,DC4403NI0086,DC4403NI0087,DC4403NI0088,DC4403NI0089,DC4403NI0090,DC4403NI0091,DC4403NI0092,DC4403NI0093,DC4403NI0094,DC4403NI0095,DC4403NI0096,DC4403NI0097,DC4403NI0098,DC4403NI0099,DC4403NI0100,DC4403NI0101,DC4403NI0102,DC4403NI0103,DC4403NI0104,DC4403NI0105,DC4403NI0106,DC4403NI0107,DC4403NI0108,DC4403NI0109,DC4403NI0110,DC4403NI0111,DC4403NI0112,DC4403NI0113,DC4403NI0114,DC4403NI0115,DC4403NI0116,DC4403NI0117,DC4403NI0118,DC4403NI0119,DC4403NI0120,DC4403NI0121,DC4403NI0122,DC4403NI0123,DC4403NI0124,DC4403NI0125,DC4403NI0126,DC4403NI0127,DC4403NI0128,DC4403NI0129,DC4403NI0130,DC4403NI0131,DC4403NI0132
N92000002,1788339,510315,764777,10021,170881,48831,228103,3702,16548,4156,31005,1788078,510302,764766,10021,170869,48782,227949,3702,16546,4142,30999,1689929,500176,753048,9214,146950,35567,195229,3243,15393,3260,27849,770592,309355,374529,1054,12066,3620,50163,1122,5209,875,12599,510830,115505,241873,4791,41899,16839,74210,1614,5315,1450,7334,408507,75316,136646,3369,92985,15108,70856,507,4869,935,7916,95971,8574,11451,793,23834,13208,32647,459,1120,869,3016,83387,7554,10331,688,23024,12464,24690,363,929,711,2633,9893,616,797,95,628,664,6534,48,127,129,255,2691,404,323,10,182,80,1423,48,64,29,128,2178,1552,267,14,85,7,73,0,33,13,134,261,13,11,0,12,49,154,0,2,14,6
BHSCT,342643,73573,128693,2124,51008,21814,54979,309,3063,926,6154,342495,73569,128689,2124,51002,21794,54872,309,3063,923,6150,302871,70655,124028,1828,42402,15723,39946,97,2594,611,4987,57389,20173,28493,66,2621,1095,3530,55,220,97,1039,114833,29640,56135,738,8702,5501,11625,18,887,198,1389,130649,20842,39400,1024,31079,9127,24791,24,1487,316,2559,39560,2881,4654,296,8595,6064,14920,212,469,312,1157,33797,2658,4224,248,8269,5686,10808,181,412,263,1048,5210,176,341,46,257,349,3852,13,46,40,90,553,47,89,2,69,29,260,18,11,9,19,64,33,7,0,5,7,6,0,0,0,6,148,4,4,0,6,20,107,0,0,3,4
NHSCT,457038,142389,202430,2638,37136,4772,53755,1060,4273,799,7786,457015,142384,202425,2638,37132,4768,53752,1060,4273,798,7785,436570,139814,199731,2487,31239,2788,47737,973,4035,630,7136,227802,94172,109417,364,2857,464,14761,272,1522,218,3755,121508,28387,59037,1296,9053,1404,18279,610,1421,305,1716,87260,17255,31277,827,19329,920,14697,91,1092,107,1665,19858,2173,2594,146,5880,1980,6001,87,229,168,600,17989,1949,2422,129,5719,1915,4942,75,181,139,518,1217,135,94,13,121,63,695,5,26,22,43,652,89,78,4,40,2,364,7,22,7,39,587,397,100,5,13,0,14,0,9,0,49,23,5,5,0,4,4,3,0,0,1,1
SEHSCT,342197,97408,161338,2584,29448,8261,32743,1578,2630,1052,5155,342159,97404,161336,2584,29448,8256,32718,1578,2630,1051,5154,324612,94789,158704,2384,24935,5998,28432,1522,2412,887,4549,152369,60552,78038,151,1719,576,7845,482,763,194,2049,101147,21407,52987,1334,7690,3645,10711,744,869,448,1312,71096,12830,27679,899,15526,1777,9876,296,780,245,1188,17130,2257,2612,200,4511,2258,4274,56,216,162,584,15345,2017,2329,195,4380,2156,3413,40,181,122,512,1260,164,215,5,95,83,596,5,24,40,33,525,76,68,0,36,19,265,11,11,0,39,417,358,20,0,2,0,12,0,2,2,21,38,4,2,0,0,5,25,0,0,1,1
SHSCT,355580,108263,155908,1567,23900,5572,49392,483,3434,713,6348,355576,108263,155908,1567,23900,5570,49390,483,3434,713,6348,344838,106974,155092,1438,21486,4160,45438,424,3307,574,5945,186132,73444,92327,235,1902,598,12732,181,1362,203,3148,96856,20344,42744,859,7508,2102,20184,199,1112,254,1550,61850,13186,20021,344,12076,1460,12522,44,833,117,1247,9914,725,720,122,2350,1410,3929,59,111,129,359,8184,536,622,94,2247,1300,2893,30,80,106,276,1204,90,63,26,70,95,745,20,16,17,62,526,99,35,2,33,15,291,9,15,6,21,824,564,96,7,64,0,23,0,16,10,44,4,0,0,0,0,2,2,0,0,0,0
WHSCT,290881,88682,116408,1108,29389,8412,37234,272,3148,666,5562,290833,88682,116408,1108,29387,8394,37217,272,3146,657,5562,281038,87944,115493,1077,26888,6898,33676,227,3045,558,5232,146900,61014,66254,238,2967,887,11295,132,1342,163,2608,76486,15727,30970,564,8946,4187,13411,43,1026,245,1367,57652,11203,18269,275,14975,1824,8970,52,677,150,1257,9509,538,871,29,2498,1496,3523,45,95,98,316,8072,394,734,22,2409,1407,2634,37,75,81,279,1002,51,84,5,85,74,646,5,15,10,27,435,93,53,2,4,15,243,3,5,7,10,286,200,44,2,1,0,18,0,6,1,14,48,0,0,0,2,18,17,0,2,9,0
BELB,276141,55026,95352,1649,44637,20851,49622,237,2610,875,5282,275996,55022,95348,1649,44631,20832,49515,237,2610,874,5278,241320,52586,91546,1396,38148,15155,35391,69,2202,569,4258,36730,12461,17033,52,2386,1053,2722,35,140,81,767,87519,21940,41014,543,7735,5182,9010,12,708,185,1190,117071,18185,33499,801,28027,8920,23659,22,1354,303,2301,34629,2420,3795,253,6478,5670,14118,168,408,305,1014,29054,2206,3403,205,6190,5298,10091,139,356,256,910,5070,173,323,46,225,343,3778,13,42,40,87,505,41,69,2,63,29,249,16,10,9,17,47,16,7,0,5,7,6,0,0,0,6,145,4,4,0,6,19,107,0,0,1,4
NEELB,420327,129202,187080,2460,35165,4543,49086,1029,3848,765,7149,420306,129197,187075,2460,35161,4540,49083,1029,3848,764,7149,400620,126730,184459,2311,29443,2619,43354,942,3622,608,6532,204510,83723,99114,326,2679,423,13116,266,1291,203,3369,113810,26762,55665,1185,8517,1303,16563,592,1310,301,1612,82300,16245,29680,800,18247,893,13675,84,1021,104,1551,19198,2124,2536,144,5708,1921,5716,87,224,156,582,17450,1916,2382,127,5549,1856,4731,75,178,129,507,1157,127,93,13,120,63,648,5,25,22,41,591,81,61,4,39,2,337,7,21,5,34,488,343,80,5,10,0,13,0,2,0,35,21,5,5,0,4,3,3,0,0,1,0
SEELB,408699,115955,194679,3059,35819,9224,38100,1650,3083,1103,6027,408658,115951,194677,3059,35819,9218,38075,1650,3083,1100,6026,386163,112858,191186,2816,29189,6566,32987,1550,2804,929,5278,173028,68264,89498,165,1954,618,8653,502,843,210,2321,128461,29107,68108,1529,8657,3964,13326,750,1048,461,1511,84674,15487,33580,1122,18578,1984,11008,298,913,258,1446,22061,2718,3471,243,6628,2652,5076,100,277,169,727,20088,2469,3150,238,6459,2544,4130,82,237,129,650,1400,167,233,5,127,89,670,5,28,40,36,573,82,88,0,42,19,276,13,12,0,41,434,375,20,0,2,0,12,0,2,2,21,41,4,2,0,0,6,25,0,0,3,1
SELB,392291,121450,171258,1745,25871,5801,54061,514,3859,747,6985,392285,121450,171258,1745,25871,5798,54059,514,3859,747,6984,380788,120058,170364,1614,23282,4329,49821,455,3720,596,6549,209424,83893,102630,273,2080,639,14377,187,1593,218,3534,104554,21969,46116,970,8044,2203,21900,217,1223,258,1654,66810,14196,21618,371,13158,1487,13544,51,904,120,1361,10574,774,778,124,2522,1469,4214,59,116,141,377,8723,569,662,96,2417,1359,3104,30,83,116,287,1264,98,64,26,71,95,792,20,17,17,64,587,107,52,2,34,15,318,9,16,8,26,923,618,116,7,67,0,24,0,23,10,58,6,0,0,0,0,3,2,0,0,0,1
WELB,290881,88682,116408,1108,29389,8412,37234,272,3148,666,5562,290833,88682,116408,1108,29387,8394,37217,272,3146,657,5562,281038,87944,115493,1077,26888,6898,33676,227,3045,558,5232,146900,61014,66254,238,2967,887,11295,132,1342,163,2608,76486,15727,30970,564,8946,4187,13411,43,1026,245,1367,57652,11203,18269,275,14975,1824,8970,52,677,150,1257,9509,538,871,29,2498,1496,3523,45,95,98,316,8072,394,734,22,2409,1407,2634,37,75,81,279,1002,51,84,5,85,74,646,5,15,10,27,435,93,53,2,4,15,243,3,5,7,10,286,200,44,2,1,0,18,0,6,1,14,48,0,0,0,2,18,17,0,2,9,0
UKN01,276141,55026,95352,1649,44637,20851,49622,237,2610,875,5282,275996,55022,95348,1649,44631,20832,49515,237,2610,874,5278,241320,52586,91546,1396,38148,15155,35391,69,2202,569,4258,36730,12461,17033,52,2386,1053,2722,35,140,81,767,87519,21940,41014,543,7735,5182,9010,12,708,185,1190,117071,18185,33499,801,28027,8920,23659,22,1354,303,2301,34629,2420,3795,253,6478,5670,14118,168,408,305,1014,29054,2206,3403,205,6190,5298,10091,139,356,256,910,5070,173,323,46,225,343,3778,13,42,40,87,505,41,69,2,63,29,249,16,10,9,17,47,16,7,0,5,7,6,0,0,0,6,145,4,4,0,6,19,107,0,0,1,4
UKN02,384428,103047,190208,3122,34816,8843,34417,1447,2531,899,5098,384390,103043,190208,3122,34816,8837,34392,1447,2531,896,5098,358990,99652,186035,2849,26891,6118,28804,1336,2232,755,4318,147696,55545,80492,151,1675,600,6305,472,511,194,1751,127900,29373,71012,1520,7087,3698,12072,638,928,334,1238,83394,14734,34531,1178,18129,1820,10427,226,793,227,1329,25151,3181,4160,268,7923,2719,5588,111,299,139,763,23531,2986,3893,263,7752,2635,4814,100,256,126,706,1231,155,210,5,137,68,588,4,22,11,31,389,40,57,0,34,16,186,7,21,2,26,249,210,13,5,2,0,0,0,0,2,17,38,4,0,0,0,6,25,0,0,3,0
UKN03,434612,129101,197050,2536,33798,5812,52735,1215,3937,971,7457,434594,129096,197048,2536,33794,5810,52731,1215,3937,971,7456,418162,127203,195208,2397,29196,3773,47825,1154,3752,783,6871,210426,83465,105915,241,2306,490,12838,311,1348,209,3303,113096,24468,55654,1280,8031,1686,17899,710,1190,432,1746,94640,19270,33639,876,18859,1597,17088,133,1214,142,1822,15783,1416,1746,139,4593,2037,4881,61,182,188,540,13817,1199,1552,122,4451,1922,3782,42,142,136,469,1299,120,110,11,98,103,726,10,28,51,42,667,97,84,6,44,12,373,9,12,1,29,649,477,94,0,5,0,25,0,3,0,45,18,5,2,0,4,2,4,0,0,0,1
UKN04,284667,80886,113671,1420,33055,8244,38018,240,3119,617,5397,284617,80886,113666,1420,33053,8231,38000,240,3117,607,5397,273417,79930,112640,1388,30122,6537,34070,212,2994,496,5028,129008,50553,59483,329,3283,818,10698,112,1181,117,2434,84212,18190,34333,753,10264,3787,14060,56,1112,218,1439,60197,11187,18824,306,16575,1932,9312,44,701,161,1155,10983,791,1002,30,2926,1694,3918,28,122,111,361,9443,646,888,23,2810,1588,2961,21,101,98,307,1086,70,90,5,98,93,680,0,18,4,28,454,75,24,2,18,13,277,7,3,9,26,217,165,24,2,5,0,12,0,1,0,8,50,0,5,0,2,13,18,0,2,10,0
UKN05,408491,142255,168496,1294,24575,5081,53311,563,4351,794,7771,408481,142255,168496,1294,24575,5072,53311,563,4351,794,7770,398040,140805,167619,1184,22593,3984,49139,472,4213,657,7374,246732,107331,111606,281,2416,659,17600,192,2029,274,4344,98103,21534,39860,695,8782,2486,21169,198,1377,281,1721,53205,11940,16153,208,11395,839,10370,82,807,102,1309,9425,766,748,103,1914,1088,4142,91,109,126,338,7542,517,595,75,1821,1021,3042,61,74,95,241,1207,98,64,28,70,57,762,21,17,23,67,676,151,89,0,23,10,338,9,18,8,30,1016,684,129,7,68,0,30,0,29,11,58,10,0,0,0,0,9,0,0,0,0,1
95AA,52540,14261,25334,285,4315,456,5565,717,469,294,844,52538,14261,25334,285,4315,456,5563,717,469,294,844,50445,14038,25056,269,3649,337,4892,695,445,274,790,24799,9348,13163,21,222,36,1234,149,138,80,408,12909,2404,6622,124,756,186,1849,505,151,175,137,12737,2286,5271,124,2671,115,1809,41,156,19,245,2007,158,265,16,663,119,669,22,24,20,51,1815,135,246,14,646,115,561,21,16,13,48,127,12,12,0,17,2,67,1,6,7,3,65,11,7,2,0,2,41,0,2,0,0,86,65,13,0,3,0,2,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0
95BB,77483,23268,36309,566,7118,1147,7009,76,607,83,1300,77483,23268,36309,566,7118,1147,7009,76,607,83,1300,74306,22833,35870,533,6181,718,6293,71,561,62,1184,33929,13980,17079,38,425,51,1666,31,149,19,491,23209,5393,12328,261,2052,398,2169,12,187,34,375,17168,3460,6463,234,3704,269,2458,28,225,9,318,3081,350,434,33,937,429,716,5,46,21,110,2748,289,368,29,916,422,571,5,36,14,98,199,30,35,4,15,5,89,0,9,7,5,134,31,31,0,6,2,56,0,1,0,7,96,85,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
