GeographyCode,DC2221NI0001,DC2221NI0002,DC2221NI0003,DC2221NI0004,DC2221NI0005,DC2221NI0006,DC2221NI0007,DC2221NI0008,DC2221NI0009,DC2221NI0010,DC2221NI0011,DC2221NI0012,DC2221NI0013,DC2221NI0014,DC2221NI0015,DC2221NI0016,DC2221NI0017,DC2221NI0018,DC2221NI0019,DC2221NI0020,DC2221NI0021,DC2221NI0022,DC2221NI0023,DC2221NI0024,DC2221NI0025,DC2221NI0026,DC2221NI0027,DC2221NI0028,DC2221NI0029,DC2221NI0030,DC2221NI0031,DC2221NI0032,DC2221NI0033,DC2221NI0034,DC2221NI0035,DC2221NI0036,DC2221NI0037,DC2221NI0038,DC2221NI0039,DC2221NI0040,DC2221NI0041,DC2221NI0042,DC2221NI0043,DC2221NI0044,DC2221NI0045,DC2221NI0046,DC2221NI0047,DC2221NI0048,DC2221NI0049,DC2221NI0050,DC2221NI0051,DC2221NI0052,DC2221NI0053,DC2221NI0054,DC2221NI0055,DC2221NI0056,DC2221NI0057,DC2221NI0058,DC2221NI0059,DC2221NI0060,DC2221NI0061,DC2221NI0062,DC2221NI0063,DC2221NI0064,DC2221NI0065,DC2221NI0066,DC2221NI0067,DC2221NI0068,DC2221NI0069,DC2221NI0070,DC2221NI0071,DC2221NI0072,DC2221NI0073,DC2221NI0074,DC2221NI0075,DC2221NI0076,DC2221NI0077,DC2221NI0078,DC2221NI0079,DC2221NI0080,DC2221NI0081,DC2221NI0082,DC2221NI0083,DC2221NI0084,DC2221NI0085,DC2221NI0086,DC2221NI0087,DC2221NI0088,DC2221NI0089,DC2221NI0090,DC2221NI0091,DC2221NI0092,DC2221NI0093,DC2221NI0094,DC2221NI0095,DC2221NI0096,DC2221NI0097,DC2221NI0098,DC2221NI0099,DC2221NI0100,DC2221NI0101,DC2221NI0102,DC2221NI0103,DC2221NI0104,DC2221NI0105,DC2221NI0106,DC2221NI0107,DC2221NI0108,DC2221NI0109,DC2221NI0110,DC2221NI0111,DC2221NI0112,DC2221NI0113,DC2221NI0114,DC2221NI0115,DC2221NI0116,DC2221NI0117
N92000002,1810863,341428,1035451,342887,30276,4291,2282,39099,15149,876577,163465,677785,19115,10713,2707,137,999,1656,513390,89638,141268,261391,15349,563,1574,2041,1566,533085,105745,333897,78198,11775,1167,404,1106,793,18041,2777,14250,581,124,63,3,155,88,9374,1557,7463,201,77,30,1,14,31,1772,237,1437,51,24,7,2,9,5,6712,399,259,155,9,124,53,5671,42,34417,2759,167,137,4,67,32,31209,42,19770,2139,91,67,2,22,16,17407,26,7017,209,19,22,0,1,6,6759,1,7630,411,57,48,2,44,10,7043,15,20755,941,2956,560,128,1652,919,709,12890
BHSCT,348204,53550,205376,66902,7087,1161,508,7547,6073,165783,26059,132444,3423,2358,742,26,210,521,107535,15384,32600,54537,3904,151,330,335,294,96406,14684,65957,12268,2744,261,109,214,169,3107,399,2512,79,28,17,2,34,36,1843,289,1481,28,22,13,1,3,6,349,50,279,8,8,1,0,3,0,1725,59,63,43,1,45,21,1481,12,6286,555,38,19,0,34,8,5620,12,4490,427,23,5,0,8,2,4014,11,313,9,0,0,0,0,1,303,0,1483,119,15,14,0,26,5,1303,1,8047,459,971,176,45,498,231,182,5485
NHSCT,463297,94973,296145,52910,6671,1051,389,8268,2890,273012,55011,209239,4697,2743,684,26,240,372,85771,16130,28547,37063,2991,133,244,379,284,141688,29584,94257,14356,2681,339,85,220,166,4581,773,3622,102,33,10,1,28,12,2639,461,2114,33,13,8,0,3,7,440,47,378,10,1,4,0,0,0,1126,88,75,11,2,15,8,920,7,7651,667,34,29,1,15,1,6894,10,4552,535,24,17,0,6,0,3964,6,847,25,0,2,0,0,0,819,1,2252,107,10,10,1,9,1,2111,3,4058,174,727,92,20,391,139,111,2404
SEHSCT,346911,55111,236957,40363,6799,1074,330,3814,2463,208430,31564,168197,4069,3256,732,35,213,364,65155,9820,23092,28646,2830,102,188,251,226,109137,18086,76940,10417,2894,307,78,201,214,4882,582,4143,70,22,23,0,18,24,2236,286,1901,21,13,4,0,1,10,478,56,400,9,7,2,1,1,2,853,37,55,19,3,38,10,686,5,3025,208,26,14,1,10,3,2752,11,1639,166,8,3,1,4,1,1453,3,639,16,2,4,0,0,0,617,0,747,26,16,7,0,6,2,682,8,3433,102,565,84,32,391,143,94,2022
SHSCT,358034,70037,174144,89733,5729,600,541,15200,2050,138805,28808,104079,3540,1527,342,25,234,250,125957,21959,30064,69053,3182,91,411,786,411,101318,21902,56250,20383,2056,151,74,362,140,2821,494,2071,154,17,10,0,66,9,1300,215,1008,47,15,4,0,6,5,282,48,207,16,5,0,0,5,1,2357,197,43,47,3,13,11,2028,15,13560,994,47,53,1,6,17,12438,4,6733,745,26,31,1,3,11,5913,3,4619,143,14,15,0,1,5,4441,0,2208,106,7,7,0,2,1,2084,1,3022,115,427,108,19,239,213,283,1618
WHSCT,294417,67757,122829,92979,3990,405,514,4270,1673,90547,22023,63826,3386,829,207,25,102,149,128972,26345,26965,72092,2442,86,401,290,351,84536,21489,40493,20774,1400,109,58,109,104,2650,529,1902,176,24,3,0,9,7,1356,306,959,72,14,1,0,1,3,223,36,173,8,3,0,1,0,2,651,18,23,35,0,13,3,556,3,3895,335,22,22,1,2,3,3505,5,2356,266,10,11,0,1,2,2063,3,599,16,3,1,0,0,0,579,0,940,53,9,10,1,1,1,863,2,2195,91,266,100,12,133,193,39,1361
BELB,280962,45310,155913,60408,5805,913,430,6810,5373,121272,20327,95350,2602,1791,566,20,177,439,97682,14558,28948,49831,3371,125,287,303,259,75356,12163,49729,10651,2210,188,92,187,136,2538,326,2028,73,24,16,2,33,36,1474,243,1172,26,17,9,1,2,4,282,39,226,7,7,1,0,2,0,1540,53,50,37,1,43,17,1327,12,5709,513,37,18,0,25,8,5100,8,4073,397,22,5,0,4,2,3636,7,262,5,0,0,0,0,1,256,0,1374,111,15,13,0,21,5,1208,1,7043,420,802,154,36,407,198,162,4864
NEELB,426284,85964,277598,45293,6132,993,358,7186,2760,259216,51622,199272,4413,2632,657,26,232,362,73354,13460,24756,31555,2674,113,222,315,259,129798,26365,87944,12259,2470,325,81,196,158,4294,689,3431,93,32,9,1,27,12,2508,429,2024,25,13,7,0,3,7,424,46,365,8,1,4,0,0,0,845,57,64,11,2,15,6,683,7,6805,614,31,23,1,14,1,6111,10,4284,516,21,15,0,6,0,3720,6,703,20,0,1,0,0,0,681,1,1818,78,10,7,1,8,1,1710,3,3831,167,674,91,20,374,129,78,2298
SEELB,414153,63351,286420,46857,8081,1322,408,4551,3163,252941,37296,205291,4890,3823,908,41,246,446,75008,10646,26744,33352,3363,128,231,283,261,130187,20607,93168,12034,3428,380,95,228,247,5451,655,4627,76,26,24,0,19,24,2605,332,2210,23,18,8,0,2,12,545,67,453,10,8,2,1,2,2,1038,43,68,25,3,40,14,840,5,3602,250,27,15,1,19,3,3272,15,2056,196,9,3,1,8,1,1831,7,690,20,2,4,0,0,0,664,0,856,34,16,8,0,11,2,777,8,4437,141,734,106,41,482,176,114,2643
SELB,395047,79046,192691,97350,6268,658,572,16282,2180,152601,32197,114046,3824,1638,369,25,242,260,138374,24629,33855,74561,3499,111,433,850,436,113208,25121,62563,22480,2267,165,78,386,148,3108,578,2262,163,18,11,0,67,9,1431,247,1098,55,15,5,0,6,5,298,49,220,18,5,0,0,5,1,2638,228,54,47,3,13,13,2265,15,14406,1047,50,59,1,7,17,13221,4,7001,764,29,33,1,3,11,6157,3,4763,148,14,16,0,1,5,4579,0,2642,135,7,10,0,3,1,2485,1,3249,122,480,109,19,256,223,316,1724
WELB,294417,67757,122829,92979,3990,405,514,4270,1673,90547,22023,63826,3386,829,207,25,102,149,128972,26345,26965,72092,2442,86,401,290,351,84536,21489,40493,20774,1400,109,58,109,104,2650,529,1902,176,24,3,0,9,7,1356,306,959,72,14,1,0,1,3,223,36,173,8,3,0,1,0,2,651,18,23,35,0,13,3,556,3,3895,335,22,22,1,2,3,3505,5,2356,266,10,11,0,1,2,2063,3,599,16,3,1,0,0,0,579,0,940,53,9,10,1,1,1,863,2,2195,91,266,100,12,133,193,39,1361
UKN01,280962,45310,155913,60408,5805,913,430,6810,5373,121272,20327,95350,2602,1791,566,20,177,439,97682,14558,28948,49831,3371,125,287,303,259,75356,12163,49729,10651,2210,188,92,187,136,2538,326,2028,73,24,16,2,33,36,1474,243,1172,26,17,9,1,2,4,282,39,226,7,7,1,0,2,0,1540,53,50,37,1,43,17,1327,12,5709,513,37,18,0,25,8,5100,8,4073,397,22,5,0,4,2,3636,7,262,5,0,0,0,0,1,256,0,1374,111,15,13,0,21,5,1208,1,7043,420,802,154,36,407,198,162,4864
UKN02,390597,54272,282237,37422,7144,1292,367,4412,3451,254009,35027,209483,4326,3557,907,36,218,455,60203,7177,22297,27029,2890,127,203,255,225,119890,16828,90042,9107,2987,406,92,203,225,4735,537,4054,63,25,16,0,24,16,2490,314,2126,15,14,9,0,2,10,496,59,418,7,3,6,1,2,0,1042,47,76,19,1,36,9,851,3,3471,238,24,15,0,22,2,3162,8,2351,203,10,6,0,7,0,2118,7,444,12,0,3,0,0,0,429,0,676,23,14,6,0,15,2,615,1,4686,135,730,96,37,469,160,98,2961
UKN03,438823,84126,281082,52743,6862,1055,338,10020,2597,256103,48715,198033,4978,2948,693,29,283,424,81060,13951,26946,36268,2895,101,210,417,272,134976,26873,89747,14614,2891,292,70,304,185,4735,717,3812,97,30,22,1,35,21,2351,366,1917,34,17,5,0,3,9,456,58,376,12,6,0,0,2,2,1626,122,60,28,4,23,11,1370,8,8972,753,42,37,2,10,11,8108,9,4945,580,18,23,1,6,8,4309,0,1826,72,10,3,0,1,2,1737,1,2201,101,14,11,1,3,1,2062,8,3683,137,688,91,24,412,128,126,2077
