GeographyCode,DC6202NI0001,DC6202NI0002,DC6202NI0003,DC6202NI0004,DC6202NI0005,DC6202NI0006,DC6202NI0007,DC6202NI0008,DC6202NI0009,DC6202NI0010,DC6202NI0011,DC6202NI0012,DC6202NI0013,DC6202NI0014,DC6202NI0015
N92000002,1431540,213851,1217689,630341,87801,542540,725460,115029,610431,13496,2585,10911,62243,8436,53807
BHSCT,283079,43158,239921,120473,17658,102815,140503,21828,118675,4567,902,3665,17536,2770,14766
NHSCT,366872,53975,312897,119592,16471,103121,227703,34891,192812,3113,613,2500,16464,2000,14464
SEHSCT,275606,43217,232389,82614,11436,71178,173621,29061,144560,2566,495,2071,16805,2225,14580
SHSCT,276654,39908,236746,154535,20689,133846,112478,18023,94455,1919,313,1606,7722,883,6839
WHSCT,229329,33593,195736,153127,21547,131580,71155,11226,59929,1331,262,1069,3716,558,3158
BELB,228679,34407,194272,109160,15695,93465,101616,15652,85964,3898,765,3133,14005,2295,11710
NEELB,338153,50153,288000,102979,14452,88527,216341,33173,183168,2963,581,2382,15870,1947,13923
SEELB,330006,51968,278038,93927,13399,80528,212508,35237,177271,3235,632,2603,20336,2700,17636
SELB,305373,43730,261643,171148,22708,148440,123840,19741,104099,2069,345,1724,8316,936,7380
WELB,229329,33593,195736,153127,21547,131580,71155,11226,59929,1331,262,1069,3716,558,3158
UKN01,228679,34407,194272,109160,15695,93465,101616,15652,85964,3898,765,3133,14005,2295,11710
UKN02,311648,48632,263016,70215,10105,60110,217307,35174,182133,3343,648,2695,20783,2705,18078
UKN03,346252,50184,296068,120190,15367,104823,206930,32417,174513,2958,514,2444,16174,1886,14288
UKN04,226804,32457,194347,125603,16851,108752,94366,14458,79908,1509,323,1186,5326,825,4501
UKN05,318157,48171,269986,205173,29783,175390,105241,17328,87913,1788,335,1453,5955,725,5230
95AA,41479,5784,35695,16585,2037,14548,22196,3435,18761,394,73,321,2304,239,2065
95BB,62813,9075,53738,7955,1076,6879,49944,7416,42528,663,102,561,4251,481,3770
95CC,46195,7049,39146,22150,3164,18986,22611,3689,18922,307,57,250,1127,139,988
95DD,51185,7640,43545,11209,1605,9604,37575,5734,31841,439,84,355,1962,217,1745
95EE,24608,3439,21169,7556,945,6611,16090,2363,13727,169,33,136,793,98,695
95FF,37527,5636,31891,11822,1587,10235,23960,3825,20135,295,49,246,1450,175,1275
95GG,228679,34407,194272,109160,15695,93465,101616,15652,85964,3898,765,3133,14005,2295,11710
95HH,31409,4677,26732,3062,443,2619,25647,3870,21777,312,53,259,2388,311,2077
95II,54400,8751,45649,11313,1963,9350,38887,6176,32711,669,137,532,3531,475,3056
95JJ,47617,7967,39650,12988,1994,10994,32149,5532,26617,443,113,330,2037,328,1709
95KK,28719,3822,24897,16613,2019,14594,11362,1718,9644,150,32,118,594,53,541
95LL,72503,9629,62874,32609,3520,29089,36273,5708,30565,664,96,568,2957,305,2652
95MM,83663,11510,72153,61849,8306,53543,19749,2830,16919,642,119,523,1423,255,1168
95NN,54746,8779,45967,33639,4789,28850,18756,3587,15169,343,80,263,2008,323,1685
95OO,44467,6266,38201,28031,3696,24335,15338,2433,12905,278,49,229,820,88,732
95PP,48664,8164,40500,28494,4509,23985,18924,3447,15477,302,66,236,944,142,802
95QQ,25999,3641,22358,6371,753,5618,18226,2712,15514,160,30,130,1242,146,1096
95RR,26293,3363,22930,15331,1872,13459,10363,1403,8960,94,21,73,505,67,438
95SS,93625,14276,79349,32306,4031,28275,55759,9483,46276,816,153,663,4744,609,4135
95TT,34461,4976,29485,22369,3223,19146,11398,1659,9739,175,30,145,519,64,455
95UU,13603,2188,11415,8019,1324,6695,5208,798,4410,69,20,49,307,46,261
95VV,75962,11328,64634,59923,8722,51201,14296,2368,11928,375,62,313,1368,176,1192
95WW,67792,9841,57951,14820,2128,12692,47852,7070,40782,802,145,657,4318,498,3820
95XX,64422,11087,53335,8714,1540,7174,49162,8575,40587,744,160,584,5802,812,4990
95YY,39689,6566,33123,27593,4450,23143,11312,2014,9298,201,39,162,583,63,520
95ZZ,31020,3990,27030,19860,2410,17450,10807,1532,9275,92,17,75,261,31,230
