GeographyCode,DC2203NI0001,DC2203NI0002,DC2203NI0003,DC2203NI0004,DC2203NI0005,DC2203NI0006,DC2203NI0007,DC2203NI0008,DC2203NI0009,DC2203NI0010,DC2203NI0011,DC2203NI0012,DC2203NI0013,DC2203NI0014,DC2203NI0015,DC2203NI0016,DC2203NI0017,DC2203NI0018,DC2203NI0019,DC2203NI0020,DC2203NI0021,DC2203NI0022,DC2203NI0023,DC2203NI0024,DC2203NI0025,DC2203NI0026,DC2203NI0027,DC2203NI0028,DC2203NI0029,DC2203NI0030,DC2203NI0031,DC2203NI0032,DC2203NI0033,DC2203NI0034,DC2203NI0035,DC2203NI0036,DC2203NI0037,DC2203NI0038,DC2203NI0039,DC2203NI0040,DC2203NI0041,DC2203NI0042,DC2203NI0043,DC2203NI0044,DC2203NI0045,DC2203NI0046,DC2203NI0047,DC2203NI0048,DC2203NI0049,DC2203NI0050,DC2203NI0051,DC2203NI0052,DC2203NI0053,DC2203NI0054,DC2203NI0055,DC2203NI0056,DC2203NI0057,DC2203NI0058,DC2203NI0059,DC2203NI0060,DC2203NI0061,DC2203NI0062,DC2203NI0063,DC2203NI0064,DC2203NI0065,DC2203NI0066,DC2203NI0067,DC2203NI0068,DC2203NI0069,DC2203NI0070,DC2203NI0071,DC2203NI0072,DC2203NI0073,DC2203NI0074,DC2203NI0075,DC2203NI0076,DC2203NI0077,DC2203NI0078,DC2203NI0079,DC2203NI0080,DC2203NI0081,DC2203NI0082,DC2203NI0083,DC2203NI0084,DC2203NI0085,DC2203NI0086,DC2203NI0087,DC2203NI0088,DC2203NI0089,DC2203NI0090,DC2203NI0091,DC2203NI0092,DC2203NI0093,DC2203NI0094,DC2203NI0095,DC2203NI0096,DC2203NI0097,DC2203NI0098,DC2203NI0099,DC2203NI0100,DC2203NI0101,DC2203NI0102,DC2203NI0103,DC2203NI0104,DC2203NI0105,DC2203NI0106,DC2203NI0107,DC2203NI0108,DC2203NI0109,DC2203NI0110,DC2203NI0111,DC2203NI0112
N92000002,1735711,1707016,1705815,1201,17968,6072,5669,1019,502,4706,3396,367,2210,819,5082,2249,1681171,1665357,1664174,1183,8037,2399,3177,574,209,1678,2010,315,1287,408,4457,1310,54540,41659,41641,18,9931,3673,2492,445,293,3028,1386,52,923,411,625,939,20260,14695,14684,11,4281,641,1532,236,119,1753,552,24,412,116,301,431,19811,15121,15118,3,3622,1514,792,134,125,1057,542,9,348,185,222,304,11802,9614,9611,3,1689,1243,151,68,40,187,235,16,125,94,87,177,2667,2229,2228,1,339,275,17,7,9,31,57,3,38,16,15,27
BHSCT,334560,323535,323332,203,7652,2607,2278,293,221,2253,1297,98,1063,136,1411,665,320127,314536,314339,197,3211,915,1226,178,101,791,788,83,628,77,1209,383,14433,8999,8993,6,4441,1692,1052,115,120,1462,509,15,435,59,202,282,6876,4422,4418,4,1951,275,670,53,49,904,231,7,198,26,118,154,4901,2976,2975,1,1593,708,324,40,48,473,184,3,165,16,64,84,2175,1328,1327,1,712,548,52,21,20,71,78,4,58,16,16,41,481,273,273,0,185,161,6,1,3,14,16,1,14,1,4,3
NHSCT,444578,439008,438847,161,3589,1379,1190,267,33,720,519,68,352,99,1101,361,433481,430165,430006,159,1708,552,726,149,16,265,349,59,225,65,1011,248,11097,8843,8841,2,1881,827,464,118,17,455,170,9,127,34,90,113,3665,2751,2750,1,734,129,286,71,4,244,78,2,60,16,44,58,4127,3269,3268,1,723,369,148,26,11,169,59,2,47,10,34,42,2674,2258,2258,0,375,292,28,18,2,35,20,4,8,8,12,9,631,565,565,0,49,37,2,3,0,7,13,1,12,0,0,4
SEHSCT,333088,328463,328334,129,2606,862,795,137,191,621,612,95,333,184,1030,377,327171,324278,324151,127,1181,417,401,76,65,222,472,87,253,132,975,265,5917,4185,4183,2,1425,445,394,61,126,399,140,8,80,52,55,112,2703,1878,1877,1,633,99,226,30,53,225,89,5,54,30,33,70,2018,1402,1402,0,522,161,133,20,53,155,40,1,22,17,18,36,986,730,729,1,239,163,33,11,15,17,7,1,2,4,4,6,210,175,175,0,31,22,2,0,5,2,4,1,2,1,0,0
SHSCT,341383,336914,336445,469,2271,761,583,229,36,662,741,43,353,345,892,565,324297,322168,321706,462,990,316,312,119,14,229,246,32,125,89,668,225,17086,14746,14739,7,1281,445,271,110,22,433,495,11,228,256,224,340,4710,3902,3898,4,512,77,157,54,7,217,121,7,73,41,73,102,6659,5747,5746,1,467,174,91,38,11,153,236,1,99,136,91,118,4667,4149,4148,1,249,156,18,15,3,57,115,3,47,65,50,104,1050,948,947,1,53,38,5,3,1,6,23,0,9,14,10,16
WHSCT,282102,279096,278857,239,1850,463,823,93,21,450,227,63,109,55,648,281,276095,274210,273972,238,947,199,512,52,13,171,155,54,56,45,594,189,6007,4886,4885,1,903,264,311,41,8,279,72,9,53,10,54,92,2306,1742,1741,1,451,61,193,28,6,163,33,3,27,3,33,47,2106,1727,1727,0,317,102,96,10,2,107,23,2,15,6,15,24,1300,1149,1149,0,114,84,20,3,0,7,15,4,10,1,5,17,295,268,268,0,21,17,2,0,0,2,1,0,1,0,1,4
BELB,269804,260580,260387,193,6330,2128,1997,203,185,1817,1174,87,958,129,1166,554,256904,252354,252167,187,2565,678,1061,111,86,629,688,74,542,72,987,310,12900,8226,8220,6,3765,1450,936,92,99,1188,486,13,416,57,179,244,6083,4045,4041,4,1594,217,589,47,33,708,217,5,188,24,103,124,4427,2709,2708,1,1408,627,295,28,43,415,176,3,157,16,57,77,1944,1220,1219,1,592,455,46,17,20,54,77,4,57,16,15,40,446,252,252,0,171,151,6,0,3,11,16,1,14,1,4,3
NEELB,409258,403979,403824,155,3451,1292,1170,252,33,704,426,60,293,73,1051,351,399392,396195,396042,153,1662,526,717,143,16,260,324,56,209,59,970,241,9866,7784,7782,2,1789,766,453,109,17,444,102,4,84,14,81,110,3341,2472,2471,1,714,118,284,70,4,238,58,2,50,6,40,57,3661,2868,2867,1,686,347,139,24,11,165,37,2,28,7,30,40,2326,1962,1962,0,341,264,28,13,2,34,3,0,2,1,11,9,538,482,482,0,48,37,2,2,0,7,4,0,4,0,0,4
SEELB,397844,391418,391279,139,3928,1341,1076,227,227,1057,735,106,438,191,1275,488,390394,386460,386323,137,1827,654,566,143,80,384,572,96,339,137,1197,338,7450,4958,4956,2,2101,687,510,84,147,673,163,10,99,54,78,150,3496,2255,2254,1,990,157,307,36,69,421,103,7,64,32,48,100,2492,1669,1669,0,707,242,162,32,58,213,48,1,30,17,25,43,1217,838,837,1,359,256,39,15,15,34,8,1,3,4,5,7,245,196,196,0,45,32,2,1,5,5,4,1,2,1,0,0
SELB,376703,371943,371468,475,2409,848,603,244,36,678,834,51,412,371,942,575,358386,356138,355670,468,1036,342,321,125,14,234,271,35,141,95,709,232,18317,15805,15798,7,1373,506,282,119,22,444,563,16,271,276,233,343,5034,4181,4177,4,532,88,159,55,7,223,141,7,83,51,77,103,7125,6148,6147,1,504,196,100,40,11,157,258,1,118,139,95,120,5015,4445,4444,1,283,184,18,20,3,58,132,7,53,72,51,104,1143,1031,1030,1,54,38,5,4,1,6,32,1,17,14,10,16
WELB,282102,279096,278857,239,1850,463,823,93,21,450,227,63,109,55,648,281,276095,274210,273972,238,947,199,512,52,13,171,155,54,56,45,594,189,6007,4886,4885,1,903,264,311,41,8,279,72,9,53,10,54,92,2306,1742,1741,1,451,61,193,28,6,163,33,3,27,3,33,47,2106,1727,1727,0,317,102,96,10,2,107,23,2,15,6,15,24,1300,1149,1149,0,114,84,20,3,0,7,15,4,10,1,5,17,295,268,268,0,21,17,2,0,0,2,1,0,1,0,1,4
UKN01,269804,260580,260387,193,6330,2128,1997,203,185,1817,1174,87,958,129,1166,554,256904,252354,252167,187,2565,678,1061,111,86,629,688,74,542,72,987,310,12900,8226,8220,6,3765,1450,936,92,99,1188,486,13,416,57,179,244,6083,4045,4041,4,1594,217,589,47,33,708,217,5,188,24,103,124,4427,2709,2708,1,1408,627,295,28,43,415,176,3,157,16,57,77,1944,1220,1219,1,592,455,46,17,20,54,77,4,57,16,15,40,446,252,252,0,171,151,6,0,3,11,16,1,14,1,4,3
UKN02,374966,367880,367758,122,4587,1637,1376,331,101,1142,712,90,475,147,1340,447,367324,363053,362931,122,2181,760,770,200,44,407,552,83,361,108,1245,293,7642,4827,4827,0,2406,877,606,131,57,735,160,7,114,39,95,154,3582,2203,2203,0,1127,186,390,67,29,455,96,7,68,21,57,99,2624,1677,1677,0,817,356,173,44,21,223,55,0,41,14,32,43,1194,749,749,0,421,306,40,18,7,50,7,0,3,4,6,11,242,198,198,0,41,29,3,2,0,7,2,0,2,0,0,1
UKN03,420580,415234,415050,184,3185,1028,865,284,171,837,655,85,371,199,1078,428,408237,405138,404958,180,1474,467,486,161,57,303,380,70,209,101,968,277,12343,10096,10092,4,1711,561,379,123,114,534,275,15,162,98,110,151,3746,2847,2845,2,689,84,211,61,45,288,108,7,65,36,45,57,4804,3953,3952,1,634,196,140,39,53,206,107,4,62,41,41,69,3084,2685,2684,1,318,227,24,20,10,37,43,3,28,12,20,18,709,611,611,0,70,54,4,3,6,3,17,1,7,9,4,7
