GeographyCode,DC6506NI0001,DC6506NI0002,DC6506NI0003,DC6506NI0004,DC6506NI0005,DC6506NI0006,DC6506NI0007,DC6506NI0008,DC6506NI0009,DC6506NI0010,DC6506NI0011,DC6506NI0012,DC6506NI0013,DC6506NI0014,DC6506NI0015,DC6506NI0016,DC6506NI0017,DC6506NI0018,DC6506NI0019,DC6506NI0020,DC6506NI0021,DC6506NI0022,DC6506NI0023,DC6506NI0024
N92000002,1431540,213851,1217689,416851,21470,395381,164798,18501,146297,213570,35417,178153,60462,7068,53394,176110,35827,140283,338544,88448,250096,61205,7120,54085
BHSCT,283079,43158,239921,82416,3386,79030,30671,3159,27512,36764,5823,30941,9997,922,9075,36650,8562,28088,75840,20043,55797,10741,1263,9478
NHSCT,366872,53975,312897,106538,5672,100866,43450,4810,38640,56884,9257,47627,17053,1992,15061,45576,9033,36543,82138,21387,60751,15233,1824,13409
SEHSCT,275606,43217,232389,67575,3717,63858,32900,3625,29275,44203,7290,36913,13260,1491,11769,34752,6689,28063,72479,19099,53380,10437,1306,9131
SHSCT,276654,39908,236746,83107,4561,78546,31412,3671,27741,41914,6860,35054,11933,1544,10389,32571,6187,26384,60400,15581,44819,15317,1504,13813
WHSCT,229329,33593,195736,77215,4134,73081,26365,3236,23129,33805,6187,27618,8219,1119,7100,26561,5356,21205,47687,12338,35349,9477,1223,8254
BELB,228679,34407,194272,69498,2695,66803,24585,2454,22131,28773,4436,24337,7444,680,6764,30052,7228,22824,59536,15920,43616,8791,994,7797
NEELB,338153,50153,288000,96871,5186,91685,40086,4408,35678,52525,8537,43988,15888,1846,14042,42220,8421,33799,76717,20065,56652,13846,1690,12156
SEELB,330006,51968,278038,80493,4408,76085,38986,4330,34656,52194,8677,43517,15813,1733,14080,41350,8023,33327,88783,23222,65561,12387,1575,10812
SELB,305373,43730,261643,92774,5047,87727,34776,4073,30703,46273,7580,38693,13098,1690,11408,35927,6799,29128,65821,16903,48918,16704,1638,15066
WELB,229329,33593,195736,77215,4134,73081,26365,3236,23129,33805,6187,27618,8219,1119,7100,26561,5356,21205,47687,12338,35349,9477,1223,8254
UKN01,228679,34407,194272,69498,2695,66803,24585,2454,22131,28773,4436,24337,7444,680,6764,30052,7228,22824,59536,15920,43616,8791,994,7797
UKN02,311648,48632,263016,75167,4071,71096,37367,4023,33344,48673,7975,40698,14493,1485,13008,39865,7831,32034,84597,21799,62798,11486,1448,10038
UKN03,346252,50184,296068,97849,5244,92605,41019,4475,36544,54900,8591,46309,16592,1923,14669,41951,7948,34003,78507,20329,58178,15434,1674,13760
UKN04,226804,32457,194347,75017,3754,71263,26352,3062,23290,33746,5770,27976,8568,1083,7485,27495,5486,22009,47180,12146,35034,8446,1156,7290
UKN05,318157,48171,269986,99320,5706,93614,35475,4487,30988,47478,8645,38833,13365,1897,11468,36747,7334,29413,68724,18254,50470,17048,1848,15200
95AA,41479,5784,35695,10904,571,10333,5097,522,4575,6863,973,5890,1873,199,1674,4979,903,4076,9828,2423,7405,1935,193,1742
95BB,62813,9075,53738,16755,829,15926,8030,877,7153,10318,1629,8689,3507,373,3134,7747,1467,6280,14010,3603,10407,2446,297,2149
95CC,46195,7049,39146,14021,823,13198,5139,613,4526,7072,1245,5827,1977,269,1708,5411,1064,4347,10267,2760,7507,2308,275,2033
95DD,51185,7640,43545,16116,909,15207,5540,635,4905,7595,1321,6274,2357,302,2055,5914,1129,4785,11263,3073,8190,2400,271,2129
