GeographyCode,DC2251NI0001,DC2251NI0002,DC2251NI0003,DC2251NI0004,DC2251NI0005,DC2251NI0006,DC2251NI0007,DC2251NI0008,DC2251NI0009,DC2251NI0010,DC2251NI0011,DC2251NI0012,DC2251NI0013,DC2251NI0014,DC2251NI0015,DC2251NI0016,DC2251NI0017,DC2251NI0018,DC2251NI0019,DC2251NI0020,DC2251NI0021,DC2251NI0022,DC2251NI0023,DC2251NI0024,DC2251NI0025,DC2251NI0026,DC2251NI0027,DC2251NI0028,DC2251NI0029,DC2251NI0030,DC2251NI0031,DC2251NI0032,DC2251NI0033,DC2251NI0034,DC2251NI0035,DC2251NI0036,DC2251NI0037,DC2251NI0038,DC2251NI0039,DC2251NI0040,DC2251NI0041,DC2251NI0042,DC2251NI0043,DC2251NI0044,DC2251NI0045,DC2251NI0046,DC2251NI0047,DC2251NI0048,DC2251NI0049,DC2251NI0050,DC2251NI0051,DC2251NI0052,DC2251NI0053,DC2251NI0054,DC2251NI0055,DC2251NI0056,DC2251NI0057,DC2251NI0058,DC2251NI0059,DC2251NI0060,DC2251NI0061,DC2251NI0062,DC2251NI0063,DC2251NI0064,DC2251NI0065,DC2251NI0066,DC2251NI0067,DC2251NI0068,DC2251NI0069,DC2251NI0070,DC2251NI0071,DC2251NI0072,DC2251NI0073,DC2251NI0074,DC2251NI0075,DC2251NI0076,DC2251NI0077,DC2251NI0078,DC2251NI0079,DC2251NI0080,DC2251NI0081,DC2251NI0082,DC2251NI0083,DC2251NI0084,DC2251NI0085,DC2251NI0086,DC2251NI0087,DC2251NI0088,DC2251NI0089,DC2251NI0090
N92000002,1810863,738033,752555,345101,248821,54253,104380,14859,183164,122252,341428,142793,143356,66914,50233,9129,17080,1467,28825,24987,1035451,262899,572589,265747,187685,42623,76534,7659,123615,68689,342887,284679,19433,7344,7006,1477,3606,1124,15055,22596,30276,15482,9091,3846,2898,687,1660,278,3524,1901,4291,978,1613,520,380,94,619,352,1105,243,2282,1467,274,54,68,21,131,91,342,108,39099,25487,3060,228,232,47,2553,438,7220,2894,15149,4248,3139,448,319,175,2197,3450,3478,834
BHSCT,348204,130813,134436,57385,43155,14653,19243,5025,48241,29689,53550,20105,21727,9503,7320,2267,2637,414,6347,4957,205376,48770,105565,45694,33981,11790,14100,2081,31565,17395,66902,52652,3276,1153,1072,366,685,351,5017,5606,7087,3472,1827,737,581,145,364,65,1117,606,1161,252,359,117,69,17,156,128,334,88,508,247,74,11,11,5,47,35,130,22,7547,4085,610,56,34,10,510,155,2071,626,6073,1230,998,114,87,53,744,1796,1660,389
NHSCT,463297,141816,240423,127421,65547,14406,33049,3412,50147,27499,94973,29506,50018,27202,14265,2397,6154,409,8952,6088,296145,60210,181226,96607,48929,11447,24243,1987,35376,17346,52910,42397,4808,2105,1485,334,884,213,2533,2959,6671,3079,2372,1139,651,148,434,62,797,361,1051,226,450,168,86,31,165,66,258,51,389,236,65,20,14,5,26,18,54,16,8268,5369,792,56,44,8,684,62,1472,573,2890,793,692,124,73,36,459,595,705,105
SEHSCT,346911,96805,175255,83481,54136,12719,24919,2856,50833,21162,55111,17126,26464,13162,8254,1756,3292,278,7395,3848,236957,43630,139652,66895,43198,10248,19311,1812,37758,14105,40363,30446,4432,1785,1493,361,793,190,2826,2469,6799,2413,2954,1291,932,243,488,68,1013,351,1074,166,446,149,121,23,153,83,330,49,330,172,62,15,16,9,22,16,67,13,3814,2124,478,58,48,14,358,40,957,215,2463,728,767,126,74,65,502,369,487,112
SHSCT,358034,185603,123822,47461,48829,7575,19957,2091,21744,24774,70037,34645,26006,10390,10526,1457,3633,237,3899,5250,174144,56979,91523,35264,36273,5763,14223,1095,12506,12041,89733,78079,3432,1190,1336,212,694,187,2338,5697,5729,3639,1304,456,473,99,276,63,363,360,600,166,236,57,72,12,95,49,115,34,541,418,41,4,16,1,20,6,45,31,15200,10895,846,48,71,15,712,132,2114,1213,2050,782,434,52,62,16,304,322,364,148
WHSCT,294417,182996,78619,29353,37154,4900,7212,1475,12199,19128,67757,41411,19141,6657,9868,1252,1364,129,2232,4844,122829,53310,54623,21287,25304,3375,4657,684,6410,7802,92979,81105,3485,1111,1620,204,550,183,2341,5865,3990,2879,634,223,261,52,98,20,234,223,405,168,122,29,32,11,50,26,68,21,514,394,32,4,11,1,16,16,46,26,4270,3014,334,10,35,0,289,49,606,267,1673,715,248,32,23,5,188,368,262,80
BELB,280962,117712,95919,40463,32035,10334,13087,4258,37239,25834,45310,19011,16528,7130,5803,1702,1893,358,4988,4425,155913,42511,73909,31702,24845,8187,9175,1621,23254,14618,60408,48084,2424,861,776,279,508,305,4371,5224,5805,2991,1363,537,459,94,273,50,894,507,913,209,258,87,51,8,112,98,268,80,430,205,65,10,9,5,41,26,118,16,6810,3682,538,44,21,9,464,145,1844,601,5373,1019,834,92,71,50,621,1655,1502,363
NEELB,426284,121437,227855,122568,60074,13937,31276,3257,48555,25180,85964,24667,46841,26042,12825,2262,5712,379,8602,5475,277598,52639,172301,93067,45060,11128,23046,1903,34562,16193,45293,35660,4536,2009,1373,325,829,202,2373,2522,6132,2696,2280,1096,617,143,424,60,771,325,993,198,436,165,79,31,161,62,250,47,358,209,64,20,14,5,25,18,52,15,7186,4633,726,50,35,8,633,56,1267,504,2760,735,671,119,71,35,446,577,678,99
SEELB,414153,109906,213772,100403,65256,17038,31075,3623,61835,25017,63351,18220,31663,15535,9771,2321,4036,334,8754,4380,286420,49889,171308,80887,52334,13851,24236,2272,46069,16882,46857,35014,5284,2077,1789,448,970,236,3472,2851,8081,2894,3418,1491,1054,294,579,83,1236,450,1322,209,547,179,139,32,197,113,396,57,408,214,71,16,18,9,28,25,79,19,4551,2527,550,70,61,15,404,50,1184,240,3163,939,931,148,90,68,625,510,645,138
SELB,395047,205982,136390,52314,54302,8044,21730,2246,23336,27093,79046,39484,29183,11550,11966,1592,4075,267,4249,5863,192691,64550,100448,38804,40142,6082,15420,1179,13320,13194,97350,84816,3704,1286,1448,221,749,198,2498,6134,6268,4022,1396,499,507,104,286,65,389,396,658,194,250,60,79,12,99,53,123,38,572,445,42,4,16,1,21,6,47,32,16282,11631,912,54,80,15,763,138,2319,1282,2180,840,455,57,64,17,317,340,391,154
WELB,294417,182996,78619,29353,37154,4900,7212,1475,12199,19128,67757,41411,19141,6657,9868,1252,1364,129,2232,4844,122829,53310,54623,21287,25304,3375,4657,684,6410,7802,92979,81105,3485,1111,1620,204,550,183,2341,5865,3990,2879,634,223,261,52,98,20,234,223,405,168,122,29,32,11,50,26,68,21,514,394,32,4,11,1,16,16,46,26,4270,3014,334,10,35,0,289,49,606,267,1673,715,248,32,23,5,188,368,262,80
UKN01,280962,117712,95919,40463,32035,10334,13087,4258,37239,25834,45310,19011,16528,7130,5803,1702,1893,358,4988,4425,155913,42511,73909,31702,24845,8187,9175,1621,23254,14618,60408,48084,2424,861,776,279,508,305,4371,5224,5805,2991,1363,537,459,94,273,50,894,507,913,209,258,87,51,8,112,98,268,80,430,205,65,10,9,5,41,26,118,16,6810,3682,538,44,21,9,464,145,1844,601,5373,1019,834,92,71,50,621,1655,1502,363
UKN02,390597,81243,219255,98142,66825,22110,32178,3757,62670,23672,54272,10533,30923,13944,9669,3078,4232,299,8747,3770,282237,38046,178063,80617,54194,18113,25139,2251,47147,16730,37422,26564,5016,1887,1693,488,948,261,3252,2329,7144,2314,3184,1313,965,308,598,74,1154,418,1292,181,544,181,141,36,186,121,398,48,367,176,73,14,17,13,29,28,74,16,4412,2518,538,53,57,15,413,54,1085,217,3451,911,914,133,89,59,633,669,813,144
UKN03,438823,142092,218755,112743,61428,12451,32133,3305,48312,26359,84126,27683,42072,22813,11565,2185,5509,404,8375,5592,281082,61642,167369,86366,47384,9659,23960,2030,33648,16393,52743,42176,4658,1987,1467,349,855,184,2694,3031,6862,2999,2576,1194,763,158,461,97,837,353,1055,219,468,152,100,32,184,68,240,60,338,198,51,18,15,1,17,13,54,22,10020,6367,832,79,51,16,686,71,1973,777,2597,808,729,134,83,51,461,438,491,131
UKN04,288597,148769,101454,52269,36270,2603,10312,1664,17621,19089,65367,32654,24510,12612,9480,504,1914,148,3462,4593,138295,45901,71975,37723,25168,1930,7154,832,10667,8920,75322,64595,3282,1394,1250,105,533,170,2236,5039,3905,2444,893,416,280,48,149,26,311,231,431,118,161,58,28,9,66,35,100,17,351,239,32,8,6,0,18,13,51,16,3155,2233,250,14,26,0,210,39,441,192,1771,585,351,44,32,7,268,401,353,81
UKN05,411884,248217,117172,41484,52263,6755,16670,1875,17322,27298,92353,52912,29323,10415,13716,1660,3532,258,3253,6607,177924,74799,81273,29339,36094,4734,11106,925,8899,12028,116992,103260,4053,1215,1820,256,762,204,2502,6973,6560,4734,1075,386,431,79,179,31,328,392,600,251,182,42,60,9,71,30,99,38,796,649,53,4,21,2,26,11,45,38,14702,10687,902,38,77,7,780,129,1877,1107,1957,925,311,45,44,8,214,287,319,115
95AA,53428,20050,23101,13343,5958,765,3035,446,6515,3316,9467,3393,4209,2573,1063,110,463,34,1170,661,34132,9337,17893,10347,4626,614,2306,255,4518,2129,6877,5710,467,225,155,25,62,20,333,347,876,434,282,150,78,6,48,7,104,49,123,37,45,17,12,1,15,6,28,7,64,39,14,2,7,0,5,0,11,0,1402,927,82,8,5,1,68,16,270,107,487,173,109,21,12,8,68,108,81,16
95BB,78078,8521,51102,28715,12390,3524,6473,760,13175,4520,13301,1672,8561,5111,1934,506,1010,87,2090,891,58515,4414,40294,22548,9909,2825,5012,529,10027,3251,3725,1781,1203,579,314,117,193,35,442,264,1223,214,699,354,193,53,99,14,245,51,241,20,123,48,18,8,49,15,70,13,38,9,15,7,3,0,5,6,5,3,662,324,85,25,6,5,49,3,220,30,373,87,122,43,13,10,56,71,76,17
95CC,59340,26563,25528,9717,10485,1413,3913,307,3141,3801,12243,5228,5588,2237,2309,244,798,43,554,830,29433,6850,18647,7070,7761,1087,2729,189,1802,1945,14395,12525,725,282,269,47,127,23,331,791,983,585,275,89,98,30,58,6,59,58,104,18,51,13,16,0,22,2,27,6,62,48,7,1,5,0,1,0,5,2,1850,1209,170,10,20,2,138,19,305,147,270,100,65,15,7,3,40,25,58,22
95DD,64044,13071,40531,26073,6856,1375,6227,492,5946,4004,14016,2584,9199,6181,1466,282,1270,93,1175,965,42640,5934,29794,19233,5144,1040,4377,291,4089,2532,4302,3127,660,376,136,30,118,18,238,259,823,299,374,213,82,13,66,11,90,49,154,23,85,30,10,7,38,7,24,15,21,5,8,7,0,0,1,2,0,6,1768,1014,304,9,7,1,287,14,273,163,320,85,107,24,11,2,70,56,57,15
