ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC3306NI0001,Count,PERSONS,"All categories: Tenure, All categories: Age, All categories: Health, Disability: Total"
DC3306NI0002,Count,PERSONS,"All categories: Tenure, All categories: Age, All categories: Health, Day-to-day activities limited a lot"
DC3306NI0003,Count,PERSONS,"All categories: Tenure, All categories: Age, All categories: Health, Day-to-day activities limited a little"
DC3306NI0004,Count,PERSONS,"All categories: Tenure, All categories: Age, All categories: Health, Day-to-day activities not limited"
DC3306NI0005,Count,PERSONS,"All categories: Tenure, All categories: Age, Very good health, Disability: Total"
DC3306NI0006,Count,PERSONS,"All categories: Tenure, All categories: Age, Very good health, Day-to-day activities limited a lot"
DC3306NI0007,Count,PERSONS,"All categories: Tenure, All categories: Age, Very good health, Day-to-day activities limited a little"
DC3306NI0008,Count,PERSONS,"All categories: Tenure, All categories: Age, Very good health, Day-to-day activities not limited"
DC3306NI0009,Count,PERSONS,"All categories: Tenure, All categories: Age, Good health, Disability: Total"
DC3306NI0010,Count,PERSONS,"All categories: Tenure, All categories: Age, Good health, Day-to-day activities limited a lot"
DC3306NI0011,Count,PERSONS,"All categories: Tenure, All categories: Age, Good health, Day-to-day activities limited a little"
DC3306NI0012,Count,PERSONS,"All categories: Tenure, All categories: Age, Good health, Day-to-day activities not limited"
DC3306NI0013,Count,PERSONS,"All categories: Tenure, All categories: Age, Fair health, Disability: Total"
DC3306NI0014,Count,PERSONS,"All categories: Tenure, All categories: Age, Fair health, Day-to-day activities limited a lot"
DC3306NI0015,Count,PERSONS,"All categories: Tenure, All categories: Age, Fair health, Day-to-day activities limited a little"
DC3306NI0016,Count,PERSONS,"All categories: Tenure, All categories: Age, Fair health, Day-to-day activities not limited"
DC3306NI0017,Count,PERSONS,"All categories: Tenure, All categories: Age, Bad health, Disability: Total"
DC3306NI0018,Count,PERSONS,"All categories: Tenure, All categories: Age, Bad health, Day-to-day activities limited a lot"
DC3306NI0019,Count,PERSONS,"All categories: Tenure, All categories: Age, Bad health, Day-to-day activities limited a little"
DC3306NI0020,Count,PERSONS,"All categories: Tenure, All categories: Age, Bad health, Day-to-day activities not limited"
DC3306NI0021,Count,PERSONS,"All categories: Tenure, All categories: Age, Very bad health, Disability: Total"
DC3306NI0022,Count,PERSONS,"All categories: Tenure, All categories: Age, Very bad health, Day-to-day activities limited a lot"
DC3306NI0023,Count,PERSONS,"All categories: Tenure, All categories: Age, Very bad health, Day-to-day activities limited a little"
DC3306NI0024,Count,PERSONS,"All categories: Tenure, All categories: Age, Very bad health, Day-to-day activities not limited"
DC3306NI0025,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, All categories: Health, Disability: Total"
DC3306NI0026,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, All categories: Health, Day-to-day activities limited a lot"
DC3306NI0027,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, All categories: Health, Day-to-day activities limited a little"
DC3306NI0028,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, All categories: Health, Day-to-day activities not limited"
DC3306NI0029,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Very good health, Disability: Total"
DC3306NI0030,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Very good health, Day-to-day activities limited a lot"
DC3306NI0031,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Very good health, Day-to-day activities limited a little"
DC3306NI0032,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Very good health, Day-to-day activities not limited"
DC3306NI0033,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Good health, Disability: Total"
DC3306NI0034,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Good health, Day-to-day activities limited a lot"
DC3306NI0035,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Good health, Day-to-day activities limited a little"
DC3306NI0036,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Good health, Day-to-day activities not limited"
DC3306NI0037,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Fair health, Disability: Total"
DC3306NI0038,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Fair health, Day-to-day activities limited a lot"
DC3306NI0039,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Fair health, Day-to-day activities limited a little"
DC3306NI0040,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Fair health, Day-to-day activities not limited"
DC3306NI0041,Count,PERSONS,"All categories: Tenure, Aged 0 to 4, Bad health, Disability: Total"
