GeographyCode,DC2230NI0001,DC2230NI0002,DC2230NI0003,DC2230NI0004,DC2230NI0005,DC2230NI0006,DC2230NI0007,DC2230NI0008,DC2230NI0009,DC2230NI0010,DC2230NI0011,DC2230NI0012,DC2230NI0013,DC2230NI0014,DC2230NI0015,DC2230NI0016,DC2230NI0017,DC2230NI0018,DC2230NI0019,DC2230NI0020,DC2230NI0021,DC2230NI0022,DC2230NI0023,DC2230NI0024,DC2230NI0025,DC2230NI0026,DC2230NI0027,DC2230NI0028,DC2230NI0029,DC2230NI0030,DC2230NI0031,DC2230NI0032,DC2230NI0033,DC2230NI0034,DC2230NI0035,DC2230NI0036,DC2230NI0037,DC2230NI0038,DC2230NI0039,DC2230NI0040,DC2230NI0041,DC2230NI0042,DC2230NI0043,DC2230NI0044,DC2230NI0045,DC2230NI0046,DC2230NI0047,DC2230NI0048,DC2230NI0049,DC2230NI0050,DC2230NI0051,DC2230NI0052,DC2230NI0053,DC2230NI0054,DC2230NI0055,DC2230NI0056,DC2230NI0057,DC2230NI0058,DC2230NI0059,DC2230NI0060,DC2230NI0061,DC2230NI0062,DC2230NI0063,DC2230NI0064,DC2230NI0065,DC2230NI0066,DC2230NI0067,DC2230NI0068,DC2230NI0069,DC2230NI0070,DC2230NI0071,DC2230NI0072
N92000002,1735711,92040,10265,7801,16373,13725,140204,1595507,295861,14451,2300,1356,3536,2049,23692,272169,1456532,79475,8118,6626,12998,11982,119199,1337333,1051688,68664,7128,5882,10899,10258,102831,948857,367236,9874,768,675,1784,1590,14691,352545,16494,457,124,38,167,54,840,15654,6661,96,36,8,54,19,213,6448,14453,384,62,23,94,61,624,13829,20408,528,46,25,174,136,909,19499
BHSCT,334560,12503,935,632,2397,2304,18771,315789,46311,1439,132,57,424,215,2267,44044,289787,11350,822,597,1981,2155,16905,272882,209699,9332,650,493,1616,1758,13849,195850,72751,1774,128,91,304,366,2663,70088,3808,132,32,11,37,11,223,3585,308,11,3,0,2,0,16,292,3221,101,9,2,22,20,154,3067,7279,150,16,7,56,37,266,7013
NHSCT,444578,39636,6026,4434,7118,5264,62478,382100,83182,7118,1585,890,1618,897,12108,71074,365472,33184,4506,3624,5592,4437,51343,314129,298831,29882,4159,3337,5007,3983,46368,252463,58718,3026,293,274,502,421,4516,54202,3750,123,35,8,54,20,240,3510,816,9,1,3,6,5,24,792,3357,144,18,2,23,8,195,3162,4098,184,11,8,51,54,308,3790
SEHSCT,333088,18498,1524,1317,2695,2760,26794,306294,47229,2463,269,197,526,351,3806,43423,290512,16543,1291,1175,2197,2492,23698,266814,240450,14798,1132,1045,1959,2209,21143,219307,46346,1629,136,123,207,270,2365,43981,1402,62,13,2,9,2,88,1314,614,14,4,0,14,3,35,579,1700,40,6,5,8,8,67,1633,3603,105,16,2,32,25,180,3423
SHSCT,341383,11698,911,802,2275,1915,17601,323782,59617,1727,156,133,523,337,2876,56741,285659,10204,774,681,1772,1621,15052,270607,177359,8437,611,565,1323,1351,12287,165072,93759,1525,87,90,336,229,2267,91492,5593,109,30,8,46,10,203,5390,4359,60,20,5,29,10,124,4235,4589,73,26,13,38,21,171,4418,2998,59,3,4,19,9,94,2904
WHSCT,282102,9705,869,616,1888,1482,14560,267542,59522,1704,158,79,445,249,2635,56887,225102,8194,725,549,1456,1277,12201,212901,125349,6215,576,442,994,957,9184,116165,95662,1920,124,97,435,304,2880,92782,1941,31,14,9,21,11,86,1855,564,2,8,0,3,1,14,550,1586,26,3,1,3,4,37,1549,2430,30,0,4,16,11,61,2369
BELB,269804,9272,739,499,1918,1753,14181,255623,39344,1093,105,40,357,168,1763,37581,231347,8397,644,476,1564,1635,12716,218631,159583,6698,492,387,1238,1301,10116,149467,65147,1485,109,77,270,306,2247,62900,3448,113,32,10,33,10,198,3250,260,11,3,0,1,0,15,245,2909,90,8,2,22,18,140,2769,6314,130,15,3,47,34,229,6085
NEELB,409258,38103,5913,4330,6863,5026,60235,349023,75346,6822,1562,875,1534,844,11637,63709,337565,31917,4413,3529,5416,4251,49526,288039,279975,28809,4084,3259,4864,3826,44842,235133,50707,2843,281,257,473,394,4248,46459,3509,120,32,8,53,19,232,3277,676,7,1,3,5,5,21,655,2698,138,15,2,21,7,183,2515,3889,175,11,8,51,53,298,3591
SEELB,397844,21729,1720,1450,3174,3311,31384,366460,54196,2809,296,214,593,398,4310,49886,348952,19496,1469,1296,2614,3012,27887,321065,290566,17432,1290,1151,2337,2666,24876,265690,53950,1918,155,137,241,330,2781,51169,1762,81,13,3,13,3,113,1649,662,14,4,0,15,3,36,626,2012,51,7,5,8,10,81,1931,4568,125,17,6,41,28,217,4351
SELB,376703,13231,1024,906,2530,2153,19844,356859,67453,2023,179,148,607,390,3347,64106,313566,11471,867,776,1948,1807,16869,296697,196215,9510,686,643,1466,1508,13813,182402,101770,1708,99,107,365,256,2535,99235,5834,112,33,8,47,11,211,5623,4499,62,20,5,30,10,127,4372,5248,79,29,13,40,22,183,5065,3207,68,3,4,19,10,104,3103
