GeographyCode,DC2419NI0001,DC2419NI0002,DC2419NI0003,DC2419NI0004,DC2419NI0005,DC2419NI0006,DC2419NI0007,DC2419NI0008,DC2419NI0009,DC2419NI0010,DC2419NI0011,DC2419NI0012,DC2419NI0013,DC2419NI0014,DC2419NI0015,DC2419NI0016,DC2419NI0017,DC2419NI0018,DC2419NI0019,DC2419NI0020,DC2419NI0021,DC2419NI0022,DC2419NI0023,DC2419NI0024,DC2419NI0025,DC2419NI0026,DC2419NI0027,DC2419NI0028,DC2419NI0029,DC2419NI0030,DC2419NI0031,DC2419NI0032,DC2419NI0033,DC2419NI0034,DC2419NI0035,DC2419NI0036,DC2419NI0037,DC2419NI0038,DC2419NI0039,DC2419NI0040,DC2419NI0041,DC2419NI0042,DC2419NI0043,DC2419NI0044,DC2419NI0045,DC2419NI0046,DC2419NI0047,DC2419NI0048,DC2419NI0049,DC2419NI0050,DC2419NI0051,DC2419NI0052,DC2419NI0053,DC2419NI0054,DC2419NI0055,DC2419NI0056,DC2419NI0057,DC2419NI0058,DC2419NI0059,DC2419NI0060,DC2419NI0061,DC2419NI0062,DC2419NI0063,DC2419NI0064,DC2419NI0065,DC2419NI0066,DC2419NI0067,DC2419NI0068,DC2419NI0069,DC2419NI0070
N92000002,703275,296577,372213,6654,27831,470507,190700,262190,3561,14056,225845,82395,137415,1649,4386,244662,108305,124775,1912,9670,4244,1726,2218,44,256,104885,46000,53757,857,4271,80890,34260,42679,600,3351,23995,11740,11078,257,920,106016,51279,43971,2035,8731,95215,46429,38933,1880,7973,1216,423,562,32,199,7784,3666,3666,56,396,1801,761,810,67,163,17623,6872,10077,157,517
BHSCT,148328,60176,77559,2274,8319,82996,33050,45648,862,3436,37260,12494,23359,350,1057,45736,20556,22289,512,2379,919,417,427,12,63,34700,13720,19007,338,1635,24102,8791,13977,201,1133,10598,4929,5030,137,502,26068,11752,10295,1008,3013,23999,10846,9370,952,2831,131,71,43,7,10,1474,645,674,18,137,464,190,208,31,35,3645,1237,2182,54,172
NHSCT,177914,53944,115324,1514,7132,126501,38058,83509,964,3970,62159,16974,43533,460,1192,64342,21084,39976,504,2778,1119,335,705,9,70,21174,5358,14678,169,969,18203,4550,12633,137,883,2971,808,2045,32,86,24665,8993,13354,322,1996,21957,8074,11806,288,1789,347,105,168,9,65,2002,711,1177,16,98,359,103,203,9,44,4455,1200,3078,50,127
SEHSCT,136698,39157,88981,1300,7260,98710,26603,66998,833,4276,45534,9899,33985,394,1256,53176,16704,33013,439,3020,1116,332,685,10,89,17644,5807,10704,166,967,13729,4379,8433,133,784,3915,1428,2271,33,183,16284,5624,8582,267,1811,14104,5006,7326,226,1546,500,102,282,11,105,1281,432,737,15,97,399,84,237,15,63,2944,791,2012,24,117
SHSCT,131129,71338,55496,925,3370,91375,47928,41355,539,1553,44798,21935,22054,274,535,46577,25993,19301,265,1018,626,341,252,6,27,14218,8320,5341,112,445,11504,6728,4342,81,353,2714,1592,999,31,92,21404,12987,6881,251,1285,19348,11782,6115,237,1214,148,95,41,3,9,1595,919,623,5,48,313,191,102,6,14,3506,1762,1667,17,60
WHSCT,109206,71962,34853,641,1750,70925,45061,24680,363,821,36094,21093,14484,171,346,34831,23968,10196,192,475,464,301,149,7,7,17149,12795,4027,72,255,13352,9812,3294,48,198,3797,2983,733,24,57,17595,11923,4859,187,626,15807,10721,4316,177,593,90,50,28,2,10,1432,959,455,2,16,266,193,60,6,7,3073,1882,1138,12,41
BELB,120595,54899,57007,1944,6745,62301,28748,30450,641,2462,27904,11271,15598,262,773,34397,17477,14852,379,1689,718,372,287,11,48,30818,13531,15629,302,1356,20794,8661,11077,176,880,10024,4870,4552,126,476,23632,11041,8915,945,2731,21854,10213,8165,895,2581,100,56,29,5,10,1242,588,530,16,108,436,184,191,29,32,3126,1207,1726,45,148
NEELB,165010,46779,109895,1450,6886,117095,32878,79417,924,3876,57078,14403,41091,437,1147,60017,18475,38326,487,2729,1049,303,671,9,66,20122,4801,14214,162,945,17273,4056,12226,132,859,2849,745,1988,30,86,22633,7773,12673,307,1880,20132,6971,11208,275,1678,336,99,165,9,63,1824,612,1103,14,95,341,91,197,9,44,4111,1024,2920,48,119
SEELB,164431,44434,109533,1630,8834,119405,30905,82196,1054,5250,54890,11122,41746,482,1540,64515,19783,40450,572,3710,1317,377,825,11,104,21526,5996,14082,202,1246,17037,4509,11333,158,1037,4489,1487,2749,44,209,18720,6335,9962,330,2093,16249,5639,8531,283,1796,531,117,296,13,105,1513,489,881,17,126,427,90,254,17,66,3463,821,2468,33,141
SELB,144033,78503,60925,989,3616,100781,53108,45447,579,1647,49879,24506,24496,297,580,50902,28602,20951,282,1067,696,373,286,6,31,15270,8877,5805,119,469,12434,7222,4749,86,377,2836,1655,1056,33,92,23436,14207,7562,266,1401,21173,12885,6713,250,1325,159,101,44,3,11,1773,1018,697,7,51,331,203,108,6,14,3850,1938,1825,19,68
