GeographyCode,DC2417NI0001,DC2417NI0002,DC2417NI0003,DC2417NI0004,DC2417NI0005,DC2417NI0006,DC2417NI0007,DC2417NI0008,DC2417NI0009,DC2417NI0010,DC2417NI0011,DC2417NI0012,DC2417NI0013,DC2417NI0014,DC2417NI0015,DC2417NI0016,DC2417NI0017,DC2417NI0018,DC2417NI0019,DC2417NI0020,DC2417NI0021,DC2417NI0022,DC2417NI0023,DC2417NI0024,DC2417NI0025,DC2417NI0026,DC2417NI0027,DC2417NI0028,DC2417NI0029,DC2417NI0030,DC2417NI0031,DC2417NI0032,DC2417NI0033,DC2417NI0034,DC2417NI0035,DC2417NI0036,DC2417NI0037,DC2417NI0038,DC2417NI0039,DC2417NI0040,DC2417NI0041,DC2417NI0042,DC2417NI0043,DC2417NI0044,DC2417NI0045,DC2417NI0046,DC2417NI0047,DC2417NI0048,DC2417NI0049,DC2417NI0050,DC2417NI0051,DC2417NI0052,DC2417NI0053,DC2417NI0054,DC2417NI0055,DC2417NI0056,DC2417NI0057,DC2417NI0058,DC2417NI0059,DC2417NI0060,DC2417NI0061,DC2417NI0062,DC2417NI0063,DC2417NI0064,DC2417NI0065,DC2417NI0066,DC2417NI0067,DC2417NI0068,DC2417NI0069,DC2417NI0070,DC2417NI0071,DC2417NI0072,DC2417NI0073,DC2417NI0074,DC2417NI0075,DC2417NI0076,DC2417NI0077,DC2417NI0078,DC2417NI0079,DC2417NI0080,DC2417NI0081,DC2417NI0082,DC2417NI0083,DC2417NI0084,DC2417NI0085,DC2417NI0086,DC2417NI0087,DC2417NI0088,DC2417NI0089,DC2417NI0090,DC2417NI0091,DC2417NI0092,DC2417NI0093,DC2417NI0094,DC2417NI0095,DC2417NI0096,DC2417NI0097,DC2417NI0098,DC2417NI0099,DC2417NI0100,DC2417NI0101,DC2417NI0102,DC2417NI0103,DC2417NI0104,DC2417NI0105,DC2417NI0106,DC2417NI0107,DC2417NI0108,DC2417NI0109,DC2417NI0110,DC2417NI0111,DC2417NI0112,DC2417NI0113,DC2417NI0114,DC2417NI0115,DC2417NI0116,DC2417NI0117,DC2417NI0118,DC2417NI0119,DC2417NI0120,DC2417NI0121,DC2417NI0122,DC2417NI0123,DC2417NI0124,DC2417NI0125
95KK,36711,21780,13841,176,914,20980,11511,9008,86,375,7373,4620,2464,27,262,5010,3235,1582,24,169,3348,2414,787,39,108,28715,17033,11150,110,422,18265,10012,7927,67,259,5064,3256,1710,14,84,3165,2104,1001,16,44,2221,1661,512,13,35,1971,1114,762,17,78,337,186,143,2,6,667,333,287,4,43,584,329,231,1,23,383,266,101,10,6,229,138,85,2,4,49,32,16,1,0,42,28,12,0,2,93,43,49,0,1,45,35,8,1,1,5796,3495,1844,47,410,2329,1281,922,16,110,1600,1003,455,9,133,1168,759,301,7,101,699,452,166,15,66
95LL,92513,42577,44341,851,4744,49444,19716,27325,437,1966,21961,10813,9722,169,1257,13378,7195,5208,90,885,7730,4853,2086,155,636,65735,28765,34020,525,2425,41611,16109,23714,358,1430,13387,6387,6370,97,533,7153,3879,2940,25,309,3584,2390,996,45,153,7757,3991,3161,67,538,1588,796,711,14,67,2713,1311,1203,22,177,2239,1154,889,21,175,1217,730,358,10,119,1708,793,764,34,117,235,99,118,1,17,474,195,253,3,23,600,288,268,4,40,399,211,125,26,37,17313,9028,6396,225,1664,6010,2712,2782,64,452,5387,2920,1896,47,524,3386,1874,1111,40,361,2530,1522,607,74,327
95MM,106500,79860,23689,789,2162,44914,31402,12172,348,992,25223,18962,5551,195,515,21101,16822,3725,144,410,15262,12674,2241,102,245,67455,49523,16352,434,1146,36842,25563,10282,270,727,14004,10425,3281,94,204,9688,7728,1782,42,136,6921,5807,1007,28,79,15678,12574,2827,60,217,2157,1649,472,5,31,4669,3541,1032,21,75,5150,4185,859,24,82,3702,3199,464,10,29,5772,5063,606,27,76,525,458,61,1,5,1371,1220,133,5,13,2347,2045,255,15,32,1529,1340,157,6,26,17595,12700,3904,268,723,5390,3732,1357,72,229,5179,3776,1105,75,223,3916,2864,829,63,160,3110,2328,613,58,111
95NN,68714,43215,21828,399,3272,38694,22444,14299,234,1717,14530,9607,4053,70,800,9881,7005,2338,53,485,5609,4159,1138,42,270,52207,32282,17544,244,2137,33872,19566,12779,176,1351,9504,6275,2764,30,435,5623,3975,1385,20,243,3208,2466,616,18,108,4509,3246,1077,22,164,535,375,138,3,19,1497,1029,404,9,55,1608,1181,367,5,55,869,661,168,5,35,993,688,229,15,61,96,67,19,4,6,183,129,39,1,14,433,319,99,1,14,281,173,72,9,27,11005,6999,2978,118,910,4191,2436,1363,51,341,3346,2174,846,30,296,2217,1530,487,27,173,1251,859,282,10,100
95OO,57462,36911,18936,320,1295,31736,18726,12327,157,526,11328,7541,3417,55,315,8044,5734,2024,52,234,6354,4910,1168,56,220,41857,25871,15251,185,550,27191,15852,10895,114,330,7314,4786,2385,36,107,4296,2941,1277,17,61,3056,2292,694,18,52,3605,2532,942,28,103,586,390,180,2,14,1072,707,338,5,22,1172,835,293,9,35,775,600,131,12,32,930,702,190,4,34,133,103,25,0,5,309,219,78,2,10,320,258,56,1,5,168,122,31,1,14,11070,7806,2553,103,608,3826,2381,1227,41,177,2633,1829,616,12,176,2256,1700,398,25,133,2355,1896,312,25,122
95PP,61064,36180,23010,347,1527,36219,19615,15603,186,815,12006,7701,3896,69,340,7734,5248,2205,53,228,5105,3616,1306,39,144,47282,27523,18686,213,860,31338,16834,13762,163,579,7958,5096,2678,25,159,4675,3195,1398,20,62,3311,2398,848,5,60,3531,2520,899,9,103,612,412,182,6,12,1256,893,326,2,35,1110,792,274,1,43,553,423,117,0,13,845,539,243,9,54,116,71,32,1,12,246,156,75,4,11,319,213,87,3,16,164,99,49,1,15,9406,5598,3182,116,510,4153,2298,1627,16,212,2546,1556,817,38,135,1630,1048,446,29,107,1077,696,292,33,56
95QQ,31914,7945,21732,182,2055,18930,4053,13693,111,1073,6925,1952,4405,42,526,4279,1270,2666,23,320,1780,670,968,6,136,24589,5770,17272,113,1434,16667,3466,12214,86,901,4580,1231,3020,18,311,2367,708,1495,9,155,975,365,543,0,67,2231,623,1459,19,130,413,106,295,3,9,786,225,510,8,43,757,196,502,6,53,275,96,152,2,25,357,133,210,2,12,35,13,19,1,2,56,23,29,1,3,176,63,111,0,2,90,34,51,0,5,4737,1419,2791,48,479,1815,468,1165,21,161,1503,473,846,15,169,979,303,558,8,110,440,175,222,4,39
95RR,32850,19698,12286,100,766,18041,10021,7583,56,381,7100,4525,2350,22,203,4869,3119,1611,12,127,2840,2033,742,10,55,24394,14545,9325,55,469,15416,8458,6611,42,305,4399,2886,1419,9,85,2880,1914,907,3,56,1699,1287,388,1,23,2786,1641,1045,9,91,493,299,182,3,9,912,492,383,2,35,874,536,307,1,30,507,314,173,3,17,511,280,218,3,10,51,29,22,0,0,134,79,49,0,6,226,120,102,1,3,100,52,45,2,1,5159,3232,1698,33,196,2081,1235,768,11,67,1655,1068,499,11,77,889,549,295,7,38,534,380,136,4,14
95SS,118525,43388,66135,1001,8001,63670,18804,40778,529,3559,25698,9709,13602,246,2141,18288,8563,8043,138,1544,10869,6312,3712,88,757,88206,30465,52179,677,4885,56634,16641,36807,433,2753,17157,6747,9130,148,1132,9487,4329,4429,56,673,4928,2748,1813,40,327,13094,5868,6172,90,964,1765,655,1021,21,68,3993,1347,2288,30,328,4292,1983,1892,27,390,3044,1883,971,12,178,4717,2805,1572,24,316,421,256,126,4,35,936,394,444,7,91,2044,1272,641,7,124,1316,883,361,6,66,12508,4250,6212,210,1836,4850,1252,2824,71,703,3612,1221,1740,61,590,2465,979,1081,48,357,1581,798,567,30,186
95TT,44822,29623,14069,212,918,26354,17191,8573,135,455,8723,5620,2855,48,200,5582,3788,1615,14,165,4163,3024,1026,15,98,35395,23937,10820,157,481,22907,15160,7345,116,286,6068,4048,1913,24,83,3604,2540,997,6,61,2816,2189,565,11,51,2633,1384,1177,5,67,436,211,206,4,15,836,409,402,1,24,782,444,319,0,19,579,320,250,0,9,237,171,64,0,2,13,12,1,0,0,60,48,12,0,0,115,74,41,0,0,49,37,10,0,2,6557,4131,2008,50,368,2998,1808,1021,15,154,1759,1115,528,23,93,1081,730,258,8,85,719,478,201,4,36
95UU,16907,10073,6254,77,503,9599,5732,3566,39,262,3363,1965,1271,17,110,2357,1368,899,15,75,1588,1008,518,6,56,12260,7516,4403,38,303,7949,4816,2936,30,167,2064,1285,719,5,55,1303,793,467,2,41,944,622,281,1,40,1691,740,895,4,52,287,99,174,1,13,491,193,280,1,17,575,270,290,2,13,338,178,151,0,9,191,122,62,1,6,17,10,6,1,0,52,35,15,0,2,82,55,26,0,1,40,22,15,0,3,2765,1695,894,34,142,1346,807,450,7,82,756,452,257,11,36,397,250,116,11,20,266,186,71,5,4
95VV,98922,78544,17763,448,2167,52743,40732,10950,175,886,20612,16682,3320,107,503,14807,12263,2050,81,413,10760,8867,1443,85,365,74184,58912,14001,217,1054,45632,35428,9492,119,593,13584,10956,2364,47,217,8606,7167,1266,32,141,6362,5361,879,19,103,6261,5385,738,11,127,1000,804,176,3,17,1914,1639,232,4,39,1985,1738,211,0,36,1362,1204,119,4,35,1744,1441,195,35,73,158,118,25,6,9,475,390,64,5,16,659,593,48,3,15,452,340,58,21,33,16733,12806,2829,185,913,5953,4382,1257,47,267,4639,3697,660,51,231,3557,2765,525,46,221,2584,1962,387,41,194
95WW,83141,18506,56667,923,7045,45965,9669,32860,462,2974,19526,4530,12816,198,1982,12404,2875,7996,147,1386,5246,1432,2995,116,703,65065,15048,44605,660,4752,41455,8822,29723,400,2510,13823,3575,8866,120,1262,7081,1839,4483,84,675,2706,812,1533,56,305,7293,736,5682,45,830,1127,94,934,8,91,2514,215,2024,17,258,2564,250,1993,7,314,1088,177,731,13,167,1080,313,679,13,75,114,33,75,3,3,289,71,178,1,39,493,158,310,5,20,184,51,116,4,13,9703,2409,5701,205,1388,3269,720,2128,51,370,2900,669,1748,60,423,2266,628,1210,51,377,1268,392,615,43,218
95XX,77475,10507,56771,890,9307,47896,6403,36326,468,4699,16215,2107,11482,169,2457,9689,1325,6582,159,1623,3675,672,2381,94,528,60774,8068,45813,622,6271,43252,5671,33344,410,3827,10915,1482,7855,102,1476,5052,658,3560,75,759,1555,257,1054,35,209,4727,435,3538,55,699,604,72,462,6,64,1686,129,1314,10,233,1754,155,1263,23,313,683,79,499,16,89,1404,156,1089,15,144,121,9,82,1,29,344,36,281,0,27,650,68,513,8,61,289,43,213,6,27,10570,1848,6331,198,2193,3919,651,2438,51,779,3270,460,2032,57,721,2233,444,1246,53,490,1148,293,615,37,203
95YY,50872,35879,13859,238,896,30465,20613,9241,160,451,9675,7056,2348,48,223,6293,4709,1434,17,133,4439,3501,836,13,89,38708,27010,11095,165,438,26140,17648,8101,120,271,6153,4427,1612,24,90,3730,2772,899,15,44,2685,2163,483,6,33,3213,2444,704,5,60,603,455,138,2,8,1084,810,247,3,24,928,696,209,0,23,598,483,110,0,5,452,378,66,2,6,59,46,11,0,2,94,86,7,1,0,180,140,37,1,2,119,106,11,0,2,8499,6047,1994,66,392,3663,2464,991,38,170,2344,1733,482,20,109,1455,1101,289,1,64,1037,749,232,7,49
95ZZ,39595,25725,13321,117,432,20293,12235,7772,72,214,8876,6026,2749,18,83,6209,4409,1696,12,92,4217,3055,1104,15,43,28359,17992,10072,90,205,16855,10088,6570,64,133,5456,3614,1802,10,30,3574,2498,1037,6,33,2474,1792,663,10,9,4181,3078,1048,5,50,770,551,209,3,7,1455,1044,395,2,14,1227,942,267,0,18,729,541,177,0,11,832,581,227,2,22,91,69,21,0,1,220,152,68,0,0,341,244,86,0,11,180,116,52,2,10,6223,4074,1974,20,155,2577,1527,972,5,73,1745,1216,484,6,39,1067,725,306,6,30,834,606,212,3,13
