GeographyCode,DC6201NI0001,DC6201NI0002,DC6201NI0003,DC6201NI0004,DC6201NI0005,DC6201NI0006,DC6201NI0007,DC6201NI0008,DC6201NI0009,DC6201NI0010,DC6201NI0011,DC6201NI0012,DC6201NI0013,DC6201NI0014,DC6201NI0015,DC6201NI0016,DC6201NI0017,DC6201NI0018,DC6201NI0019,DC6201NI0020,DC6201NI0021,DC6201NI0022,DC6201NI0023,DC6201NI0024,DC6201NI0025,DC6201NI0026,DC6201NI0027,DC6201NI0028,DC6201NI0029,DC6201NI0030,DC6201NI0031,DC6201NI0032,DC6201NI0033,DC6201NI0034,DC6201NI0035,DC6201NI0036,DC6201NI0037,DC6201NI0038,DC6201NI0039,DC6201NI0040,DC6201NI0041,DC6201NI0042,DC6201NI0043,DC6201NI0044,DC6201NI0045,DC6201NI0046,DC6201NI0047,DC6201NI0048
N92000002,1431540,213851,1217689,1409957,210219,1199738,1409157,210148,1199009,800,71,729,14305,2053,12252,5121,792,4329,4454,659,3795,781,125,656,355,49,306,3594,428,3166,2708,583,2125,338,79,259,1754,421,1333,616,83,533,2719,557,2162,1851,439,1412
BHSCT,283079,43158,239921,274492,41580,232912,274345,41562,232783,147,18,129,6164,963,5201,2238,382,1856,1851,311,1540,221,40,181,156,25,131,1698,205,1493,1037,255,782,90,28,62,857,202,655,90,25,65,818,207,611,568,153,415
NHSCT,366872,53975,312897,362684,53286,309398,362564,53270,309294,120,16,104,2924,414,2510,1180,167,1013,946,143,803,209,30,179,28,6,22,561,68,493,413,93,320,62,16,46,278,67,211,73,10,63,565,117,448,286,65,221
SEHSCT,275606,43217,232389,272275,42663,229612,272190,42660,229530,85,3,82,2006,230,1776,702,86,616,580,67,513,105,13,92,126,14,112,493,50,443,491,126,365,92,22,70,271,86,185,128,18,110,534,106,428,300,92,208
SHSCT,276654,39908,236746,273356,39479,233877,273080,39464,233616,276,15,261,1781,225,1556,621,85,536,448,58,390,169,26,143,32,3,29,511,53,458,577,74,503,39,6,33,261,48,213,277,20,257,476,68,408,464,62,402
WHSCT,229329,33593,195736,227150,33211,193939,226978,33192,193786,172,19,153,1430,221,1209,380,72,308,629,80,549,77,16,61,13,1,12,331,52,279,190,35,155,55,7,48,87,18,69,48,10,38,326,59,267,233,67,166
BELB,228679,34407,194272,221377,33053,188324,221240,33035,188205,137,18,119,5175,824,4351,1863,320,1543,1641,281,1360,161,31,130,132,22,110,1378,170,1208,943,230,713,80,28,52,777,178,599,86,24,62,698,176,522,486,124,362
NEELB,338153,50153,288000,334183,49488,284695,334069,49473,284596,114,15,99,2804,399,2405,1102,159,943,928,143,785,200,27,173,28,6,22,546,64,482,343,90,253,56,15,41,235,65,170,52,10,42,547,111,436,276,65,211
SEELB,330006,51968,278038,325390,51190,274200,325295,51187,274108,95,3,92,2995,369,2626,1077,148,929,790,97,693,165,22,143,150,17,133,813,85,728,585,151,434,102,22,80,351,110,241,132,19,113,654,137,517,382,121,261
SELB,305373,43730,261643,301857,43277,258580,301575,43261,258314,282,16,266,1901,240,1661,699,93,606,466,58,408,178,29,149,32,3,29,526,57,469,647,77,570,45,7,38,304,50,254,298,20,278,494,74,420,474,62,412
WELB,229329,33593,195736,227150,33211,193939,226978,33192,193786,172,19,153,1430,221,1209,380,72,308,629,80,549,77,16,61,13,1,12,331,52,279,190,35,155,55,7,48,87,18,69,48,10,38,326,59,267,233,67,166
UKN01,228679,34407,194272,221377,33053,188324,221240,33035,188205,137,18,119,5175,824,4351,1863,320,1543,1641,281,1360,161,31,130,132,22,110,1378,170,1208,943,230,713,80,28,52,777,178,599,86,24,62,698,176,522,486,124,362
UKN02,311648,48632,263016,306483,47745,258738,306407,47743,258664,76,2,74,3584,498,3086,1360,222,1138,1018,137,881,250,33,217,70,13,57,886,93,793,558,147,411,87,16,71,371,113,258,100,18,82,673,143,530,350,99,251
UKN03,346252,50184,296068,342351,49626,292725,342212,49613,292599,139,13,126,2473,263,2210,840,80,760,657,79,578,213,33,180,116,8,108,647,63,584,513,106,407,77,20,57,296,68,228,140,18,122,568,104,464,347,85,262
UKN04,226804,32457,194347,224403,32031,192372,224293,32017,192276,110,14,96,1558,245,1313,518,102,416,658,81,577,66,10,56,15,4,11,301,48,253,225,46,179,59,8,51,116,29,87,50,9,41,395,75,320,223,60,163
UKN05,318157,48171,269986,315343,47764,267579,315005,47740,267265,338,24,314,1515,223,1292,540,68,472,480,81,399,91,18,73,22,2,20,382,54,328,469,54,415,35,7,28,194,33,161,240,14,226,385,59,326,445,71,374
95AA,41479,5784,35695,40741,5686,35055,40730,5686,35044,11,0,11,519,54,465,129,9,120,247,29,218,37,7,30,2,0,2,104,9,95,94,24,70,19,5,14,62,17,45,13,2,11,96,14,82,29,6,23
95BB,62813,9075,53738,62285,9000,53285,62274,9000,53274,11,0,11,355,34,321,128,13,115,48,10,38,9,1,8,78,5,73,92,5,87,35,5,30,2,1,1,22,2,20,11,2,9,87,16,71,51,20,31
95CC,46195,7049,39146,45899,7000,38899,45854,6996,38858,45,4,41,206,33,173,86,17,69,74,13,61,10,0,10,3,0,3,33,3,30,12,4,8,4,2,2,5,1,4,3,1,2,41,5,36,37,7,30
95DD,51185,7640,43545,50753,7576,43177,50692,7571,43121,61,5,56,303,25,278,102,6,96,69,8,61,36,3,33,5,0,5,91,8,83,34,13,21,3,1,2,26,10,16,5,2,3,40,9,31,55,17,38
95EE,24608,3439,21169,24488,3415,21073,24481,3415,21066,7,0,7,69,10,59,34,1,33,28,9,19,0,0,0,0,0,0,7,0,7,7,0,7,6,0,6,1,0,1,0,0,0,34,10,24,10,4,6
95FF,37527,5636,31891,37269,5592,31677,37264,5590,31674,5,2,3,153,24,129,63,10,53,24,0,24,12,3,9,5,2,3,49,9,40,18,2,16,7,0,7,7,2,5,4,0,4,44,10,34,43,8,35
95GG,228679,34407,194272,221377,33053,188324,221240,33035,188205,137,18,119,5175,824,4351,1863,320,1543,1641,281,1360,161,31,130,132,22,110,1378,170,1208,943,230,713,80,28,52,777,178,599,86,24,62,698,176,522,486,124,362
95HH,31409,4677,26732,31097,4633,26464,31094,4632,26462,3,1,2,194,21,173,80,13,67,52,3,49,11,2,9,3,0,3,48,3,45,34,8,26,3,1,2,25,6,19,6,1,5,63,10,53,21,5,16
95II,54400,8751,45649,53115,8527,44588,53105,8527,44578,10,0,10,989,139,850,375,62,313,210,30,180,60,9,51,24,3,21,320,35,285,94,25,69,10,0,10,80,24,56,4,1,3,120,31,89,82,29,53
95JJ,47617,7967,39650,46982,7832,39150,46971,7828,39143,11,4,7,421,83,338,189,38,151,113,20,93,25,4,21,7,3,4,87,18,69,58,14,44,5,2,3,43,12,31,10,0,10,99,20,79,57,18,39
95KK,28719,3822,24897,28501,3798,24703,28495,3797,24698,6,1,5,120,15,105,78,8,70,18,0,18,9,3,6,0,0,0,15,4,11,70,3,67,6,1,5,43,2,41,21,0,21,18,6,12,10,0,10
95LL,72503,9629,62874,71210,9464,61746,71180,9462,61718,30,2,28,810,91,719,272,34,238,166,21,145,112,18,94,11,0,11,249,18,231,204,28,176,16,3,13,123,18,105,65,7,58,173,27,146,106,19,87
95MM,83663,11510,72153,82445,11320,71125,82392,11313,71079,53,7,46,805,116,689,202,47,155,423,43,380,37,6,31,8,1,7,135,19,116,135,24,111,43,4,39,62,13,49,30,7,23,181,30,151,97,20,77
95NN,54746,8779,45967,54221,8688,45533,54207,8686,45521,14,2,12,258,27,231,104,3,101,84,9,75,4,1,3,14,1,13,52,13,39,116,31,85,25,8,17,50,18,32,41,5,36,92,18,74,59,15,44
95OO,44467,6266,38201,43579,6168,37411,43487,6165,37322,92,3,89,266,46,220,65,16,49,75,16,59,7,1,6,5,1,4,114,12,102,284,23,261,9,1,8,84,10,74,191,12,179,139,12,127,199,17,182
